idx	f28_group	f30_group	match
255	7	79	0
256	60	60	1
257	37	37	1
258	70	76	0
259	ttt	itt	0
260	4tt	ct	0
261	ii	4y	0
262	1z	4bi	0
263	30	zz379	0
264	30	30	1
265	66	60	0
266	O	O	1
267	55	55	1
268	30	30	1
269	39	38	0
270	51	5i	0
271	87	b7	0
272	55	55	1
273	90	90	1
274	71	7i	0
275	51	5i	0
276	73	73	1
277	R	R	1
278	6i	6i	1
279		44	0
280	tz	j	0
281	36	36	1
282	5z	5z	1
283		75	0
284	73	40	0
285	70	407i	0
286	7	77	0
287	7755	55	0
288	E	E	1
289	i6	i6	1
290	74	44	0
291	23	23	1
292		ii	0
293		i	0
294	13	z	0
295	7z	93	0
296	16	2124	0
297	A	N	0
298	bLS	iew	0
299	70	40	0
300	88	88	1
301	86	9d	0
302	16	i6	0
303	15	15	1
304	60	60	1
305	37	37	1
306	36	36	1
307	99	99	1
308		77	0
309	7773	73	0
310	66	68	0
311	O	O	1
312	77	47	0
313	76	76	1
314	87	84	0
315	65	55	0
316	1z	15	0
317	55	55	1
318	tz	44	0
319	6z	60	0
320	30	40	0
321	58	58	1
322	29	z9	0
323	5i	6i	0
324	7z	7z	1
325	16	i6	0
326	83	85	0
327	5i	3i	0
328	ii	ii	1
329	T	L	0
330	94	04	0
331	58	58	1
332	3i	3i	1
333	15	i5	0
334	66	8i	0
335	N	N	1
336	70	40	0
337	88	88	1
338	37	37	1
339	55	55	1
340	W	W	1
341	28	48	0
342	30	30	1
343	55	55	1
344	10	i0	0
345	9i	6i	0
346	30	30	1
347	78	78	1
348	39	39	1
349	5i	3i	0
350	29	z9	0
351	37	37	1
352	V	Y	0
353	99	99	1
354	ii	ii	1
355		73	0
356	13	2	0
357	M	63	0
358	8z	2d3	0
359	39	9z239	0
360	zz	zz	1
361		i3	0
362	73	73	1
363	i	j	0
364	78	i78	0
365	G	9	0
366	74	44	0
367	ii	ii	1
368	43	4z	0
369	83	83	1
370	ii	ii	1
371	A	ft	0
372	40	40	1
373	88	88	1
374	37	37	1
375	16	i6	0
376	30	36	0
377	38	38	1
378	51	5i	0
379	73	4z	0
380	16	i6	0
381	30	30	1
382	ii	ii	1
383	O	z	0
384	60	60	1
385		i6	0
386	16	zz	0
387	z6	36	0
388	37	37	1
389	6i	6i	1
390	30	30	1
391	z7	zz	0
392	78	98	0
393	83	83	1
394	67	67	1
395	70	70	1
396	zz	zz	1
397		84	0
398	87	i3	0
399	13	79	0
400	7997	97	0
401	z5	z3	0
402	35	35	1
403	z5	z5	1
404	37	3z	0
405	79	79	1
406	30	30	1
407	tt		0
408	T	4i	0
409	7i	7i	1
410	ii	ii	1
411	6i	6i	1
412	A	H	0
413	90	90	1
414	V	y	0
415	60	60	1
416	84	84	1
417	7z	7z	1
418	16	z6	0
419	1z	4z	0
420	39	39	1
421	31	3i	0
422	X	X	1
423	03	95	0
424	15	49	0
425	T	T	1
426	84	84	1
427	68	68	1
428	35	35	1
429	z6	40	0
430	58	58	1
431	97	97	1
432	68	68	1
433	79	79	1
434	7z	7z	1
435	16		0
436	73	i6	0
437	78	4z	0
438	8	48	0
439	9z	8z	0
440	6i	i	0
441	zz	zz	1
442		q	0
443	4ud	i	0
444	55	55	1
445	78	78	1
446	8z	8z	1
447	11	ii	0
448	z5	25	0
449	31	3i	0
450	11	ii	0
451	60	60	1
452	40	i8	0
453	71	7i	0
454	76	76	1
455	79	79	1
456	9z	9z	1
457	89	85	0
458	T	Z	0
459	5i	6i	0
460	83	83	1
461	68	68	1
462	C	G	0
463	44	44	1
464	91	9i	0
465	16	ib	0
466	z	Z	0
467	5i	6i	0
468	99	99	1
469	60	60	1
470	4	Vin	0
471	500	98	0
472	0z	93	0
473	0z	8z	0
474	z8	8z78	0
475	55	55	1
476	44	44	1
477	87	67	0
478	36	36	1
479	ii	ii	1
480	C	q	0
481	88	99	0
482	5i	6i	0
483	zz	zz	1
484	L	L	1
485	z73	273	0
486	Zoo	z00	0
487	68	68	1
488	73	73	1
489	31	3i	0
490	73	73	1
491		3	0
492	z5	26	0
493	37	37	1
494	5i		0
495	zz		0
496	z7		0
497	36		0
498	z958		0
499	35		0
500	83		0
501	7z		0
502	ii		0
503	16		0
504	30		0
505	z8		0
506	76		0
507	45		0
508	i686		0
509	88		0
510	36		0
511	60		0
512	98		0
513	6i	6i	1
514	303z	zz	0
