line	pos	sign	conf
57_L01	9	X	H
57_L01	10	7	H
57_L01	11	Z	H
57_L01	12	G1	M
57_L01	13	6	H
57_L01	14	G6	M
57_L01	15	4	H
57_L01	16	5	H
57_L01	17	5	H
57_L01	18	G2	M
57_L01	19	4	H
57_L01	20	5	H
57_L01	21	X	H
57_L01	22	1	H
57_L01	23	V	H
57_L01	24	G1	M
57_L01	25	V	H
57_L01	26	3	H
57_L01	27	X	H
57_L01	28	X	H
57_L01	29	1	H
57_L01	30	7	H
57_L01	31	X	H
57_L01	32	X	H
57_L01	33	G1	M
57_L01	34	6	H
57_L01	35	6	H
57_L01	36	1	H
57_L01	37	7	H
57_L01	38	OQ	M
57_L01	39	E	H
57_L01	40	DOT	H
57_L01	41	7	H
57_L01	42	G6	M
57_L01	43	G1	M
57_L01	44	G1	M
53_L12	1	0	H
53_L12	2	X	H
53_L12	3	1	H
53_L12	4	G2	M
53_L12	5	2	H
53_L12	6	1	H
53_L12	7	V	H
53_L12	8	G6	M
53_L12	9	V	H
53_L12	10	X	H
53_L12	11	0	H
53_L12	12	7	H
53_L12	13	7	H
53_L12	14	X	H
53_L12	15	1	H
53_L12	16	2	H
53_L12	17	1	H
53_L12	18	V	H
53_L12	19	G3	M
53_L12	20	G2	M
53_L12	21	SG	M
53_L12	22	1	H
53_L12	23	5	H
53_L12	24	S	H
53_L12	25	F	M
53_L12	26	X	H
53_L12	27	4	H
53_L12	28	G3	M
53_L11	1	X	H
53_L11	2	1	H
53_L11	3	X	H
53_L11	4	5	H
53_L11	5	G6	M
53_L11	6	G1	M
53_L11	7	5	H
53_L11	8	X	H
53_L11	9	0	H
53_L11	10	V	H
53_L11	11	1	H
53_L11	12	X	H
53_L11	13	4	H
53_L11	14	SG	M
53_L11	15	S	H
53_L11	16	3	H
53_L11	17	7	H
53_L11	18	3	H
53_L11	19	V	H
53_L11	20	V	H
53_L11	21	3	H
53_L11	22	F	M
53_L11	23	X	H
53_L11	24	X	H
53_L11	25	2	H
53_L11	26	1	H
53_L11	27	V	H
53_L10	1	G1	M
53_L10	2	G2	M
53_L10	3	8	M
53_L10	4	8	M
53_L10	5	DOT	H
53_L10	6	1	H
53_L10	7	DOT	H
53_L10	8	2	H
53_L10	9	1	H
53_L10	10	V	H
53_L10	11	DOT	H
53_L10	12	G3	M
53_L10	13	1	H
53_L10	14	V	H
53_L10	15	X	H
53_L10	16	Z	H
53_L10	17	G2	M
53_L10	18	0	H
53_L10	19	7	H
53_L10	20	G2	M
53_L10	21	S	H
53_L10	22	DOT	H
53_L10	23	7	H
53_L10	24	3	H
53_L10	25	5	H
53_L10	26	2	H
53_L10	27	G1	M
53_L10	28	G1	M
53_L10	29	9	H
53_L10	30	1	H
53_L10	31	5	H
53_L09	1	G1	M
53_L09	2	5	H
53_L09	3	DOT	H
53_L09	4	0	H
53_L09	5	1	H
53_L09	6	T	H
53_L09	7	1	H
53_L09	8	X	H
53_L09	9	5	H
53_L09	10	0	H
53_L09	11	1	H
53_L09	12	COL	H
53_L09	13	G1	M
53_L09	14	4	H
53_L09	15	G3	M
53_L09	16	V	H
53_L09	17	1	H
53_L09	18	X	H
53_L09	19	COL	H
53_L09	20	X	H
53_L09	21	G1	M
53_L09	22	X	H
53_L09	23	G4	M
53_L09	24	1	H
53_L09	25	V	H
53_L08	1	4	H
53_L08	2	DOT	H
53_L08	3	7	H
53_L08	4	7	H
53_L08	5	V	H
53_L08	6	1	H
53_L08	7	0	H
53_L08	8	X	H
53_L08	9	1	H
53_L08	10	V	H
53_L08	11	1	H
53_L08	12	5	H
53_L08	13	DOT	M
53_L08	14	G6	M
53_L08	15	G3	M
53_L08	16	G2	M
53_L08	17	F	M
53_L08	18	1	H
53_L08	19	5	H
53_L08	20	G1	M
53_L08	21	G1	M
53_L08	22	SG	M
53_L08	23	SG	M
53_L08	24	1	H
53_L08	25	5	H
53_L08	26	DOT	H
53_L07	1	2	H
53_L07	2	X	H
53_L07	3	1	H
53_L07	4	G1	M
53_L07	5	G1	M
53_L07	6	1	H
53_L07	7	SG	M
53_L07	8	3	H
53_L07	9	5	H
53_L07	10	2	H
53_L07	11	1	H
53_L07	12	DOT	H
53_L07	13	Z	H
53_L07	14	7	H
53_L07	15	7	H
53_L07	16	V	H
53_L07	17	1	H
53_L07	18	0	H
53_L07	19	X	H
53_L07	20	1	H
53_L07	21	V	H
53_L07	22	1	H
53_L07	23	5	H
53_L07	24	SG	M
53_L06	1	1	H
53_L06	2	SG	M
53_L06	3	X	H
53_L06	4	4	H
53_L06	5	SG	M
53_L06	6	7	H
53_L06	7	1	H
53_L06	8	V	H
53_L06	9	F	M
53_L06	10	3	H
53_L06	11	SG	M
53_L06	12	6	H
53_L06	13	1	H
53_L06	14	X	H
53_L06	15	DOT	H
53_L06	16	7	H
53_L06	17	7	H
53_L06	18	1	H
53_L06	19	V	H
53_L06	20	2	H
53_L06	21	1	H
53_L06	22	5	H
53_L06	23	DOT	H
53_L06	24	7	H
53_L06	25	S	H
53_L06	26	2	H
53_L06	27	DOT	H
53_L06	28	SG	M
53_L06	29	X	H
53_L06	30	1	H
53_L06	31	X	H
53_L06	32	7	H
53_L06	33	SG	M
53_L06	34	1	H
53_L06	35	V	H
53_L05	1	G1	M
53_L05	2	1	H
53_L05	3	X	H
53_L05	4	5	H
53_L05	5	1	H
53_L05	6	G1	M
53_L05	7	G3	M
53_L05	8	1	H
53_L05	9	V	H
53_L05	10	5	H
53_L05	11	7	H
53_L05	12	3	H
53_L05	13	X	H
53_L05	14	X	H
53_L05	15	1	H
53_L05	16	V	H
53_L05	17	G1	M
53_L05	18	G1	M
53_L05	19	4	H
53_L05	20	G3	M
53_L05	21	7	H
53_L05	22	7	H
53_L05	23	1	H
53_L05	24	G1	M
53_L05	25	X	H
53_L05	26	1	H
53_L05	27	V	H
53_L04	1	2	H
53_L04	2	5	H
53_L04	3	5	H
53_L04	4	DOT	H
53_L04	5	2	H
53_L04	6	3	H
53_L04	7	G1	M
53_L04	8	DOT	H
53_L04	9	2	H
53_L04	10	1	H
53_L04	11	7	H
53_L04	12	G4	M
53_L04	13	V	H
53_L04	14	X	H
53_L04	15	5	H
53_L04	16	X	H
53_L04	17	Z	H
53_L04	18	1	H
53_L04	19	S	H
53_L04	20	Z	H
53_L04	21	7	H
53_L04	22	G3	M
53_L04	23	X	H
53_L04	24	G1	M
53_L04	25	G4	M
53_L04	26	3	H
53_L04	27	5	H
53_L04	28	X	H
53_L04	29	1	H
53_L04	30	5	H
53_L03	1	G1	M
53_L03	2	5	H
53_L03	3	DOT	H
53_L03	4	G1	M
53_L03	5	4	H
53_L03	6	G3	M
53_L03	7	X	H
53_L03	8	DOT	H
53_L03	9	Z	H
53_L03	10	7	H
53_L03	11	8	H
53_L03	12	1	H
53_L03	13	V	H
53_L03	14	Z	H
53_L03	15	7	H
53_L03	16	G1	M
53_L03	17	4	H
53_L03	18	G3	M
53_L03	19	V	H
53_L03	20	1	H
53_L03	21	X	H
53_L03	22	8	H
53_L03	23	1	H
53_L03	24	5	H
53_L02	1	F	M
53_L02	2	3	H
53_L02	3	SG	M
53_L02	4	G1	M
53_L02	5	S	H
53_L02	6	DOT	H
53_L02	7	X	H
53_L02	8	4	H
53_L02	9	SG	M
53_L02	10	X	H
53_L02	11	G6	M
53_L02	12	Z	H
53_L02	13	7	H
53_L02	14	9	H
53_L02	15	8	H
53_L02	16	1	H
53_L02	17	X	H
53_L02	18	7	H
53_L02	19	SG	M
53_L01	1	5	H
53_L01	2	1	H
53_L01	3	X	H
53_L01	4	7	H
53_L01	5	7	H
53_L01	6	1	H
53_L01	7	V	H
53_L01	8	DOT	H
53_L01	9	Z	H
53_L01	10	1	H
53_L01	11	X	H
53_L01	12	X	H
53_L01	13	X	H
53_L01	14	7	H
53_L01	15	5	H
53_L01	16	0	H
53_L01	17	DOT	H
53_L01	18	G3	M
53_L01	19	3	H
53_L01	20	8	H
53_L01	21	DOT	H
53_L01	22	X	H
53_L01	23	4	H
53_L01	24	G4	M
53_L01	25	X	H
53_L01	26	X	H
53_L01	27	Z	H
