line	pos	sign	conf	why
53_L04	1	G7	M	agree-flagged
53_L04	2	1	H	agree
53_L04	3	X	H	agree
53_L04	4	5	H	agree
53_L04	5	1	H	agree
53_L04	6	G1	M	agree-flagged
53_L04	7	G3	M	agree-flagged
53_L04	8	1	H	agree
53_L04	9	V	M	agree-flagged
53_L04	10	5	H	agree
53_L04	11	7	H	agree
53_L04	12	3	H	agree
53_L04	13	Xk	M	agree-flagged
53_L04	14	Xk	M	agree-flagged
53_L04	15	1	H	agree
53_L04	16	V	M	agree-flagged
53_L04	17	G7	M	agree-flagged
53_L04	18	G7	M	differ
53_L04	19	4	H	agree
53_L04	20	G3	M	agree-flagged
53_L04	21	7	H	agree
53_L04	22	7	H	agree
53_L04	23	1	H	agree
53_L04	24	G1	M	agree-flagged
53_L04	25	Xk	M	agree-flagged
53_L04	26	1	H	agree
53_L04	27	V	M	agree-flagged
53_L05	1	1	H	agree
53_L05	2	G3	M	agree-flagged
53_L05	3	SG	M	differ
53_L05	4	X	H	agree
53_L05	5	4	H	agree
53_L05	6	G3	M	agree-flagged
53_L05	7	7	H	agree
53_L05	8	1	H	agree
53_L05	9	V	M	agree-flagged
53_L05	10	F	M	agree-flagged
53_L05	11	3	H	agree
53_L05	12	G3	M	agree-flagged
53_L05	13	SG	M	differ
53_L05	14	1	H	agree
53_L05	15	Xk	M	agree-flagged
53_L05	16	DOT	M	agree-flagged
53_L05	17	7	H	agree
53_L05	18	7	H	agree
53_L05	19	1	H	agree
53_L05	20	V	M	agree-flagged
53_L05	21	2	H	agree
53_L05	22	1	H	agree
53_L05	23	5	H	agree
53_L05	24	DOT	M	agree-flagged
53_L05	25	7	H	agree
53_L05	26	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L05	27	2	H	agree
53_L05	28	DOT	M	agree-flagged
53_L05	29	G3	M	agree-flagged
53_L05	30	X	H	agree
53_L05	31	1	H	agree
53_L05	32	V	M	agree-flagged
53_L05	33	7	H	agree
53_L05	34	8	H	agree
53_L05	35	1	H	agree
53_L05	36	V	M	agree-flagged
53_L06	1	2	H	agree
53_L06	2	X	H	agree
53_L06	3	1	H	agree
53_L06	4	G7	M	differ
53_L06	5	G7	M	differ
53_L06	6	1	H	agree
53_L06	7	SG	M	agree-flagged
53_L06	8	3	H	agree
53_L06	9	5	H	agree
53_L06	10	2	H	agree
53_L06	11	1	H	agree
53_L06	12	DOT	M	agree-flagged
53_L06	13	Z	M	agree-flagged
53_L06	14	DOT	M	gap
53_L06	15	7	H	agree
53_L06	16	7	H	agree
53_L06	17	V	M	agree-flagged
53_L06	18	1	H	agree
53_L06	19	0	H	agree
53_L06	20	X	H	agree
53_L06	21	1	H	agree
53_L06	22	V	M	agree-flagged
53_L06	23	1	H	agree
53_L06	24	5	H	agree
53_L06	25	DOT	M	agree-flagged
53_L06	26	G6	M	E-coded epsilon = G6
53_L06	27	G3	M	agree-flagged
53_L06	28	G2	M	agree-flagged
53_L06	29	F	M	agree-flagged
53_L06	30	1	H	agree
53_L06	31	5	H	agree
53_L06	32	G7	M	agree-flagged
53_L06	33	G2	M	agree-flagged
53_L06	34	SG	M	agree-flagged
53_L06	35	SG	M	agree-flagged
53_L06	36	1	H	agree
53_L06	37	5	H	agree
53_L06	38	DOT	M	agree-flagged
53_L07	1	7	H	agree
53_L07	2	5	H	agree
53_L07	3	2	H	agree
53_L07	4	DOT	M	agree-flagged
53_L07	5	2	H	agree
53_L07	6	3	H	agree
53_L07	7	5	H	agree
53_L07	8	1	H	agree
53_L07	9	X	H	agree
53_L07	10	5	H	agree
53_L07	11	DOT	M	agree-flagged
53_L07	12	0	H	agree
53_L07	13	1	H	agree
53_L07	14	F	M	agree-flagged
53_L07	15	1	H	agree
53_L07	16	X	H	agree
53_L07	17	5	H	agree
53_L07	18	0	H	agree
53_L07	19	1	H	agree
53_L07	20	COL	M	agree-flagged
53_L07	21	G1	M	agree-flagged
53_L07	22	4	H	agree
53_L07	23	G3	M	agree-flagged
53_L07	24	V	M	agree-flagged
53_L07	25	1	H	agree
53_L07	26	Xk	M	agree-flagged
53_L07	27	COL	M	agree-flagged
53_L07	28	X	H	agree
53_L07	29	G1	M	agree-flagged
53_L07	30	Xk	M	agree-flagged
53_L07	31	1	H	agree
53_L07	32	G1	M	agree-flagged
53_L08	1	7	H	agree
53_L08	2	7	H	agree
53_L08	3	G2	M	agree-flagged
53_L08	4	SG	M	differ
53_L08	5	SG	M	agree-flagged
53_L08	6	1	M	agree-flagged
53_L08	7	DOT	M	agree-flagged
53_L08	8	2	H	agree
53_L08	9	1	H	agree
53_L08	10	V	M	agree-flagged
53_L08	11	DOT	M	agree-flagged
53_L08	12	G3	M	agree-flagged
53_L08	13	1	H	agree
53_L08	14	V	M	agree-flagged
53_L08	15	Xk	M	agree-flagged
53_L08	16	Z	M	agree-flagged
53_L08	17	G2	M	agree-flagged
53_L08	18	0	H	agree
53_L08	19	7	H	agree
53_L08	20	G2	M	agree-flagged
53_L08	21	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L08	22	DOT	M	agree-flagged
53_L08	23	7	H	agree
53_L08	24	3	H	agree
53_L08	25	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L08	26	2	H	agree
53_L08	27	G2	M	agree-flagged; triangle carries two dots (diaeresis)
53_L08	28	G7	M	agree-flagged
53_L08	29	F	H	settled: image: long-s with bar (A); B missed it
53_L08	30	1	H	agree
53_L08	31	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L09	1	G1	M	differ
53_L09	2	1	H	agree
53_L09	3	X	H	agree
53_L09	4	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L09	5	G6	M	agree-flagged
53_L09	6	G2	M	agree-flagged
53_L09	7	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L09	8	X	H	agree
53_L09	9	0	H	agree
53_L09	10	V	M	agree-flagged
53_L09	11	1	H	agree
53_L09	12	X	H	agree
53_L09	13	4	H	agree
53_L09	14	G3	M	agree-flagged
53_L09	15	DOT	M	agree-flagged
53_L09	16	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L09	17	3	H	agree
53_L09	18	7	H	agree
53_L09	19	3	H	agree
53_L09	20	V	M	settled: image: V under an ink blot; M
53_L09	21	V	M	agree-flagged
53_L09	22	3	H	agree
53_L09	23	F	M	agree-flagged
53_L09	24	X	H	settled: image: X before the barred X (A)
53_L09	25	Xk	M	agree-flagged
53_L09	26	2	H	agree
53_L09	27	1	H	agree
53_L09	28	V	M	agree-flagged
53_L10	1	0	H	agree
53_L10	2	7	H	agree
53_L10	3	Xk	M	agree-flagged
53_L10	4	1	H	agree
53_L10	5	G2	M	agree-flagged
53_L10	6	2	H	agree
53_L10	7	1	H	agree
53_L10	8	V	M	agree-flagged
53_L10	9	G6	M	agree-flagged
53_L10	10	V	M	agree-flagged
53_L10	11	X	H	agree
53_L10	12	0	H	agree
53_L10	13	7	H	agree
53_L10	14	7	H	agree
53_L10	15	X	H	agree
53_L10	16	1	H	agree
53_L10	17	2	H	agree
53_L10	18	1	H	agree
53_L10	19	V	M	agree-flagged
53_L10	20	G3	H	settled: image: w-loop (B); A NEW1
53_L10	21	G2	M	agree-flagged
53_L10	22	SG	M	differ
53_L10	23	1	H	agree
53_L10	24	5	M	S and 5 are one glyph in this hand (checked L01 pos 1, L09); passes split them
53_L10	25	F	M	agree-flagged
53_L10	26	V	M	differ
53_L10	27	4	H	agree
53_L10	28	G3	M	agree-flagged
53p2_L01	1	2	H	F1 single reading, f.266v 100dpi
53p2_L01	2	7	H	F1 single reading, f.266v 100dpi
53p2_L01	3	5	H	F1 single reading, f.266v 100dpi
53p2_L01	4	4	H	F1 single reading, f.266v 100dpi
53p2_L01	5	G6	H	F1 single reading, f.266v 100dpi
53p2_L01	6	DOT	H	F1 single reading, f.266v 100dpi
53p2_L01	7	3	H	F1 single reading, f.266v 100dpi
53p2_L01	8	8	H	F1 single reading, f.266v 100dpi
53p2_L01	9	1	H	F1 single reading, f.266v 100dpi
53p2_L01	10	V	H	F1 single reading, f.266v 100dpi
53p2_L01	11	DOT	H	F1 single reading, f.266v 100dpi
53p2_L01	12	2	H	F1 single reading, f.266v 100dpi
53p2_L01	13	X	H	F1 single reading, f.266v 100dpi
53p2_L01	14	1	H	F1 single reading, f.266v 100dpi
53p2_L01	15	7	H	F1 single reading, f.266v 100dpi
53p2_L01	16	7	H	F1 single reading, f.266v 100dpi
53p2_L01	17	1	H	F1 single reading, f.266v 100dpi
53p2_L01	18	X	H	F1 single reading, f.266v 100dpi
53p2_L01	19	SG	M	F1 single reading, f.266v 100dpi; sigma loop after X, read as SG
53p2_L01	20	2	H	F1 single reading, f.266v 100dpi
53p2_L01	21	1	H	F1 single reading, f.266v 100dpi
53p2_L01	22	V	H	F1 single reading, f.266v 100dpi
53p2_L01	23	G6	H	F1 single reading, f.266v 100dpi
53p2_L01	24	G2	H	F1 single reading, f.266v 100dpi
53p2_L01	25	5	H	F1 single reading, f.266v 100dpi
53p2_L01	26	5	H	F1 single reading, f.266v 100dpi
53p2_L01	27	X	H	F1 single reading, f.266v 100dpi
53p2_L01	28	0	H	F1 single reading, f.266v 100dpi
53p2_L01	29	Z	M	F1 single reading, f.266v 100dpi; Z with a bar (Ʒ), read as Z
53p2_L01	30	7	H	F1 single reading, f.266v 100dpi
53p2_L01	31	9	M	F1 single reading, f.266v 100dpi; sign 9, not in key_53
53p2_L01	32	V	H	F1 single reading, f.266v 100dpi
53p2_L01	33	3	H	F1 single reading, f.266v 100dpi
53p2_L01	34	5	H	F1 single reading, f.266v 100dpi
53p2_L01	35	4	H	F1 single reading, f.266v 100dpi
53p2_L01	36	G6	H	F1 single reading, f.266v 100dpi
53p2_L02	1	V	H	F1 single reading, f.266v 100dpi
53p2_L02	2	1	H	F1 single reading, f.266v 100dpi
53p2_L02	3	X	H	F1 single reading, f.266v 100dpi
53p2_L02	4	4	H	F1 single reading, f.266v 100dpi
53p2_L02	5	G3	H	F1 single reading, f.266v 100dpi
53p2_L02	6	DOT	H	F1 single reading, f.266v 100dpi
53p2_L02	7	5	H	F1 single reading, f.266v 100dpi
53p2_L02	8	G2	H	F1 single reading, f.266v 100dpi
53p2_L02	9	4	H	F1 single reading, f.266v 100dpi
53p2_L02	10	G3	H	F1 single reading, f.266v 100dpi
53p2_L02	11	G7	M	F1 single reading, f.266v 100dpi; lambda-like, G7 or X
53p2_L02	12	G2	H	F1 single reading, f.266v 100dpi
53p2_L02	13	X	M	F1 single reading, f.266v 100dpi; X with a dot above
53p2_L02	14	7	H	F1 single reading, f.266v 100dpi
53p2_L02	15	5	H	F1 single reading, f.266v 100dpi
53p2_L02	16	0	H	F1 single reading, f.266v 100dpi
53p2_L02	17	X	H	F1 single reading, f.266v 100dpi
53p2_L02	18	G1	H	F1 single reading, f.266v 100dpi
53p2_L02	19	Xk	H	F1 single reading, f.266v 100dpi
53p2_L02	20	1	H	F1 single reading, f.266v 100dpi
53p2_L02	21	G1	H	F1 single reading, f.266v 100dpi
53p2_L02	22	7	H	F1 single reading, f.266v 100dpi
53p2_L02	23	7	H	F1 single reading, f.266v 100dpi
53p2_L02	24	1	H	F1 single reading, f.266v 100dpi
53p2_L02	25	V	H	F1 single reading, f.266v 100dpi
53p2_L02	26	2	H	F1 single reading, f.266v 100dpi
53p2_L02	27	1	M	F1 single reading, f.266v 100dpi; upright stroke overwritten/blotted, read as 1
53p2_L02	28	G6	H	F1 single reading, f.266v 100dpi
53p2_L02	29	1	H	F1 single reading, f.266v 100dpi
53p2_L02	30	X	H	F1 single reading, f.266v 100dpi
53p2_L02	31	5	H	F1 single reading, f.266v 100dpi
53p2_L02	32	1	H	F1 single reading, f.266v 100dpi
53p2_L02	33	5	H	F1 single reading, f.266v 100dpi
53p2_L03	1	9	M	F1 single reading, f.266v 100dpi; sign 9, not in key_53
53p2_L03	2	7	H	F1 single reading, f.266v 100dpi
53p2_L03	3	V	H	F1 single reading, f.266v 100dpi
53p2_L03	4	0	H	F1 single reading, f.266v 100dpi
53p2_L03	5	3	H	F1 single reading, f.266v 100dpi
53p2_L03	6	5	H	F1 single reading, f.266v 100dpi
53p2_L03	7	0	H	F1 single reading, f.266v 100dpi
53p2_L03	8	0	H	F1 single reading, f.266v 100dpi
53p2_L03	9	1	H	F1 single reading, f.266v 100dpi
53p2_L03	10	7	H	F1 single reading, f.266v 100dpi
53p2_L03	11	7	H	F1 single reading, f.266v 100dpi
53p2_L03	12	X	H	F1 single reading, f.266v 100dpi
53p2_L03	13	5	H	F1 single reading, f.266v 100dpi
53p2_L03	14	5	H	F1 single reading, f.266v 100dpi
53p2_L03	15	1	H	F1 single reading, f.266v 100dpi
53p2_L03	16	5	H	F1 single reading, f.266v 100dpi
53p2_L03	17	DOT	H	F1 single reading, f.266v 100dpi
