page	line	idx	word	sign	unit
p3	7	25	5	G6	i
p3	7	26	5	1	e
p3	7	27	5	Z	d
p3	7	28	5	1	e
p3	7	29	5	V	r
p3	7	30	6	3	a
p3	7	31	6	7	n
p3	7	32	6	0	g
p3	7	33	6	1	e
p3	7	34	6	7	n
p3	7	35	6	G2	o
p3	7	36	6	G3	m
p3	7	37	6	G3	m
p3	7	38	6	1	e
p3	7	39	6	7	n
p3	7	40	7	Z	d
p3	7	41	7	1?	e
p3	7	42	7	V	r
p3	8	1	1	HZG	Hertzog
p3	8	2	2	ZZ	zu
p3	8	3	3	BAY	Beyern
p3	8	4	4	5	h
p3	8	5	4	3	a
p3	8	6	4	G1	t
p3	8	7	5	T	s
p3	8	8	5	1	e
p3	8	9	5	G6	i
p3	8	10	5	7	n
p3	8	11	5	X	v
p3	8	12	5	G2	o
p3	8	13	5	6	l
p3	8	14	5	4	c
p3	8	15	5	Xk	k
p3	8	16	6	T	s
p3	8	17	6	G2	o
p3	8	18	7	Z	d
p3	8	19	7	1	e
p3	8	20	7	G3	m
p3	8	21	8	VmV	König
p3	8	22	9	ZZ	zu
p3	8	23	10	Wm	Frankreich
p3	8	24	11	ZZ	zu
p3	8	25	12	5	h
p3	8	26	12	X	u
p3	8	27	12	6	l
p3	8	28	12	9	f
p3	8	29	12	9	f
p3	9	1	1	Xk	k
p3	9	2	1	S	h
p3	9	3	1	G2	o
p3	9	4	1	G3	m
p3	9	5	1	G3	m
p3	9	6	1	1	e
p3	9	7	1	7	n
p3	9	8	2	T	s
p3	9	9	2	G2	o
p3	9	10	2	6	l
p3	9	11	2	6	l
p3	9	12	3	3	a
p3	9	13	3	X	u
p3	9	14	3	4	c
p3	9	15	3	5	h
p3	9	16	4	9	f
p3	9	17	4	1	e
p3	9	18	4	V	r
p3	9	19	4	G1	t
p3	9	20	4	G6	i
p3	9	21	4	0	g
p3	9	22	5	XX	w
p3	9	23	5	G6	i
p3	9	24	5	V	r
p3	9	25	6	3	a
p3	9	26	6	8	b
p3	9	27	6	1	e
p3	9	28	6	V	r
p3	9	29	7	G6	i
p3	9	30	7	7	n
p3	9	31	8	Z	d
p3	9	32	8	G6	i
p3	9	33	8	1	e
p3	9	34	8	G4	s
p3	9	35	8	1	e
p3	9	36	8	7	n
p3	9	37	9	NL	Niderland
p3	9	38	9	1	e
p3	9	39	9	7	n
p3	10	1	1	T	s
p3	10	2	1	1	e
p3	10	3	1	G6	i
p3	10	4	1	7	n
p3	10	5	1	G1	t
p3	10	6	2	T?	n
p3	10	7	2	G2	o
p3	10	8	2	4	c
p3	10	9	2	S	h
p3	10	10	3	J	st
p3	10	11	3	G6	i
p3	10	12	3	6	l
p3	10	13	4	XX	w
p3	10	14	4	G6	i
p3	10	15	4	V	r
p3	10	16	5	0	g
p3	10	17	5	6	l
p3	10	18	5	1	e
p3	10	19	5	G6	i
p3	10	20	5	4	c
p3	10	21	5	S	h
p3	10	22	5	XX	w
p3	10	23	5	G2	o
p3	10	24	5	6	l
p3	10	25	6	1	e
p3	10	26	6	V	r
p3	10	27	7	T	s
p3	10	28	7	X	u
p3	10	29	7	4	c
p3	10	30	7	S	h
p3	10	31	7	G1	t
p3	10	32	8	XX	w
p3	10	33	8	G2	o
p3	10	34	8	V	r
p3	10	35	8	Z	d
p3	10	36	8	1	e
p3	10	37	8	7	n
p3	11	1	1	Z	d
p3	11	2	1	1	e
p3	11	3	1	G3	m
p3	11	4	2	VmV	König
p3	11	5	3	ZZ	zu
p3	11	6	4	Wm	Frankreich
p3	11	7	5	8	b
p3	11	8	5	1	e
p3	11	9	5	G6	i
p3	11	10	5	J	st
p3	11	11	5	3	a
p3	11	12	5	7	n
p3	11	13	5	Z	d
p3	11	14	5	G1	t
p3	11	15	6	ZZ	zu
p3	11	16	7	G1	t
p3	11	17	7	5	h
p3	11	18	7	X	u
p3	11	19	7	7	n
p3	11	20	8	5	h
p3	11	21	8	3	a
p3	11	22	8	8	b
p3	11	23	8	1	e
p3	11	24	8	7	n
p3	11	25	8	T	s
p3	11	26	9	3	a
p3	11	27	9	8	b
p3	11	28	9	1	e
p3	11	29	9	V	r
p3	11	30	10	G3	m
p3	11	31	10	G6	i
p3	11	32	10	G1	t
p3	12	1	1	0	g
p3	12	2	1	6	l
p3	12	3	1	G6	i
p3	12	4	1	G3	m
p3	12	5	1	9	f
p3	12	6	1	9	f
p3	12	7	2	3	a
p3	12	8	2	8	b
p3	12	9	2	0	g
p3	12	10	2	1	e
p3	12	11	2	TL	sch
p3	12	12	2	6	l
p3	12	13	2	3	a
p3	12	14	2	0	g
p3	12	15	2	1	e
p3	12	16	2	7	n
p3	12	17	3	X	u
p3	12	18	3	7	n
p3	12	19	3	Z	d
p3	12	20	3	G1	t
p3	12	21	4	G3	m
p3	12	22	4	G2	o
p3	12	23	4	4	c
p3	12	24	4	5	h
p3	12	25	4	G1	t
p3	12	26	4	1	e
p3	12	27	4	7	n
p3	12	28	5	XX	w
p3	12	29	5	G2	o
p3	12	30	5	6	l
p3	12	31	5	6	l
p3	12	32	6	6	l
p3	12	33	6	G6	i
p3	12	34	6	1	e
p3	12	35	6	Z	d
p3	12	36	6	1	e
p3	12	37	6	7	n
p3	13	1	1	Z	d
p3	13	2	1	3	a
p3	13	3	1	T	s
p3	13	4	2	X	u
p3	13	5	2	7	n
p3	13	6	2	T	s
p3	13	7	2	1	e
p3	13	8	2	V	r
p3	13	9	3	VmV	König
p3	13	10	4	G6	i
p3	13	11	4	7	n
p3	13	12	5	HISP	Hispanien
p3	13	13	6	Z	d
p3	13	14	6	1	e
p3	13	15	6	V	r
p3	13	16	6	0	g
p3	13	17	6	6	l
p3	13	18	6	G6	i
p3	13	19	6	4	c
p3	13	20	6	S	h
p3	13	21	6	1	e
p3	13	22	6	7	n
p3	13	23	7	3	a
p3	13	24	7	X	u
p3	13	25	7	4	c
p3	13	26	7	5	h
p3	13	27	8	G1	t
p3	13	28	8	S	h
p3	13	29	8	1	e
p3	13	30	8	G1	t
p3	13	31	8	1	e
p3	13	32	9	XX	w
p3	13	33	9	G6	i
p3	13	34	9	V	r
p3	14	1	1	Xk	k
p3	14	2	1	S	h
p3	14	3	1	G2	o
p3	14	4	1	7	n
p3	14	5	1	7	n
p3	14	6	1	1	e
p3	14	7	1	7	n
p3	14	8	2	G6	i
p3	14	9	2	5	h
p3	14	10	2	7	n
p3	14	11	2	1	e
p3	14	12	2	7	n
p3	14	13	3	3	a
p3	14	14	3	8	b
p3	14	15	3	1	e
p3	14	16	3	V	r
p3	14	17	4	G6	i
p3	14	18	4	5	h
p3	14	19	4	1	e
p3	14	20	4	7	n
p3	14	21	5	T	s
p3	14	22	5	1	e
p3	14	23	5	G6	i
p3	14	24	5	G1	t
p3	14	25	6	Zb	z
p3	14	26	6	3	a
p3	14	27	6	5	h
p3	14	28	6	7	n
p3	14	29	7	T	s
p3	14	30	7	1	e
p3	14	31	7	G6	i
p3	14	32	7	7	n
p3	14	33	7	1	e
p3	14	34	7	G3	m
p3	14	35	8	X	v
p3	14	36	8	G2	o
p3	14	37	8	V	r
p3	14	38	8	S	h
p3	14	39	8	3	a
p3	14	40	8	8	b
p3	14	41	8	1	e
p3	14	42	8	7	n
p3	15	1	1	7	n
p3	15	2	1	G6	i
p3	15	3	1	G1	t
p3	15	4	1	G1	t
p3	15	5	2	X	v
p3	15	6	2	1	e
p3	15	7	2	V	r
p3	15	8	2	5	h
p3	15	9	2	G6	i
p3	15	10	2	7	n
p3	15	11	2	Z	d
p3	15	12	2	1	e
p3	15	13	2	V	r
p3	15	14	2	1	e
p3	15	15	2	7	n
p3	15	16	3	XX	w
p3	15	17	3	1	e
p3	15	18	3	6	l
p3	15	19	3	4	c
p3	15	20	3	5	h
p3	15	21	3	T	s
p3	15	22	4	3	a
p3	15	23	4	6	l
p3	15	24	4	6	l
p3	15	25	4	1	e
p3	15	26	4	T	s
p3	15	27	5	EL	E.L.
p3	15	28	6	8	b
p3	15	29	6	1	e
p3	15	30	6	G6	i
p3	15	31	7	T	s
p3	15	32	7	G6	i
p3	15	33	7	4	c
p3	15	34	7	5	h
p3	15	35	8	G6	i
p3	15	36	8	7	n
p3	16	1	1	0	g
p3	16	2	1	1	e
p3	16	3	1	S	h
p3	16	4	1	3	a
p3	16	5	1	G6	i
p3	16	6	1	G3	m
p3	16	7	1	8	b
p3	16	8	1	G1	t
p3	16	9	2	XX	w
p3	16	10	2	1	e
p3	16	11	2	V	r
p3	16	12	2	Z	d
p3	16	13	2	1	e
p3	16	14	2	7	n
p3	16	15	3	Zb	z
p3	16	16	3	8	b
p3	16	17	3	1	e
p3	16	18	3	5	h
p3	16	19	3	3	a
p3	16	20	3	6	l
p3	16	21	3	G1	t
p3	16	22	3	1	e
p3	16	23	3	7	n
p3	16	24	4	XX	w
p3	16	25	4	G6	i
p3	16	26	4	G4	s
p3	16	27	4	1	e
p3	16	28	4	7	n
p4	1	1	1	1	e
p4	1	2	1	T	s
p4	1	3	1	S	h
p4	1	4	1	3	a
p4	1	5	1	G1	t
p4	1	6	1	G1	t
p4	1	7	2	3	a
p4	1	8	2	X	u
p4	1	9	2	4	c
p4	1	10	2	5	h
p4	1	11	3	1	e
p4	1	12	3	G6	i
p4	1	13	3	7	n
p4	1	14	4	9	f
p4	1	15	4	V	r
p4	1	16	4	3	a
p4	1	17	4	7	n
p4	1	18	4	G1	t
p4	1	19	4	Zb	z
p4	1	20	4	G2	o
p4	1	21	4	T	s
p4	1	22	4	G6	i
p4	1	23	4	TL	sch
p4	1	24	4	1	e
p4	1	25	4	V	r
p4	1	26	5	S	h
p4	1	27	5	1	e
p4	1	28	5	V	r
p4	1	29	5	V	r
p4	1	30	6	0	g
p4	1	31	6	1	e
p4	1	32	6	7	n
p4	1	33	6	3	a
p4	1	34	6	7	n
p4	1	35	6	G1	t
p4	1	36	7	Z	d
p4	1	37	7	1	e
p4	1	38	7	V	r
p4	1	39	7	S	h
p4	1	40	7	1	e
p4	1	41	7	V	r
p4	1	42	7	X	v
p4	1	43	7	G2	o
p4	1	44	7	7	n
p4	2	1	1	G3	?
p4	2	2	1	3	?
p4	2	3	1	6	?
p4	2	4	1	6	?
p4	2	5	1	8	?
p4	2	6	1	G6	?
p4	2	7	1	7	?
p4	2	8	1	G6	?
p4	2	9	1	7	?
p4	2	10	2	Z	d
p4	2	11	2	1	e
p4	2	12	2	V	r
p4	2	13	3	VmV	König
p4	2	14	3	G6	i
p4	2	15	3	7	n
p4	2	16	4	ZZ	zu
p4	2	17	5	ENG	Engelland
p4	2	18	6	1	e
p4	2	19	6	G6	i
p4	2	20	6	7	n
p4	2	21	6	1	e
p4	2	22	6	7	n
p4	2	23	7	5	h
p4	2	24	7	3	a
p4	2	25	7	9	f
p4	2	26	7	1	e
p4	2	27	7	7	n
p4	2	28	8	0	g
p4	2	29	8	1	e
p4	2	30	8	7	n
p4	2	31	8	3	a
p4	2	32	8	7	n
p4	2	33	8	G1	t
p4	2	34	9	6	l
p4	2	35	9	3	a
p4	2	36	9	5	h
p4	2	37	9	3	a
p4	2	38	9	X	v
p4	2	39	9	1	e
p4	2	40	9	V	r
p4	2	41	10	Z	d
p4	2	42	10	1	e
p4	3	1	1	0	g
p4	3	2	1	V	r
p4	3	3	1	3	a
p4	3	4	1	T	s
p4	3	5	2	X	v
p4	3	6	2	1	e
p4	3	7	2	V	r
p4	3	8	2	Xk	k
p4	3	9	2	3	a
p4	3	10	2	X	u
p4	3	11	2	9	f
p4	3	12	2	9	f
p4	3	13	2	G1	t
p4	3	14	3	T	s
p4	3	15	3	G2	o
p4	3	16	3	6	l
p4	3	17	3	6	l
p4	3	18	4	T	s
p4	3	19	4	1	e
p4	3	20	4	S	h
p4	3	21	4	V	r
p4	3	22	5	J	st
p4	3	23	5	3	a
p4	3	24	5	V	r
p4	3	25	5	4	c
p4	3	26	5	Xk	k
p4	3	27	6	UND	und
p4	3	28	7	ENG	Engelland
p4	3	29	8	XX	w
p4	3	30	8	G2	o
p4	3	31	8	6	l
p4	3	32	8	6	l
p4	3	33	9	0	g
p4	3	34	9	1	e
p4	3	35	9	6	l
p4	3	36	9	1	e
p4	3	37	9	0	g
p4	3	38	9	1	e
p4	3	39	9	7	n
p4	3	40	10	T	s
p4	3	41	10	1	e
p4	3	42	10	G6	i
p4	3	43	10	7	n
p4	4	1	1	T	s
p4	4	2	1	G2	o
p4	4	3	1	S	h
p4	4	4	1	3	a
p4	4	5	1	G1	t
p4	4	6	1	G1	t
p4	4	7	2	3	a
p4	4	8	2	X	u
p4	4	9	2	4	c
p4	4	10	2	5	h
p4	4	11	3	Z	d
p4	4	12	3	G6	i
p4	4	13	3	1	e
p4	4	14	4	VmV	König
p4	4	15	4	G6	i
p4	4	16	4	7	n
p4	4	17	5	ZZ	zu
p4	4	18	6	ENG	Engelland
p4	4	19	7	G6	i
p4	4	20	7	1	e
p4	4	21	7	7	n
p4	4	22	8	3	a
p4	4	23	8	G3	m
p4	4	24	8	8	b
p4	4	25	8	3	a
p4	4	26	8	G4	s
p4	4	27	8	3	a
p4	4	28	8	Z	d
p4	4	29	8	1	e
p4	4	30	8	X	u
p4	4	31	8	V	r
p4	4	32	9	3	a
p4	4	33	9	X	u
p4	4	34	9	G4	s
p4	4	35	10	Wm	Frankreich
p4	5	1	1	XX	w
p4	5	2	1	G6	i
p4	5	3	1	1	e
p4	5	4	1	Z	d
p4	5	5	1	1	e
p4	5	6	1	V	r
p4	5	7	2	3	a
p4	5	8	2	8	b
p4	5	9	2	9	f
p4	5	10	2	X	u
p4	5	11	2	V	r
p4	5	12	2	Z	d
p4	5	13	2	1	e
p4	5	14	2	V	r
p4	5	15	2	7	n
p4	5	16	3	6	l
p4	5	17	3	3	a
p4	5	18	3	G4	s
p4	5	19	3	1	e
p4	5	20	3	7	n
p4	5	21	4	Z	d
p4	5	22	4	3	a
p4	5	23	4	T	s
p4	5	24	5	G3	m
p4	5	25	5	3	a
p4	5	26	5	7	n
p4	5	27	6	X	v
p4	5	28	6	1	e
p4	5	29	6	V	r
p4	5	30	6	G3	m
p4	5	31	6	X	u
p4	5	32	6	1	e
p4	5	33	6	Z	d
p4	5	34	6	G1	t
p4	5	35	7	T	s
p4	5	36	7	G6	i
p4	5	37	7	1	e
p4	5	38	8	XX	w
p4	5	39	8	1	e
p4	5	40	8	V	r
p4	5	41	8	Z	d
p4	5	42	8	1	e
p4	6	1	1	T	s
p4	6	2	1	G6	i
p4	6	3	1	4	c
p4	6	4	1	5	h
p4	6	5	2	XX	w
p4	6	6	2	G6	i
p4	6	7	2	1	e
p4	6	8	2	Z	d
p4	6	9	2	1	e
p4	6	10	2	V	r
p4	6	11	3	Z	d
p4	6	12	3	1	e
p4	6	13	3	7	n
p4	6	14	4	VmV	König
p4	6	15	5	UND	und
p4	6	16	6	Z	d
p4	6	17	6	1	e
p4	6	18	6	G3	m
p4	6	19	7	F	p
p4	6	20	7	V	r
p4	6	21	7	G6	i
p4	6	22	7	7	n
p4	6	23	7	G1	t
p4	6	24	7	Zb	z
p4	6	25	7	1	e
p4	6	26	7	7	n
p4	6	27	8	X	v
p4	6	28	8	G2	o
p4	6	29	8	7	n
p4	6	30	9	4	c
p4	6	31	9	G2	o
p4	6	32	9	7	n
p4	6	33	9	Z	d
p4	6	34	9	1	e
p4	6	35	10	ZZ	zu
p4	6	36	10	G3	m
p4	7	1	1	8	b
p4	7	2	1	1	e
p4	7	3	1	J	st
p4	7	4	1	1	e
p4	7	5	1	7	n
p4	7	6	2	G6	i
p4	7	7	2	7	n
p4	7	8	3	Z	d
p4	7	9	3	G6	i
p4	7	10	3	1	e
p4	7	11	3	G4	s
p4	7	12	3	1	e
p4	7	13	3	7	n
p4	7	14	4	6	l
p4	7	15	4	1	e
p4	7	16	4	X	u
p4	7	17	4	9	f
p4	7	18	4	9	f
p4	7	19	4	1	e
p4	7	20	4	7	n
p4	7	21	5	1	e
p4	7	22	5	V	r
p4	7	23	5	Xk	k
p4	7	24	5	6	l
p4	7	25	5	1	e
p4	7	26	5	V	r
p4	7	27	5	1	e
p4	7	28	5	7	n
