line	position	sign	confidence	alt
f2v_L02	12	7	S	z
f2v_L02	13	g	S	q
f2v_L03	1	g	S	q
f2v_L03	2	r	H	
f2v_L03	3	q	M	a
f2v_L03	4	r	H	
f2v_L03	5	s	H	
f2v_L03	6	i	H	
f2v_L03	7	p	H	
f2v_L03	8	g	S	q
f2v_L03	9	s	H	
f2v_L03	10	o	H	
f2v_L03	11	p	H	
f2v_L03	12	/	H	
f2v_L03	13	3	M	z
f2v_L03	14	g	H	
f2v_L03	15	'	M	
f2v_L04	1	i	C	
f2v_L04	2	r	C	
f2v_L04	3	g	C	
f2v_L04	4	p	C	
f2v_L04	5	s	C	
f2v_L04	6	h	C	
f2v_L04	7	k	C	
f2v_L04	8	s	C	
f2v_L04	9	c	C	
f2v_L04	10	e	C	
f2v_L04	11	l	C	
f2v_L05	1	r	H	
f2v_L05	2	g	H	
f2v_L05	3	l	H	
f2v_L05	4	p	H	
f2v_L05	5	s	H	
f2v_L05	6	o	H	
f2v_L05	7	n	H	
f2v_L05	8	/	H	
f2v_L05	9	s	H	
f2v_L05	10	p	H	
f2v_L05	11	y	H	
f2v_L05	12	h	H	
f2v_L05	13	/	H	
f2v_L05	14	ß	M	Bl
f2v_L06	1	p	H	
f2v_L06	2	q	M	a
f2v_L06	3	y	H	
f2v_L06	4	q	H	
f2v_L06	5	/	H	
f2v_L06	6	p	H	
f2v_L06	7	q	M	a
f2v_L06	8	s	M	f
f2v_L06	9	'	M	
f2v_L06	10	/	H	
f2v_L06	11	q	H	
f2v_L06	12	/	H	
f2v_L06	13	s	H	
f2v_L06	14	t	H	
f2v_L07	1	q	M	
f2v_L07	2	/	H	
f2v_L07	3	q	H	
f2v_L07	4	s	H	
f2v_L07	5	g	H	
f2v_L07	6	q	H	
f2v_L07	7	x	H	
f2v_L07	8	q	H	
f2v_L07	9	k	H	
f2v_L07	10	'	M	
f2v_L07	11	b	H	
f2v_L07	12	3	M	z
f2v_L08	1	p	C	
f2v_L08	2	r	C	
f2v_L08	3	k	C	
f2v_L08	4	s	C	
f2v_L08	5	y	C	
f2v_L08	6	q	C	
f2v_L08	7	s	C	
f2v_L08	8	7	C	
f2v_L08	9	g	C	
f2v_L08	10	p	C	
f2v_L09	1	X	H	
f2v_L09	2	I	H	
f2v_L09	3	'	M	
f2v_L09	4	/	H	
f2v_L09	5	a	H	
f2v_L09	6	k	H	
f2v_L09	7	/	H	
f2v_L09	8	7	H	
f2v_L09	9	/	H	
f2v_L09	10	s	H	
f2v_L09	11	g	S	q
f2v_L09	12	o	H	
f2v_L09	13	l	H	
f2v_L10	1	7	H	
f2v_L10	2	n	H	
f2v_L10	3	/	H	
f2v_L10	4	q	H	
f2v_L10	5	g	H	
f2v_L10	6	p	H	
f2v_L10	7	y	H	
f2v_L10	8	/	H	
f2v_L10	9	p	H	
f2v_L10	10	e	H	
f2v_L10	11	7	H	
f2v_L10	12	r	H	
f2v_L11	1	q	H	
f2v_L11	2	k	H	
f2v_L11	3	/	H	
f2v_L11	4	s	H	
f2v_L11	5	q	H	
f2v_L11	6	r	H	
f2v_L11	7	o	H	
f2v_L11	8	n	H	
f2v_L11	9	q	H	
f2v_L11	10	v	M	y
f2v_L11	11	a	M	n
f2v_L12	1	7	H	
f2v_L12	2	t	H	
f2v_L12	3	/	H	
f2v_L12	4	h	H	
f2v_L12	5	y	H	
f2v_L12	6	/	H	
f2v_L12	7	h	H	
f2v_L12	8	g	S	q
f2v_L12	9	p	H	
f2v_L12	10	h	H	
f2v_L12	11	/	H	
f2v_L12	12	x	M	v
f2v_L12	13	v	H	
