line	pos	code	marks	source	reason
9	13.3	o.		BC	A=MISSING B=o. C=o.; C note: ring with dot, fourth in the run, partial a visible as right neighbor
9	18	g		BC	A=_ B=g C=g; C note: looped 9-shape with an upper flourish resembling a 3
10	7	m	~	BC	A=_ B=m C=m; C note: bold m, wavy curl above resembling tilde/3-shape
10	16	S7		split	A=Z B=S7 C=nt; C note: hooked curve crossed by short stroke, n+ shape
10	20	#		BC	A=nt B=# C=#; C note: two parallel strokes each crossed, double-barred cross on line
11	15	o.		BC	A=y B=o. C=o.; C note: ring with central dot, clean circle
11	15.5	S7		BC	A=MISSING B=S7 C=S7; C note: 7-shaped stroke below the ring
11	19	+		BC	A=# B=+ C=+; C note: single cross standing on line
12	9	o.		BC	A=nt B=o. C=o.; C note: ring with dot, left of pair
12	9.5	nt		BC	A=MISSING B=nt C=nt; C note: n-loop merging into crossed stroke right of o.
12	21.5	H		BC	A=MISSING B=H C=H; C note: bold H with top flourish, dominant sign
13	5	w		split	A=_ B=w C=N; C note: large curvy double-loop shape, cursive N
13	17	lam		split	A=_ B=lam C=y; C note: vertical stroke with loop and dot, ambiguous with p/g
13	17.5	v		BC	A=MISSING B=v C=v; C note: broad open curve, hooked left arm
13	21	w		BC	A=f B=w C=w; C note: omega-like double hump with lead-in stroke
13	21.5	o.		BC	A=MISSING B=o. C=o.; C note: ring with dot right of w
14	6	#		BC	A=p B=# C=#; C note: double cross between plain a and o. context
14	10	dl		BC	A=_ B=dl C=dl; C note: small loop with curling tail rising to upper right
14	20	y		BC	A=_ B=y C=y; C note: left of pair of looped-tail signs
14	20.5	y		BC	A=MISSING B=y C=y; C note: right of pair, same looped-tail shape
14	25	g		BC	A=_ B=g C=g; C note: 9/g-shaped loop, left of y neighbour
14	26	y		BC	A=f B=y C=y; C note: looped-tail sign right of g
15	3	y		BC	A=_ B=y C=y; C note: bold looped-tail sign, upper of pair
15	3.5	S		split	A=MISSING B=S C=e; C note: closed loop/bowl below y, numeral-3-like
15	9	H		BC	A=_ B=H C=H; C note: bold H with top flourish
15	16	S7		BC	A=_ B=S7 C=S7; C note: 7-shaped stroke above lam
15	16.5	lam		BC	A=MISSING B=lam C=lam; C note: tall Λ, two strokes meeting at apex
16	22	Z		BC	A=_ B=Z C=Z; C note: bold Z stroke below n+ context
17	6	phi		BC	A=_ B=phi C=phi; C note: small slashed circle on long stem
17	6.5	_		split	A=MISSING B=_ C=bh; C note: tall stem with hooked loop upper right, below phi
17	17	v		AC	A=v B=_ C=v; C note: curved v with hooked left arm
17	18	S		AC	A=S B=_ C=S; C note: S/ʃ curve
17	19	_		split	A=y B=_ C=f; C note: long f with crossbar
17	22	_		split	A=nt B=_ C=m; C note: three-hump cursive m
17	24	_		split	A=lam B=_ C=nt; C note: hook plus crossing horizontal stroke
18	4	S7		split	A=w B=S7 C=S4; C note: diagonal slash crossing a horizontal bar/foot
18	22	bh		BC	A=tee B=bh C=bh; C note: tall stem with hooked loop upper right
19	9	g		BC	A=_ B=g C=g; C note: 9/g loop shape
19	13	f		split	A=y B=f C=+; C note: single cross on line
19	23	nt		BC	A=Lx B=nt C=nt; C note: n loop plus crossed stroke, clear n+ shape
19	25	tee		split	A=g B=tee C=S7; C note: 7-shaped stroke with cross mark above
19	25.5	y	7	BC	A=MISSING B=y C=y; C note: looped-tail sign right of S7
