line	pos	token	kind	gloss_above	confidence
66:17	5	21	code	s	high
66:17	6	14	code	e	high
66:17	7	23	code	r	high
66:17	8	17	code	a	high
66:17	9	50	code	m	high
66:17	10	25	code	p	high
66:17	11	17	code	a	high
66:17	12	20	code	t	high
66:17	13	23	code	r	high
66:17	14	46=	code	i	high
66:18	1	,,	null?		low
66:18	2	17	code	a	high
66:18	3	50,	code	m	high
66:18	4	46	code	i	high
66:18	5	51	code	n	high
66:18	6	20	code	t	high
66:18	7	23	code	r	high
66:18	8	46	code	i	high
66:18	9	42	code	c	high
66:18	10	17	code	a	high
66:18	11	?it	clear		high
66:18	12	43	code		high
66:18	13	46	code		high
66:18	14	4?:	code		low
66:19	1	40	code		high
66:19	2	46	code		high
66:19	3	42	code		high
66:19	4	12	code		high
66:19	5	49	code		high
66:19	6	20	code		high
66:19	7	17	code		high
66:19	8	tes.	clear		high
66:19	9	O	clear		high
66:19	10	si	clear		high
66:19	11	46	code		high
66:19	12	51	code		high
66:19	13	20	code		high
66:19	14	e49.	code		high
66:20	1	,,	null?		low
66:20	2	49	code		high
66:20	3	46	code		high
66:20	4	41	code		high
66:20	5	evehs?	clear		high
