# key no.60 sign atlas from interlined leaves (LANE R5 G, 24 Sept 2026). leaf 264 = fr.3985 canvas 264 (Instruction 31 Aug 1593,
# region pct:27,18,65,66 native); 298 = fr.3986 canvas 298 (f.152, Henri IV to Nevers, Oct 1593, region pct:13,9,73,22 native).
# x,y = centre in that region image (approximate, from reduced views). value = the contemporary interlined gloss, aligned by the model (grade S).
sign_id	leaf	x	y	tag	form	interlined_value	key60	agreement	context
A46	264	2283	1771	g	g	de	g=de	yes	[de]clare
A47	264	2349	1771	∠	< angle	c	∠=c	yes	de[c]lare
A48	264	2399	1771	λ	lambda	la	λ=la	yes	dec[la]re
A49	264	2448	1771	E	epsilon	re	E=re	yes	decla[re]
A50	264	2803	1771	g3	g+3 (gz)	p	g3=p	yes	[p]rive
A51	264	2861	1771	ꝺo	d + o	r	ꝺo=r	yes	p[r]ive
A52	264	2919	1771	to	t + o	i	to=i	yes	pr[i]ve
A53	298	351	342	L40	L + o (4 not written)	qui	L40=qui (Lo=fi)	form	[qui] retardast
A54	298	456	342	E	epsilon	re	E=re	yes	[re]tardast
A55	298	494	342	8	8	t	8=t	yes	re[t]ardast
A56	298	541	342	c	c	a	c=s|a|y	yes	ret[a]rdast
A57	298	589	342	ꝺo	d + o	r	ꝺo=r	yes	reta[r]dast
A58	298	655	342	=	two bars	d	==d	yes	retar[d]ast
A59	298	703	342	c	c	a	c=s|a|y	yes	retard[a]st
A60	298	750	342	r	r	s	r=s	yes	retarda[s]t
A61	298	798	342	8	8	t	8=t	yes	retardas[t]
A62	298	337	446	8	8	t	8=t	yes	[t]outes
A63	298	380	446	π	pi	o	π=o	yes	t[o]utes
A64	298	427	446	20	written like 'ro'	u	20=u (ro=me)	form	to[u]tes; this hand's 20 reads as ro
A65	298	1520	446	L40	L + o	qui	L40=qui	form	[qui] doibt
A66	298	1605	446	=	two bars	d	==d	yes	[d]oibt
A67	298	1653	446	π	pi	o	π=o	yes	d[o]ibt
A68	298	1710	446	to	t + o	i	to=i	yes	do[i]bt
A69	298	332	551	n	n	et	n=et	yes	et
A70	298	446	551	E	epsilon	re	E=re	yes	[re]spect
A71	298	484	551	r	r	s	r=s	yes	re[s]pect
A72	298	589	551	ue	u + e	e	ue=e	yes	resp[e]ct
A73	298	646	551	//	two slants	c	//=c	yes	respe[c]t
A74	298	684	551	8	8	t	8=t	yes	respec[t]
A75	298	1121	551	=	two bars	d	==d	yes	en[d]roict
A76	298	1168	551	ꝺo	d + o	r	ꝺo=r	yes	end[r]oict
A77	298	1235	551	π	pi	o	π=o	yes	endr[o]ict
A78	298	1292	551	to	t + o	i	to=i	yes	endro[i]ct
A79	298	1349	551	//	two slants	c	//=c	yes	endroi[c]t
A80	298	1406	551	8	8	t	8=t	yes	endroic[t]
