code	desc	count	pages	exemplars	marks_seen
Z	Z-shaped sign	129	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_03_003,f54r_13_012,f54r_08_012,f54r_08_006,f54r_07_029,f54r_11_021,f54r_08_009,f54r_01_011,f54r_04_017,f54r_05_004	dot:19 ot:14 #:4 ~:3 7:2 o:2
S7	7-shaped sign	203	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_07_009,f54r_07_025,f54r_18_011,f54r_14_018,f54r_10_002,f54r_02_022,f54r_13_005,f54r_02_020,f54r_11_028,f54r_05_003	#:26 ~:12 +:9 dot:7 1:3
S4	4-shape with a foot: a slash crossing a ⊥	66	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_17_023,f54r_05_013,f54r_08_022,f54r_08_004,f54r_14_023,f54r_06_001,f54r_15_008,f54r_07_015,f54r_18_005,f54r_13_019	~:3 1:2 5:1 o:1
lam	Λ lambda: two strokes meeting at the top	161	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_07_017,f54r_11_015,f54r_10_025,f54r_10_003,f54r_01_023,f54r_11_005,f54r_02_023,f54r_10_007,f54r_10_006,f54r_10_001	5:16 1:12 dot:9 7:7 ~:5 #:3 o:1
Lx	Λ with a bar crossing its right leg (looks like "4" or "Λ+")	55	f54r,f54v,f55r,f55v,f56r,f56v,f57v	f54r_09_018,f54r_19_020,f56r_14_026,f55v_09_012,f56r_13_003,f54v_14_013,f54v_13_010,f56v_06_009,f56v_09_019,f55v_13_002	dot:3 #:2 5:1
L	L (often a small 1 or 7 written inside the angle, which is part of the sign)	36	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_06_023,f54r_02_006,f54r_18_014,f54r_12_001,f54r_06_004,f55v_13_019,f54v_14_021,f57r_18_010,f56v_07_009,f55v_19_013	~:5 dot:3 7:1
H	H	61	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_13_016,f54r_05_011,f54r_06_014,f54r_14_002,f54r_10_026,f54v_01_013,f54v_18_007,f56v_08_017,f55v_08_014,f57r_04_010	1:42 o:29 5:4 #:2 ~:1 dot:1
K	K	18	f54r,f54v,f55r,f55v,f56v,f57r,f57v	f54r_02_027,f54r_12_013,f54r_17_004,f54r_18_007,f55r_13_017,f56v_07_023,f56v_02_011,f54v_12_012,f55v_07_028,f54v_02_006	1:3
tee	⊢: vertical stroke with a bar to the right	86	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_08_003,f54r_13_015,f54r_06_025,f54r_19_007,f54r_12_015,f54r_05_006,f54r_06_019,f54r_09_013,f55v_07_027,f57r_01_007	dot:1 1:1 ~:1 5:1
+	single cross standing on the line (t-like)	38	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_05_024,f54r_19_005,f54r_05_022,f54v_15_022,f54v_15_018,f54v_11_014,f57v_01_004,f55v_03_005,f55v_13_017,f55v_16_032	dot:3 ot:1
#	double-barred cross standing ON the line (not a superscript)	58	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_04_009,f54r_11_027,f54r_14_026,f54r_04_015,f54r_05_026,f55v_11_020,f56v_08_023,f56r_14_022,f54v_12_005,f57r_08_019	dot:10 #:3 ~:2 o:2 ot:2
eps	ε epsilon: TWO open bowls stacked, open to the right, no closed loop; marks above are rare. Not e.	111	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_16_024,f54r_17_007,f54r_18_012,f54r_08_017,f54r_08_007,f54r_19_004,f54r_16_016,f54r_05_023,f54r_01_024,f57v_20_003	5:27 1:23 7:11 ~:10 dot:4 #:1 o:1
dl	δ with a long tilde tail (δ~)	50	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_13_020,f54r_15_013,f54r_08_023,f54r_17_024,f54r_08_005,f54r_01_007,f54r_07_016,f55v_02_014,f55v_18_022,f55v_16_031	1:1
rz	low shape on the line like "ɿ2" / a lying z, left hook then wave	70	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_14_015,f54r_13_001,f54r_06_021,f54r_09_021,f54r_13_007,f54r_08_002,f54r_10_015,f54r_11_012,f54r_12_019,f54r_02_001	1:1 ~:1 dot:1 #:1
phi	φ: small slashed o on a long stem	50	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_14_017,f55v_16_007,f54v_04_015,f56r_05_018,f55r_08_027,f54v_18_029,f55r_15_020,f56r_16_026,f55v_12_019,f56r_19_023	5:2 dot:2 1:1
o.	⊙ ring with a dot inside (a ʔ-shaped sign that falls here is not o.)	75	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_17_020,f54r_13_006,f54r_02_008,f54r_03_010,f54r_12_026,f56r_07_018,f57v_01_002,f56r_16_016,f57r_05_007,f57r_03_005	dot:6 1:1 ot:1 o:1 ~:1
[	⊏ square box open to the RIGHT	16	f54r,f54v,f55r,f55v,f57r,f57v	f54r_10_009,f54r_06_006,f54r_07_023,f54r_06_026,f54r_01_026,f54r_01_013,f54r_01_019,f57v_11_009,f54v_09_003,f55r_08_019	1:1 dot:1 ~:1
]	⊐ square box open to the LEFT	96	f54r,f54v,f55r,f55v,f56r,f56v,f57r,f57v	f54r_17_011,f54r_14_003,f54r_12_018,f54r_07_001,f54r_07_010,f54r_02_017,f54r_05_005,f54r_08_010,f54r_10_018,f54r_03_002	o:63 ot:22 dot:10 #:2 ~:1
sq	□ closed square box	21	f54r,f55r,f55v,f56r,f56v,f57r,f57v	f54r_13_014,f54r_01_021,f54r_07_028,f54r_19_010,f57r_06_004,f57r_05_001,f57r_09_005,f57r_16_005,f56r_04_022,f55v_15_017	ot:5 1:2 ~:1 #:1 o:1
U	⊔ square cup open at the TOP	13	f54r,f54v,f55v,f56r,f56v	f54r_01_016,f54r_19_021,f54r_07_003,f54r_17_012,f54r_11_003,f54v_13_015,f56r_08_010,f56v_02_013,f55v_15_004,f56r_19_021	
