identifier	title	year	why
negociationsdiplomatiquesetpoli	Negociations diplomatiques et politiques du president Jeannin (1598-1620)	1875	named in brief: Negociations diplomatiques series
negociationsdipl01legluoft	Negociations diplomatiques entre la France et l'Autriche, vol. I	1845	named in brief: Negociations diplomatiques series
negociationsdipl02legluoft	Negociations diplomatiques entre la France et l'Autriche, vol. II	1845	named in brief: Negociations diplomatiques series
ngociationsrel01mignuoft	Negociations relatives a la succession d'Espagne sous Louis XIV, vol. I	1835	named in brief: Negociations diplomatiques series
ngociationsrel03mignuoft	Negociations relatives a la succession d'Espagne sous Louis XIV, vol. III	1835	named in brief: Negociations diplomatiques series
lettresetngoci00choa	Lettres et negociations de Paul Choart, Seigneur de Buzanval	1846	named in brief: Negociations diplomatiques series
ngociationsdel02charuoft	Negociations de la France dans le Levant, vol. II	1848	named in brief: Negociations diplomatiques series
ngociationsdel03charuoft	Negociations de la France dans le Levant, vol. III	1848	named in brief: Negociations diplomatiques series
bub_gb_Tbs9UbObcPUC	Lettres et memoires d'estat, des roys, princes, ambassadeurs (Ribier)	1666	named in brief: Ribier
papiersdtatducar04gran	Papiers d'etat du cardinal de Granvelle, vol. IV	1841	named in brief: Papiers d'Etat du cardinal de Granvelle
papiersdtatduc07gran	Papiers d'etat du cardinal de Granvelle, vol. VII	1841	named in brief: Papiers d'Etat du cardinal de Granvelle
correspondancedu08gran	Correspondance du cardinal de Granvelle, vol. VIII	1890	named in brief: Papiers d'Etat du cardinal de Granvelle
correspondancedu10gran	Correspondance du cardinal de Granvelle, vol. X	1890	named in brief: Papiers d'Etat du cardinal de Granvelle
correspondancedu11gran	Correspondance du cardinal de Granvelle, vol. XI	1890	named in brief: Papiers d'Etat du cardinal de Granvelle
nuntiaturberich00romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich01romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich02romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich03romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich04romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich05romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich06romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich08romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich09romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich10romgoog	Nuntiaturberichte aus Deutschland, Erste Abteilung 1533-1559 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich00deugoog	Nuntiaturberichte aus Deutschland, Zweite Abteilung 1560-1572 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich01deugoog	Nuntiaturberichte aus Deutschland, Zweite Abteilung 1560-1572 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich02deugoog	Nuntiaturberichte aus Deutschland, Zweite Abteilung 1560-1572 (band)	1892	named in brief: Nuntiaturberichte
nuntiaturberich03deugoog	Nuntiaturberichte aus Deutschland, Zweite Abteilung 1560-1572 (band)	1892	named in brief: Nuntiaturberichte
Portia	Nuntiaturberichte aus Deutschland, 3. Abteilung Band 5 (Portia)	1909	named in brief: Nuntiaturberichte
Commendone	Nuntiaturberichte aus Deutschland, 2. Abteilung Band 2 (Commendone)	1953	named in brief: Nuntiaturberichte
nuntiaturberich00schwgoog	Nuntiaturberichte aus Deutschland 1585(1584)-1592	1895	named in brief: Nuntiaturberichte
lettersdispatche0001marl	The Letters and Dispatches of John Churchill, First Duke of Marlborough, vol. 0001	1968	named in brief: Marlborough despatches
lettersdispatche0002marl	The Letters and Dispatches of John Churchill, First Duke of Marlborough, vol. 0002	1968	named in brief: Marlborough despatches
lettersdispatche0003marl	The Letters and Dispatches of John Churchill, First Duke of Marlborough, vol. 0003	1968	named in brief: Marlborough despatches
lettersdispatche0004marl	The Letters and Dispatches of John Churchill, First Duke of Marlborough, vol. 0004	1968	named in brief: Marlborough despatches
lettersdispatche0005marl	The Letters and Dispatches of John Churchill, First Duke of Marlborough, vol. 0005	1968	named in brief: Marlborough despatches
lettersanddispa00marlgoog	The letters and dispatches of John Churchill, First Duke of Marlborough (1845 ed., vol. I)	1845	named in brief: Marlborough despatches
britishandforei04offigoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishandforei02offigoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
statepaperspubli01grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
lettersandstat1300edinuoft	Letters and state papers during the reign of King James the Sixth, chiefly from the manuscript collections of Sir James Balfour of Denmyln	1838	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishandforei07offigoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishforeignst6618grea	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
statepaperspubli02grea	State papers, published under the authority of His Majesty's Commission. King Henry the Eighth	1830	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanstatepap06unit	American state papers : documents, legislative and executive, of the Congress of the United States ...	1832	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanarchive052forc	American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the who	1837	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanarchives01forcuoft	American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the who	1837	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
levenandmelville77melvuoft	Leven and Melville Papers; Letters and State Papers Chiefly Addressed to George Earl of Melville, Secretary of State for Scotland, 1689-1691	1843	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanstatepa_f01unit	American state papers : documents, legislative and executive, of the Congress of the United States ...	1832	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanstatepap_c11unit	American state papers : documents, legislative and executive, of the Congress of the United States ...	1832	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishandforei03offigoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
bub_gb_Wd0MAQAAIAAJ	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanstatepap04unit	American state papers : documents, legislative and executive, of the Congress of the United States ...	1832	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishandforei00sonsgoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanstatepap_e01unit	American state papers : documents, legislative and executive, of the Congress of the United States ...	1832	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
statepaperslette02sadluoft	The state papers and letters. Edited by Arthur Clifford. To which is added, a memoir of the life of Sir Ralph Sadler, with historical notes	1809	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
statepaperslette03sadl	The state papers and letters of Sir Ralph Sadler	1809	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanarchives51forc	American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the who	1837	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
codificationofst00stat	A codification of the statute law of Georgia : including the English statutes of force, in four parts : to which is prefixed a collection of state pap	1848	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
debatesandproce20galegoog	The debates and proceedings in the Congress of the United States : with an appendix containing important state papers and public documents, and all th	1789	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
collectionoflett02howaiala	A collection of letters, and state papers, from the original manuscripts of several princes and great personages in the two last centuries; with some 	1756	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
statepapers02grea	State papers	1831	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishandforei11offigoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanarchives03forcuoft	American archives : consisting of a collection of authentick records, state papers, debates, and letters and other notices of publick affairs, the who	1837	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
bub_gb_YitDAAAAcAAJ	A Collection of State Papers : relating to Affairs In the Reigns of King Henry VIII, King Edward VI, Queen Mary and Queen Elizabeth : From the year 15	1740	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
britishandforei00londgoog	British and foreign state papers	1814	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
americanstatepap_c01unit	American state papers : documents, legislative and executive, of the Congress of the United States ...	1832	"keyword sweep: title ""state papers"", 1550-1850, mediatype texts"
privatecorrespo01frangoog	The private correspondence of Benjamin Franklin, comprising a series of letters on miscellaneous, literary and political subjects, written between the	1818	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv01lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv14lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
lifebenjaminfra01woodgoog	The life of Benjamin Franklin, including a sketch of the rise and progress of the war of independence, and of the various negociations at Paris for pe	1826	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
cihm_20078	A Report from the Committee of Secrecy, appointed by order of the House of Commons [microform] : to examine several books and papers laid before the H	1715	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
histoiredesguerr001boug	Histoire des guerres : et des negociations qui precederent le traité de Westphalie, sous le regne de Louis XIII. et le ministére du cardinal de Richel	1751	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
lettresmmoires01eond	Lettres, mémoires et négociations particuliéres du chevalier d'Éon : Misitre Plemipotentiaire aupres du Roi de la Grande-Bretagne; avec M.M. les Ducs 	1765	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
lettresmemoirese03carl	Lettres, memoires et negociations du chevalier Carleton : ambassadeur ordinaire de Jacques I. roi d' Angleterre, &c. auprès des Etats-Généraux des Pro	1759	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
ngociationslet00pari	Négociations, lettres et pièces diverses relatives au règne de François II, tirées du portefeuille de Sébastien de l'Aubespine, éveque de Limoges	1841	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv11lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
ngociationsdel04charuoft	Négociations de la France dans le Levant; ou, Correspondances, mémoires et actes diplomatiques des ambassadeurs de France à Constantinople et des amba	1848	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
annalesdesprovin01basn	Annales des Provinces-Unies : depuis les négociations pour la paix de Munster. Avec la description historique de leur gouvernement	1719	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
annalesdesprovin02basn	Annales des Provinces-Unies : depuis les négociations pour la paix de Munster. Avec la description historique de leur gouvernement	1719	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
congrsdevron00chat	Congrès de Vérone. Guerre d'Espagne. Negociations : colonies espagnoles	1838	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv02lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
lettresmemoirese01carl	Lettres, memoires et negociations du chevalier Carleton : ambassadeur ordinaire de Jacques I. roi d' Angleterre, &c. auprès des Etats-Généraux des Pro	1759	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv13lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv04lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
histoiredesguerr02boug	Histoire des guerres et des négociations qui precederent le traité de Westphalie, sous le regne de Louis XIII & le ministere du cardinal de Richelieu 	1751	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
lettresmemoirese02carl	Lettres, memoires et negociations du chevalier Carleton : ambassadeur ordinaire de Jacques I. roi d' Angleterre, &c. auprès des Etats-Généraux des Pro	1759	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv12lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
histoiredesguerr04boug	Histoire des guerres et des négociations qui precederent le traité de Westphalie, sous le regne de Louis XIII & le ministere du cardinal de Richelieu 	1751	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv05lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv09lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
histoiredhati00bask	Histoire d'Haïti (île de Saint-Domingue), depuis sa découverte jusqu'en 1824, époque des dernières négociations entre la France et le gouvernement haï	1825	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
memoirespourserv03lamb	Memoires pour servir a l'histoire du XVIII siecle : contenant les negociations, traitez, resolutions, et autres documens authentiques concernant les a	1724	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
lettresmmoires02eond	Lettres, mémoires et négociations particuliéres du chevalier d'Éon : Misitre Plemipotentiaire aupres du Roi de la Grande-Bretagne; avec M.M. les Ducs 	1765	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
negociationssecr04lecl	Negociations secretes touchant la paix de Munster et d'Osnabrug : ou Recueil general des preliminaires, instructions, lettres, mémoires &c. concenant 	1725	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
histoiredesguerr006boug	Histoire des guerres : et des negociations qui precederent le traité de Westphalie, sous le regne de Louis XIII. et le ministére du cardinal de Richel	1751	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
privatecorrben02franrich	The private correspondence of Benjamin Franklin ... comprising a series of letters on miscellaneous, literary, and political subjects: written between	1817	"keyword sweep: title ""negociations"", 1550-1850, mediatype texts"
g1797lettresdun00graf	Lettres d'une Péruvienne	1797	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
mobot31753002103619	Bulletins de l'Academie royale des sciences, des lettres et des beaux?arts de Belgique.	1834	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
essaistatistique02balbuoft	Essai statistique sur le royaume de Portugal et d'Algarve comparé aux autres états de l'Europe, et suivi d'un coup d'oeil sur l'état actuel des scienc	1822	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
lettresdemmedes00svuoft	Lettres de Mme de Sévigné : précédées d'une notice sur sa vie et du traité sur le style épistolaire de Madame de Sévigné	1846	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
londonliteraryg01unkngoog	The London literary gazette and journal of belles lettres, arts, sciences, etc	1818	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
dictionnairedesm00brul	Dictionnaire des monogrammes, marques figurées, lettres initiales, noms abrégés etc. : avec lesquels les peintres, dessinateurs, graveurs et sculpt	1832	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
edinburghlitera04shelgoog	The Edinburgh Literary Journal; Or, Weekly Register of Criticism and Belles Lettres	1830	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
4Z1142INV887FA	Mémoire à consulter et consultation pour le sieur de Bussy, maréchal des camps et armées du roi au sujet du mémoire que le sieur de Lally, lieutenant 	1766	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
8Z2371INV4892FA	Pour les Universitez de France jointes en cause contre les Jésuites demandeurs en cassation d'arrest du Parlement de Thoulouse par lequel défences leu	1624	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
edinburghlitera06unkngoog	The Edinburgh literary journal : or, Weekly register of criticism and belles lettres	1828	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
bulletinsdelaca107belggoog	Académie royale des sciences, des lettres et des beaux-arts de Belgique. Bulletins d l'Académie royale des sciences, des lettres et des beaux-arts d	1846	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
8X309INV590RES	Le dictionaire des huict langages : c'est à sçavoir grec, latin, flamen, françois, espagnol, italien, anglois, & aleman : fort utile & necessaire pour	1573	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
catlogodelmuseo00moligoog	Lettres originales de Mirabeau : écrites du donjon de Vincennes, pendant les années 1777, 78, 79 et 80; contenant tous les détails sur sa vie privée, 	1792	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
8T1403NOR	Historisk teckning af Nordmännens sjötåg och bosättning i Frankrike, i tionde seklet. Af G. B. Depping. Prisskrift, belönt 1822 af l'Académie royale d	1828	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
lecturesonrhetor00blai	Lectures on rhetoric and belles lettres	1829	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
lafrancelittrai11qugoog	La France littéraire, ou Dictionnaire bibliographique des savants, historiens et gens de lettres de la France, ainsi que des littérateurs étrangers	1827	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
lafrancelittrai04unkngoog	La France littéraire, ou Dictionnaire bibliographique des savants, historiens et gens de lettres de la France, ainsi que des littérateurs étrangers	1827	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
mmoirescouronns66belggoog	Mémoires couronnés et autres mémoires publićs par l'Académie royale des sciences, des lettres et des beaux-arts de Belgique. Collection in-80. To	1840	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
lettressurlalg00marm	Lettres sur l'Algérie	1847	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
vocabulaireorien00lete	Vocabulaire oriental : français-italien, arabe, turc et grec : composé pour la conversation usuelle, et dans lequel se trouve figurée la pronunciat	1838	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
dictionnairetym03morigoog	Dictionnaire étymologiques des mots françois dérivés du grec et usités principalement dans les sciences, les lettres et les arts	1803	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
tablegnraledesmo00brul	Table générale des monogrammes, chiffres, lettres initiales et marques figurées sous lesquels les plus célèbres peintres, dessinateurs, graveurs et sc	1820	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
mmoirescouronns26belggoog	Mémoires couronnés et autres mémoires publiés par l'Académie royale des sciences, des lettres et des beaux-arts de Belgique. Collection in-8o	1840	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
mmoiressurlesq02acad	Mémoires sur les questions proposées par l'Académie royale des sciences et belles-lettres de Bruxelles	1822	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
mobot31753002104062	Bulletins de l'Academie royale des sciences, des lettres et des beaux?arts de Belgique.	1834	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
dictionnairedech00poug	Dictionnaire de chifres et de lettres ornées, a l'usage de tous les artistes : contenant les vingt-quatre lettres de l'alphabet, combinées de manier	1767	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
oversigtoverdetk1896kong	Oversigt over det Kongelige Danske videnskabernes selskabs forhandlinger = Bulletin de l'Académie royale des sciences et des lettres de Danemark	1815	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
dictionnairedesp02franuoft	Dictionnaire des postes aux lettres, contenant ... les noms des villes, communes et principaux lieux habités de la France, avec l'indication de leur s	1837	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
biographietoulo00mggoog	Biographie toulousaine, ou Dictionnaire historique de personnages ... de Toulouse ... par une société des gens de lettres, ouvrage précéde d'une préci	1823	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
lecturesonrheto31blaigoog	Lectures on Rhetoric and Belles Lettres: By Hugh Blair, ... In Three Volumes ...	1787	"keyword sweep: title ""lettres"", 1550-1850, mediatype texts"
secretestouchant01lecl	Negociations secretes touchant la paix de Munster et d'Osnabrug, ou, Recueil general des preliminaires, instructions, lettres, mémoires &c. concernant	1725	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum01bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
secretestouchant02lecl	Negociations secretes touchant la paix de Munster et d'Osnabrug, ou, Recueil general des preliminaires, instructions, lettres, mémoires &c. concernant	1725	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
dpches00lalu	Dépêches de M. le Comte de La Luzerne, ministre de la Marine, aux administrateurs de Saint-Domingue. Imprimé par ordre de l'Assemblée provinciale de l	1789	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
lettresinditesa00marygoog	Lettres inédites, accompagnées de diverses dépêches et instructions, 1558-1587, publ. par le ...	1839	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
correspondanced00fngoog	Correspondance diplomatique [ed. by J.B.A.T. Tenlet]. (Recueil des dépêches, rapports des ...	1840	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum03bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
secretestouchant04lecl	Negociations secretes touchant la paix de Munster et d'Osnabrug, ou, Recueil general des preliminaires, instructions, lettres, mémoires &c. concernant	1725	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
secretestouchant03lecl	Negociations secretes touchant la paix de Munster et d'Osnabrug, ou, Recueil general des preliminaires, instructions, lettres, mémoires &c. concernant	1725	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum02bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum04bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum00bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum06bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
dpchesarriv7888pari	Dépêches arrivées de Saint-Domingue le 29 septembre 1790, à l'adresse de l'Assemblée générale de la partie françoise de Saint-Domingue à Paris. : Copi	1790	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
correspondanced02fngoog	Correspondance diplomatique [ed. by J.B.A.T. Tenlet]. (Recueil des dépêches, rapports des ...	1840	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
correspondanced03fngoog	Correspondance diplomatique [ed. by J.B.A.T. Tenlet]. (Recueil des dépêches, rapports des ...	1840	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
memoiresposthum05bjgoog	Memoires posthumes du feldmarechal comte de Stedingk : rediges sur des lettres, depeches et autres pieces authentiques laissees a sa famille	1844	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
correspondanced01fngoog	Correspondance diplomatique [ed. by J.B.A.T. Tenlet]. (Recueil des dépêches, rapports des ...	1840	"keyword sweep: title ""depeches"", 1550-1850, mediatype texts"
