identifier	line	n_lines	numerals	distinct	repeat_rate	prose_words	context
handlingarrrand03scangoog	297	3	29	27	0.07	30	iinderhandlare  eraellan  Axel  Oxenstjerna  oeh  chnrfursten  af / Sachsen,  37:  139,  140,  l89,  193,  197,  219,  226,  230, / 231;  38:  151,  167,  175,  200,  204,  267,  286,  306. /  / Adolf  Jobaii,  lill  Stcgeborg  m.  m.,  pfa
handlingarrrand03scangoog	390	1	5	5	0.00	8	infdrskrifning  derifrån  af  messings*,  koppar-  och  manufactur- / arbeUre,  38:  206,  257,  36 1. / 
handlingarrrand03scangoog	546	1	7	7	0.00	14	 / 100,  138,  162;  30:  72;  35:  74. / Amunderidzgord  i   Siirtcby  socken.  Marks  hårad,  Wester^
handlingarrrand03scangoog	734	1	6	6	0.00	1	 / Arg^ile,  hertrg,  19:  231,  242,  271,  274,  279. / 
handlingarrrand03scangoog	768	2	16	16	0.00	17	 / 217,  219,220,228,  240,  247;  29:  239,  321;  30:  45,  108; /  / 35:  40,  5S,  201;  39:  279,  436,  438. / Arnoldus  Clementls,  forut  biskop  i  Bergen,  insåttes  af  konong
handlingarrrand03scangoog	921	1	7	7	0.00	12	 / 36:  317,  326;  38:  53,  58,  60. / Aweakar»  no  Christianopel,  i  Blekinge,[,20:  139,  175.
handlingarrrand03scangoog	1017	1	7	7	0.00	3	Balclter  vid  ho^el  i  Stockholm  (1649,  1669,1662);  20:310, / 311,  313,  317,  322,  323;  22;  299. / 
handlingarrrand03scangoog	1084	1	6	6	0.00	17	ridd.y  rik$rå^,  lagman,  hdfvid$mai|  på  Stockholms  slott,  7:21; / 18:  15;  sjukdom,  19:  101,  112,  114. / 
handlingarrrand03scangoog	1117	1	7	7	0.00	10	 / struchska,  5:  290;  9:  113;  år  1757,  23:  169. / Banfc,  preussisk  general,  34:  184—186,  188.
handlingarrrand03scangoog	1188	1	11	11	0.00	7	 / 260;  7:  234,  285;  8:  164,  166;  12:  321;  34:  185. / Bathsky^  woiwod,  24:  197.
handlingarrrand03scangoog	1237	1	5	5	0.00	4	 / Befordringsfrågor,  16:  356;  29:  287;  35:  t34. / 
handlingarrrand03scangoog	1319	1	7	7	0.00	9	Benzeliiis,  Ene,  d.  y.,  kongl.  bibliothekarie  m.  m.,  sist  erke- / biskop, 7:  214,  217;  8:  297;  13:  316. / 
handlingarrrand03scangoog	1380	1	6	6	0.00	9	 / 278,  290;  40:  176,  185,  188. / Bergenatjerna,  Johan,  assessor,  (fdrut  Berg  och  Prondberg),
handlingarrrand03scangoog	1398	1	5	5	0.00	10	halsrått;""  handlingar  dertill,  29:  296;  32:  65  ff.;  39:  273  ff.; / laglåsare,  39:  273,  322,  336,  352. / 
handlingarrrand03scangoog	1482	1	5	4	0.20	9	 / 35:  38,  63;  hans  qvaliteter,  38:  439. / Bern^torff,  baron,  10:  123  £f.;  270;  18:  413.
handlingarrrand03scangoog	1559	2	14	14	0.00	18	110;  Peder  Sparre ,  Hep^.  Fleming  och  Bengt / SkyHe  (1633—34),  26:  163,  192;  27:  184, / 195;  28:  11;  29:  293;  30;  36,  47,  82  fl"., / 102  ff.;  32:  221;  33:  99;  Uddo  ,5dla  (1655),
handlingarrrand03scangoog	1588	1	6	6	0.00	10	berg  (1560),  12:  119;  rdrande  pommeraka  suc- / cessionen  (1633),  26:  121,  167,  168,  206,  220, / 221;  27:  166,  182,  191;  von  Lcutmar  (1641),
handlingarrrand03scangoog	1631	1	6	6	0.00	6	harmåsl.  i  U/land  Ull  kon.  Got Uf  I  (1568),  19: 101. / LUbeck,  (1507),  20,  194,  197,  200,  205,  208. / LUnehurg,  Ronsebek  (1560),  13:  119.
handlingarrrand03scangoog	1659	2	17	17	0.00	15	167;  fredsunderhandlare  vid  Pinsa  åminne  (1587), / 38:  44;  (1633)  24:  308;  35:  275,  287;  2  ': / 109,  131,  148,  191,  195,  210,  213;  27:  170  ff.; / (1649)  20:  310;  kn^  Dolgorncki  (1723),  26:
handlingarrrand03scangoog	1803	1	11	11	0.00	23	riksråd,  m.  m.,  en  bland  anderhandlarne  med  Ryssland / (1586)  1:  55;  10:  47,  73;  36:  314,  315,  338;  38:  43; / bref  till  Erik  Sparre  (1590)  om  Narvas  belågring  och  upp-
handlingarrrand03scangoog	1834	1	6	6	0.00	30	Brahe,  2:o  med  riksråd.,  amiralen  Claes  Larsson  Fleming, / 8:  27;  9:  164;  Flemings  frieri,  2:  112. / 
handlingarrrand03scangoog	1881	1	10	10	0.00	26	9:  116,  135;  40:  250;  processen  emot  honom  (1698)  40: / 130,  143,  148,  149,  153,  171,  177,  186,  194,  215;  skrif- / ter rdrande  samma  process  emot  honom,  17:  276  ff.;
handlingarrrand03scangoog	1901	1	13	13	0.00	13	legat  till  Tyskland,  I:  165 ;  8:  16;  9:  93 ;  24:  388;  26:  85, / 160;  29:  236,  259,  309;  30:  80,  107;  32:  178,  214;  37:  96, / 
handlingarrrand03scangoog	1942	1	6	6	0.00	12	sedermera  general,  minister  i  Wien),  dfverste,  riksråd  m.m.; / 7:  258;  15:  120;  34:  134. / 
handlingarrrand03scangoog	2072	1	10	10	0.00	9	Birkarlarne  [Ber-,  berg-,  birg-,  birckekarlar],  39:  Ul,  129. / 148,  149  ff.,  152,  153,  165,  166,  167,  168,  169,  183, / 186,  197,  200  ff.,  210  ff.  223,  225,  226,  254  ff.;  deras
handlingarrrand03scangoog	2243	1	6	6	0.00	11	 / 147;  24:  253,  320;  37:  278. / Bidmcreatz^   Didrik,  major  (sedermera  dfverste  och  directdr
handlingarrrand03scangoog	2287	1	6	6	0.00	18	349;  forslag  (ill  befåstningar  derst.,  35:  378,  380;  skepps- / bygnad  (1662—63),  31:  170,  189,  325,  336,  387. / 
handlingarrrand03scangoog	2300	1	6	6	0.00	7	Boecleriis,  JohaDues,  8:  49. / Bogesund  [Bogodsund],  5:  169;  10:  79;  19:  417. / Bogislaus^  hertig  af  Pommern,  12:  215.
handlingarrrand03scangoog	2346	1	7	7	0.00	24	m.  fl.);  svensk  minister  vid  franska  hofvet  (slutligen  kongl. / råd,  president,  ambassaddr),  40:  88,  89,  90,  97,  106,  220, / 227,  231;  bref  från  0.  W.  Kdnigsmark,  10:  97.
handlingarrrand03scangoog	2489	1	7	7	0.00	9	Boskaps-hjelpen  [B.-  skatten  eller  B.-  penningar]  ander  åren / 1627—50;  1:  113,  ll6,  129,  131;  21:  80,  166;  22:114, / 151,  168,  228  fl.  ff.;  25:  133,  263,298;  29:  302;  32,251.
handlingarrrand03scangoog	2549	1	8	8	0.00	18	6fverste  befallningsman  på  Reval  m.  fl.  slott,  sist  gen.-krigs- / dfverste,  riksr.),  36:  156,  166,  223,  232,  212,  289,  310; / en  bland  underhandl.  om  stillestånd  med  Ryssl.  (1593),  38:
handlingarrrand03scangoog	2607	1	7	7	0.00	24	drotto.  Maria  Eleonora,  23:  88;  bref  till  sonen  Magnas  Ga- / briel, 15:  99,  101,  103,  109;  18:  371. / Brahe,  Ebba  Pedersdotter,  dotter  af  riksr.  grefve  Per  Brahe
handlingarrrand03scangoog	2649	1	11	11	0.00	22	sid.  i  Svea  hofr&tt  m.  m.),  riksdrotz,  7:  149;  8:  26,  40; / 9:  92,  140;  3»:  252,  256,  266;  29:  326;  32:  157;  38: / 227;  memorial  fdr  honom  (1632),  24:  284;  rikscancellerens
handlingarrrand03scangoog	2696	1	8	8	0.00	18	 / Brandeiiburg,  30:  85,  86;  32:  187;  37:  tOl,  125,  145; / A.  Oxensliernas  tankar  om  Sveriges  fdrhållande  till  B.  (1633),
handlingarrrand03scangoog	2700	1	8	8	0.00	23	lop  (1577),  12:  215;  churfursten  Georg  Wilbelm,  35:  4, / 23,  40,  41,  52,  87;  37;  171,  283;  giftermålsfdrslag  med / droltn.  Christina  af  Sverige  (1633),  25:  137,  148;  intenlio-
handlingarrrand03scangoog	2721	1	7	7	0.00	7	Brandenstein,  af,  grefve,  svenskt  såndebnd  hos  churfiirsteti  af / Sachsen  (1635),  35:  86;  36:  370,  399;  37:  110,  22». / 
handlingarrrand03scangoog	2916	1	7	7	0.00	4	 / 281,  287,  289,  293,  298,  303,  310. / Brunou,  von,  Carl,  ryltmåst.,  31:  468.
handlingarrrand03scangoog	3019	1	7	7	0.00	4	 / 231,  242;  4:  330,  336;  afråttad,  2:  257. / Bugge^  Severin  (1507),  20:  148,  149.
handlingarrrand03scangoog	3122	1	5	5	0.00	14	(grånsrå  emetlan  Bergs  s:n  i  Jemtl.  och  Wemdalen  i  Herje- / dalen) (1482),  17:  32,  35;  29:  45. / 
handlingarrrand03scangoog	3175	1	6	6	0.00	11	kammarråd,  riksr.,  riksskattm.,  sist  presid.  i  kammar*coHe- / gium),  2:  116;  7:  153;  9:  145;  28:'364. / 
handlingarrrand03scangoog	3262	1	9	9	0.00	7	 / Hlaterna,  29:   351;  30:  61;  3.^:  100,  163  ;  37:  215;  38: / 
handlingarrrand03scangoog	3316	2	20	17	0.15	28	pantfdrskrifning  på  amtet  Pautzke  och  på  Lauenburg,  36: / 18,  20,  23,  25,  79,  81;  bygnadsforetag  i  Pautzke,  36:  27; / ang.  (roheisforpligtelse  af  Pautzke,  36:  46;  klagomll  dfver / intrång  i  hans  afgåld  af  fisker
handlingarrrand03scangoog	3351	1	5	5	0.00	25	handl,  lill  hans  htsL,  8:  9;  10:  6;  26;  12;  lill  hanscharak- / teristik,  1:  200;  3:  43,  68. / 
handlingarrrand03scangoog	3379	1	9	9	0.00	14	af  hans  hist.,  1:  175;  handL  dertill,  5:  233;  6:  81;  7:  159; / 8:  293;  9:  65,  84;  14:  221;  20:  325  ff.;  charakteristik, / 1:  203.
handlingarrrand03scangoog	3385	1	8	8	0.00	22	hans  person  o.  lefnadssått  i  yngre  åren  m.  m.,  40:  136,  137, / 168,  169,  173,  196;  upptåg,  40:  204,  212,  213;  åfven- / tyr,  40:  167;  hans  formyndare-regering,  40;  116  ff.;  for-
handlingarrrand03scangoog	3397	1	13	13	0.00	23	lieutn.  Rehnskdld,  6:  182;  handl,  lill  hans  historia,  3:  173; / 4:  279;  5:  319;  6:  81;  7:  159,  190;  8:  Ul;  9:  265;  19: / 399:  d:o  ror.  hans  o.  hans  eflet trddares  hist.,  12:  299  ff.;
handlingarrrand03scangoog	3685	2	17	17	0.00	12	Chaomout,  S:t,  marquas,  fransk  ambassador  på  1690'talet,  36: / 390;  37:  121,  128,  2<>5,  211;  212,  229,  2^32,  242,  288; / 38:  131,  155,  156,  178,  192,  200,  2Q1,  203,  273,^40, / 348,  402,  412;  ett  af  A.  Oxensti
handlingarrrand03scangoog	3775	1	11	11	0.00	19	Chri§fina,  reg.  drottn.  af  Sverige;  bref  o.  handl.  t.  hennes / hist.;  6:  37;  7:  99:  8:  67;  9:  65,  84;  20:  299  fif.;  I6r- / myddare-regering,  34:  256,  368;  handl.  rdr.  styr.  under
handlingarrrand03scangoog	3783	2	19	17	0.11	22	krdning,  22:  13  ff.;  lifgeding,  24:  257 ;  foreslagna  gifter- / mål, 29:  345;  30:  54,  55  ff.;  25:  137,  I48^  38:  424; / 24:  342,  378;  25:  170  ff.;  26:  116,  126,  168;  d8:  424; / handl.  r6r.  Carls  Gustafs  frieri
handlingarrrand03scangoog	3968	1	7	7	0.00	10	Copi,  dfversle  i  svensk  ijenst  (1644),  S:  108. / Coporic  [Caporien],  38:  44,  45,  48,  49,  66,  58. / Corbi»  Claason,  dansk,  lillfångatagen  af  de  svemkt  (1&66),
handlingarrrand03scangoog	4060	1	9	9	0.00	17	sideat  och  president  i  lagcomraissionen,  4:  288,  7:  198, / 216,  282,  283,  34:  254;  37:  317;  40:  113;  fdrordnas  lill / laDdshdfd.  efter  sin  fader,  40:  191;  beråll.  ora  orsaken  lill
handlingarrrand03scangoog	4108	1	9	8	0.11	7	Cronstrljni  (Daniel),  svenskt  sdndebud  i  Frankrike,  6:  251, / 258,  264;  8:  121,  145,  155:  183;  49:  145. / 
handlingarrrand03scangoog	4160	1	10	10	0.00	9	Oagdo   (Estland),  7:  ^22;  besvår  af  inneb.  derst.,  32:  19, / 21,  23,  24,  26,  28,  29,  31,  33,  49,  51. / 
handlingarrrand03scangoog	4191	1	9	9	0.00	13	Dalaro,  dfven  Dalaliampn,  Daiilkamn,  skansen  derst.,  5: 176; / 9:  217;  35:  346,  425,  435,  442,  448,  454;  drlogshainn, / 2&.  Ill;  27:  118;  sjoaffår  derst.  meilan  den  svenska  och
handlingarrrand03scangoog	4235	1	8	8	0.00	7	Dalsland,  depiiterade  derifrån  (1743),  15:  248. / Dal-upproret  (1743),  3:  207;  9:  275;  15:  283;  26:  385; / 
handlingarrrand03scangoog	4278	2	23	23	0.00	5	Danska  flottan,  1:  t56;  5:  86,  87;  11:  t03,  151,  175,  177, / 180,  185,  189,  191,  208,  221;  12:  135,  136,  258,  263, / 265,  266,  274,  278,  295;  21:  16,  18,  19;  36:  10,  217. / 
handlingarrrand03scangoog	4294	1	11	11	0.00	25	Danzig,  åtskill.  borgmåstares  och  råds  skrifvelser  till  och  rdr. / Carl  Knntsson,  36:  5,  20,  28,  32,  61,  66,  70,  74,  76,  79, / 81,  83,  85;  kon.  Gasimirs  bref,  ror.  rådets  intrång  i  Carl
handlingarrrand03scangoog	4320	1	7	6	0.14	10	 / 20:  246,  246,  247,  288;  24:  142. / Daxnas  (Såttila  s:n  i  WestergOtl.) ,  grfinsmårke  mot  Damn.
handlingarrrand03scangoog	4333	2	19	18	0.05	18	 / 205;  38:  178,  201,  240,  245,  403,  406,  422. / D*Avau&,  franskt  såndebud  till  Sverige  ocb  Danm.  på  1630- /  / talet,  30:  88;  32:  281;  34:  12;  3S:  124,  156,  201,  223. / D^Avaoi,  grefve,  fransk  minister  i  Sto
handlingarrrand03scangoog	4380	2	19	19	0.00	19	motet  i  Heiibrono,  conventet  i  Frankfurt,  riksdagen  i  Wornas, / m.  m.,  25:  155,  157,  167,  198,  253,  264;  26:  50,  137; / 29:  322;  33:  89,  90;  34:  42;  35:  65. / 
handlingarrrand03scangoog	4387	1	10	10	0.00	10	De  Geer,  Louis,  till  Finspong,  9:  8J2,  95;  21:  90;  22:  252; / 28:  19,  J23,  27,  34:  30:  39;  32:  120;  38:  370;  fdrstråck- / ningar  till  sv.  krouan,  38:  226,  346,  402,  403  ;  hans  flotta,
handlingarrrand03scangoog	4437	3	26	21	0.19	22	De  Termoville,  Seyerin  Blanke,  jesuit,  39:  349. / De  Topcy,  marqais,  6:  227,  231,  234,  264;  8:  114,  132, /  / 157,  179,  181,  198,  203  ;  10:  149,  231. / De  Toulonse,  grefve,  8:  207. / De  Tnillery  (fransk  ambass
handlingarrrand03scangoog	4480	1	9	9	0.00	20	Ekholmen  m.  m.,  general,  riksråd,  riksmarsk  m.);  8: / 27,  29,  43;  19:  385;  32:  157;  bref  till  PerBrahe,  2:  109; / d:o  från  Axel  Oxenstierna,  36:  372.
handlingarrrand03scangoog	4492	1	10	10	0.00	14	87,  89;  d:o  t.  en  rådsherre,  25:  309;  brefvexl.  m.  Carl / Gnstaf,  27:  216,  218,  224,  227,  243,  266,  261,  273,  279, / 282,  307;  bref  fr.  kon.  Carl  XI,  7:  i61;  d:o  fr.  modren
handlingarrrand03scangoog	4501	1	9	9	0.00	22	skalk m.  m.,  7:  220,  258;  hani  sak  emot  Helena  Wrede  vid / 1731  års  riksdag,  37:  395,  396,  402,  404,  414,  416,  422. / 
handlingarrrand03scangoog	4505	1	12	12	0.00	22	gen.-fåltherre,  hofmarskalk,  riksråd  m.  m.;  3:  30,  62,  66; / 7:  71;  8:  28;  11:  120;  21:  35;  36:  272,  310,  314;  skie- / kas  af  kon.  Joh.  III  till  bert.  Carl,  12:  204;  i  sjdndd  imder
handlingarrrand03scangoog	4640	1	6	6	0.00	8	 / 26;  96;  38:  350,  403,  405. / Djursholm,  7:  95;  36:  2:  svenska  arméen^  h5gqvarter  derst.
handlingarrrand03scangoog	4679	1	5	5	0.00	8	 / talet,  36:  319;  34:  317,  365. / Domasten  (Mårdaklef  8:0,  Kindshdr.,  We6terg.X  råmotDanm.
handlingarrrand03scangoog	4784	1	8	8	0.00	8	 / sedan  riksråd,  15:  154;  16:  221,  222,  226,  228,  232, / Diiben,  von,  Joacliim  (Gnstafsson),  frih.  och  grefve,  stats-
handlingarrrand03scangoog	4891	1	9	9	0.00	8	adjulant  (6fverste,  gen.-major  m.  m.),  måg  (ill  borgmåstaren / Rierrmann;  15:  154,  161,  169,  172,  174;  16:  305,  370. / 
handlingarrrand03scangoog	5090	1	6	6	0.00	6	350,  372,  410,  412,  452;  fSl^sla^  att  i^^erå  bet&^tniAgahia, / 35:  281,  284,  340,  342,  372.  -  • / 
handlingarrrand03scangoog	5224	1	10	10	0.00	27	Rysslénd  och  fiske  i  dess  norra  haf  (1581),  11:  169,  175, / 186,  180,  190,  101,  199,  220,  221,  222,  224,  2*4,  240, / 256;  A.  Olenstierna  sdker  tillstånd  att  vårfva  trupper  derst ,
handlingarrrand03scangoog	5255	1	7	6	0.14	11	Carl  IXrs  skrifvelse  om  uppbyggande  af  kyrka  derat.  (1604) / 39:  181;  kyrkoherde  fdrordnad,  39:  182,  193,  123,  250; / kyrka  och  lullbod  (1606),  39:  191,  221,  250;  marknad,  39:
handlingarrrand03scangoog	5451	1	7	7	0.00	11	Esken,  Alexander,  svensk  resident  bos  churfursten  i  Sach- / sen, (1635-36),  37:  239;  38:  168,  170,  l76,  187,  248, / 333,  396.
handlingarrrand03scangoog	5485	1	8	8	0.00	5	 / herre,  16:  211,  229,  238,  239,  241,  242,  332.  •  ' / Essen  (Hans  Henrik);  fi^ih.,  geor.-Héhten. ,  9:  140,144,  116;
handlingarrrand03scangoog	5578	1	8	8	0.00	10	bud  hoa  Gbiiraachsen,  Brandenburg,  Pommern  och  Mecklen* / burg,  m.  m.;  24:  259,  305;  37:  186;  38:  123,  284, / 377,  379.
handlingarrrand03scangoog	5629	1	8	8	0.00	5	 / 27:  161;  35:  18;  38:  317,  389,  410. / Febmao  (Thomas),  jtist.-canceller ;  sedermera  frih.,  34:  153
handlingarrrand03scangoog	5849	1	12	12	0.00	16	råd, amiral,  gen.-guverndr  dfver  Finland,  riksmarsk,  m.  m., / I:  49,  50,  54,  61  ;  3:  31,  80,  88;  10:  32,  35,  46;  .12: / 270;  36:  135,  138;  rymmer  från  kon.  Erik  XIV  1.  berli-
handlingarrrand03scangoog	5856	1	9	9	0.00	27	riksråd,  amiral,  ofverståthållare,  president  m.  m.;  2:  BO;  5: / 86,  87,  100,  101,  307;  8:  27;  9:  164;  forslag  till  skepps- / bygnad  fdr  svenska  flottan,  24:  288;  kongl.  regeringens
handlingarrrand03scangoog	5889	1	6	6	0.00	16	råltdfverste ,  riksråd,  fåltmaiskalk ,  in.  m.,  3:  31;  36:  106, / 136,  138,  242,  249,  272,  302. / 
handlingarrrand03scangoog	5937	1	9	9	0.00	21	Gustaf  I,  2:  51,  52,  53;  12:  118;  under  kon.  Erik  XIV, / 12:  144,  256  ff.;  21:  16;  27:  39,  40;  dess  utrustning,  4: / 50;  27:  41,  42  ff.,  117,  118  ff.;  seger  dfver  de  danske
handlingarrrand03scangoog	5946	3	30	27	0.10	22	204,  216;  under  kon.  Gustaf  II  Adolf  oeh  drottn.  Christina, / 2:  106;  5:  88,  101;  20:  318;  22:  114;  24:  452,  288, / 297,  347;  32:  163,  219;  36:  382,  392;  37:  263;  38: / 256,  350,  360,  369;  skeppsbygnad,  24
handlingarrrand03scangoog	5954	2	19	18	0.05	21	holm (1633),  26:  194;  under  kon.  Carl  X  Gustaf,  2:  123, / 126,  127;  4:  276,  276,  337;  5:  165,  169,  172,  175,  186,. / 194,  196,  197,  198,  200,  203;  28:  137;  under  kon.  Carl / XI,  5:  29J2;  32:  303;  dess  fdr
handlingarrrand03scangoog	5987	1	8	8	0.00	8	Flyg-  ocli  parti-skriaer  vid  1769-70  års  riksdag,  16:  261, / 262,  263,  266,  267,  268,  270,  271^  272,  324. / 
handlingarrrand03scangoog	5996	1	6	6	0.00	9	Foburg  [Fåborg],  Nils,  t.  Gundersnås,  håradshofd.  på  Dal, / 29:  55,  117,  135,  141,  142. / 
handlingarrrand03scangoog	6081	1	6	6	0.00	11	 / 16:  34,  35,  39,  53,  63. / Franck,  SUvester,  dansk  amiral,  36:  307.
handlingarrrand03scangoog	6101	2	19	18	0.05	10	 / 11:   170,  177,  179,   186,  194,  196,  196,  204,  208,  216, /  / 220,  222,  225,  229,  230,  244,  256,  342. / Frans  I,  kon.  i  Frankrike;  rdr.  hans  forbund  med  Sverige
handlingarrrand03scangoog	6129	1	10	10	0.00	4	 / 118,  128,  132,  139,  151,  158,  167,  210,  226,  271; / 36:  215.
handlingarrrand03scangoog	6236	1	7	7	0.00	9	 / 152,  153,  155;  22:  296;  25:  304. / Frillaoss,  Femsjo  s:o  (Smål.),  rå  mot  Danm.,  29:  64.
handlingarrrand03scangoog	6316	1	10	10	0.00	7	 / 266,  288,  290,  297;  7:  287;  34:  276;  37:  332. / Fuchs,  brandenburgsk  premier*-minister ;  bref  fr.  Nils  Bjelke,
handlingarrrand03scangoog	6402	1	7	5	0.29	11	bref  t.  Nils  Sture  ror.  Warbergs  befåsloing,  4:  82;  riddare. / 12:  163:  sandes  1.  Oslergoll.,  12:  164;  dod,  12:  233. / 
handlingarrrand03scangoog	6411	1	9	9	0.00	16	ff.;  i  Skåoe,  Hall.  o.  Blek.,  35:  376;  vid  rikets  grånser, / 16:  264;  25:  267;  26:  229,  236,  290,  291;  handl.  ang. / svenska  befåstningsplaner  under  17:de  århundr.,  35:  276  ff.
handlingarrrand03scangoog	6574	1	11	11	0.00	12	Garnisoiidr,  svenska  i  Oslersjdprovinsema,  deras  underhåll, / 21:  74  ff.;  26;  242,  243  ff.;  29:  294;  37:  117;  255,  260, / 26 1,  262;  kon.  Carl  Goslafs  forslag  ang.  deras  fdrdelniog,
handlingarrrand03scangoog	6809	2	22	21	0.05	9	Goerlz,  von,  G.  H.,  baron,  5:  3:^4;  6:  221,  277,  30»;  7: / 206,  207,  214,  230,  231,  234,  237,  238,  239,  240,  263; / 8:  148,  164,  158,  162,  164,  166,  210,  213;  10:  135, / 143;  19:  407;  contracl  med  Pieterm
handlingarrrand03scangoog	6987	1	5	4	0.20	14	 / 16:  3  ff.;  ddd  1386,  17:  17. / (Grip)  Christopher  Andersson  1.  Stensnås  o.  Ståfl5,  amiral,
handlingarrrand03scangoog	7072	1	11	11	0.00	10	 / 9:  97;  21:  167;  33:  90;  35:  17;  37:  215;  38:  U8;  bref / 
handlingarrrand03scangoog	7086	3	38	36	0.05	10	Grubbe,  Lars,  statssecrct. ,  svensk  resident  i  Nedersachsen, / m.  m. ,  24:  168,  309;  25:  72,  86,  118,  125,  140,  141, / 152,  252,  J266,  2*7;  2<k  74,  164;  29:  232  CF.;  32:  194, / 199,  219,  227,  233,  236,  242; 
handlingarrrand03scangoog	7142	1	9	9	0.00	7	ff.,  51,  56,  70,  75;  39:  104  ff.;  emellan  Sverige  o.  Ryss- / land,  16:  110;  19:  27;  20:  274;  39:  107  ff.,  142,  144- / 149,  213,  228,  265.
handlingarrrand03scangoog	7282	1	7	7	0.00	21	29:  308;  åtskiUige  lyska  furstars  olacksamhet  efter  hansdOd, / 38:  285,  286;  eharakleristik,  1:  201;  4:  29. / 
handlingarrrand03scangoog	7368	1	10	10	0.00	12	 / 6:  328;  7:  327;  15:  118  ff.,  264;  23:  297,  329. / Gyllenborg,  Jakob  (t.  Bona,  Land,  m.  m.,  frib.),  grefve,  k.
handlingarrrand03scangoog	7470	1	6	6	0.00	10	Gyllenslierna  (Goran  Nilsson),  gr.  (l.  Bjdrkesiiod,  frih.  t. / Lundheim),  riksråd,  16:  220,  221,  226,  228,  232. / 
handlingarrrand03scangoog	7483	2	17	16	0.06	23	riksdrots,  ambassaddr  t.  Ryssland  o.  England,  sisl  ståthåliare, / i  Kalmar,  1:  SO,  61;  3:  28,  63;  7:  73,  96;  10:  14;  1-3: / 96,  124,  230;  27:  62;  36:  125 / 
handlingarrrand03scangoog	7517	1	5	5	0.00	3	 / 269,  :270,  328,  331,  33:2,  369,  386. / Gyllenavard   (Ånders   Johan),   dfverjågmåstare ,   16:  386,
handlingarrrand03scangoog	7618	1	11	11	0.00	17	galéreskader,  16:  379;  fdstningsverk,  26:236,237;  35:  279, / 281,  289,  310,  329,  330,  350,  359,  362,  371,  388,  395, / 406,  410,  438,  445,  451,  456;  kritbvalfhus,  35:412;  krot-
handlingarrrand03scangoog	7622	1	7	5	0.29	17	EleoQora  dnskar  resa  dit,  17:  250;  rivalitet  med  Uddevalla, / 37:  434;  40:  299,  314  ff:;  inqvartering,  40:  314;  råd- / mansval,  40:  337;  coopv.-manskap,  40:  317;  ang.  fdrord-
handlingarrrand03scangoog	7777	1	7	7	0.00	18	belågras  af  kon.  Erik  XIV  (1563)  o.  stormas  f5rgåf ves  (1594), / 12:  259;  21:  17;  dess  befåstande,  35:  281,  289,  328,331, / 438,  445,  451,  457  ;  tillates  sånda  ombod  t.  1649  års
