identifier	line_start	line_end	n_clusters_merged	total_numerals	max_repeat_rate	interlinear	interlinear_checked	interlinear_matches	context
rikskanslerenax00palagoog	21836	21957	3	898	0.57	no	1	0	seinem  regiment  dragonern  von  sechs  compagnien  und  hundert / und  50  commandirten  reutern  von  Sperreuterschen  regiment  ge- / legen,   zu  emportiren*4)  die  notturfft  befunden  der  meinung  umb /  / *')  Orden  inom  asterisker  äro  skrifna  i  chiffer.  Någon  upplösning  af / chiffern  finnes  icke,  men  genom  fynd  af  den  i  Riksarkivet  befintliga  klaven / har  det  varit  möjligt  att  lösa  chiffern.  Eburuväl  ett  par  blad  i  klaven  varit / bortrifna,  har  Utg. 
rikskanslerenax00palagoog	22058	22186	3	764	0.54	no	0	0	E.  Excell.  brief  von  26  Martii  bat  der  Fiirst  von  Sie  b  en  burgen  durcb / elnen  officierer  fUr  10  tagen  beantwortet.  Bleibt  bei  selner  guten  resolution. / Wartet  nur  aufs  diploma.  Kan  nach  Hamburg  nicbt  schicken,  weil  die  articul / auch  knndbar.  Iskriczki  ist  fttr  vi  er  tagen  nerkommen.  Der  Furst  von  Sieben- / biirgen  helt  ibn,  umb  etwas  neues  E.  Excell.  bu  schicken  durch  ihn.  Olmiitzer- / brief  wird  man  an  Herrn  Szobeck  schicken. 
rikskanslerenax00palagoog	22640	22876	5	1592	0.72	no	1	0	som  här  hoos  gåå. /  / *Tyske  siökantens  conservation* 10)  skall  effter  E.  Excell. / *giorde  påminnelse  jagh,  så  mycket  migh  ståår  till  göra*11),  låtha / på  thet  *högsta  vara  angelegit*12).     Och  ähr  till  *beklaga  medlen /  /  / t)  Brefven  från  Torstenson  till  K.  M:t  för  denna  tid  synas  rara  förkomna. / Ej  ens  i  afskrlft  hftfva  de  1  Riksarkivet  kunnnt  Anträffas. /  / *■)  74.  105.  47.  101.  107.  6.  60.  64.  40.  9.  49.  44.  —  *3)  248.  2
rikskanslerenax00palagoog	23281	23291	1	176	0.51	no	0	0	mehra  haffver  sedt  till  honom,  så  haffver  han  tagit  sin  cours  hijt / igen,  att  låta  laga  opp  dee  skeppen,  som  något  kunne  vara  skadde. /  / Så  snart  thet  är  skedt,  *och  de  skutor  och  farkoster,  som / ifrån  Stralsundh  och  Stettin  äre  förskrefne,  ankomme,  och  the / Keijserlige  icke  komma  alt  för  hastigt  hijt  uth  före,  at  jag  nödgas / mööta  dem*8),  är  jag  sinnadh,  *at  begiffva  mig  opå  flottan  och / effter  Hennes  Kongl.  May:tz  förra  d
rikskanslerenax00palagoog	24291	24370	2	799	0.61	no	1	0	impatronera,  uthan  och  göra  sin  flijt  at  förstöra  fiendens  sammel- / och  mönsterplatzar,  efter  som  jag  och  näst  Gudz  tillhielp  vill  för- / hoppas, det  något  fram  bättre  på  året  skall  gifvas  lägenhet  att / tentera  något  emot  Prag.     Och  oansedt  fienden  [låter  utsprida  ett] /  / stort  roop  af  m[A]n[g]e [åre]  dee  dock  somblige /  / icke  öfver  40,  50  eller  högst  eextiio  hästar  starcke*1). /  / •*)  Chiffern  är  bär  densamma  som  i  N:o  53.  8if
rikskanslerenax00palagoog	24573	24706	3	1254	0.59	no	1	0	flijt  till  att  kunna  honom  em  portera.  *Der  fienden,  som  nu  sigh / på  alla  ohrter  stärker,  gifver  mig  så  stor  tijd  och  icke  kommer / mig  alt  för  hastigt  opå,  vill  jag,  näst  Gudz  tillhielp,  förhoppas / det  bästa,  at  han  innan  kort  skall  gåå  öfver,  efter  som  jag  och / alla  reedo  hafver  låtit  minera  under  två  bastioner  i  Spil berget / sampt  eet  stadhzvärck,  som  dee  hafva  förfärdigat,  sedan  jag  sidst / lågh  härföre.  Gifve  Gud,  att  ja
rikskanslerenax00palagoog	24858	24932	2	525	0.51	no	3	0	Crolssys  bref  till  Torstenson,  är  dat.  Cassau  den  7  Maj  1645;  bil.  D.,  Rakocxys / bref  till  Torstenson,  är  dat.  >in  castris  n  ostris  ad  oppidnm  Rlma  Ssombat / positis  d.  16  Mensis  Jnnii  1645».  Jämför  dock  samma  bilagor  i  applost  skrift / åtföljande  T:s  bref  till  Joh.  Oxenstierna. /  / t)  Fransmännens  nederlag  mot  Balrarne  vid  Herbsthaasen  den  26 / April  1645. /  / *l)  Orden  inom  asterisker  äro  skrifna  med  samma  chiffer  som  brefvet / N:
rikskanslerenax00palagoog	25010	25208	4	1490	0.61	no	1	0	hafver  slagit  Frantzoserne,  att  sända  honom,  Gallas,  een  hoop  folck / thertill  att  gå  emot  mig  på  den  eena  såsom  och  Erkehertigen, / med  alt  det  folck  han  allareda  kan  hafva  samblat  tillsamman  och / än  dagligen  mehra  förväntar  till  sig  uh[r]  Italien  och  andre  ohr- / ter, å  den  andre  siidan,  hvilket  jag  allena  intet  kan  afväria**). /  / *Der  till  med  kan  jag  ock  nu  icke  vetta,  med  hvad  force / Frankrijke    täncker   till   fortsättia   k
rikskanslerenax00palagoog	38654	38788	3	929	0.59	yes	1	1	lijkväl,  thet  härefter  intet  mehra  väl  vara  till  practicera,  ithy / Monsieur  Croissy,  sedan  bemelte  öfvercommissarius  är  (utkommen» /  /  / *')  Orden  inom  asterisker  åro  skrifna  i  chiffer,  hvilken  af  ntgif veren  har / mået  upplösas.  Chiffern  är  densamma,  tom  frän  är  1646  användes  vid  korre- / spondens mellan  Regeringen  (äfven  A.  O.  ensam)  och  de  svenske  k omm Isse- / rierna i  Osnabrttck,  äfvensom  understundom  mellan  de  sistnämnde  och  Torsten-
rikskanslerenax00styfgoog	39880	39942	3	634	0.84	no	14	4	 / 602*).  Nürnberg  den  23  JuU  1682. /  / Gustaf  Adolph  etc.  Vår  synnerlige  etc.  Effter  dett,  her / Cantzler,  oss  ligger  macht  opå,  dett  vij  mage  icke  mindre  71  72 / 73  44  24  23  81  26  31  65  17  16  i  ett  75  65  47  81  54  65  17  51 / 82  26  62  32  än  här  oppe.  Så  är  fördenskuld  vår  nådigeste  vilie, / dett  I  correspondere  medh  her  17  81  26.24  8  96  99  205  70  51 / 26  27  44  26  dett  han  medh  all  macht  drifver  opå,  dett  3782 / Bom 
rikskanslerenax02akadgoog	63010	63018	1	100	0.48	no	0	0	Vår  *instruction***),  aff  Regeringen  giffvin  till  thenne  *tTac- / tat*^*),  förmäler  väll  någott,  på  hvadh  sätt  vij  skulle  med  •Po- / lacken*'®) giöra  *fredh**'),  men  lickväll,  hvadh  ther  uthinnan / *extrema*")  skall  vara,  säijes  intett.  Dett  kunde  väll  tijdh  ähnnu / noch  vara  ther  om  att  tala,  men  efftcr  con-espondentieme  emella[n] / m.  k.  h.  f.,  Regeringen  och  oss  långsam pt  gåå,  och  tiderna  kunne / byta  sigh  om,  så  till  värring  som  til
rikskanslerenax02akadgoog	63410	63413	1	43	0.49	yes	1	1	och  att  h.  Johan  Banner  kunde  fata  *Landzberg*  *®)  och  tillika / angripa  *Polen*")  och  försvara  *Pomeren*  *^).  Oss  tienar  här / bäst  att  gåå  *defensive*^3)  och  skaffa  för  *medellössa* ")  skull, / thed  mesta  falk  här  *ifrån*  '*)  vij  kunna.  Vij  haffve  fuUer  i  sin- / nett  att  angripa  *Königsberg*  *•),  men  jag  fruchtar,  thett  in  tett / väll  kunna  skee,  om  *fienden*")  kommer  titt,  som  jagh  vist  håller / förre  medh  'armadan*  **).     Intett 
sim_great-britain-public-record-papers-domestic-charles-ii_1673-1675_index	58871	58877	1	30	0.53	yes	1	1	 /  /  /  /  /  /  /  /  / wa | Pate | Sankt | Quamme| Bowel | Wind, | Remarks / 227 1 5 24 0 W. / 228 1 5 24 0 §.E. / 229 2 5 24 0 S.W. / 230 3 5 24 0 S.W. / 931 4 4 24 0 N. / 232 5 8 | 0 0 N.E. / 233 6 2 | ag ek, N.E. | / 234 7 ae 0; Oo §.E. | / 935 8 : y. 0 W. | / 236 9 1 4 | 0 | 8.W. / 937 | 10 1 6 | o | NW. | / 938 | 11 1 C4 Gh ee / 939 | 12 1 a We. / 240 | 18 | 0 1 | 0 | N.W..| / 941 | 14 | 0 8 | 0 | N.W. | / 242 | 15 1 6 | O S.W. |
sim_great-britain-public-record-papers-domestic-charles-ii_october-1672-february-1673	43194	43210	2	48	0.52	maybe	5	2	 /  /  /  /  /  /  / Vol. Out- | In- / 319| Date. |King’s} ward | ward | Wind. Remarks. / No. Bound | Bound / 132 1 5 6 0 W. / 133 4 8 6 0 W. / 134 3 6 6 0 |N.W. / To-day sailed all the fleet in the / 135 4 0 0 0 |W. Downs with all the men-of-war / for Portsmouth. / 136 5 0 3 0 |E. / Your packets for Jamaica are / 137 6 3 1 0 | £E. {rc by Mr. Potts commander of / the Golden Lion. / 138 7 3 i 0 |£E. / 139 8 3 1 0 E. / 140 9 2 1 0 E. / 14) 10 2 1 0 E. / 142 1l 2 1 0 E. / 143 12 2 1 0 E. / 144 13 2
sim_great-britain-public-record-papers-domestic-charles-ii_october-1672-february-1673	61133	61139	1	43	0.47	yes	3	2	279 | 10 23 77 0 | N.W. / 280 | 11 23 77 0 |W. / The same ships as yesterday / eal Pikes = ell seam Pes Ba to sail to-day. / 282 | 18 15 77 0 |S. / The same fleet as the 13th / —; ™ - 7 > hee to sail. / To-dey the ships in the former / 284] 15 _ — 1 | N.E, list sailed except about 18, not yet / broke ground. / 285 16 5 1 0 |S.E. / 286 | 17 6 1 Oo |S. / 287 | 19 5 1 0 |N. / 288 | 20 5 1 0 |N.E. / 289 | 21 3 1 0 |N.E. / 290 | 22 5 1 O | N.W. / 291 | 23 5 1 0 | N.E. / 292 | 27 3 1 0 |£E. / 293 | 28
sim_great-britain-public-record-papers-domestic-charles-ii_october-1672-february-1673	74803	74811	1	44	0.59	yes	3	2	 /  /  /  /  /  /  / Vol. Out- | In- / 334] Date. |King’s| ward | ward | Wind. Remarks. / No. Bound | Beund / 45 1 2 1 0 |8.E. / 46 2 2 1 0 |S8.E. / 47 3 8 2 0 | N.W. / 48 4 2 ] 0 | &E. / 49 6 1 1 0 |E. / 50 6 1 0 0 |E. / 51 7 1 0 0 |S.W. / 52 8 1 0 0 |S8.W. / 53 9 3 0 0 — / 54] 10 1 0 0 | NE. / 65} 11 1 0 0. |S.W. / 56 | 12 3 0 0 | N.E. : / Two vessels inward, not spoken / 57 | 14 1 0 2 |S.E. |{ with by reason of the weather, / and they making sail. / 68 | 16 2 0 0 |S.W. /  / 
stuartpaperswind56greauoft	5035	5038	1	20	0.3	no	2	0	6,000  of  No.  26  of  the  same  letter  (shoes)  at  10  livres  (sic)12,500 / 22,  10,  23,  25,  20  (b,r,e,a,d)  for  one  month    . .  , ,        9,000 /  / 1,500  of  No.  15  of  the  same  letter  (ammunition)      . .        1,200 /  /  / 61 /  /  / 5,000  of  22,  25,  17  (b,a,l[l]) / 5,000  22,  23,  17,  74,  95  (b,e,l,t,s) / 2,500  95,  17,  12,  11,  13,  95  (s,l,i,n,g,s) / 6  of  No.  16  same  letter  (cannon)  fitted / No.  20  of  the  same  letter  (flints) / 22,  10,  2
