letter	run	page	line	pos	token	gloss	left	right	conf
5557	4	1	16	8	71	Hauff			? position approximate
5557	4	1	16	9	99				ok
5557	4	1	16	10	82				ok
5557	4	1	16	11	22				ok
5557	4	1	16	12	122				ok
5557	4	1	16	13	100				ok
5557	4	1	16	14	64				ok
5557	4	1	16	15	38				ok
5557	4	1	16	16	89			gantze	ok
5557	5	1	16	1	39		gantze		ok
5557	5	1	16	2	67				ok
5557	5	1	16	3	81				ok
5557	5	1	17	4	163	Viel			? 113 or 163; phrase-to-number mapping approximate
5557	5	1	17	5	130	Volcker			ok
5557	5	1	17	6	37	zu			ok
5557	5	1	17	7	10	bringen			ok
5557	5	1	17	8	23	sein			? word may land on 34 instead
5557	5	1	17	9	34				ok
5557	5	1	17	10	60				ok
5557	5	1	17	11	38				ok
5557	5	1	17	12	70				ok
5557	5	1	17	13	24				ok
5557	5	1	17	14	105				ok
5557	5	1	17	15	2				ok
5557	5	1	17	16	93				ok
5557	5	1	17	17	85				ok
5557	5	1	17	18	4				ok
5557	5	1	17	19	126				ok
5557	5	1	17	20	137			sein / Jst nun deßhalben also bedacht	ok
5557	6	1	18	1	90	Kriegstandt	...der ander Vorschlag mit		ok
5557	6	1	18	2	25				ok
5557	6	1	18	3	104				ok
5557	6	1	18	4	30				ok
5557	6	1	18	5	114				ok
5557	6	1	18	6	65				ok
5557	6	1	18	7	3				ok
5557	6	1	18	8	77				ok
5557	6	1	18	9	144				ok
5557	6	1	18	10	130			nicht allein viel leichtlicher in kürtzerer Zeit	ok
5557	7a	1	21	1	336	Boetbock	zu solchem werck ohngefähr	alß	? gloss uncertain; a second gloss word directly below is struck through and illegible
5557	7b	1	21	1	346	duBBOE	alß	und	? gloss uncertain; a second word below it reads approx. 'Beatig'/'Reÿtig', also uncertain
5557	7c	1	21	1	339	Reytzeug	und	daß fertig sein die	?
5557	8	1	21	1	27		daß fertig sein die		? gloss above illegible, not transcribed
5557	8	1	21	2	83				ok
5557	8	1	21	3	72				ok
5557	8	1	21	4	96				ok
5557	8	1	21	5	30				ok
5557	8	1	21	6	31				ok
5557	8	1	21	7	63				ok
5557	8	1	21	8	39				ok
5557	8	1	21	9	30				ok
5557	8	1	21	10	83				ok
5557	8	1	21	11	3				ok
5557	8	1	21	12	33				ok
5557	8	1	22	13	133				ok
5557	8	1	22	14	132				ok
5557	8	1	22	15	135				ok
5557	8	1	22	16	XV	hundert			ok
5557	8	1	22	17	98				? faint gloss above, illegible
5557	8	1	22	18	36				ok
5557	8	1	22	19	5				ok
5557	8	1	22	20	76				ok
5557	8	1	22	21	82				ok
5557	8	1	22	22	24				ok
5557	8	1	22	23	35				ok
5557	8	1	22	24	149				ok
5557	8	1	22	25	335				ok
5557	8	1	23	26	137				ok
5557	8	1	23	27	100				ok
5557	8	1	23	28	64				ok
5557	8	1	23	29	69				ok
5557	8	1	23	30	85				ok
5557	8	1	23	31	5			möchte / damit man den Kriegsleuthen	ok
5557	9	1	24	1	6	Befestigen	möchte / damit man den Kriegßleuthen		ok
5557	9	1	24	2	21				ok
5557	9	1	24	3	31				ok
5557	9	1	24	4	121				ok
5557	9	1	24	5	123				ok
5557	9	1	24	6	147				ok
5557	9	1	24	7	139				ok
5557	9	1	24	8	131			so viel daß	ok
5557	10	1	25	1	66		daß ohn Verhinderung des Feindts		ok
5557	10	1	25	2	81				ok
5557	10	1	25	3	89				ok
5557	10	1	25	4	82				ok
5557	10	1	25	5	28				? 26 or 28
5557	10	1	25	6	31				ok
5557	10	1	25	7	101				ok
5557	10	1	25	8	91	Befatzung			? position approximate (Besatzung)
5557	10	1	25	9	81				ok
5557	10	1	25	10	i				ok
5557	10	1	25	11	145			und noch grösserer	ok
5557	11	1	26	1	68	Befestigung	und noch grösserer / und noch weniger		? position approximate
5557	11	1	26	2	83				ok
5557	11	1	26	3	27				ok
5557	11	1	26	4	63				ok
5557	11	1	26	5	32				ok
5557	11	1	26	6	57				ok
5557	11	1	26	7	40				ok
5557	11	1	26	8	2				ok
5557	11	1	26	9	92				ok
5557	11	1	27	10	67				ok
5557	11	1	27	11	85				ok
5557	11	1	27	12	90				ok
5557	11	1	27	13	84				ok
5557	11	1	27	14	30				ok
5557	11	1	27	15	24				ok
5557	11	1	27	16	105				ok
5557	11	1	27	17	95				ok
5557	11	1	27	18	39				ok
5557	11	1	27	19	5				ok
5557	11	1	27	20	94				ok
5557	11	1	27	21	133				ok
5557	11	1	27	22	122				ok
5557	11	1	28	23	128				ok
5557	11	1	28	24	139			deßelben E.G. dann	ok
5557	12	1	28	1	77		deßelben E.G. dann		ok
5557	12	1	28	2	81				ok
5557	12	1	28	3	29				ok
5557	12	1	28	4	123				ok
5557	12	1	28	5	108				ok
5557	12	1	28	6	24	Kriegßvolck			? position approximate
5557	12	1	28	7	104				ok
5557	12	1	28	8	94				ok
5557	12	1	28	9	29				ok
5557	12	1	28	10	39				ok
5557	12	1	28	11	9				ok
5557	12	1	28	12	115				ok
5557	12	1	28	13	74				ok
5557	12	1	28	14	109				ok
5557	12	1	28	15	27				ok
5557	12	1	28	16	127				ok
5557	12	1	29	17	137				ok
5557	12	1	29	18	147			auch thails zufücken möge, und dann hierzu	ok
5557	13	1	29	1	59		auch thails zufücken möge, und dann hierzu		ok
5557	13	1	29	2	105				ok
5557	13	1	29	3	118				ok
5557	13	1	29	4	115	zimlich(?) sommer(?) gelt(?)			? gloss partly illegible, tentative
5557	13	1	29	5	[sketch]				? small doodle/sketch (animal?) drawn in place of a token, not a number
5557	13	1	29	6	104				ok
5557	13	1	29	7	75				ok
5557	13	1	29	8	fe				? reads like 'fe' or a stray mark, not clearly a number
5557	13	1	29	9	30				ok
5557	13	1	29	10	38				ok
5557	13	1	30	11	120				ok
5557	13	1	30	12	124				ok
5557	13	1	30	13	350			alß unlängst[?] gefunden[?] und etlich[?] und	ok
