line	box	pos	code	dist	share
13	c4a_13_003	3	VENUS	5.791	0.59
13	c4a_13_004	4	MISC-33	6.578	0.40
13	c4a_13_005	5	X	7.572	0.40
13	c4a_13_006	6	MISC-21	8.351	0.20
13	c4a_13_007	7	MISC-07	7.112	0.21
13	c4a_13_008	8	VEE	5.132	1.00
13	c4a_13_009	9	DASH-H	7.781	0.21
13	c4a_13_010	10	PCT	4.767	1.00
13	c4a_13_011	11	DASH-H	3.569	0.74
13	c4a_13_012	12	X	3.858	1.00
13	c4a_13_013	13	LOOP-TAIL	5.733	0.59
13	c4a_13_014	14	X	6.065	0.40
13	c4a_13_015	15	MISC-21	5.960	0.21
13	c4a_13_016	16	CIRC-O	6.555	0.63
13	c4a_13_017	17	MISC-13	4.650	0.43
14	c4a_14_001	1	_	6.475	0.42
14	c4a_14_002	2	MISC-43	6.647	0.20
14	c4a_14_003	3	X	5.591	0.40
14	c4a_14_004	4	X	5.690	1.00
14	c4a_14_005	5	X	5.830	0.39
14	c4a_14_006	6	CROSS-T	6.549	0.61
14	c4a_14_007	7	MISC-31	5.505	0.61
14	c4a_14_008	8	MISC-05	7.015	0.39
14	c4a_14_009	9	Y-CURL	5.516	0.81
14	c4a_14_010	10	X	6.226	0.61
14	c4a_14_011	11	MISC-29	5.661	1.00
14	c4a_14_012	12	MISC-21	5.633	0.22
14	c4a_14_013	13	MISC-55	3.351	1.00
