briefnr	page	content	cipher_design	hand	note
5222	12	PRINTED EDITION PAGE, p.283, letter close "Dordrecht, 29 septembre 1575", signed "Guillaume de Nassau"	n/a (print)	print	date/place/signature match target exactly -- see NOTES.md flag
5549	1	cipher numerals within German prose	German-language numerals, 2-digit, up to ~89 seen	secretary (Jan's clerk)	shelfmark "A 11/XIV A/5-18" printed footer
5549	2	cipher numerals dense	same design, up to ~99 seen	secretary	dense block, less clear text than p1
5549	3	cipher numerals within German prose	same design	secretary
5549	4	clear German prose, few/no numerals visible	n/a	secretary
5549	5	clear German prose with some numerals	sparse numerals	secretary
5549	6	blank verso, docket/address + wax seal, "A Monseigneur, Monseigneur le Prince d'Orange"	n/a	autograph	address leaf
5198	1	cipher (dense French numerals)	French numerals, up to ~86 seen	secretary	sibling, "solved on leaf" per QUEUE.md
5198	2	cipher	same design	secretary
5198	3	cipher	same design	secretary
5198	4	cipher then clear closing passage	same design	secretary
5198	5	cipher then clear passage	same design	secretary
5198	6	clear French prose, address/closing	n/a	secretary + autograph
5198	7	blank/docket verso with wax seal	n/a	autograph
5198	8	PRINTED PERIODICAL PAGE (19th c. "Algemeenen Konst- en Letterbode", Haarlem) -- KEY TABLE for a=3,b=6,c=9,...,z=72 (mod-3 alphabet substitution, "de overige cijfers zijn zoogenaamde non-valeurs" = other numbers are nulls); introduces "CCCLXXXV, Lettre du Prince d'Orange au Cte Jean de Nassau, dat de Malines, 21 Sept. 1572"	printed key table, not cipher itself	print	*** MASTER KEY CANDIDATE for this circle -- see NOTES.md flag, worth testing against 5200/5207/5213 etc ***
5198	9	PRINTED PERIODICAL PAGE continuation -- deciphered French opening lines of GPA CCCLXXXV, with editorial footnotes correcting misprinted cipher values	deciphered plaintext + errata	print	pairs directly with p1-2's ciphertext for key verification
5199	1	cipher (dense French numerals) then clear autograph signature "Guillaume de Nassau"	French numerals, up to ~92 seen	secretary + autograph	sibling, "solved on leaf" per QUEUE.md
5199	2	cipher, very faint/faded scan	same design	secretary	hardest page to read of this letter
5199	3	PRINTED EDITION PAGE -- "Archives ou correspondance inedite de la Maison d'Orange-Nassau, Tome III p.513 et 514", full French plaintext, dated "24 de 7bre 1572" ("Escrit en mon camp a Geel"), signed "Guillaume de Nassau"	n/a (print)	print	full contemporaneous plaintext of this letter, already known per QUEUE.md
5199	4	blank verso	n/a	n/a
5033	1	blank/docket leaf with note	n/a	n/a	sibling, "solved elsewhere (Groen van Prinsterer)" per QUEUE.md; long item, 24 pages
5033	2-24	manuscript, heavily faded scan (low contrast throughout); appears mostly clear/cursive secretary-hand prose with occasional short numeral groups, not a dense numeral cipher like the other letters in this circle	sparse/uncertain, not closely measured at this pass	secretary	*** needs a closer, better-contrast pass before use as a decipherment source -- this pass could not confirm cipher density or a bundled printed page at this scan quality ***
