letter	line	pos	sign	tested_value	emitted	print_at	hit	ctx_left	ctx_right
5810	05810_p5_L14	1	129	m	m	-	0	entdoubter	ainsnousas
5810	05810_p5_L33	12	129	m	m	a	0	ucunechose	ffinquenou
5810	05810_p5_L33	21	129	m	m	-	0	seaffinque	nouspuissi
5810	05810_p6_L05	16	129	m	m	-	0	erendreala	mercydesen
5810	05810_p6_L06	17	129	m	m	-	0	desennemys	quilonttra
5810	05810_p6_L10	18	129	m	m	-	0	raictement	lennemyfer
5810	05810_p6_L25	12	129	m	m	m	1	eplusieurs	oyensdesqu
5810	05810_p7_L01	1	129	m	m	m	1	foisquelle	aestetresa
5810	05810_p7_L03	8	129	m	m	s	0	onsdebuoir	etdilligen
5810	05810_p7_L06	16	129	m	m	e	0	ncedeuostr	lettrepuis
5810	05810_p7_L15	9	129	m	m	-	0	ozaffaires	bienquesui
5810	05810_p7_L17	22	129	m	m	-	0	ionpardela	quescaueze
5811	05811_p1_L09	6	129	m	m	-	0	uisasseure	rqueuozlet
5811	05811_p5_L08	1	129	m	m	m	1	euostreche	ynentregra
5811	05811_p5_L08	8	129	m	m	i	0	elieuouspu	sasseurerq
5811	05811_p5_L15	8	129	m	m	-	0	ronsdetiel	pourestree
4503	04503_p1_L14	16	129	m	m	-	0	ensembleet	aussyquelq
5810	05810_p3_L11	10	123	l	l	z	0	laquescaue	estenbonst
5810	05810_p7_L18	10	123	l	l	-	0	aquescauez	estenbonst
5811	05811_p1_L05	21	123	l	l	-	0	berationde	uenirauecu
5811	05811_p1_L12	16	123	l	l	-	0	ayantreceu	uostrelett
5811	05811_p1_L26	14	123	l	l	-	0	necessites	leplusques
5811	05811_p2_L04	1	123	l	l	-	0	estesparty	quilzsoyen
5811	05811_p2_L10	18	123	l	l	a	0	endroitmal	proposoril
5811	05811_p2_L14	6	123	l	l	-	0	xquonpeult	quantaurit
5811	05811_p5_L05	11	123	l	l	-	0	berationde	uenirauecu
5811	05811_p5_L10	10	123	l	l	-	0	ayantreceu	uostrelett
5811	05811_p5_L15	3	123	l	l	e	0	senuironsd	tielpoures
5811	05811_p5_L21	20	123	l	l	-	0	necessites	leplusques
5811	05811_p5_L28	5	123	l	l	-	0	sestespart	yquilzsoye
5811	05811_p5_L36	15	123	l	l	-	0	xquonpeult	quantaurit
sib	4613_L18	14	123	l	l	l	1	uuellesqui	zserontbie
sib	4613_L29	2	123	l	l	-	0	ancquemont	etlaaupres
sib	4615_L13	16	123	l	l	-	0	deyaduiser	pournouste
5810	05810_p5_L09	12	107	k	k	i	0	empsetlasa	sondeliuer
5810	05810_p5_L09	12	107	i	i	i	1	empsetlasa	sondeliuer
sib	4613_L05	2	107	k	k	y	0	deuingtdem	moisauecqg
sib	4615_L03	20	107	k	k	-	0	grandepart	iesenretou
sib	4613_L05	2	107	i	i	y	1	deuingtdem	moisauecqg
sib	4615_L03	20	107	i	i	i	1	grandepart	esenretour
5810	05810_p5_L21	5	95	g	g	g	1	sifortchar	eesqueselo
5810	05810_p6_L33	22	95	g	g	g	1	ntdescoura	eesdesunie
5810	05810_p5_L21	5	95	h	h	g	0	sifortchar	eesqueselo
5810	05810_p6_L33	22	95	h	h	g	0	ntdescoura	eesdesunie
5810	05810_p7_L14	21	57	z	z	z	1	lutiondeuo	affairesbi
5810	05810_p7_L14	21	57	x	x	z	0	lutiondeuo	affairesbi
5811	05811_p1_L06	16	57	z	z	u	0	auecuoztro	ppespardec
5811	05811_p2_L04	8	57	z	z	z	1	spartyquil	soyentdeli
5811	05811_p1_L06	16	57	x	x	u	0	auecuoztro	ppespardec
5811	05811_p2_L04	8	57	x	x	z	0	spartyquil	soyentdeli
sib	4613_L18	15	57	z	z	z	1	uellesquil	serontbien
sib	4613_L18	15	57	x	x	z	0	uellesquil	serontbien
