run	page	pos	token	kind	left	right
14	141	1	201	num	. 71. 74. 4. 38. 23. So habe, derhalben	alszbalt 78. 60. 7. 74. 47. 9. 182. ver
15	141	1	78	num	8. 23. So habe, derhalben 201. alszbalt	
15	141	2	60	num		
15	141	3	7	num		
15	141	4	74	num		
15	141	5	47	num		
15	141	6	9	num		
15	141	7	182	num		
15	141	8	vert	clear		
15	141	9	179	num		
15	141	10	104	num		
15	141	11	94	num		
15	141	12	6	num		
15	141	13	69	num		
15	141	14	93	num		der zuversicht ahn dem ortt etwaz nütz
16	141	1	138	num	ünfftigen montag werden hierzu 1111 cl.	
16	141	2	129	num		
16	141	3	344	num		
16	141	4	14	num		
16	141	5	24	num		
16	141	6	60	num		
16	141	7	88	num		
16	141	8	27	num		
16	141	9	eig	clear		
16	141	10	39	num		
16	141	11	44	num		en und umb 8. 7. 64. 39. 124 und dersel
17	141	1	8	num	24. 60. 88. 27. eig. 39. 44. en und umb	
17	141	2	7	num		
17	141	3	64	num		
17	141	4	39	num		124 und derselben gegent 73. 74. 98. 14
18	141	1	73	num	8. 7. 64. 39. 124 und derselben gegent	
18	141	2	74	num		
18	141	3	98	num		
18	141	4	14	num		
18	141	5	65	num		
18	141	6	93	num		
18	141	7	11	num		
18	141	8	27	num		
18	141	9	18	num		
18	141	10	5	num		zu thun understehen. Man sagt 62. 42. 1
19	141	1	62	num	7. 18. 5. zu thun understehen. Man sagt	
19	141	2	42	num		
19	141	3	132	num		
19	141	4	ey	clear		
19	141	5	9	num		schon 137. frü 9. 32. ettlichen tagen 6
20	141	1	137	num	hen. Man sagt 62. 42. 132. ey. 9. schon	
20	141	2	frü	clear		
20	141	3	9	num		
20	141	4	32	num		ettlichen tagen 63. 105. 37. ch. 14. 16
21	141	1	63	num	. schon 137. frü 9. 32. ettlichen tagen	
21	141	2	105	num		
21	141	3	37	num		
21	141	4	ch	clear		
21	141	5	14	num		
21	141	6	16	num		
21	141	7	42	num		
21	141	8	69	num		
21	141	9	126	num		
21	141	10	in	clear		
21	141	11	66	num		
21	141	12	120	num		
21	141	13	v	clear		
21	141	14	127	num		
21	141	15	gü	clear		
21	141	16	14	num		
21	141	17	88	num		
21	141	18	68	num		
21	141	19	128	num		
21	141	20	2	num		
21	141	21	e	clear		
21	141	22	115	num		
21	141	23	ogen	clear		
21	141	24	19	num		Es ist noch vom 336. zu 295. und in and
22	141	1	336	num	28. 2. e. 115. ogen 19. Es ist noch vom	
22	141	2	zu	clear		
22	141	3	295	num		und in andern 28. 29. 59. 63. n. 19. fü
23	141	1	28	num	ist noch vom 336. zu 295. und in andern	
23	141	2	29	num		
23	141	3	59	num		
23	141	4	63	num		
23	141	5	n	clear		
23	141	6	19	num		
23	141	7	für	clear		
23	141	8	14	num		
23	141	9	3	num		
23	141	10	50	num		
23	141	11	98	num		
23	142	12	58	num		
23	142	13	59	num		
23	142	14	n	clear		
23	142	15	129	num		hoff es solle mit diesem gleich dem and
24	142	1	157	num	n verstanden haben das die handlung mit	
24	142	2	137	num		
24	142	3	133	num		Gott lob, gahr wohl und besser dan wir
25	142	1	60	num	chtige wolle ferner gnad verleihen. Die	
25	142	2	76	num		
25	142	3	96	num		
25	142	4	18	num		
25	142	5	65	num		
25	142	6	93	num		
25	142	7	62	num		
25	142	8	64	num		dieser ortt davon D. ist auch in gutten
26	142	1	126	num	rs, und ist fürwahr der last nit gering	
26	142	2	137	num		
26	142	3	181	num		lest sich je lenger, je besser ahn, beg
27	142	1	127	num	begind [gnedig] zu werden ist noch bey	
27	142	2	19	num		
27	142	3	178	num		
27	142	4	9	num		hoffe es solle ohne grossen frucht nit
28	142	1	9	num	it viel guts können auszrichten. Dan es	
28	142	2	23	num		
28	142	3	33	num		
28	142	4	34	num		
28	142	5	133	num		
28	142	6	53	num		
28	142	7	ür	clear		
28	142	8	52	num		
28	142	9	22	num		126 gantz 19. 290. und sonderlich in de
29	142	1	19	num	. 33. 34. 133. 53. ür 52. 22. 126 gantz	
29	142	2	290	num		und sonderlich in den fürnemsten 43. 44
30	143	1	43	num	. 290. und sonderlich in den fürnemsten	
30	143	2	44	num		
30	143	3	64	num		
30	143	4	d	clear		
30	143	5	134	num		
30	143	6	74	num		nu gahr 19. 21. 27. 79. 28. 33. 69. 47.
31	143	1	19	num	nemsten 43. 44. 64. d. 134. 74. nu gahr	
31	143	2	21	num		
31	143	3	27	num		
31	143	4	79	num		
31	143	5	28	num		
31	143	6	33	num		
31	143	7	69	num		
31	143	8	47	num		
31	143	9	14	num		
31	143	10	77	num		
31	143	11	70	num		
31	143	12	78	num		
31	143	13	6	num		
31	143	14	74	num		
31	143	15	76	num		
31	143	16	127	num		
31	143	17	137	num		wen nuhn E.G. denen etwaz uff leidliche
32	143	1	9	num	. denen etwaz uff leidliche conditiones	
32	143	2	105	num		
32	143	3	84	num		
32	143	4	86	num		
32	143	5	11	num		
32	143	6	63	num		
32	143	7	88	num		
32	143	8	9	num		und bisz 120. 1. 5. 14. 73. 4. 19. 15.
33	143	1	120	num	9. 105. 84. 86. 11. 63. 88. 9. und bisz	
33	143	2	1	num		
33	143	3	5	num		
33	143	4	14	num		
33	143	5	73	num		
33	143	6	4	num		
33	143	7	19	num		
33	143	8	15	num		
33	143	9	27	num		
33	143	10	79	num		
33	143	11	78	num		
33	143	12	44	num		
33	143	13	8	num		
33	143	14	74	num		
33	143	15	42	num		
33	143	16	9	num		
33	143	17	91	num		
33	143	18	13	num		
33	143	19	10	num		
33	143	20	15	num		
33	143	21	ern	clear		
33	143	22	126	num		zu lassen sich erpietten wurden, hoffte
34	143	1	128	num	t verursachen. Ich vermercke soviel ahn	
34	143	2	135	num		
34	143	3	157	num		
34	143	4	das	clear		
34	143	5	142	num		sachen 18. 88. 128. 311. 14. 38. 35. 50
35	143	1	18	num	viel ahn 128. 135. 157. das 142. sachen	
35	143	2	88	num		
35	143	3	128	num		
35	143	4	311	num		
35	143	5	14	num		
35	143	6	38	num		
35	143	7	35	num		
35	143	8	50	num		
35	143	9	93	num		
35	143	10	13	num		en und sonsten nit wolh stehen, und das
36	143	1	74	num	n, und dasz man nichts liebers sehe als	
36	143	2	4	num		
36	143	3	54	num		
36	143	4	78	num		
36	143	5	14	num		
36	143	6	15	num		
36	143	7	47	num		
36	143	8	23	num		
36	143	9	53	num		
36	143	10	69	num		
36	143	11	137	num		
36	143	12	128	num		und ist derenthalben viel mit mir darvo
37	143	1	140	num	n geredt worden. Wir haben warnung dasz	
37	143	2	und	clear		
37	143	3	142	num		durch 168. und die beckentte alte mit 3
38	143	1	168	num	haben warnung dasz 140. und 142. durch	und die beckentte alte mit 30. 69. te 1
39	143	1	30	num	. durch 168. und die beckentte alte mit	
39	143	2	69	num		
39	143	3	te	clear		
39	143	4	14	num		
39	143	5	r	clear		
39	143	6	19	num		
39	143	7	79	num		
39	143	8	67	num		
39	143	9	7	num		
39	143	10	28	num		
39	143	11	74	num		
39	143	12	n	clear		
39	143	13	127	num		hefftig practiciren und von 129. 146. g
40	143	1	129	num	74. n. 127. hefftig practiciren und von	
40	143	2	146	num		gehrn erlangen wolten, das sie der ort
41	143	1	66	num	gehrn erlangen wolten, das sie der ort	
41	143	2	99	num		
41	143	3	49	num		
41	143	4	104	num		
41	143	5	90	num		
41	143	6	93	num		
41	143	7	69	num		
41	143	8	cht	clear		
41	143	9	128	num		und was zur 19. 9. 48. ch. 138. 8. 10.
42	143	1	19	num	. 104. 90. 93. 69. cht 128. und was zur	
42	143	2	9	num		
42	143	3	48	num		
42	143	4	ch	clear		
42	143	5	138	num		
42	143	6	8	num		
42	143	7	10	num		
42	143	8	15	num		
42	143	9	120	num		
42	143	10	88	num		
42	143	11	6	num		
42	143	12	138	num		gehörig bekomen möchten, dan sie dahien
43	143	1	2	num	ie dahien entschlossen, wo der obgemelt	
43	143	2	120	num		
43	143	3	61	num		
43	143	4	er	clear		
43	143	5	14	num		
43	143	6	9	num		
43	143	7	98	num		
43	143	8	70	num		
43	143	9	39	num		
43	143	10	84	num		
43	143	11	42	num		nit solte 73. 14. 126. en 9. 5. 27. 4.
44	143	1	73	num	er 14. 9. 98. 70. 39. 84. 42. nit solte	
44	143	2	14	num		
44	143	3	126	num		
44	143	4	en	clear		
44	143	5	9	num		
44	143	6	5	num		
44	143	7	27	num		
44	143	8	4	num		
44	143	9	68	num		
44	143	10	en	clear		
44	143	11	135	num		erhalten, wie sie doch meinen das ihnen
45	143	1	77	num	n nit felen werde, dasz sie alszden all	
45	143	2	70	num		
45	143	3	72	num		
45	143	4	7	num		
45	143	5	29	num		
45	143	6	129	num		
45	143	7	14	num		
45	143	8	9	num		
45	143	9	104	num		
45	143	10	100	num		
45	143	11	19	num		
45	143	12	v	clear		
45	143	13	43	num		
45	143	14	54	num		
45	143	15	3	num		
45	143	16	64	num		
45	143	17	14	num		
45	143	18	134	num		
45	143	19	105	num		
45	143	20	54	num		
45	143	21	37	num		
45	143	22	48	num		
45	143	23	115	num		
45	143	24	52	num		
45	143	25	12	num		
45	143	26	59	num		
45	143	27	88	num		
45	143	28	9	num		wolten. Derhalben E.G. diesen ding uff
46	143	1	137	num	aben durch mittel persohnen und sonsten	
46	143	2	178	num		
46	143	3	und	clear		
46	143	4	14	num		
46	143	5	19	num		
46	143	6	183	num		berichten und diese ding mit vleisz und
47	143	1	129	num	derbawen lassen. Man schreibt unsz ausz	
47	143	2	135	num		
47	143	3	14	num		
47	143	4	9	num		
47	143	5	316	num		
47	143	6	dasz	clear		
47	143	7	28	num		
47	143	8	29	num		
47	143	9	27	num		
47	143	10	79	num		
47	143	11	33	num		
47	143	12	38	num		
47	143	13	108	num		
47	143	14	14	num		
47	143	15	19	num		albereit nach der 34. 54. 17. 64. wa 9.
48	143	1	34	num	33. 38. 108. 14. 19. albereit nach der	
48	143	2	54	num		
48	143	3	17	num		
48	143	4	64	num		
48	143	5	wa	clear		
48	143	6	9	num		
48	143	7	43	num		
48	143	8	44	num		
48	143	9	43	num		sey dem von 14. 91. 70. 9. 88. 99. 100.
49	144	1	14	num	. 17. 64. wa 9. 43. 44. 43. sey dem von	
49	144	2	91	num		
49	144	3	70	num		
49	144	4	9	num		
49	144	5	88	num		
49	144	6	99	num		
49	144	7	100	num		e. die hand zu bieten, sobalt er nicht
50	144	1	24	num	t er nicht schreiben und resolution von	
50	144	2	201	num		beckome. Wiewohl nuhn solches vorlengst
51	144	1	24	num	d ime nit gefallen lassen von wegen der	
51	144	2	105	num		
51	144	3	83	num		
51	144	4	90	num		
51	144	5	94	num		
51	144	6	14	num		19 sten und 9. 11. 69. 10. 70. 32. dasz
52	144	1	9	num	er 24. 105. 83. 90. 94. 14. 19 sten und	
52	144	2	11	num		
52	144	3	69	num		
52	144	4	10	num		
52	144	5	70	num		
52	144	6	32	num		dasz man solche 342. und 343. 128. soll
53	144	1	342	num	9. 11. 69. 10. 70. 32. dasz man solche	
53	144	2	und	clear		
53	144	3	343	num		
53	144	4	128	num		solle 119. 118. 115. 137. 111. a 43. 48
54	144	1	119	num	asz man solche 342. und 343. 128. solle	
54	144	2	118	num		
54	144	3	115	num		
54	144	4	137	num		
54	144	5	111	num		
54	144	6	a	clear		
54	144	7	43	num		
54	144	8	48	num		er lassen ziehen, schrieb derhalben E.G
55	144	1	19	num	ediger Herr, es schreibt der man D. das	
55	144	2	24	num		
55	144	3	201	num		der ort hoch nöttig seie; wiewohl nuhn
56	144	1	91	num	wohl nuhn zu erachten das E.G. itzo ahn	
56	144	2	69	num		
56	144	3	110	num		
56	144	4	39	num		
56	144	5	44	num		
56	144	6	14	num		
56	144	7	en	clear		
56	144	8	9	num		
56	144	9	gahr	clear		
56	144	10	71	num		
56	144	11	96	num		
56	144	12	99	num		
56	144	13	43	num		
56	144	14	134	num		
56	144	15	136	num		sind, so ist doch dieser ort 33. 64. 8.
57	144	1	33	num	134. 136. sind, so ist doch dieser ort	
57	144	2	64	num		
57	144	3	8	num		
57	144	4	88	num		
57	144	5	er	clear		
57	144	6	14	num		
57	144	7	19	num		auch nit wol 104. 120. 59. 83. 29. va 1
58	144	1	104	num	33. 64. 8. 88. er 14. 19. auch nit wol	
58	144	2	120	num		
58	144	3	59	num		
58	144	4	83	num		
58	144	5	29	num		
58	144	6	va	clear		
58	144	7	14	num		
58	144	8	49	num		
58	144	9	19	num		en. Sonderlich dweil daszjenig darnach
59	145	1	201	num	; stünde auch zu besorgen, wan E.G. und	
59	145	2	19	num		
59	145	3	24	num		
59	145	4	66	num		
59	145	5	69	num		
59	145	6	23	num		
59	145	7	43	num		
59	145	8	70	num		
59	145	9	77	num		
59	145	10	74	num		
59	145	11	78	num		
59	145	12	127	num		sein wurden, es wurde alsdan E.G. und d
60	145	1	12	num	alsdan E.G. und denselben örtten desto	
60	145	2	65	num		
60	145	3	42	num		
60	145	4	44	num		
60	145	5	59	num		
60	145	6	47	num		
60	145	7	14	num		
60	145	8	124	num		
60	145	9	115	num		
60	145	10	ge	clear		
60	145	11	48	num		
60	145	12	54	num		
60	145	13	39	num		
60	145	14	118	num		
60	145	15	t	clear		
60	145	16	19	num		werden, doch zweiffel ich nit uf E.G. f
61	146	1	121	num	rbt gewesen, hab zubringen .... müssen.	
61	146	2	133	num		
61	146	3	192	num		begert hefftig von E.G. allezeit zeittu
