line	pos	status	G_sign	G_gloss	H_sign	H_gloss	G_note	H_note
02	21	agree	104	u	104	u	s2	s2
02	22	agree	S30	n	S30	n	s2 'na' shape, c-hook faint	s2 na shape; c-hook faint
02	23	agree	S03	a	S03	a	s2 same looped-tail sign, tail runs into divider	s2 loop with long tail
02	24	agree	|		|		s2	s2
02	25	GLOSS	60	i	60	t	s2	s2 gloss t or l
02	26	GLOSS	26	c	26	e	s2	s2 gloss e or i
02	27	SIGN	4	f	64	f	s2 tall curved gloss	s2 gloss a large f above
02	28	agree	S29	m	S29	m	s2 uu with a leading hook; gloss c-hook+m	s2 minims; gloss m with a leading curl
02	29	agree	16		16		s2 6 may be 0	s2 no gloss seen
02	30	agree	|		|		s2	s2
02	31	agree	S16	d	S16	d	s2	s2 long-s stroke
02	32	agree	104	u	104	u	s2	s2
02	33	agree	|		|		s2 double stroke	s2
02	34	SIGN	S31	p	9	p	s2	s2
02	35	agree	12	a	12	a	s2	s2
03	1	SIGN	S27	c	4	ff	s1 tall long-s pair with a crossed stroke below (4-like); small c at top right read as glo	s1 cross-with-tail; above/left two thick tall long-s strokes joined by a top bar with smal
03	2	agree	62		62		s1	s1
03	3	agree	|		|		s1	s1
03	4	agree	22	po	22	po	s1 gloss 'po' over both digits; could be 2 + 2	s1 gloss po (second letter o or e)
03	5	agree	|		|		s1	s1
03	6	GLOSS	S34	z	S34	r	s1 gloss crossed z	s1 Ao
03	7	SIGN	26	r	2	e	s1 gloss r or c above 2; split 26/4 (alt 2/64)	s1 lone 2; gloss small c/e/r-like
03	8	SIGN	4	f	64	f	s1 tall long-s gloss	s1 gloss a tall f
03	9	agree	S31	p	S31	p	s1	s1 circle on a cross with a stem above; gloss p plus a tick
03	10	GLOSS	82	u	82	o	s1 8 then flat 2; gloss two ticks (u?)	s1 8 and 2 slightly spaced, read as one code; gloss over the 8
03	11	agree	15	n	15	n	s1 second digit a curved stroke; could be 11	s1 5 in long-s form
03	12	GLOSS	9	r	9	q	s1 a thin vertical stroke crosses the 9 (divider?)	s1 a thin vertical stroke runs through it (possible faint divider); gloss q or g
03	13	GLOSS	S40		S40	r	s1 large n-shape with looped right leg and long descender; loop joined to following 2	s1 large arch with looped right leg, joined to the following 62; gloss r sits over the 62
03	14	SIGN	2	c	62		s1	s1 small 6-loop and 2 inside the S40 flourish
03	15	agree	6		6		s2	s2 lone 6
03	16	agree	|		|		s2	s2
03	17	SIGN	5	d	S16	d	s2 5 without clear flag; gloss d/theta	s2 small long-s stroke, same shape as the other d-glossed long-s signs; could be digit 5
03	18	GLOSS	16	c	16	e	s2	s2
03	19	GLOSS	9	c	9	s	s2	s2
03	20	GLOSS	26	c	26	e	s2	s2
03	21	GLOSS	S32	que	S32	quel	s2 Y with hooked top; could be S79; gloss 'que'	s2 gloss quel
03	22	agree	|		|		s2 thin vertical stroke	s2 thin faint vertical
03	23	GLOSS	4	f	4	s	s2 tall long-s gloss	s2 large cross, could be S13; gloss tall long s
03	24	agree	9	c	9	c	s2	s2
03	25	GLOSS	60	i	60	l	s2 gloss i or l	s2
03	26	GLOSS	S31	p	S31	t	s2	s2 circle on a cross; gloss cross-like t
03	27	GLOSS	64	r	64	l	s2 gloss r or i	s2 gloss l or f
03	28	SIGN	-		4	o		s2 gloss o or v
03	29	SIGN	44	o	4		s2 gloss o or p over first 4; could be 4 + 4	s2 no gloss seen
03	30	agree	15	n	15	n	s2 first digit an ink blot, second a curved stroke	s2
03	31	agree	S35	so	S35	so	s2 long s + S; small a/q above following divider	s2
03	32	GLOSS	|		|	a	s2	s2 an a-like gloss mark above the divider
03	33	agree	14	a	14	a	s2 gloss above the 4	s2 could be 1 and 4 separately; gloss over the 4
03	34	GLOSS	S34	z	S34	r	s2	s2
03	35	GLOSS	16	c	16	e	s2	s2
04	1	GLOSS	4	f	4	s	s1 tall long-s gloss	s1 x-like cross; gloss a tall long s (or f) rising at left
04	2	agree	S31	p	S31	p	s1	s1 circle on a cross, p-like top
04	3	agree	82	o	82	o	s1 8 then flat 2; gloss o above 8; could be 8 + 2	s1 8 and 2 slightly spaced, read as one code; gloss over the 8
04	4	agree	S30	n	S30	n	s1 'na' shape, no clear c-hook	s1 na shape
04	5	SIGN	5	d	S16	d	s1 curved 5-like stroke; gloss d/theta	s1 small long-s stroke
04	6	agree	104	u	104	u	s1	s1
04	7	SIGN	5	d	S16	d	s1	s1 small long-s stroke
04	8	agree	26	t	26	t	s1 gloss t sits over the 6; could be 2 + 6	s1 gloss t (possibly te)
04	9	agree	4	f	4	f	s1 tall long-s gloss	s1 gloss a large f/long s
04	10	agree	|		|		s1	s1
04	11	agree	7	u	7	u	s1 gloss u or ic	s1
04	12	GLOSS	S40		S40	r	s1 a tall hooked stroke above, probably from line 03, no clear gloss	s1
04	13	GLOSS	5	?	5	l	s1 gloss an &-like/crossed-s letter	s1 gloss script l
04	14	GLOSS	16	c	16	e	s1	s1
04	15	agree	4	f	4	f	s2 gloss long s with a loop, maybe fe	s2 double-barred cross; gloss crossed f
04	16	agree	14	a	14	a	s2	s2
04	17	GLOSS	64	z	64	f	s2	s2
04	18	agree	S37	t	S37	t	s2 crossed t joined to o	s2 to
04	19	agree	|		|		s2 thick vertical with ink blot	s2 heavy stroke over the next 2
04	20	agree	22	po	22	po	s2 first 2 blotted	s2
04	21	agree	5	l	5	l	s2	s2
04	22	GLOSS	16	c	16	e	s2	s2
04	23	SIGN	S79	quel	S32	quel	s2 u-like stroke joined to y with long tail; gloss 'quel'; could be S32	s2 u-y shape with long descender; gloss quel
04	24	SIGN	4	f	S44	se	s2 gloss long-s descending into the 4, maybe 'se'/'fe'; could be S74	s2 crossed stem with loop at top right; gloss se or fe
04	25	agree	|		|		s2 thin stroke	s2
04	26	GLOSS	62		62	e	s2	s2
04	27	SIGN	4	f	S23	s	s2 tall long-s gloss	s2 x cross; gloss a large long s
04	28	agree	S37	t	S37	t	s2	s2 to
04	29	agree	82	o	82	o	s2 gloss o above 8	s2 8 and 2 slightly spaced, read as one code; gloss over the 8
04	30	GLOSS	60	z	60	f	s2	s2
04	31	agree	S38	t	S38	t	s2 crossed t joined to c	s2 tc
04	32	agree	|		|		s2 slash	s2
04	33	GLOSS	104	?	104		s2 loop/L-shape above may be a descender from line 03, not a gloss	s2 loop above is the descender of line 03's final 6, no gloss seen; a colon follows; a z/3
05	1	GLOSS	26	c	26	e	s1	s1 gloss c/e with a stroke after it
05	2	agree	15	n	15	n	s1 second digit a curved stroke	s1
05	3	SIGN	10	u	-		s1	
05	4	SIGN	2		102	u	s1	s1
05	5	agree	|		|		s1	s1
05	6	agree	S31	p	S31	p	s1	s1 circle on a cross
05	7	agree	28	a	28	a	s1 gloss sits over the 8; could be 2 + 8	s1 2 and 8 slightly spaced, read as one code; gloss a or n over the 8
05	8	agree	S34	r	S34	r	s1	s1 Ao
05	9	SIGN	5	d	S16	d	s1	s1 small long-s stroke
05	10	agree	26	r	26	r	s1 gloss r or c	s1 gloss r-like (or e)
05	11	GLOSS	9	c	9	e	s1	s1 gloss e or c
05	12	agree	14	a	14	a	s1 gloss over 4, a or n	s1
05	13	agree	|		|		s1	s1
05	14	agree	S31	p	S31	p	s1	s1 circle on a cross
05	15	agree	12	a	12	a	s2 straddles tick, centre marginally right; gloss a-like hook	s1 straddles near the tick, centre left
05	16	agree	S40	r	S40	r	s2	s2
05	17	agree	S27	l	S27	l	s2 gloss hooked tall stroke	s2
05	18	SIGN	26	c	2	i	s2	s2 lone 2; gloss dotted i
05	19	SIGN	4	f	64	f	s2 tall long-s gloss; split 26/4 (alt 2/64)	s2 gloss a large long s/f
05	20	agree	S32	q	S32	q	s2 y-shape with hooks on both arms and bottom loop; could be S60	s2 y-like with hook at top left; gloss q
05	21	SIGN	10	u	-		s2	
05	22	SIGN	2		102	u	s2 could belong to 102	s2
05	23	GLOSS	16	c	16	e	s2	s2
05	24	GLOSS	68	ll	68	tt	s2 gloss ll or tt	s2 gloss tt
05	25	GLOSS	62	c	62	e	s2	s2
05	26	agree	S35		S35		s2 long s + s; no separate gloss seen	s2 tall crossed long s followed by a 5/s shape; no separate gloss seen
05	27	agree	|		|		s2	s2
05	28	GLOSS	60	z	60	f	s2	s2
05	29	agree	12	a	12	a	s2	s2
05	30	agree	73	y	73	y	s2 3 written small and flat; gloss y or r	s2 3 faint and low; gloss y-like
05	31	agree	|		|		s2	s2
05	32	GLOSS	26	c	26	e	s2	s2
06	1	GLOSS	4	f	4	s	s1 tall long-s gloss	s1 cross; a thick tall long-s stroke rises from it (gloss s, or part of the sign)
06	2	agree	S38	t	S38	t	s1 crossed t joined to c	s1 tc; gloss a crossed t
06	3	GLOSS	16	c	16	e	s1	s1
06	4	agree	|		|		s1	s1
06	5	agree	3	?	3	?	s1 flat-topped 3 (could be S64); gloss B/&-like, illegible	s1 z-shaped 3 with a tail (could be sign S64); gloss a B/25-like mark, illegible
06	6	GLOSS	60	i	60	it	s1	s1 gloss i over the 6 and t over the 0; could be 6 and 0 separately
06	7	GLOSS	15	n	15	en	s1 second digit curved; gloss c-n	s1 1 and a short 5 stroke; gloss en or cn
06	8	agree	|		|		s1	s1
06	9	agree	S42		S42		s1 two looped S	s1 two looped S side by side, 66-like; no gloss
06	10	SIGN	-		2			s1 no gloss
06	11	SIGN	26		6		s1 no gloss seen	s1 no gloss
06	12	agree	S30		S30		s1 'ua'/'na' shape without hook	s1 'ua'/na shape, no c-hook seen, no gloss
06	13	agree	|		|		s1 slash	s1
06	14	SIGN	-		4	f		s1 gloss f
06	15	GLOSS	4	f	4	o	s1 4 partly blotted; gloss f	s1 gloss o
06	16	SIGN	44	o	4		s1 gloss o over first 4; could be 4 + 4	s1 no gloss
06	17	agree	S34	r	S34	r	s1 straddles tick, centre left	s1 Ao, centred left of the tick
06	18	agree	S37	t	S37	t	s2	s2 to
06	19	agree	|		|		s2	s2
06	20	agree	12	a	12	a	s2 ink blot after the 2	s2
06	21	GLOSS	7	y	7	r	s2 gloss y or r; tail may make it 73	s2 gloss r (x-like)
06	22	SIGN	S16		S53	s	s2 tall long-s top over a small zigzag; maybe same as the xi-shape later in this line	s2 tall flourish from top into a 3/8-like curl with tail; the long-s top may be a gloss s
06	23	agree	4		4		s2	s2 cross, no gloss of its own
06	24	GLOSS	16	c	16	e	s2	s2
06	25	agree	|		|		s2	s2
06	26	agree	5	d	5	d	s2	s2 gloss a d-like loop above (shared with 5/2)
06	27	SIGN	-		2			s2
06	28	SIGN	26	c	6	e	s2 gloss over the 6, not the 2; could be 2 + 6	s2
06	29	agree	15	n	15	n	s2	s2
06	30	agree	S37	t	S37	t	s2	s2 to
06	31	GLOSS	62	c	62	e	s2	s2
06	32	agree	11	n	11	n	s2 two straight strokes (same gloss as the 15s)	s2 two minims, u-like; could be S29
06	33	agree	5	d	5	d	s2	s2 gloss a d-loop with long stem
06	34	SIGN	S20	z	S40	r	s2 looped R with tail, dot after; gloss z or t	s2 R-like loop with looped leg and a dot after; a cross above may be gloss r or line-05 de
06	35	GLOSS	16	c	16	e	s2	s2
06	36	agree	|		|		s2	s2
06	37	GLOSS	S32	que	S32	quel	s2 Y-shape; gloss 'que'	s2 Y with gloss quel
06	38	SIGN	X	l	S53	l	s2 small s-over-z zigzag (xi-like); gloss l may belong to next 16	s2 3/8-like curl with tail; gloss l
06	39	GLOSS	16	c	16	e	s2	s2
06	40	GLOSS	4	f	4	s	s2	s2 gloss tall long s
06	41	agree	4	f	4	f	s2	s2 gloss f
07	1	SIGN	-		8	o		s1
07	2	SIGN	82	o	2		s1 gloss o over 8	s1 no gloss
07	3	agree	S34	r	S34	r	s1	s1 Ao with a mark on the A; gloss r
07	4	GLOSS	9	c	9	d	s1 gloss c (ascender from line 06 above it)	s1 gloss d-like (script d)
07	5	GLOSS	16	c	16	e	s1	s1
07	6	agree	4	s	4	s	s1 5-shaped gloss (s) between 6 and 4; split 16/4 (alt 1/64)	s1 gloss an s-shaped mark above
07	7	agree	|		|		s1	s1
07	8	SIGN	S79	quel	S32	quel	s1 u-stroke joined to y; gloss 'quel'; could be S32	s1 uy shape; gloss quel
07	9	agree	S35	so	S35	so	s1 long s + s; small a above following divider	s1 long s + s; gloss So with a flourish (Sos?)
07	10	agree	|		|		s1	s1
07	11	agree	S29	m	S29	m	s1	s1 three minims
07	12	GLOSS	26	c	26	e	s1	s1
07	13	agree	15	n	15	n	s1	s1
07	14	GLOSS	16	c	16	e	s1	s1
07	15	GLOSS	S40	z	S40	r	s1	s1 reversed-omega/R-like, trailing stroke to the tick; centre left of tick
07	16	agree	|		|		s2 slash	s2
07	17	agree	S35		S35		s2 tall long s + 5-like s; no gloss	s2 tall long s + 5; the tall stroke may be a gloss s
07	18	SIGN	-		4	o		s2
07	19	SIGN	44	o	4		s2 gloss o over first 4	s2 no gloss
07	20	agree	60	t	60	t	s2	s2
07	21	GLOSS	26	c	26	e	s2	s2
07	22	agree	15	n	15	n	s2	s2
07	23	agree	S37	t	S37	t	s2	s2 to
07	24	agree	|		|		s2	s2
07	25	agree	S37	t	S37	t	s2	s2 to
07	26	agree	|		|		s2 thin stroke	s2 faint thin stroke
07	27	SIGN	-		2	e		s2 gloss over the 2/6 gap
07	28	SIGN	26	c	6		s2	s2 read as separate from preceding 2; could be 26
07	29	agree	68	ll	68	ll	s2	s2 gloss ll (or tl)
07	30	GLOSS	16	c	16	e	s2	s2
07	31	agree	4	s	4	s	s2 5-shaped gloss	s2 gloss s-like
07	32	agree	|		|		s2 faint slash	s2 faint
07	33	SIGN	S79	que	S32	que	s2 'ny' shape; could be S32	s2 ny shape; gloss que
07	34	agree	S35	so	S35	so	s2 small a-mark above next token	s2 gloss So with flourish
07	35	agree	S29	m	S29	m	s2 gloss 'ma' spans uu and 12; m assigned here	s2
07	36	agree	12	a	12	a	s2	s2
07	37	agree	15	n	15	n	s2	s2
07	38	agree	5	d	5	d	s2	s2
07	39	GLOSS	16	c	16	e	s2 gloss c or e	s2
07	40	agree	|		|		s2 slash	s2
08	1	SIGN	7		75		s1 small tick after the 7	s1 no gloss seen
08	2	agree	|		|		s1	s1
08	3	SIGN	S06		S74		s1 c-hook joined to a crossed f/4 shape	s1 loop joined to a 4-cross (4 with extra hooked stroke); no gloss seen
08	4	agree	S40	r	S40	r	s1 gloss a tiny v-tick, r?	s1 gloss a small r/tick
08	5	agree	S30	n	S30	n	s1 'na' shape	s1 'na' shape
08	6	SIGN	-		4	e		s1 gloss e or o
08	7	SIGN	44	o	4		s1 gloss o over first 4	s1 no gloss
08	8	agree	15	n	15	n	s1	s1
08	9	GLOSS	4	f	4	s	s1 tall long-s gloss	s1 cross with a tall long-s stroke rising (gloss s)
08	10	GLOSS	16	c	16	e	s1	s1 gloss e/i
08	11	agree	104	u	104	u	s1	s1
08	12	agree	68	ll	68	ll	s1	s1
08	13	SIGN	-		2	e		s1 lone 2; gloss c/e
08	14	SIGN	26	c	6		s1	s1 could join the 2 as 26
08	15	agree	S29	m	S29	m	s1	s2 minims uu; centred just right of tick
08	16	GLOSS	62	c	62	e	s2 ink blot on the 2; gloss c or u	s2
08	17	agree	15	n	15	n	s2	s2
08	18	agree	S37	t	S37	t	s2	s2 to
08	19	agree	|		|		s2	s2
08	20	SIGN	22	po	X	tou	s2 first 2 wavy; gloss p (crossed, maybe 'pro') + o	s2 wavy double z-stroke with a cross, small 'tou'-like letters above; maybe 22 overwritten
08	21	agree	|		|		s2	s2
08	22	GLOSS	S27	l	S27	f	s2	s2 heavy doubled crossed long-s; gloss a tall f
08	23	GLOSS	16	c	16	e	s2	s2
08	24	SIGN	S40	r	S62	x	s2 dot after	s2 lambda/delta-like shape with a stroke and a dot after; gloss r/x-like; S40 possible
08	25	GLOSS	26	c	26	e	s2	s2
08	26	SIGN	-		6			s2 no gloss
08	27	SIGN	S14	g	9	g	s2 loop with tail curling down-left; could be S03	s2 ornate 9 with curl; gloss g
08	28	agree	12	a	12	a	s2	s2
08	29	agree	S34	r	S34	r	s2	s2 Ao
08	30	agree	5	d	5	d	s2	s2 gloss d-loop
08	31	agree	|		|		s2	s2
08	32	SIGN	5	d	-		s2	
08	33	SIGN	10	u	S16	d	s2	s2 long-s stroke
08	34	SIGN	2		102	u	s2 could belong to 102	s2
08	35	agree	|		|		s2	s2
08	36	SIGN	4	f	S36	f	s2 4 heavily blotted	s2 heavy blotted x over a descender; gloss f
08	37	agree	12	a	12	a	s2	s2
08	38	agree	60	i	60	i	s2	s2
08	39	agree	S37	t	S37	t	s2 crossed t joined to a/o	s2 to
09	1	agree	S35		S35		s1 very tall long s at line start + 5-like s	s1 very tall long s curving down (bracket-like) followed by a 5/s; the tall stroke could b
09	2	agree	104	u	104	u	s1 gloss u or a	s1 gloss u or a
09	3	GLOSS	4	f	4	l	s1 tall long-s gloss	s1 x-like cross; gloss a heavy tall stroke (l/s)
09	4	agree	5	d	5	d	s1	s1 gloss 9/d-shaped loop
09	5	GLOSS	64	z	64	f	s1	s1 gloss f over the 6
09	6	GLOSS	9	c	9	e	s1	s1 gloss c/e
09	7	agree	S38	t	S38	t	s1	s1 tc
09	8	agree	|		|		s1	s1
09	9	SIGN	4	f	S36	f	s1 tall long-s gloss	s1 x crossed over a stem rising into a tall f-like stroke (the rising stroke may be the gl
09	10	agree	60	i	60	i	s1	s1
09	11	agree	5	l	5	l	s1	s1
09	12	agree	|		|		s1	s1 thin
09	13	GLOSS	4	f	4	s	s1	s1 cross with a tall long-s rising (gloss s)
09	14	GLOSS	16	c	16	e	s1	s1
09	15	agree	S31	p	S31	p	s1	s1 circle on a cross; gloss y/p-like
09	16	agree	S34	r	S34	r	s1	s1 Ao
09	17	SIGN	-		2	e		s1 on the tick, centre just left
09	18	SIGN	26	c	6		s2 on the tick, centre right	s2 hooked 6 crossed by a long descender from line 08
09	19	agree	S35		S35		s2 tall long s + s	s2 long s + s; tall stroke above could be the descender of line 08
09	20	GLOSS	16	c	16	e	s2	s2
09	21	agree	15	n	15	n	s2	s2
09	22	agree	S37	t	S37	t	s2	s2 to
09	23	GLOSS	62	c	62	e	s2	s2
09	24	agree	|		|		s2	s2 tall stroke
09	25	SIGN	S20	z	S40	r	s2 R-like with hooked top; could be S33	s2 R-shape with crossed stem; gloss x/r
09	26	agree	14	a	14	a	s2	s2
09	27	agree	|		|		s2	s2
09	28	agree	82	o	82	o	s2	s2
09	29	GLOSS	9	c	9	e	s2	s2 gloss c/e
09	30	agree	14	a	14	a	s2	s2
09	31	GLOSS	4	f	4	s	s2 tall long-s gloss	s2 cross with tall long s rising (gloss s/f)
09	32	GLOSS	24	z	24	f	s2 gloss crossed z over the 2	s2 gloss a z-shaped f
09	33	SIGN	-		4	s		s2 gloss s
09	34	SIGN	-		4			s2 no gloss
09	35	SIGN	44	o	4	?	s2	s2 small hooked 4, crossed by line 08 descender; blotted gloss above
09	36	SIGN	15	n	5	?	s2 first digit blotted, looks like a small 4	s2 blotted gloss above
09	37	agree	|		|		s2 thick stroke	s2 may be only the descender of line 08's sign
09	38	agree	5	d	5	d	s2	s2 gloss d-loop
09	39	GLOSS	16	c	16	e	s2	s2
09	40	agree	5	l	5	l	s2	s2
09	41	SIGN	-		2	e		s2
09	42	SIGN	26	c	6		s2	s2
09	43	agree	|		|		s2	s2
10	1	agree	S37	t	S37	t	s1 left margin rule before it skipped	s1 to
10	2	agree	14	a	14	a	s1	s1
10	3	agree	11	n	11	n	s1 two minims joined like u	s1 two minims (u-like); could be a sign
10	4	agree	S38	t	S38	t	s1	s1 tc
10	5	GLOSS	16	c	16	e	s1 6 touches following Ao	s1
10	6	agree	S34	r	S34	r	s1	s1 Ao
10	7	agree	|		|		s1	s1
10	8	agree	S31	p	S31	p	s1	s1 circle on a cross; gloss y/p-like
10	9	agree	12	a	12	a	s1	s1
10	10	agree	S40	r	S40	r	s1 dot after	s1 R-shape with a dot after
10	11	GLOSS	9	c	9	e	s1	s1 gloss c/e
10	12	GLOSS	26	u	26	o	s1	s1 gloss over the 6; could be 2 and 6 separately
10	13	agree	S35		S35		s1 tall long s + s	s1 tall long s + 5
10	14	agree	S37	t	S37	t	s1 a second t-like mark above as well	s1 to
10	15	GLOSS	16	c	16	e	s1 6 lies just right of tick, token centre left	s1 on the tick, centre left
10	16	agree	|		|		s2 slash	s2
10	17	SIGN	10		102	d	s2 loop above is a descender from line 09, not a gloss; 1 fused with slash	s2 gloss a d/b-like loop (maybe a descender from line 09)
10	18	SIGN	2		4	o	s2 could belong to 102	s2
10	19	SIGN	44	o	4		s2	s2 no gloss
10	20	GLOSS	64	z	64	f	s2	s2 gloss z-shaped f
10	21	GLOSS	26	c	26	e	s2	s2 gloss over the 2
10	22	agree	|		|		s2	s2
10	23	agree	5	l	5	l	s2	s2
10	24	GLOSS	12	a	12	u	s2	s2 gloss u over the 2
10	25	agree	S29	m	S29	m	s2	s2
10	26	agree	12	a	12	a	s2	s2
10	27	GLOSS	26	c	26	e	s2	s2 gloss over the 2
10	28	SIGN	4	f	S27		s2 tall long s rises from and descends through the 4 (possibly one f-like sign, cf S21)	s2 tall looped crossed long-s pair; no separate gloss seen
10	29	GLOSS	16	c	16	e	s2	s2
10	30	SIGN	-		|			s2 thin
10	31	agree	15	n	15	n	s2	s2
10	32	GLOSS	9	c	9	e	s2	s2 gloss c/e
10	33	SIGN	-		8	o		s2 read separately from 9; could be 98
10	34	SIGN	82	o	2		s2	s2 no gloss
10	35	agree	S40	r	S40	r	s2 a dotted descender from line 09 crosses it; dot after	s2 R-shape with crossed stem and a dot
10	36	GLOSS	62	c	62	e	s2	s2
10	37	GLOSS	4	f	4	s	s2 tall long-s gloss/stem	s2 gloss tall long s
10	38	agree	|		|		s2	s2
11	1	agree	22	po	22	po	s1 ROW A (crop 11 holds two text rows; row A upper, row B lower, numbered A then B)	s1 UPPER ROW: the line-11 crop holds two cipher rows (upper '22 to 82...', lower '6 o ua t
11	2	GLOSS	S37	t	S37	te	s1 row A; gloss t(c?)	s1 upper row; to; gloss te/tc
11	3	agree	82	o	82	o	s1 row A	s1 upper row; gloss over the 8
11	4	agree	104	u	104	u	s1 row A	s1 upper row
11	5	agree	S38	t	S38	t	s1 row A	s1 upper row; tc; gloss t with a tick
11	6	GLOSS	16	c	16	e	s1 row A	s1 upper row; gloss c/e
11	7	SIGN	4	f	S36	s	s1 row A tall long-s gloss	s1 upper row; x over a long stroke rising into a tall s (gloss)
11	8	agree	|		|		s1 row A	s1 upper row
11	9	GLOSS	28	n	28	a	s1 row A; gloss n or a over the 8	s1 upper row; gloss a over the 8
11	10	SIGN	10	u	-		s1 row A	
11	11	SIGN	2		102	u	s1 row A; could belong to 102	s1 upper row
11	12	agree	S38	t	S38	t	s1 row A; blotted	s1 upper row; tc heavily inked/overwritten
11	13	agree	S34	r	S34	r	s1 row A	s1 upper row; Ao
11	14	GLOSS	16	c	16	e	s1 row A; straddles tick, centre about on it	s1 upper row; centre left of tick
11	15	GLOSS	4	f	4	s	s2 row A	s2 upper row; cross with a tall long s rising (gloss s)
11	16	agree	|		|		s2 row A	s2 upper row thin
11	17	agree	82	o	82	o	s2 row A	s2 upper row
11	18	agree	9	c	9	c	s2 row A	s2 upper row; gloss c/e
11	19	agree	12	a	12	a	s2 row A	s2 upper row
11	20	GLOSS	4	f	4	s	s2 row A	s2 upper row; tall long s crossing a 4 (gloss s)
11	21	agree	16	i	16	i	s2 row A; gloss a short stroke (i), not the usual c	s2 upper row
11	22	SIGN	-		64	o		s2 upper row
11	23	SIGN	44	o	4		s2 row A	s2 upper row
11	24	agree	15	n	15	n	s2 row A	s2 upper row
11	25	SIGN	4	f	X		s2 row A; k-like: tall long s with 4-arm	s2 upper row; k-like shape with a tall long-s ascender joined (possibly S56 or S39)
11	26	agree	|		|		s2 row A	s2 upper row
11	27	agree	S52	lle	S52	lle	s2 row A; lattice about 3x3 (could be S04); gloss 'llc'/'lle'	s2 upper row; lattice three by three; gloss 'lle'
11	28	SIGN	10	u	102	u	s2 row A	s2 upper row
11	29	SIGN	2		4	o	s2 row A	s2 upper row
11	30	SIGN	44	o	4		s2 row A	s2 upper row
11	31	GLOSS	64	z	64	f	s2 row A	s2 upper row
11	32	agree	14	a	14	a	s2 row A	s2 upper row
11	33	GLOSS	15	n	15	h	s2 row A; ascender over gloss is from line above	s2 upper row; gloss h
11	34	agree	S38	t	S38	t	s2 row A	s2 upper row
