line	position	sign	gloss	confidence	source	why
03	16	|		H	both	agree
03	17	S16	d	M	H	thin short long-s with a hairline hooked top, no 5-flag or bottom hook (compare 5 in line04 pos21); d gloss as other S16
03	18	16	e	M	H	two-part e-form gloss
03	19	9	s	M	H	blob with rightward stroke, matches s-form over 9 in line01; partly merged with line02 descender; c possible
03	20	26	e	M	H	two-part e-form gloss
03	21	S32	que	M	G	gloss reads que; the tall stroke after it is the gloss of the 4 (pos23)
03	22	|		H	both	agree
03	23	S36	s	M	recode	cross at baseline with long-s stroke above; lone, no digit neighbour (next is 9)
03	24	9	c	H	both	agree
03	25	60	i	M	G	short stroke with small top-left serif, minim height; not a tall l
03	26	S31	p	M	G	gloss stem with a bowl at top right and a crossbar, crossed p as in line01 pos22
03	27	64	l	M	H	gloss short upright with a foot curling right; not the crossed-z form; low confidence
03	28	44	o	M	G	one code 44 with gloss o over the first digit
03	29	15	n	H	both	agree
03	30	S35	so	H	both	agree
03	31	|	a	M	H	raised 'a' after the 'so' gloss, above the divider, as line01 pos20
03	32	14	a	H	both	agree
03	33	S34	r	M	H	2-shaped r gloss
03	34	16	e	M	H	two-part e-form gloss
04	1	S36	s	M	recode	diagonal x with long-s descender stroke from above; clear S36
04	2	S31	p	H	both	agree
04	3	82	o	H	both	agree
04	4	S30	n	H	both	agree
04	5	S16	d	M	H	thin short long-s stroke with hairline top, matches S16 not the flagged 5 (line04 pos21)
04	6	104	u	H	both	agree
04	7	S16	d	M	H	same thin long-s form as pos5
04	8	26	t	H	both	agree
04	9	S36	f	M	recode	single-bar cross, gloss is a long-s stroke touching it; no second bar (not S02)
04	10	|		H	both	agree
04	11	7	u	H	both	agree
04	12	S33	r	M	recode	top-left loop and two legs (R form), not the smooth closing-loop Z
04	13	5	l	M	H	loop at the foot of line03's S40 leg descending here reads as script l over the 5; 5 is l elsewhere
04	14	16	e	M	H	two-part e-form gloss
04	15	S02	f	M	recode	cross with a second parallel bar (x joined to t), gloss a looped f
04	16	14	a	H	both	agree
04	17	64	z	M	G	crossed-z gloss
04	18	S37	t	H	both	agree
04	19	|		H	both	agree
04	20	22	po	H	both	agree
04	21	5	l	H	both	agree
04	22	16	e	M	H	two-part e-form gloss
04	23	S32	quel	M	H	u-stroke + y with long tail = S32's top-left hook; gloss quel as other S32
04	24	S44	se	M	H	stem crossed low with a closed loop to the right at top (p-like loop, crossed stem), not a 4 diagonal; gloss tangled with line03 descenders, se or fe
04	25	|		H	both	agree
04	26	62	e	M	H	two-part e-like gloss above the 62
04	27	S36	s	M	recode	long-s stroke from above ending in an x
04	28	S37	t	H	both	agree
04	29	82	o	H	both	agree
04	30	60	z	M	G	crossed-z gloss
04	31	S38	t	H	both	agree
04	32	|		H	both	agree
04	33	104		M	H	loop above is line03's final 6 descending; no gloss. A z-like mark in the gloss zone right of 104 over a colon is not a code
05	1	26	e	M	H	two-part e-form gloss; the tall stroke right of it is a line04 descender
05	2	15	n	H	both	agree
05	3	102	u	M	H	one code 102, gloss u over the 10
05	4	|		H	both	agree
05	5	S31	p	H	both	agree
05	6	28	a	H	both	agree
05	7	S34	r	H	both	agree
05	8	S16	d	M	H	thin short long-s stroke with d gloss, as line04 pos5
05	9	26	r	H	both	agree
05	10	9	c	M	G	gloss a single c-curve with top flag, not two-part
05	11	14	a	H	both	agree
05	12	|		H	both	agree
05	13	S31	p	H	both	agree
05	14	12	a	H	both	agree
05	15	S33	r	M	recode	top-left loop and two legs (R form)
05	16	S27	l	H	both	agree
05	17	26	e	M	new	2 and 6 one code; gloss is two-part (blob + dot) e-form, not a dotted i
05	18	S36	s	M	recode	long-s stroke from above ending in an x after the 6
05	19	S32	q	H	both	agree
05	20	102	u	M	H	one code 102, gloss u over the 10
05	21	16	e	M	H	two-part e-form gloss
05	22	68	tt	M	H	crossed double stem gloss, tt
05	23	62	e	M	H	two-part e-form gloss
05	24	S35		H	both	agree
05	25	|		H	both	agree
05	26	60	z	M	G	crossed-z gloss
05	27	12	a	H	both	agree
05	28	73	y	H	both	agree
05	29	|		H	both	agree
05	30	26	e	M	H	lower curve + upper hook, e-form
06	1	S36	s	M	recode	single cross with long-s stroke from above
06	2	S38	t	H	both	agree
06	3	16	e	M	H	two-part e-form gloss
06	4	|		H	both	agree
06	5	3	?	H	both	agree
06	6	60	i	M	G	i over the 6; the t above the 0 sits higher and is the bottom cross of line05's S31
06	7	15	en	M	H	first gloss letter two-part e-form, then n
06	8	|		H	both	agree
06	9	S42		H	both	agree
06	10	26		M	G	one code 26, no gloss
06	11	S30		H	both	agree
06	12	|		H	both	agree
06	13	S02	f	M	recode	double-barred cross (x joined to t) under an f gloss
06	14	44	o	M	G	one code 44, gloss o over the first 4, second 4 unglossed (as line03 pos29)
06	15	S34	r	H	both	agree
06	16	S37	t	H	both	agree
06	17	|		H	both	agree
06	18	12	a	H	both	agree
06	19	7	y	M	G	gloss a y-form (two top strokes and a tail), as agreed y over 73
06	20	?		M	?	tall long-s from the gloss zone descends into a zigzag plus an s-curl below the line; could be S16 (tall hooked long-s) or a small 5/S53 whose tall top is the gloss s of the 4 at pos23; not settled
06	21	S36		M	recode	single cross right after a long-s+small-s sign (pos20 ?, looks S35); could be one S35/S36 group with pos20
06	22	16	e	M	H	two-part e-form gloss
06	23	|		H	both	agree
06	24	5	d	H	both	agree
06	25	26	e	M	new	one code 26; gloss over the 6 is the two-part e-form
06	26	15	n	H	both	agree
06	27	S37	t	H	both	agree
06	28	62	e	M	H	two-part e-form gloss
06	29	11	n	H	both	agree
06	30	5	d	H	both	agree
06	31	S33	r	M	recode	capital-R form, loop at top and two legs
06	32	16	e	M	H	two-part e-form gloss
06	33	|		H	both	agree
06	34	S32	que	M	G	gloss reads que, ending over the next sign; the l stands apart
06	35	5	l	M	new	sign is a flagged 5; the lower a-shape is line07's raised gloss a (seen in line07 crop); gloss l sits just right, as 5=l elsewhere
06	36	16	e	M	H	two-part e-form gloss over the 6
06	37	S36	s	M	recode	single cross under a long-s gloss, not touching; no digit neighbour
06	38	S02	f	M	recode	cross with a second long bar (x joined to t) under a crossed-f gloss
07	1	82	o	M	G	one code 82, gloss o over the 8
07	2	S34	r	H	both	agree
07	3	9	c	M	G	gloss c; the stroke rising from it is the bottom of line06's divider (checked across both crops)
07	4	16	e	M	H	two-part e-form gloss
07	5	S36	s	M	recode	single x under a long-s gloss, no digit neighbour
07	6	|		H	both	agree
07	7	S32	quel	M	H	u-stroke + y = S32 with its top-left hook; gloss quel
07	8	S35	so	H	both	agree
07	9	|		H	both	agree
07	10	S29	m	H	both	agree
07	11	26	e	M	H	two-part e-form gloss
07	12	15	n	H	both	agree
07	13	16	e	M	H	two-part e-form gloss
07	14	S40	r	M	H	gloss is the 2-shaped r with a downstroke
07	15	|		H	both	agree
07	16	S35		H	both	agree
07	17	44	o	M	G	one code 44, gloss o over the first 4
07	18	60	t	H	both	agree
07	19	26	e	M	H	two-part e-form gloss
07	20	15	n	H	both	agree
07	21	S37	t	H	both	agree
07	22	|		H	both	agree
07	23	S37	t	H	both	agree
07	24	|		H	both	agree
07	25	26	e	M	new	one code 26; the two-part e gloss sits over the 2/6 gap
07	26	68	ll	H	both	agree
07	27	16	e	M	H	two-part e-form gloss
07	28	S36	s	M	recode	single x after 16 under an s gloss
07	29	|		H	both	agree
07	30	S32	que	M	H	n/u stroke + y = S32; gloss que
07	31	S35	so	H	both	agree
07	32	S29	m	H	both	agree
07	33	12	a	H	both	agree
07	34	15	n	H	both	agree
07	35	5	d	H	both	agree
07	36	16	e	M	H	c with a detached top stroke, e-form
07	37	|		H	both	agree
08	1	75		M	H	after the 7 a second digit: a top flag with a faint body going down-left, overlapped by the divider; read 5; no gloss
08	2	|		H	both	agree
08	3	S06		M	G	large open c-loop joined to a crossed stroke, matches S06 atlas better than S74 small hook; no gloss
08	4	S40	r	H	both	agree
08	5	S30	n	H	both	agree
08	6	44	o	M	G	one code 44, gloss o over the first 4
08	7	15	n	H	both	agree
08	8	S36	s	M	recode	long-s stroke from above running into a single x
08	9	16	e	M	H	two-part e-form gloss
08	10	104	u	H	both	agree
08	11	68	ll	H	both	agree
08	12	26	e	M	new	one code 26; gloss is the two-part e-form over the 2
08	13	S29	m	H	both	agree
08	14	62	e	M	H	two-part e-form gloss (lower curve + upper blob)
08	15	15	n	H	both	agree
08	16	S37	t	H	both	agree
08	17	|		H	both	agree
08	18	22	po	M	G	wavy 2 + z = 22 (as agreed 22 po on lines 03/04); gloss crossed p + o, maybe pro
08	19	|		H	both	agree
08	20	S27	f	M	H	gloss has a crossbar through its stem: f, not the looped l seen over S27 elsewhere
08	21	16	e	M	H	two-part e-form gloss
08	22	S33	r	M	recode	R form: hooked top, two separate legs, right leg flicks out
08	23	26	e	M	H	two-part e-form gloss
08	24	S14	g	M	G	small loop with a long tail sweeping down-left into an S-curve; closer to S14 than to a plain 9; gloss g
08	25	12	a	H	both	agree
08	26	S34	r	H	both	agree
08	27	5	d	H	both	agree
08	28	|		H	both	agree
08	29	S16	d	M	H	thin long-s stroke with hairline top, d gloss
08	30	102	u	M	H	one code 102, gloss u over the 10
08	31	|		H	both	agree
08	32	4	f	M	G	blotted cross with arms like a 4, no long descender below the blot; gloss a crossed f
08	33	12	a	H	both	agree
08	34	60	i	H	both	agree
08	35	S37	t	H	both	agree
09	1	S35		H	both	agree
09	2	104	u	H	both	agree
09	3	S36	s	M	recode	single x after the complete 104 (whose own 4 is separate), under a long-s gloss
09	4	5	d	H	both	agree
09	5	64	z	M	both	gloss a crossed z
09	6	9	c	M	both	one-stroke c with top flag (not the two-stroke e)
09	7	S38	t	H	both	agree
09	8	|		H	both	agree
09	9	S36	f	M	recode	single x with the gloss stroke touching it; no second bar, so not S02
09	10	60	i	H	both	agree
09	11	5	l	H	both	agree
09	12	|		H	both	agree
09	13	S36	s	M	recode	long stroke from above crossing a single bar
09	14	16	e	M	both	gloss is two-stroke secretary e (crescent + separate top tick)
09	15	S31	p	H	both	agree
09	16	S34	r	H	both	agree
09	17	26	e	M	G	z+6 tight pair, single two-stroke e gloss over the 2
09	18	S35		H	both	agree
09	19	16	e	M	both	two-stroke e gloss
09	20	15	n	H	both	agree
09	21	S37	t	H	both	agree
09	22	62	e	M	both	two-stroke e gloss
09	23	|		H	both	agree
09	24	S33	r	M	new	two-legged pi/R shape with foot, top spike/gloss r; matches S33 better than S20 or S40
09	25	14	a	H	both	agree
09	26	|		H	both	agree
09	27	82	o	H	both	agree
09	28	9	c	M	both	one-stroke c gloss
09	29	14	a	H	both	agree
09	30	S36	s	M	recode	long-s stroke descending through a single cross bar; next token 24 is complete
09	31	24	z	M	both	gloss a crossed z
09	32	44	o	M	G	two cross-4s tight together, open o gloss over the first
09	33	45	?	M	new	small hooked (closed) 4 then 5, tight pair; blotted mark above the 4, crossed by line-08 descender
09	34	|		H	both	agree
09	35	5	d	H	both	agree
09	36	16	e	M	both	two-stroke e gloss
09	37	5	l	H	both	agree
09	38	26	e	M	G	z+6 tight pair, two-stroke e gloss over the 2
09	39	|		H	both	agree
10	1	S37	t	H	both	agree
10	2	14	a	H	both	agree
10	3	11	n	H	both	agree
10	4	S38	t	H	both	agree
10	5	16	e	M	both	two-stroke e gloss
10	6	S34	r	H	both	agree
10	7	|		H	both	agree
10	8	S31	p	H	both	agree
10	9	12	a	H	both	agree
10	10	S33	r	M	recode	arch with two separate legs, left leg a long diagonal, no closing loop; R form
10	11	9	c	M	both	one-stroke c with flag; stroke above it is a line-09 descender
10	12	26	u	M	both	gloss over the 6 is an open u (two minims), not a closed o
10	13	S35		H	both	agree
10	14	S37	t	H	both	agree
10	15	16	e	M	both	two-stroke e gloss
10	16	|		H	both	agree
10	17	102	-	M	H	slash, then 1 0 2 spaced tightly as one code; loop above the 0 is the end of line-09's long-s descender, not a gloss
10	18	44	o	M	G	two cross-4s together, o gloss over the first
10	19	64	z	M	both	gloss crossed z
10	20	26	e	M	both	two-stroke e over the 2
10	21	|		H	both	agree
10	22	5	l	H	both	agree
10	23	12	a	M	both	open secretary a (curved left stroke), not u
10	24	S29	m	H	both	agree
10	25	12	a	H	both	agree
10	26	26	e	M	both	two-stroke e over the 2
10	27	S27	-	M	H	looped long-s stem and a second straight stem descending below the line, joined by a crossbar = S27; no separate gloss
10	28	16	e	M	both	two-stroke e gloss
10	29	15	n	H	both	agree
10	30	9	c	M	both	one-stroke c gloss
10	31	82	o	M	G	8+z tight, o gloss over the 8 (dotted line from above ends in it)
10	32	S33	r	M	recode	R form with hooked top and two open legs, no baseline loop
10	33	62	e	M	both	two-stroke e over the 6
10	34	S36	s	M	recode	long-s stroke from above into a single x at line end
10	35	|		H	both	agree
11	1	22	po	H	both	agree
11	2	S37	tc	M	both	gloss (seen whole in line-10 crop bottom) is crossed t + one-stroke c with flag, like the S38 form
11	3	82	o	H	both	agree
11	4	104	u	H	both	agree
11	5	S38	t	H	both	agree
11	6	16	e	M	both	two-stroke e gloss
11	7	S36	s	M	recode	long-s stroke from above into a single x after 16, upper row
11	8	|		H	both	agree
11	9	28	a	M	H	gloss is a secretary a over the 8
11	10	102	u	M	H	1 0 2 one code, u gloss over the 1/0
11	11	S38	t	H	both	agree
11	12	S34	r	H	both	agree
11	13	16	e	M	both	two-stroke e gloss
11	14	S36	s	M	recode	long-s stroke into a single x before the divider, upper row
11	15	|		H	both	agree
11	16	82	o	H	both	agree
11	17	9	c	H	both	agree
11	18	12	a	H	both	agree
11	19	S36	s	M	recode	long-s stroke descending through a single cross after 12
11	20	16	i	H	both	agree
11	21	44	o	M	G	two 4s tight, o gloss over the first
11	22	15	n	H	both	agree
11	23	S36	s	M	recode	tall long-s with an x at its foot after 15, before the divider
11	24	|		H	both	agree
11	25	S52	lle	H	both	agree
11	26	102	u	M	H	1 0 2 tight, u gloss over the 1/0
11	27	44	o	M	G	two 4s, o gloss over the first
11	28	64	z	M	both	crossed z gloss
11	29	14	a	H	both	agree
11	30	15	h	M	both	gloss clearly h (tall ascender with arch)
11	31	S38	t	H	both	agree
11	32	S31	p	H	both	agree
11	33	82	o	H	both	agree
11	34	60	l	H	both	agree
11	35	S30	n	H	both	agree
11	36	S38	t	H	both	agree
11	37	S58	?	M	G	long s crossed by a 2-shape descending into row below; small letter inside a drawn box above (correction?), unread
11	38	12	a	H	both	agree
11	39	S27	l	M	G	A-like looped stem fused to crossed ff with descending stems = S27
11	40	14	a	H	both	agree
11	41	102	u	M	H	1 0 2 tight, u gloss
11	42	S36	f	M	recode	single-bar cross joined to the following Ao (S34); gloss f with a crossbar sits above but the sign has no second bar; S02 possible if gloss is trusted
11	43	S34	r	H	both	agree
11	44	16	e	M	both	two-stroke e gloss
11	45	102	u	M	H	1 0 2 tight, u gloss over the 1/0
11	46	44	o	M	G	4 4 with o gloss over the first, straddling the tick
11	47	73		M	G	line-12 crop top shows crossed 7 joined to a round-bottomed 3, not a z-2
11	48	|		H	both	agree
11	49	26	e	M	both	two-stroke e over the 2
11	50	5	?	M	G	5 at the left edge of the ink blot; gloss zone blotted
11	51	?		M	H	large ink blot about 3 digits wide; a token may be hidden, none visible
11	52	6	?	M	both	gloss a small filled blob at the blot edge, c/e not distinguishable
11	53	S36	f	M	recode	x with a tall long-s stroke descending through it (S36 form), gloss f/long-s
11	54	|		H	both	agree
11	55	S31	r	H	both	agree
11	56	S33	r	M	recode	arch with two separate legs and hooked top-left under an r gloss; R form
11	57	28	a	H	both	agree
11	58	S37	t	H	both	agree
11	59	60	z	M	both	crossed z gloss
11	60	S32	q	H	both	agree
11	61	104	u	H	both	agree
11	62	62	e	M	both	two-stroke e gloss
11	63	S36	s	M	recode	tall long-s stroke with an x at its foot after 62, before the divider
11	64	|		H	both	agree
11	65	S32	que	M	H	n/hook-like left part before the y = S32's hooked arm; gloss q-u-e, the tall stroke after it is the stem of row A's S31
11	66	|		H	both	agree
11	67	73		M	G	blotted 7 + 3-shape one code; only a faint grey tick above the 3, no legible gloss
11	68	S40	z	M	G	z-shaped gloss above the looped n (visible in line-11 crop bottom)
12	1	28	a	H	both	agree
12	2	64	i	M	G	short single stroke over the 6, no l-foot or loop
12	3	S38		M	G	crossed mark above is the descending S58 of line-11 row B, not a gloss
12	4	S27	r	M	new	A-like stem fused to crossed ff with descending stems = S27 (same shape as line-11 row B pos 42); gloss r; the thin vertical after it is row B S27's descender, not a divider
12	5	24	i	H	both	agree
12	6	26	e	M	both	two-stroke e gloss
12	7	102	u	M	H	1 (ink blot) 0 2 tight, u gloss
12	8	|		H	both	agree
12	9	S32	que	M	H	gloss is q with a bar above (que abbreviation)
12	10	S35	vos	M	H	gloss three letters v/b, o, final s (3-shaped)
12	11	S52	m	H	both	agree
12	12	S35	s	H	both	agree
12	13	44	o	M	G	two 4s tight, one o gloss between/over them
12	14	60	i	H	both	agree
12	15	62	e	M	both	two-stroke e gloss
12	16	73	ll	M	G	heavy gloss of two tall joined strokes, no arch (ll rather than n)
12	17	S44		M	G	mark above is the lower end of line-11 row B's divider and S31 cross, not a gloss
12	18	S40		H	both	agree
12	19	S31	p	M	new	circle standing on a cross (same as pos 28), not a 9; p gloss
12	20	12	a	M	H	1 z with a gloss
12	21	54	s?	M	new	5 and 4 tight with one two-letter gloss spanning both (long s/f without crossbar + a hook, e or r); G also read 54
12	22	26		M	H	z 6, no gloss
12	23	|		M	H	divider stroke before the S31
12	24	S31	p	H	both	agree
12	25	28	a	M	H	z 8 with a gloss (G skipped this group)
12	26	S33	r	M	recode	R form under an r gloss: arch with two separate legs, no baseline loop
12	27	5	d	M	H	single 5 before 26; faint small gloss word spans 30-33
12	28	26	o	M	H	faint gloss letter o in the small word above
12	29	9	n	M	H	faint gloss letter n in the small word above
12	30	12		H	both	agree
12	31	|		H	both	agree
12	32	22	pu	H	both	agree
12	33	|		H	both	agree
13	1	12	a	M	H	gloss a sits between the lines (seen in line-12 crop bottom), a separate letter, not a descender
13	2	S31	p	M	H	crossed-stem p gloss above (line-12 crop bottom), separate from line-12 strokes
13	3	S34	r	M	H	small r gloss above the Ao
13	4	62	e	M	both	two-stroke e gloss
13	5	S36		M	recode	single x with a tall long-s stroke from above
13	6	S32	q	H	both	agree
13	7	S35	vo	M	new	gloss is v/b-like looped letter + o + dot (seen whole across line-12/13 crops); not s-o, not u-e
13	8	14	a	H	both	agree
13	9	102	u	M	H	1 0 z tight, u gloss
13	10	S76	r	H	both	agree
13	11	16	e	M	both	two-stroke e gloss
13	12	73	z	M	G	crossed 7 + 3 with a long tail crossed by the divider; gloss a 3/z-shaped letter
13	13	|		H	both	agree
13	14	62	e	M	both	two-stroke e gloss
13	15	15	n	H	both	agree
13	16	S37	t	H	both	agree
13	17	16	e	M	both	two-stroke e gloss
13	18	S30	n	H	both	agree
13	19	5	d	H	both	agree
13	20	104	u	H	both	agree
13	21	|		H	both	agree
13	22	9	c	H	both	agree
13	23	44	o	M	G	two 4s, o/a-like gloss between them
13	24	7	u	M	G	7 with its own u gloss (7 u is an agreed code elsewhere); H's second 4 belongs to 44
13	25	61	?	M	G	6 and 1 each have a u-like gloss letter over them (u, u/w); segmentation of 6-1-8 uncertain, H read 7 6 + 1 6
13	26	9	c	M	recode	small closed top loop with a tail curling down, no lower loop; reads 9 (= c, matches gloss) rather than 8
13	27	|		H	both	agree
13	28	S37	t	H	both	agree
13	29	44	o	M	G	two 4s, o gloss between
13	30	104	u	H	both	agree
13	31	S37	t	H	both	agree
13	32	26	e	M	both	two-stroke e over the 2
13	33	S36	s	M	recode	single x with a long-s stroke above, after 26
13	34	|		H	both	agree
13	35	9	c	H	both	agree
13	36	17	ch	H	both	agree
13	37	82	o	H	both	agree
13	38	S36	s	M	recode	long-s stroke into an x at line end, after 82
14	1	26		M	G	z+6 tight, no gloss
14	2	S35		H	both	agree
14	3	|		H	both	agree
14	4	S31	p	H	both	agree
14	5	14	a	H	both	agree
14	6	54		M	G	5+4 tight; tall strokes above run up to the crop top = line-13 descenders, not glosses
14	7	16		M	G	g/8-like curl above is the curled tail of line-13's S35 long s, not a gloss
14	8	S33	r	M	recode	arch with two separate legs, no baseline loop; R form under r gloss
14	9	82	o	H	both	agree
14	10	15	n	H	both	agree
14	11	S37	t	H	both	agree
14	12	|		H	both	agree
14	13	S61		M	G	5-body whose top stroke continues without a break into an open loop above = S61; no separate gloss
14	14	S36	f	M	recode	long stroke from above crossing a single x, f/long-s gloss
14	15	12	a	H	both	agree
14	16	60	i	H	both	agree
14	17	S34	r	H	both	agree
14	18	16	e	M	both	two-stroke e gloss
14	19	|		H	both	agree
14	20	S45	toue	M	new	open c/epsilon curl with a bar through it (S45, not the Q-like S14); gloss reads t-o-u-e
14	21	|		H	both	agree
14	22	12	d	M	H	d-shaped gloss over the 2
14	23	64	z	M	both	crossed z gloss
14	24	15	u	H	both	agree
14	25	S36	f	M	recode	long-s stroke descending into a single cross; no second bar
14	26	60	i	H	both	agree
14	27	|		H	both	agree
14	28	S32	q	M	G	large closed spiral loop gloss, same position/form as the q loop on other S32s
14	29	|		H	both	agree
14	30	S35	so	H	both	agree
14	31	|		H	both	agree
14	32	14	u	M	H	gloss is two equal minims (u)
14	33	5	d	M	G	5 with d gloss directly above
14	34	102	u	M	new	1 (ink blot) 0 2 tight; u gloss over the 0 (H's d belongs to the 5 before it)
14	35	60	i	H	both	agree
14	36	S36	f	M	recode	tall long-s with an x at its foot, before 16
14	37	16	e	M	both	two-stroke e gloss
14	38	S40	x	M	H	gloss is two crossing diagonals (x), unlike the footed r over the Ao in this line
14	39	26	e	M	both	two-stroke e over the 2
14	40	2		M	G	faint z-shaped 2 at the paper edge, ink present
15	1	X		H	both	agree
15	2	S35	vo	M	new	gloss letters v/b-looped + o (seen in line-14 crop bottom), same form as line 13 pos 7
15	3	12	a	H	both	agree
15	4	104	u	H	both	agree
15	5	S34	r	H	both	agree
15	6	16	e	M	both	two-stroke e gloss (6 overwritten by a line-14 stroke)
15	7	72	i	M	new	crossed 7 whose diagonal runs into a looped z-base with a long foot (7+2 fused, as H); only a dot above the foot (i-dot gloss as G)
15	8	|		H	both	agree
15	9	62	e	M	both	two-stroke e gloss
15	10	15	n	H	both	agree
15	11	S37	t	H	both	agree
15	12	26	u	M	G	z+6 tight, u gloss over the 2
15	13	S30	n	H	both	agree
15	14	5	d	H	both	agree
15	15	7	u	H	both	agree
15	16	|		H	both	agree
15	17	9	c	H	both	agree
15	18	82	o	M	G	8+z one code with o gloss; tall stroke above the z is line-14's long divider running down, not an l gloss
15	19	76	u	M	recode	7 and 6 written close as one group under a single 'uum' (mm) gloss; 9 82 76 16 = comme
15	20	16	e	M	both	two-stroke e over the final 6
15	21	|		H	both	agree
15	22	60	z	M	both	crossed z gloss
15	23	62	e	M	both	two-stroke e gloss
15	24	7	u	H	both	agree
15	25	44		M	G	two 4s; the hook-with-dot above is the lower end of line-14's divider, not a gloss
15	26	102	u	M	H	1 0 z tight, u gloss over the 0
15	27	5	?	H	both	agree
15	28	82	o	H	both	agree
15	29	60	i	H	both	agree
15	30	S36	f	M	recode	long-s stroke with an x at its foot before the divider
15	31	|		M	G	tall stroke rising above and descending below the line, joined to the 4's arm (a divider), not a separate bold H sign
15	32	S28	m	M	G	open c-hook joined to m = S28 (no descending tail as S49)
15	33	26	e	M	both	two-stroke e over the 2
15	34	58	tt	H	both	agree
15	35	16	o	H	both	agree
16	1	S53		M	G	3/8-like looped curl with a tail running down-left; touches but is distinct from the following 7
16	2	7		M	G	plain 7 (top bar + diagonal, no 4-cross), so the pair is not S74
16	3	S34	r	H	both	agree
16	4	62	e	M	both	two-stroke e gloss
16	5	S35		H	both	agree
16	6	102	u	M	H	1 0 z tight, u gloss over the 0
16	7	S36	s	M	recode	long-s stroke from above joined into a single x before the divider
16	8	|		H	both	agree
16	9	5	x	M	H	gloss two crossing strokes (x), unlike the footed r over the Ao in this line
16	10	14	a	H	both	agree
16	11	S31	p	H	both	agree
16	12	S34	r	H	both	agree
16	13	12	a	H	both	agree
16	14	S37	t	H	both	agree
16	15	60	i	H	both	agree
16	16	S32	q	H	both	agree
16	17	102	u	M	H	1 0 z tight, u gloss
16	18	16	e	M	both	two-stroke e gloss
16	19	|		H	both	agree
16	20	5	d	H	both	agree
