line	position	sign	value	grade	gloss	cause
22	17	26	e	M	d	transcription (token settled at M) or gloss misread
22	29	52	pp	M	d	transcription (token settled at M) or gloss misread
22	32	S27	l	M	f	gloss misread or transcription (token agreed blind)
22	33	64	i	M	f	transcription (token settled at M) or gloss misread
23	1	60	i	M	t	gloss misread or transcription (token agreed blind)
23	4	24	i	M	t	gloss misread or transcription (token agreed blind)
23	15	60	i	M	t	gloss misread or transcription (token agreed blind)
23	19	62	e	M	u	gloss misread or transcription (token agreed blind)
23	20	S34	r	M	s	transcription (token settled at M) or gloss misread
23	22	5	d|l	M	f	homograph (unresolved)
24	2	S33	r	M	f	transcription (token settled at M) or gloss misread
24	8	5	d|l	M	f	homograph (unresolved)
24	10	S34	r	M	x	transcription (token settled at M) or gloss misread
24	13	62	e	M	z	gloss misread or transcription (token agreed blind)
24	39	S34	r	M	x	transcription (token settled at M) or gloss misread
25	2	26	e	M	a	gloss misread or transcription (token agreed blind)
25	4	60	i	M	l	transcription (token settled at M) or gloss misread
25	8	26	e	M	le	transcription (token settled at M) or gloss misread
25	16	S34	r	M	x	transcription (token settled at M) or gloss misread
25	24	64	i	M	f	gloss misread or transcription (token agreed blind)
25	28	5	d|l	M	o	homograph (unresolved)
25	30	44	o	M	po	transcription (token settled at M) or gloss misread
26	2	26	e	M	c	transcription (token settled at M) or gloss misread
26	4	S35	s	M	bo	key cell (graded M)
26	8	16	e	M	u	transcription (token settled at M) or gloss misread
26	11	S34	r	M	u	transcription (token settled at M) or gloss misread
26	12	26	e	M	c	transcription (token settled at M) or gloss misread
26	21	16	e	M	i	gloss misread or transcription (token agreed blind)
26	25	S35	s	M	bo	key cell (graded M)
26	27	16	e	M	u	transcription (token settled at M) or gloss misread
27	8	16	e	M	co	transcription (token settled at M) or gloss misread
27	14	S04	&	M	e	transcription (token settled at M) or gloss misread
27	17	26	e	M	c	transcription (token settled at M) or gloss misread
27	19	16	e	M	c	transcription (token settled at M) or gloss misread
27	24	16	e	M	u	transcription (token settled at M) or gloss misread
27	31	62	e	M	a	transcription (token settled at M) or gloss misread
27	32	S33	r	M	ra	gloss misread or transcription (token agreed blind)
27	37	26	e	M	c	transcription (token settled at M) or gloss misread
28	24	22	pour	I	w	key cell (graded M)
28	25	5	d|l	M	n	homograph (unresolved)
29	6	64	i	M	b	transcription (token settled at M) or gloss misread
29	10	S33	r	M	e	transcription (token settled at M) or gloss misread
29	22	60	i	M	f	gloss misread or transcription (token agreed blind)
30	2	5	d|l	M	m	homograph (unresolved)
30	8	60	i	M	t	transcription (token settled at M) or gloss misread
30	10	5	d|l	M	i	homograph (unresolved)
30	12	S17	fist|Monsr [ ]	M	l	homograph (unresolved)
30	21	S65	mon?	M	wol	key cell (graded M)
30	22	26	e	M	u	transcription (token settled at M) or gloss misread
31	3	60	i	M	l	gloss misread or transcription (token agreed blind)
31	13	S34	r	M	z	transcription (token settled at M) or gloss misread
31	24	9	c	I	t	key cell (graded M)
32	20	26	e	M	c	transcription (token settled at M) or gloss misread
32	30	18	cc	M	u	transcription (token settled at M) or gloss misread
32	35	7	u	M	umm	gloss abbreviation / gloss spans more than one token
33	9	62	e	M	r	transcription (token settled at M) or gloss misread
33	20	5	d|l	M	f	homograph (unresolved)
