line	position	gloss	vote
10	33	e	e
10	34	s	s
11	1	po	pour
11	2	tc	tc
11	3	o	o
11	4	u	u
11	5	t	t
11	6	e	e
11	7	s	s
11	9	a	a
11	10	u	u
11	11	t	t
11	12	r	r
11	13	e	e
11	14	s	s
11	16	o	o
11	17	c	c
11	18	a	a
11	19	s	s
11	20	i	i
11	21	o	o
11	22	n	n
11	23	s	s
11	25	lle	lle
11	26	u	u
11	27	o	o
11	28	z	i
11	29	a	a
11	30	h	h
11	31	t	t
11	32	p	p
11	33	o	o
11	34	l	l
11	35	n	n
11	36	t	t
11	38	a	a
11	39	l	l
11	40	a	a
11	41	u	u
11	42	f	f
11	43	r	r
11	44	e	e
11	45	u	u
11	46	o	o
11	49	e	e
11	53	f	f
11	55	r	r
11	56	r	r
11	57	a	a
11	58	t	t
11	59	z	i
11	60	q	q
11	61	u	u
11	62	e	e
11	63	s	s
11	65	que	que
11	68	z	z
12	1	a	a
12	2	i	i
12	4	r	r
12	5	i	i
12	6	e	e
12	7	u	u
12	9	que	que
12	10	vos	uos
12	11	m	m
12	12	s	s
12	13	o	o
12	14	i	i
12	15	e	e
12	16	ll	ll
12	19	p	p
12	20	a	a
12	21	s?	ss
12	24	p	p
12	25	a	a
12	26	r	r
12	27	d	d
12	28	o	o
12	29	n	n
12	32	pu	pu
13	1	a	a
13	2	p	p
13	3	r	r
13	4	e	e
13	6	q	q
13	7	vo	uo
13	8	a	a
13	9	u	u
13	10	r	r
13	11	e	e
13	12	z	z
13	14	e	e
13	15	n	n
13	16	t	t
13	17	e	e
13	18	n	n
13	19	d	d
13	20	u	u
13	22	c	c
13	23	o	o
13	24	u	u
13	26	c	c
13	28	t	t
13	29	o	o
13	30	u	u
13	31	t	t
13	32	e	e
13	33	s	s
13	35	c	c
13	36	ch	ch
13	37	o	o
13	38	s	s
14	4	p	p
14	5	a	a
14	8	r	r
14	9	o	o
14	10	n	n
14	11	t	t
14	14	f	f
14	15	a	a
14	16	i	i
14	17	r	r
14	18	e	e
14	20	toue	toue
14	22	d	d
14	23	z	i
14	24	u	u
14	25	f	f
14	26	i	i
14	28	q	q
14	30	so	so
14	32	u	u
14	33	d	d
14	34	u	u
14	35	i	i
14	36	f	f
14	37	e	e
14	38	x	x
14	39	e	e
15	2	vo	uo
15	3	a	a
15	4	u	u
15	5	r	r
15	6	e	e
15	7	i	i
15	9	e	e
15	10	n	n
15	11	t	t
15	12	u	u
15	13	n	n
15	14	d	d
15	15	u	u
15	17	c	c
15	18	o	o
15	19	u	u
15	20	um	um
15	21	e	e
15	23	z	i
15	24	e	e
15	25	u	u
15	27	u	u
15	29	o	o
15	30	i	i
15	31	f	f
15	33	m	m
15	34	e	e
15	35	tt	tt
15	36	o	o
16	3	r	r
16	4	e	e
16	6	u	u
16	7	s	s
16	9	x	x
16	10	a	a
16	11	p	p
16	12	r	r
16	13	a	a
16	14	t	t
16	15	i	i
16	16	q	q
16	17	u	u
16	18	e	e
16	20	d	d
16	21	u	u
16	23	c	c
16	24	a	a
16	25	pr	pr
16	26	i	i
16	27	t	t
16	28	a	a
16	29	i	i
16	30	n	n
16	31	e	e
16	33	l	l
16	34	i	i
17	1	u	u
17	2	z	i
17	3	e	e
17	4	c	c
17	5	e	e
17	6	fait	fait
17	7	a	a
17	8	c	c
17	9	a	a
17	10	n	n
17	15	faut	faut
17	16	c	c
17	17	c	c
17	18	ll	ll
17	19	u	u
17	20	r	r
17	22	q	q
17	23	u	u
17	24	tt	tt
17	27	t	t
17	28	a	a
17	29	u	u
17	31	t	t
17	32	o	o
17	33	u	u
18	1	e	e
18	2	u	u
18	4	f	f
18	5	m	m
18	6	a	a
18	7	e	e
18	9	c	c
18	11	z	i
18	12	t	t
18	13	t	t
18	14	quil	quil
18	16	cy	cy
18	17	gm	gm
18	18	e	e
18	19	t	t
18	20	ll	ll
18	21	u	u
18	23	u	u
18	25	r	r
18	28	u	u
18	29	o	o
18	30	l	l
18	31	e	e
18	32	u	u
18	33	t	t
18	34	e	e
18	36	d	d
18	37	e	e
19	1	s	s
19	2	a	a
19	3	t	t
19	4	a	a
19	5	n	n
19	6	t	t
19	7	e	e
19	8	r	r
19	10	que	que
19	12	n	n
19	13	a	a
19	14	l	l
19	15	a	a
19	16	on	on
19	17	a	a
19	18	h	h
19	22	e	e
19	24	t	t
19	25	e	e
19	26	et	et
19	27	en	en
19	28	m	m
19	30	e	e
19	31	l	l
19	32	ll	ll
19	33	e	e
20	1	u	u
20	2	r	r
20	3	e	e
20	4	e	e
20	6	p	p
20	7	e	e
20	8	r	r
20	9	a	a
20	10	n	n
20	11	e	e
20	12	e	e
20	14	u	u
20	15	e	e
20	16	ll	ll
20	17	e	e
20	19	e	e
20	20	u	u
20	22	e	e
20	23	l	l
20	24	r	r
20	25	a	a
20	26	d	d
20	27	o	o
20	28	n	n
20	30	bo	bo
21	1	e	e
21	2	e	e
21	4	t	t
21	5	e	e
21	7	e	e
21	8	u	u
21	9	r	r
21	10	e	e
21	11	t	t
21	12	e	e
21	13	m	m
21	14	le	le
21	15	t	t
21	16	u	u
21	17	t	t
21	19	d	d
21	20	t	t
21	21	u	u
21	24	a	a
21	25	u	u
21	27	tu	tu
21	29	e	e
21	30	e	e
21	31	s	s
21	32	o	o
21	33	s	s
22	3	n	n
22	4	a	a
22	6	t	t
22	7	a	a
22	8	n	n
22	9	t	t
22	11	u	u
22	12	n	n
22	13	c	c
22	14	o	o
22	17	d	d
22	18	e	e
22	20	e	e
22	21	t	t
22	22	o	o
22	23	u	u
22	24	z	z
22	26	n	n
22	27	e	e
22	29	d	d
22	30	e	e
22	32	f	f
22	33	f	f
22	34	u	u
23	1	t	t
23	2	o	o
23	4	t	t
23	5	a	a
23	6	v	u
23	8	e	e
23	9	n	n
23	10	u	u
23	11	o	o
23	15	t	t
23	16	e	e
23	17	u	u
23	19	u	u
23	20	s	s
23	22	f	f
23	23	u	u
23	25	i	i
23	26	po	pour
23	27	a	a
23	28	d	d
23	29	u	u
23	31	i	i
23	32	s	s
23	33	e	e
24	2	f	f
24	3	e	e
24	5	o	o
24	6	u	u
24	8	f	f
24	9	d	d
24	10	x	x
24	11	e	e
24	13	z	z
24	14	n	n
24	16	e	e
24	17	m	m
24	18	b	b
24	19	l	l
24	20	e	e
24	22	d	d
24	23	e	e
24	25	m	m
24	26	o	o
24	28	v	u
24	30	e	e
24	31	n	n
24	32	s	s
24	35	f	f
24	36	a	a
24	37	u	u
24	38	d	d
24	39	x	x
24	40	a	a
25	1	t	t
25	2	a	a
25	3	n	n
25	4	l	l
25	5	r	r
25	6	po	pour
25	8	le	le
25	9	o	o
25	10	e	e
25	12	u	u
25	14	t	t
25	15	e	e
25	16	x	x
25	17	m	m
25	18	a	a
25	19	e	e
25	21	i	i
25	24	f	f
25	25	e	e
25	26	n	n
25	28	o	o
25	30	po	po
26	1	uu	uu
26	2	c	c
26	4	bo	bo
26	5	a	a
26	8	u	u
26	9	u	u
26	11	u	u
26	12	c	c
26	17	m	m
26	18	f	f
26	19	i	i
26	20	f	f
26	21	i	i
26	22	r	r
26	23	a	a
26	24	q	q
26	25	bo	bo
26	26	n	n
26	27	u	u
26	28	n	n
26	29	s	s
26	30	s	s
26	32	i	i
27	4	a	a
27	5	d	d
27	6	u	u
27	8	co	co
27	14	e	e
27	15	q	q
27	16	d	d
27	17	c	c
27	18	d	d
27	19	c	c
27	20	c	c
27	21	a	a
27	22	ac	ac
27	23	s	s
27	24	u	u
27	26	p	p
27	27	a	a
27	28	r	r
27	29	g	g
27	30	n	n
27	31	a	a
27	32	ra	ra
27	35	r	r
27	36	i	i
27	37	c	c
28	7	e	e
28	10	e	e
28	11	r	r
28	12	o	o
28	14	d	d
28	17	rr	rr
28	18	a	a
28	19	f	f
28	20	a	a
28	21	i	i
28	22	r	r
28	23	e	e
28	24	w	w
28	25	n	n
28	26	u	u
28	28	e	e
28	29	n	n
28	30	i	i
28	31	r	r
28	32	a	a
28	33	bo	bo
29	1	u	u
29	3	t	t
29	6	b	b
29	8	f	f
29	9	e	e
29	10	e	e
29	11	a	a
29	12	p	p
29	13	o	o
29	14	u	u
29	17	i	i
29	21	e	e
29	22	f	f
29	23	a	a
29	24	v	u
29	26	e	e
29	27	n	n
29	28	u	u
29	30	o	o
29	32	i	i
29	33	e	e
29	34	o	o
29	36	e	e
29	37	n	n
30	2	m	m
30	3	a	a
30	4	ll	ll
30	5	e	e
30	6	m	m
30	7	a	a
30	8	t	t
30	9	g	g
30	10	i	i
30	11	e	e
30	12	l	l
30	13	e	e
30	16	u	u
30	17	e	e
30	18	b3	b
30	20	m	m
30	21	wol	wol
30	22	u	u
30	23	n	n
30	24	c	c
30	25	o	o
30	27	r	r
30	28	e	e
30	29	s	s
30	30	r	r
30	32	e	e
30	33	n	n
31	1	fa	fa
31	3	l	l
31	4	t	t
31	5	e	e
31	6	n	n
31	7	t	t
31	8	r	r
31	10	n	n
31	11	d	d
31	13	z	z
31	21	m	m
31	23	fait	fait
31	24	t	t
31	25	p	p
31	26	e	e
31	27	n	n
31	28	s	s
31	29	i	i
31	31	r	r
31	32	q	q
31	33	l	l
31	34	e	e
32	2	c	c
32	3	h	h
32	4	o	o
32	7	e	e
32	8	s	s
32	9	n	n
32	10	y	y
32	13	o	o
32	15	n	n
32	16	t	t
32	18	y	y
32	20	c	c
32	22	c	c
32	23	h	h
32	24	a	a
32	25	u	u
32	30	u	u
32	31	s	s
32	33	c	c
32	34	o	o
32	35	umm	umm
33	3	f	fist
33	5	e	e
33	7	e	e
33	8	uu	uu
33	9	r	r
33	14	u	u
33	16	o	o
33	18	u	u
33	20	f	f
33	21	d	d
33	22	r	r
33	23	o	o
33	25	i	i
33	26	e	e
33	27	n	n
33	28	t	t
