line	position	old	new	partner	reason	grade
09	30	4	S36	-	long-s stroke descending through a single cross bar; next token 24 is complete	M
10	10	S40	S33	-	arch with two separate legs, left leg a long diagonal, no closing loop; R form	M
10	32	S40	S33	-	R form with hooked top and two open legs, no baseline loop	M
10	34	4	S36	-	long-s stroke from above into a single x at line end	M
11	7	4	S36	-	long-s stroke from above into a single x after 16, upper row	M
11	14	4	S36	-	long-s stroke into a single x before the divider, upper row	M
11	19	4	S36	-	long-s stroke descending through a single cross after 12	M
11	23	4	S36	-	tall long-s with an x at its foot after 15, before the divider	M
11	42	4	S36	-	single-bar cross joined to the following Ao (S34); gloss f with a crossbar sits above but the sign has no second bar; S02 possible if gloss is trusted	M
11	53	4	S36	-	x with a tall long-s stroke descending through it (S36 form), gloss f/long-s	M
11	56	S40	S33	-	arch with two separate legs and hooked top-left under an r gloss; R form	M
11	63	4	S36	-	tall long-s stroke with an x at its foot after 62, before the divider	M
12	26	S40	S33	-	R form under an r gloss: arch with two separate legs, no baseline loop	M
13	5	4	S36	-	single x with a tall long-s stroke from above	M
13	26	8	9	-	small closed top loop with a tail curling down, no lower loop; reads 9 (= c, matches gloss) rather than 8	M
13	33	4	S36	-	single x with a long-s stroke above, after 26	M
13	38	4	S36	-	long-s stroke into an x at line end, after 82	M
14	8	S40	S33	-	arch with two separate legs, no baseline loop; R form under r gloss	M
14	14	4	S36	-	long stroke from above crossing a single x, f/long-s gloss	M
14	25	4	S36	-	long-s stroke descending into a single cross; no second bar	M
14	36	4	S36	-	tall long-s with an x at its foot, before 16	M
15	19	7	76	20	7 and 6 written close as one group under a single 'uum' (mm) gloss; 9 82 76 16 = comme	M
15	20	6	DEL	19	second digit of 76 (mm) with pos19	M
15	31	4	S36	-	long-s stroke with an x at its foot before the divider	M
16	7	4	S36	-	long-s stroke from above joined into a single x before the divider	M
17	29	10	102	30	10 and 2 written as one group under a single u gloss; 102 = V	M
17	30	2	DEL	29	second part of 102 with pos29	M
18	21	2	26	22	z and 6 written as one group under one e gloss (dotted c); 26 = E; the u gloss belongs to the following 10	M
18	22	6	DEL	21	second digit of 26 with pos21	M
18	23	10	104	24	10 and 4 written as one group under a single u gloss; 104 = V	M
18	24	4	DEL	23	second part of 104 with pos23	M
18	30	8	5	-	S-shaped digit (top hook, closed lower loop), unlike the pointed 8 of the next 82; reads as the s-form 5 = l, matching gloss	M
18	36	12	5	37	first sign after the divider is the s-form 5 (d gloss), not 1; the following z belongs with the 6	M
18	37	6	26	36	z (read as the 2 of 12) plus 6 form 26 under the e gloss; pos36 becomes 5 (d)	M
19	21	2	26	22	z and 6 written as one group under one e gloss; 26 = E	M
19	22	6	DEL	21	second digit of 26 with pos21	M
19	29	2	26	30	z and 6 written as one group under one e gloss; 26 = E	M
19	30	6	DEL	29	second digit of 26 with pos29	M
20	26	58	5	27	d gloss sits over the 5 alone; the blotted 8 belongs with the following 2 (re-split 58|2 -> 5|82)	M
20	27	2	82	26	o gloss sits over the 8-2 pair; 82 = O, with the 8 taken from pos26's 58	M
21	25	10	102	26	10 and 2 written as one group under a single u gloss; 102 = V	M
21	26	2	DEL	25	second part of 102 with pos25	M
21	32	4	44	33	two plain 4s side by side with the o gloss over the first; 44 = O; the long-s gloss belongs to the following x (pos34)	M
21	33	4	DEL	32	second digit of 44 with pos32	M
24	26	4	44	27	looped 4 then plain 4 close together, o gloss over the pair; 44=O (partner row, not in input list)	M
24	27	4	DEL	26	plain digit 4, second digit of 44 with pos 26	M
24	32	4	S36	-	small crossed x/4-like mark before divider, gloss s; lone 4 not a key code, no long stroke visible	M
25	12	10	102	13	1 0 z written as one group, u gloss over it; 102=V	M
25	13	2	DEL	12	z-shape 2 closes 102 with pos 12	M
25	18	8	28	-	short z/dash stroke joined before the 8, gloss a; 28=A (no separate 2 token in transcription)	M
26	9	10	104	10	1 0 4 as one group, u gloss over it; 104=V	M
26	10	4	DEL	9	open-top 4 closes 104 with pos 9	M
26	18	4	S02	-	single cross with descender (t-like), gloss f; lone 4 not a code, F=S02	M
26	29	4	S36	-	long s stroke from above running into a crossed x at its foot; S36	M
26	30	8	82	31	8 then z-shape 2 adjacent; 82=O (s gloss above belongs to the S36 displaced right)	M
26	31	2	DEL	30	z-shape 2 closes 82 with pos 30	M
22	14	4	44	15	9 then 4 4, o gloss over the pair; 44=O	M
22	15	4	DEL	14	second 4 of 44	M
22	23	10	104	24	1 0 4 as one group after 82, u gloss over 10; 104=V (z gloss over the 4 unexplained)	M
22	24	4	DEL	23	closes 104	M
22	29	52	5	30	d gloss sits over the 5 alone; its z belongs to the following 6	M
22	30	6	26	29	z6 under one e gloss; 26=E, z taken from token 29	M
22	34	10	102	35	1 0 z group at line end, u gloss; 102=V	M
22	35	2	DEL	34	closes 102	M
23	11	4	44	12	4 4 after 7, o gloss over first; 44=O	M
23	12	4	DEL	11	second 4 of 44	M
23	17	10	102	18	1 0 z group, u gloss; 102=V	M
23	18	2	DEL	17	closes 102	M
23	21	4	S36	-	4-like cross after Ao, s gloss above it; lone 4 not a code	M
23	23	10	102	24	1 0 z group, u gloss; 102=V	M
23	24	2	DEL	23	closes 102	M
23	29	10	102	30	1 0 z group, u gloss; 102=V	M
23	30	2	DEL	29	closes 102	M
23	32	4	S36	-	cross with tall s-stroke above after 60, s gloss	M
24	6	10	102	7	10 then 2 adjacent, u gloss; 102=V (pattern, not zoomed)	M
24	7	2	DEL	6	closes 102	M
27	1	6	62	2	6 then z-shape 2 at line start; 62=E, no gloss visible	M
27	2	2	DEL	1	closes 62	M
27	6	10	102	7	1 0 z group, u gloss; 102=V	M
27	7	2	DEL	6	closes 102	M
27	23	4	S36	-	cross after the S52 hash, s gloss; lone 4 not a code	M
27	33	1	14	34	1 4 adjacent; 14=A (partner row, not in input list)	M
27	34	4	DEL	33	closes 14	M
28	12	4	44	13	4 4 after S44, o gloss over first; 44=O	M
28	13	4	DEL	12	second 4 of 44	M
28	14	10	102	15	clear 1 0 z group; 102=V though gloss reads d	M
28	15	2	DEL	14	closes 102	M
28	16	|	56	17	the stroke before 6 is an s-form 5, not a divider; 56=rr (partner row, not in input list)	M
28	17	6	DEL	16	rr gloss over s-form 5 + 6; closes 56	M
28	26	10	104	27	1 0 4 group, u gloss; 104=V	M
28	27	4	DEL	26	closes 104	M
29	1	10	102	2	1 0 z group at line start, u gloss; 102=V	M
29	2	2	DEL	1	closes 102	M
29	13	8	82	14	8 z after S31, o gloss over 8; 82=O	M
29	14	2	DEL	13	closes 82	M
29	17	2	24	18	z 4 pair, i gloss; 24=I	M
29	18	4	DEL	17	closes 24	M
29	24	4	7	-	a 7 with a z-like double bar on top, v gloss; 7=V	M
29	28	10	102	29	1 0 z group, u gloss; 102=V	M
29	29	2	DEL	28	closes 102	M
29	30	4	44	31	4 4, o gloss; 44=O	M
29	31	4	DEL	30	second 4 of 44	M
29	35	2	26	36	z6 pair after S60, e gloss over 6; 26=E	M
29	36	6	DEL	35	closes 26	M
30	14	4	S36	-	long s-stroke from above runs into the crossed x; S36	M
30	25	4	44	26	9 then 4 4, o gloss over first; 44=O	M
30	26	4	DEL	25	second 4 of 44	M
30	29	4	S36	-	cross after 16 under a tall s-stroke, s gloss	M
31	8	2	26	9	z6 pair after S37; 26=E (gloss reads r)	M
31	9	6	DEL	8	closes 26	M
31	17	10	102	18	1 0 z group; 102=V	M
31	18	2	DEL	17	closes 102	M
31	25	1	16	26	1 6 adjacent; 16=E, e gloss over 6 (partner row, not in input list)	M
31	26	6	DEL	25	closes 16	M
31	28	4	S36	-	cross after 15 with s gloss (tall s) above	M
31	29	2	26	30	z at end of s1 part, 6 at start of s2 part; 26=E (gloss reads i)	M
31	30	6	DEL	29	closes 26	M
32	4	4	44	5	4 4 after 17, o gloss over first; 44=O	M
32	5	4	DEL	4	second 4 of 44	M
32	8	4	S36	-	long s-stroke from above through a cross, s gloss	M
32	10	4	73	11	crossed 7 followed by a 3-shape (S64), y gloss over both; 73=Y	M
32	11	S64	DEL	10	the 3 of 73 (partner row, not in input list)	M
32	13	8	82	14	8 z, o gloss; 82=O	M
32	14	2	DEL	13	closes 82	M
32	18	4	73	19	crossed 7 + 3-shape, y gloss; 73=Y	M
32	19	S64	DEL	18	the 3 of 73 (partner row, not in input list)	M
32	25	10	102	26	1 0 z group; 102=V	M
32	26	2	DEL	25	closes 102	M
32	28	6	66	29	6 6 pair after Ao; 66=ff	M
32	29	6	DEL	28	second 6 of 66	M
32	31	4	S36	-	cross after 18, s gloss; lone 4 not a code	M
32	35	7	76	36	7 6 under one mm gloss; 76=mm (partner row, not in input list)	M
32	36	6	DEL	35	closes 76	M
33	4	2	26	5	z6 pair after S17, e gloss over 6; 26=E	M
33	5	6	DEL	4	closes 26	M
33	14	10	102	15	1 0 z group, u gloss; 102=V	M
33	15	2	DEL	14	closes 102	M
33	16	4	44	17	4 4, o gloss over first; 44=O	M
33	17	4	DEL	16	second 4 of 44	M
33	18	10	104	19	1 0 4 group, u gloss; 104=V	M
33	19	4	DEL	18	closes 104	M
33	23	8	82	24	8 z after Ao, o gloss; 82=O	M
33	24	2	DEL	23	closes 82	M
33	33	2	26	34	z6 at line end; 26=E	M
33	34	6	DEL	33	closes 26	M
