line	position	token	kind	gloss	grade	note
04	24	S44	sign	se	M	s2 crossed stem with loop at top right; gloss se or fe
04	25	|	divider		H	s2
04	26	62	digit	e	H	s2
04	27	S23	sign	s	M	s2 x cross; gloss a large long s
04	28	S37	sign	t	H	s2 to
04	29	82	digit	o	M	s2 8 and 2 slightly spaced, read as one code; gloss over the 8
04	30	60	digit	f	H	s2
04	31	S38	sign	t	H	s2 tc
04	32	|	divider		H	s2
04	33	104	digit		M	s2 loop above is the descender of line 03's final 6, no gloss seen; a colon follows; a z/3-shaped margin mark further right skipped
05	1	26	digit	e	M	s1 gloss c/e with a stroke after it
05	2	15	digit	n	H	s1
05	3	102	digit	u	H	s1
05	4	|	divider		H	s1
05	5	S31	sign	p	H	s1 circle on a cross
05	6	28	digit	a	M	s1 2 and 8 slightly spaced, read as one code; gloss a or n over the 8
05	7	S34	sign	r	H	s1 Ao
05	8	S16	sign	d	M	s1 small long-s stroke
05	9	26	digit	r	M	s1 gloss r-like (or e)
05	10	9	digit	e	M	s1 gloss e or c
05	11	14	digit	a	H	s1
05	12	|	divider		H	s1
05	13	S31	sign	p	H	s1 circle on a cross
05	14	12	digit	a	H	s1 straddles near the tick, centre left
05	15	S40	sign	r	H	s2
05	16	S27	sign	l	H	s2
05	17	2	digit	i	M	s2 lone 2; gloss dotted i
05	18	64	digit	f	M	s2 gloss a large long s/f
05	19	S32	sign	q	M	s2 y-like with hook at top left; gloss q
05	20	102	digit	u	H	s2
05	21	16	digit	e	H	s2
05	22	68	digit	tt	H	s2 gloss tt
05	23	62	digit	e	H	s2
05	24	S35	sign		M	s2 tall crossed long s followed by a 5/s shape; no separate gloss seen
05	25	|	divider		H	s2
05	26	60	digit	f	H	s2
05	27	12	digit	a	H	s2
05	28	73	digit	y	M	s2 3 faint and low; gloss y-like
05	29	|	divider		H	s2
05	30	26	digit	e	H	s2
06	1	4	digit	s	M	s1 cross; a thick tall long-s stroke rises from it (gloss s, or part of the sign)
06	2	S38	sign	t	H	s1 tc; gloss a crossed t
06	3	16	digit	e	H	s1
06	4	|	divider		H	s1
06	5	3	digit	?	M	s1 z-shaped 3 with a tail (could be sign S64); gloss a B/25-like mark, illegible
06	6	60	digit	it	M	s1 gloss i over the 6 and t over the 0; could be 6 and 0 separately
06	7	15	digit	en	M	s1 1 and a short 5 stroke; gloss en or cn
06	8	|	divider		H	s1
06	9	S42	sign		M	s1 two looped S side by side, 66-like; no gloss
06	10	2	digit		H	s1 no gloss
06	11	6	digit		H	s1 no gloss
06	12	S30	sign		M	s1 'ua'/na shape, no c-hook seen, no gloss
06	13	|	divider		H	s1
06	14	4	digit	f	H	s1 gloss f
06	15	4	digit	o	H	s1 gloss o
06	16	4	digit		H	s1 no gloss
06	17	S34	sign	r	H	s1 Ao, centred left of the tick
06	18	S37	sign	t	H	s2 to
06	19	|	divider		H	s2
06	20	12	digit	a	H	s2
06	21	7	digit	r	M	s2 gloss r (x-like)
06	22	S53	sign	s	M	s2 tall flourish from top into a 3/8-like curl with tail; the long-s top may be a gloss s
06	23	4	digit		M	s2 cross, no gloss of its own
06	24	16	digit	e	H	s2
06	25	|	divider		H	s2
06	26	5	digit	d	M	s2 gloss a d-like loop above (shared with 5/2)
06	27	2	digit		H	s2
06	28	6	digit	e	H	s2
06	29	15	digit	n	H	s2
06	30	S37	sign	t	H	s2 to
06	31	62	digit	e	H	s2
06	32	11	digit	n	M	s2 two minims, u-like; could be S29
06	33	5	digit	d	M	s2 gloss a d-loop with long stem
06	34	S40	sign	r	M	s2 R-like loop with looped leg and a dot after; a cross above may be gloss r or line-05 descender
06	35	16	digit	e	H	s2
06	36	|	divider		H	s2
06	37	S32	sign	quel	H	s2 Y with gloss quel
06	38	S53	sign	l	M	s2 3/8-like curl with tail; gloss l
06	39	16	digit	e	H	s2
06	40	4	digit	s	M	s2 gloss tall long s
06	41	4	digit	f	H	s2 gloss f
07	1	8	digit	o	H	s1
07	2	2	digit		H	s1 no gloss
07	3	S34	sign	r	H	s1 Ao with a mark on the A; gloss r
07	4	9	digit	d	M	s1 gloss d-like (script d)
07	5	16	digit	e	H	s1
07	6	4	digit	s	M	s1 gloss an s-shaped mark above
07	7	|	divider		H	s1
07	8	S32	sign	quel	H	s1 uy shape; gloss quel
07	9	S35	sign	so	M	s1 long s + s; gloss So with a flourish (Sos?)
07	10	|	divider		H	s1
07	11	S29	sign	m	H	s1 three minims
07	12	26	digit	e	H	s1
07	13	15	digit	n	H	s1
07	14	16	digit	e	H	s1
07	15	S40	sign	r	M	s1 reversed-omega/R-like, trailing stroke to the tick; centre left of tick
07	16	|	divider		H	s2
07	17	S35	sign		M	s2 tall long s + 5; the tall stroke may be a gloss s
07	18	4	digit	o	H	s2
07	19	4	digit		H	s2 no gloss
07	20	60	digit	t	H	s2
07	21	26	digit	e	H	s2
07	22	15	digit	n	H	s2
07	23	S37	sign	t	H	s2 to
07	24	|	divider		H	s2
07	25	S37	sign	t	H	s2 to
07	26	|	divider		M	s2 faint thin stroke
07	27	2	digit	e	M	s2 gloss over the 2/6 gap
07	28	6	digit		M	s2 read as separate from preceding 2; could be 26
07	29	68	digit	ll	M	s2 gloss ll (or tl)
07	30	16	digit	e	H	s2
07	31	4	digit	s	M	s2 gloss s-like
07	32	|	divider		M	s2 faint
07	33	S32	sign	que	H	s2 ny shape; gloss que
07	34	S35	sign	so	M	s2 gloss So with flourish
07	35	S29	sign	m	H	s2
07	36	12	digit	a	H	s2
07	37	15	digit	n	H	s2
07	38	5	digit	d	H	s2
07	39	16	digit	e	H	s2
07	40	|	divider		H	s2
08	1	75	digit		M	s1 no gloss seen
08	2	|	divider		H	s1
08	3	S74	sign		M	s1 loop joined to a 4-cross (4 with extra hooked stroke); no gloss seen
08	4	S40	sign	r	H	s1 gloss a small r/tick
08	5	S30	sign	n	M	s1 'na' shape
08	6	4	digit	e	M	s1 gloss e or o
08	7	4	digit		H	s1 no gloss
08	8	15	digit	n	H	s1
08	9	4	digit	s	M	s1 cross with a tall long-s stroke rising (gloss s)
08	10	16	digit	e	M	s1 gloss e/i
08	11	104	digit	u	H	s1
08	12	68	digit	ll	H	s1
08	13	2	digit	e	M	s1 lone 2; gloss c/e
08	14	6	digit		M	s1 could join the 2 as 26
08	15	S29	sign	m	H	s2 minims uu; centred just right of tick
08	16	62	digit	e	H	s2
08	17	15	digit	n	H	s2
08	18	S37	sign	t	H	s2 to
08	19	|	divider		H	s2
08	20	X?	X?	tou	M	s2 wavy double z-stroke with a cross, small 'tou'-like letters above; maybe 22 overwritten
08	21	|	divider		H	s2
08	22	S27	sign	f	M	s2 heavy doubled crossed long-s; gloss a tall f
08	23	16	digit	e	H	s2
08	24	S62	sign	x	M	s2 lambda/delta-like shape with a stroke and a dot after; gloss r/x-like; S40 possible
08	25	26	digit	e	H	s2
08	26	6	digit		M	s2 no gloss
08	27	9	digit	g	M	s2 ornate 9 with curl; gloss g
08	28	12	digit	a	H	s2
08	29	S34	sign	r	H	s2 Ao
08	30	5	digit	d	M	s2 gloss d-loop
08	31	|	divider		H	s2
08	32	S16	sign	d	M	s2 long-s stroke
08	33	102	digit	u	H	s2
08	34	|	divider		H	s2
08	35	S36	sign	f	M	s2 heavy blotted x over a descender; gloss f
08	36	12	digit	a	H	s2
08	37	60	digit	i	H	s2
08	38	S37	sign	t	H	s2 to
09	1	S35	sign		M	s1 very tall long s curving down (bracket-like) followed by a 5/s; the tall stroke could be a gloss
09	2	104	digit	u	M	s1 gloss u or a
09	3	4	digit	l	M	s1 x-like cross; gloss a heavy tall stroke (l/s)
09	4	5	digit	d	M	s1 gloss 9/d-shaped loop
09	5	64	digit	f	M	s1 gloss f over the 6
09	6	9	digit	e	M	s1 gloss c/e
09	7	S38	sign	t	H	s1 tc
09	8	|	divider		H	s1
09	9	S36	sign	f	M	s1 x crossed over a stem rising into a tall f-like stroke (the rising stroke may be the gloss f)
09	10	60	digit	i	H	s1
09	11	5	digit	l	H	s1
09	12	|	divider		M	s1 thin
09	13	4	digit	s	M	s1 cross with a tall long-s rising (gloss s)
09	14	16	digit	e	H	s1
09	15	S31	sign	p	M	s1 circle on a cross; gloss y/p-like
09	16	S34	sign	r	H	s1 Ao
09	17	2	digit	e	M	s1 on the tick, centre just left
09	18	6	digit		M	s2 hooked 6 crossed by a long descender from line 08
09	19	S35	sign		M	s2 long s + s; tall stroke above could be the descender of line 08
09	20	16	digit	e	H	s2
09	21	15	digit	n	H	s2
09	22	S37	sign	t	H	s2 to
09	23	62	digit	e	H	s2
09	24	|	divider		M	s2 tall stroke
09	25	S40	sign	r	M	s2 R-shape with crossed stem; gloss x/r
09	26	14	digit	a	H	s2
09	27	|	divider		H	s2
09	28	82	digit	o	H	s2
09	29	9	digit	e	M	s2 gloss c/e
09	30	14	digit	a	H	s2
09	31	4	digit	s	M	s2 cross with tall long s rising (gloss s/f)
09	32	24	digit	f	M	s2 gloss a z-shaped f
09	33	4	digit	s	M	s2 gloss s
09	34	4	digit		H	s2 no gloss
09	35	4	digit	?	M	s2 small hooked 4, crossed by line 08 descender; blotted gloss above
09	36	5	digit	?	M	s2 blotted gloss above
09	37	|	divider		M	s2 may be only the descender of line 08's sign
09	38	5	digit	d	M	s2 gloss d-loop
09	39	16	digit	e	H	s2
09	40	5	digit	l	H	s2
09	41	2	digit	e	M	s2
09	42	6	digit		H	s2
09	43	|	divider		H	s2
10	1	S37	sign	t	H	s1 to
10	2	14	digit	a	H	s1
10	3	11	digit	n	M	s1 two minims (u-like); could be a sign
10	4	S38	sign	t	H	s1 tc
10	5	16	digit	e	H	s1
10	6	S34	sign	r	H	s1 Ao
10	7	|	divider		H	s1
10	8	S31	sign	p	M	s1 circle on a cross; gloss y/p-like
10	9	12	digit	a	H	s1
10	10	S40	sign	r	H	s1 R-shape with a dot after
10	11	9	digit	e	M	s1 gloss c/e
10	12	26	digit	o	M	s1 gloss over the 6; could be 2 and 6 separately
10	13	S35	sign		M	s1 tall long s + 5
10	14	S37	sign	t	H	s1 to
10	15	16	digit	e	M	s1 on the tick, centre left
10	16	|	divider		H	s2
10	17	102	digit	d	M	s2 gloss a d/b-like loop (maybe a descender from line 09)
10	18	4	digit	o	H	s2
10	19	4	digit		H	s2 no gloss
10	20	64	digit	f	H	s2 gloss z-shaped f
10	21	26	digit	e	M	s2 gloss over the 2
10	22	|	divider		H	s2
10	23	5	digit	l	H	s2
10	24	12	digit	u	M	s2 gloss u over the 2
10	25	S29	sign	m	H	s2
10	26	12	digit	a	H	s2
10	27	26	digit	e	M	s2 gloss over the 2
10	28	S27	sign		M	s2 tall looped crossed long-s pair; no separate gloss seen
10	29	16	digit	e	H	s2
10	30	|	divider		M	s2 thin
10	31	15	digit	n	H	s2
10	32	9	digit	e	M	s2 gloss c/e
10	33	8	digit	o	M	s2 read separately from 9; could be 98
10	34	2	digit		M	s2 no gloss
10	35	S40	sign	r	M	s2 R-shape with crossed stem and a dot
10	36	62	digit	e	H	s2
10	37	4	digit	s	M	s2 gloss tall long s
10	38	|	divider		H	s2
11	1	22	digit	po	H	s1 UPPER ROW: the line-11 crop holds two cipher rows (upper '22 to 82...', lower '6 o ua tc...'); both transcribed here, upper first
11	2	S37	sign	te	M	s1 upper row; to; gloss te/tc
11	3	82	digit	o	M	s1 upper row; gloss over the 8
11	4	104	digit	u	H	s1 upper row
11	5	S38	sign	t	M	s1 upper row; tc; gloss t with a tick
11	6	16	digit	e	M	s1 upper row; gloss c/e
11	7	S36	sign	s	M	s1 upper row; x over a long stroke rising into a tall s (gloss)
11	8	|	divider		H	s1 upper row
11	9	28	digit	a	M	s1 upper row; gloss a over the 8
11	10	102	digit	u	H	s1 upper row
11	11	S38	sign	t	M	s1 upper row; tc heavily inked/overwritten
11	12	S34	sign	r	H	s1 upper row; Ao
11	13	16	digit	e	M	s1 upper row; centre left of tick
11	14	4	digit	s	M	s2 upper row; cross with a tall long s rising (gloss s)
11	15	|	divider		M	s2 upper row thin
11	16	82	digit	o	H	s2 upper row
11	17	9	digit	c	M	s2 upper row; gloss c/e
11	18	12	digit	a	H	s2 upper row
11	19	4	digit	s	M	s2 upper row; tall long s crossing a 4 (gloss s)
11	20	16	digit	i	M	s2 upper row
11	21	64	digit	o	H	s2 upper row
11	22	4	digit		H	s2 upper row
11	23	15	digit	n	H	s2 upper row
11	24	X?	X?		M	s2 upper row; k-like shape with a tall long-s ascender joined (possibly S56 or S39)
11	25	|	divider		H	s2 upper row
11	26	S52	sign	lle	M	s2 upper row; lattice three by three; gloss 'lle'
11	27	102	digit	u	H	s2 upper row
11	28	4	digit	o	H	s2 upper row
11	29	4	digit		H	s2 upper row
11	30	64	digit	f	H	s2 upper row
11	31	14	digit	a	H	s2 upper row
11	32	15	digit	h	M	s2 upper row; gloss h
11	33	S38	sign	t	H	s2 upper row
11	34	S31	sign	p	H	s2 upper row
11	35	82	digit	o	H	s2 upper row
11	36	60	digit	l	M	s1 LOWER ROW starts; gloss l-like stroke over the 6
11	37	S30	sign	n	M	s1 lower row; 'ua' shape
11	38	S38	sign	t	H	s1 lower row; tc
11	39	X?	X?	?	M	s1 lower row; a box/shield drawn over a long s with a small a inside; possibly a correction
11	40	12	digit	a	M	s1 lower row
11	41	X?	X?	l	M	s1 lower row; large capital A fused with a crossed ff (S76 + f?)
11	42	14	digit	a	H	s1 lower row
11	43	102	digit	u	H	s1 lower row
11	44	4	digit	f	M	s1 lower row; gloss crossed f
11	45	S34	sign	r	H	s1 lower row; Ao
11	46	16	digit	e	M	s1 lower row
11	47	102	digit	u	H	s1 lower row
11	48	4	digit	o	H	s1 lower row
11	49	4	digit		H	s2 lower row
11	50	72	digit		M	s2 lower row; crossed 7 joined to a z-2; could be 42
11	51	|	divider		H	s2 lower row
11	52	26	digit	e	M	s2 lower row
11	53	5	digit		M	s2 lower row
11	54	X?	X?	?	M	s2 lower row; token under a large ink blot, illegible
11	55	6	digit	e	M	s2 lower row
11	56	4	digit	f	M	s2 lower row; tall f crossing a 4
11	57	|	divider		H	s2 lower row
11	58	S31	sign	r	M	s2 lower row; circle on a cross
11	59	S40	sign	r	M	s2 lower row
11	60	28	digit	a	M	s2 lower row
11	61	S37	sign	t	H	s2 lower row
11	62	60	digit	f	M	s2 lower row; gloss f/t
11	63	S32	sign	q	M	s2 lower row; y with crossbar; gloss q
11	64	104	digit	u	H	s2 lower row
11	65	62	digit	e	M	s2 lower row
11	66	S36	sign	s	M	s2 lower row; x over a long descender, tall s above
11	67	|	divider		H	s2 lower row
11	68	S32	sign	quil	M	s2 lower row; 'ny' shape; gloss quil/quel
11	69	|	divider		H	s2 lower row
11	70	X?	X?		M	s2 lower row; solid filled triangular blot-sign
11	71	S64	sign	e	M	s2 lower row; 3-shape; gloss e-like
11	72	S40	sign		M	s2 lower row; n-shape with looped leg at line end
12	1	28	digit	a	H	s1
12	2	64	digit	l	M	s1 gloss l/i over the 6
12	3	S38	sign	t	M	s1 tc; gloss a heavy crossed t
12	4	X?	X?	p	M	s1 large A with a crossed f-hook at right (not plain S76, no hooked v); gloss p/r
12	5	|	divider		M	s1 thin
12	6	24	digit	i	M	s1 gloss i
12	7	26	digit	e	M	s1 gloss over the 2
12	8	102	digit	u	M	s1 the 1 is blotted
12	9	|	divider		H	s1
12	10	S32	sign	que	H	s1 Y; gloss q with bar (que)
12	11	S35	sign	vos	M	s1 long s + s; gloss 'vos'
12	12	S52	sign	m	M	s1 lattice; gloss m; S04 possible
12	13	S35	sign	s	M	s2 tall long s + 5; tall stroke may be gloss s
12	14	4	digit	o	M	s2
12	15	4	digit		H	s2
12	16	60	digit	i	M	s2
12	17	62	digit	e	M	s2 gloss c/e
12	18	73	digit	n	M	s2 heavy gloss like N/u
12	19	S44	sign	ct	M	s2 crossed-stem loop; gloss small 'ct'/'3t'
12	20	S40	sign		M	s2 omega shape; no gloss seen
12	21	9	digit	p	H	s2
12	22	12	digit	a	H	s2
12	23	5	digit		M	s2 small s-shaped 5
12	24	4	digit	se	M	s2 gloss 'se'/'ſe' tall
12	25	26	digit		M	s2
12	26	|	divider		H	s2
12	27	S31	sign	p	M	s2 circle on a cross
12	28	28	digit	a	H	s2
12	29	S40	sign	r	M	s2 R/omega with a crossbar; gloss r-like
12	30	5	digit	d	M	s2 faint gloss 'pardon' written small above tokens 30-33
12	31	26	digit	o	M	s2
12	32	9	digit	n	M	s2
12	33	12	digit		M	s2
12	34	|	divider		H	s2
12	35	22	digit	pu	M	s2 gloss pu/po
12	36	|	divider		H	s2
13	1	12	digit	a	M	s1
13	2	S31	sign	p	H	s1
13	3	S34	sign	r	H	s1
13	4	62	digit	e	H	s1
13	5	4	digit	s	M	s1 tall f/long s rising (gloss)
13	6	S32	sign	q	M	s1 Y with a q-loop gloss at top
13	7	S35	sign	ue	M	s1 gloss ue/we spanning
13	8	14	digit	a	H	s1
13	9	102	digit	u	H	s1
13	10	S76	sign	r	M	s1 plain capital A; gloss heavy R-like
13	11	16	digit	e	H	s1
13	12	72	digit	s	M	s1 crossed 7 joined to 2; gloss a z/3-like s
13	13	|	divider		H	s1
13	14	62	digit	e	H	s1
13	15	15	digit	n	H	s2
13	16	S37	sign	t	H	s2
13	17	16	digit	e	H	s2
13	18	S30	sign	n	M	s2 ua shape
13	19	5	digit	d	M	s2 s-shaped 5; gloss d-like
13	20	104	digit	u	H	s2
13	21	|	divider		H	s2
13	22	9	digit	c	H	s2
13	23	4	digit	o	H	s2
13	24	4	digit		H	s2
13	25	76	digit	uu	M	s2 gloss letters 'uuue' span tokens 25-26; could be 7 and 6 separately
13	26	16	digit	ue	M	s2
13	27	|	divider		H	s2
13	28	S37	sign	t	H	s2
13	29	4	digit	o	H	s2
13	30	4	digit		H	s2
13	31	104	digit	u	H	s2
13	32	S37	sign	t	H	s2
13	33	26	digit	e	M	s2
13	34	4	digit	s	M	s2 tall long s gloss
13	35	|	divider		H	s2
13	36	9	digit	c	H	s2
13	37	17	digit	ch	M	s2 gloss 'ch'
13	38	82	digit	o	H	s2
13	39	4	digit	s	M	s2 tall long s gloss
14	1	2	digit		M	s1 lone 2; could join 6 as 26
14	2	6	digit		M	s1 no gloss
14	3	S35	sign		M	s1 tall long s + 5; no separate gloss seen
14	4	|	divider		H	s1
14	5	S31	sign	p	M	s1 circle on a cross; gloss cross-like p/t
14	6	14	digit	a	H	s1
14	7	5	digit	f	M	s1 gloss tall stroke (f/l), shared with next
14	8	4	digit	s	M	s1 gloss tall long s
14	9	16	digit	e	M	s1 gloss 3/e-like
14	10	S40	sign	r	H	s1
14	11	82	digit	o	H	s1
14	12	15	digit	n	H	s1
14	13	S37	sign	t	H	s1 to
14	14	|	divider		H	s1
14	15	5	digit	s	M	s1 gloss curly s/p
14	16	S36	sign	f	M	s1 x over a long stem; gloss a heavy crossed f
14	17	12	digit	a	H	s1
14	18	60	digit	i	H	s2 centred right of tick
14	19	S34	sign	r	H	s2 Ao
14	20	16	digit	e	H	s2
14	21	|	divider		H	s2
14	22	S14	sign	tous	M	s2 script E-like loop; gloss 'tous'/'toue'
14	23	|	divider		H	s2
14	24	12	digit	d	M	s2 gloss d sits between the 2 and the next 6
14	25	64	digit	f	M	s2 gloss z-shaped f
14	26	15	digit	u	M	s2
14	27	4	digit	f	M	s2 gloss tall f
14	28	60	digit	i	M	s2 gloss heavy dot/i
14	29	|	divider		H	s2
14	30	S32	sign	g	M	s2 V/Y shape; gloss a large G-like spiral
14	31	|	divider		H	s2
14	32	S35	sign	so	M	s2 long s + s; gloss 'So'
14	33	|	divider		H	s2
14	34	14	digit	u	M	s2 gloss u
14	35	102	digit	d	M	s2 the 1 is a blot; gloss d
14	36	60	digit	i	M	s2
14	37	4	digit	f	M	s2 gloss tall f crossing the 4
14	38	16	digit	e	M	s2
14	39	S40	sign	x	M	s2 n with looped leg; gloss x-like
14	40	26	digit	e	M	s2
15	1	X?	X?		M	s1 large ink blot followed by an n/ʌ-shaped stroke (possibly S40 under a blot)
15	2	|	divider		M	s1 long slanting stroke
15	3	S35	sign	vos	M	s1 long s + s; gloss 'vos' (partly above)
15	4	12	digit	a	H	s1
15	5	104	digit	u	H	s1
15	6	S34	sign	r	H	s1 Ao
15	7	16	digit	e	M	s1 heavy, partly blotted
15	8	72	digit	s	M	s1 R/7-like joined to 2; gloss s-like
15	9	|	divider		H	s1
15	10	62	digit	e	H	s1
15	11	15	digit	n	H	s1
15	12	S37	sign	t	H	s1 to; gloss heavy t
15	13	2	digit	u	M	s1 lone 2; gloss u
15	14	6	digit		M	s1 may join 2 as 26
15	15	S30	sign	n	M	s1 ua shape
15	16	5	digit	d	M	s2 gloss d
15	17	7	digit	u	M	s2 heavy 7
15	18	|	divider		H	s2
15	19	9	digit	c	M	s2
15	20	8	digit	o	M	s2 read separately; could be 98
15	21	2	digit	l	M	s2 tall stroke above (gloss l, or descender from line 14)
15	22	76	digit	uu	M	s2 gloss 'uuu' spans 76 and 16
15	23	16	digit	e	M	s2
15	24	|	divider		H	s2
15	25	60	digit	f	M	s2 gloss z-shaped f
15	26	62	digit	e	M	s2
15	27	7	digit	u	H	s2
15	28	4	digit	s	M	s2 gloss s/dot with stroke
15	29	4	digit		M	s2
15	30	102	digit	u	H	s2
15	31	5	digit	?	M	s2 gloss blotted (L-shaped blot)
15	32	82	digit	o	M	s2
15	33	60	digit	i	M	s2
15	34	4	digit	f	M	s2 gloss tall f crossing the 4
15	35	S75	sign		M	s2 bold capital H
15	36	S49	sign	m	M	s2 m with descending tail, preceded by a curl; gloss m
15	37	26	digit	e	M	s2 gloss over the 2/6
15	38	58	digit	tt	M	s2 gloss tt
15	39	16	digit	o	M	s2 gloss o over the 6
16	1	S74	sign		M	s1 looped curl joined to a 4/7-like stroke; no gloss seen
16	2	S34	sign	r	H	s1 Ao
16	3	62	digit	e	M	s1 gloss c/e
16	4	S35	sign		M	s1 very tall long s + 5
16	5	102	digit	u	H	s1
16	6	4	digit	s	M	s1 tall long s rising through the 4 (gloss)
16	7	|	divider		H	s1
16	8	5	digit	x	M	s1 gloss x/r
16	9	14	digit	a	H	s1
16	10	S31	sign	p	H	s1 circle on a cross
