line	pos	code	marks	source	reason
17	3	S		3-way->B	A=_ B=S C=eps, all differ; B's 'squiggle matching atlas S' beats C's eps guess (S/eps are a known confusable pair) and A's plain-with-marks read, which is internally inconsistent (plain boxes elsewhere on this leaf carry no marks)
17	5	_		3-way->C	A=g B=S7 C=_, all differ; B itself flags this as 'genuinely uncertain' and entertains a plain connecting ligature rather than a full sign; A's g call needs a loop B says isn't there; C's independent 'stray stroke, no codebook match' read is the most conservative and matches B's own doubt
17	7	_		AC	C agrees with A (_) against B (S): plain cursive 'tis'/'His' fragment
17	9	f		3-way->B	A=y B=f C=p, all differ; B's stroke-order description (vertical, small loop near top, horizontal crossbar lower) matches the f atlas more precisely than C's p guess (f/p are a close confusable pair); overrides A's y
17	10	_		BC	C agrees with B (_) against A (e): plain cursive 'qu' ligature
17	14	bh	dot	BC	C agrees with B (bh) against A (_): hook-with-descender shape, matches bh atlas
17	17	_		BC	C agrees with B (_) against A (#): plain cursive 'tto'
18	1	_		3-way->B	A=y B=_ C=p, all differ; B's reading that this begins the word 'Parti' continuing into pos2-4 is corroborated by C's own independent plain reads of 18/2 ('pa') and 18/4 ('rtn') in this same pass, which together spell the same word
18	2	_		BC	C agrees with B (_) against A (p): plain cursive 'pa'
18	4	_		BC	C agrees with B (_) against A (#): plain cursive 'rtn'
18	5	_		BC	C agrees with B (_) against A (y): single loop-with-tail stroke, reads as a plain cursive f/J, consistent with this line's dominant plain-run pattern
18	6	S		BC	C agrees with B (S) against A (_): isolated S-curl
18	7	nt		BC	C agrees with B (nt) against A (_): t-cross plus N-loop ligature, matches nt atlas
18	7.5	S	~	BC	C agrees with B (S) against A (MISSING): S-curl, second half of the split box
18	10	_		BC	C agrees with B (_) against A (Lx): plain capital-letter flourish ('M'), no clean cipher match
18	13	_		BC	C agrees with B (_) against A (S): plain cursive 'ts'
18	15	_		BC	C agrees with B (_) against A (H): merged cluster of strokes, illegible as a single sign
18	18	_		BC	C agrees with B (_) against A (N): plain cursive 'rN'
19	18	S7	+	BC	C agrees with B (S7) against A (Z): numeral-7 shape with a + cross mark above it, compound box
