line	pos	code	marks	source	reason
9	3	_		split-M	A=g B=_ C=S; C note: S/psi ligature heavily merged, kept at S as the dominant curl; settled on crop: L1c arbitration (3-way->B), carried over
9	11	tee		AC	A=tee B=+ C=tee; C note: cross/T-bar shape matches tee atlas; a numeral-7 stroke below may belong to a neighbour box
9	14	S		BC	A=_ B=S C=S; C note: S-curl and a separate eps-like loop both visible in one tall box; kept at S for the upper glyph
10	1	]	o	split-M	A=y B=] C=sq; C note: square/rectangular closed box, closer to sq atlas than the rounded ]; settled on crop: L1c arbitration (3-way->B), carried over
10	2	Lx		BC	A=_ B=Lx C=Lx; C note: vertical stroke with a hooked descender, matches Lx atlas
10	4	phi		split-M	A=y B=phi C=g; C note: g-loop-with-tail visible at the left edge; most of the box is blank margin; settled on crop: L1c arbitration (3-way->B), carried over
10	6	lam	3	split-M	A=_ B=lam C=S7; C note: multiple numeral-like strokes (3,7,1,1), no single clean match; kept at S7 for the dominant shape; settled on crop: L1c arbitration (3-way->B), carried over
10	19	Lx		BC	A=_ B=Lx C=Lx; C note: vertical-plus-hook shape, matches Lx atlas
10	22	Lx	dot	BC	A=_ B=Lx C=Lx; C note: same vertical-plus-hook shape as pos19
11	3	sq	ot	AC	A=sq B=] C=sq; C note: clean closed square/rectangle, exact sq atlas match
11	4	_		AC	A=_ B=w C=_; C note: plain cursive 'iw-' fragment
11	8	tee		split-M	A=S7 B=tee C=_; C note: plain capital T + cursive a, reads as ordinary script 'Ta'; settled on crop: L1c arbitration (3-way->B), carried over
11	16	g		split-M	A=_ B=g C=e; C note: loop crossed by two diagonal strokes -- looks like an e-bowl with a strikethrough/correction rather than a clean single sign; settled on crop: L1c arbitration (3-way->B), carried over
11	22	dl		BC	A=_ B=dl C=dl; C note: loop-with-tail on the left half, matches dl atlas
11	22.5	f		BC	A=MISSING B=f C=f; C note: cross-stroke-with-descender on the right half, matches f atlas
12	3	_		BC	A=S7 B=_ C=_; C note: plain cursive digits/letters '12a', no cipher shape
13	3	tee		BC	A=S7 B=tee C=tee; C note: cross/T-bar shape, close match to tee atlas
13	6	S7	dot	BC	A=_ B=S7 C=S7; C note: numeral-7 hook, matches S7 atlas
13	7	nt		split-M	A=Z B=nt C=f; C note: cross-stroke over a loop, closest to f atlas despite the extra 'u' ligature above; settled on crop: L1c arbitration (3-way->B), carried over
14	7	_		AC	A=_ B= C=_; C note: two thin crossing strokes with dots -- ambiguous, likely a punctuation/accent fragment rather than a coded sign
14	13	_		AC	A=_ B=f C=_; C note: plain cursive 'fa'
14	18	_		AC	A=_ B=nt C=_; C note: plain cursive m-loop, part of a flowing word
14	19	_		AC	A=_ B=N C=_; C note: unmistakable cursive 'a'
14	20	S		BC	A=_ B=S C=S; C note: isolated S-curl, matches S atlas
15	7	S7	5	BC	A=_ B=S7 C=S7; C note: numeral-7 stroke, left half of the compound box
15	7.5	H		BC	A=MISSING B=H C=H; C note: H-with-'10'-subscript shape, an exact match to the H atlas plate
15	18	eps	~	BC	A=_ B=eps C=eps; C note: clean epsilon squiggle
15	20	#		BC	A=+ B=# C=#; C note: crosshatched mark, clear # atlas match
16	10	g		AC	A=g B=y C=g; C note: multiple merged glyphs (y/b/3/g) in one box; kept at g for the clearest shape, needs re-split
16	12	]		AC	A=] B=[ C=]; C note: flat-topped bracket/hook shape, closer to ] atlas than tee
16	13	dl		split-M	A=nt B=dl C=phi; C note: circle with a diagonal cross-stroke, closer to phi atlas than a plain dotted o.; settled on crop: L1c arbitration (3-way->B), carried over
16	26	w		split-M	A=y B=w C=_; C note: cursive u with an underline flourish, reads as plain script; settled on crop: L1c arbitration (3-way->B), carried over
17	1	S		BC	A=_ B=S C=S; C note: S-curl with a small dot, matches S atlas
17	2	_		AC	A=_ B=N C=_; C note: plain cursive word fragment '...th'/'M tri'
17	3	S		split-M	A=_ B=S C=eps; C note: clean epsilon squiggle; settled on crop: L1c arbitration (3-way->B), carried over
17	5	_		split-M	A=g B=S7 C=_; C note: single thin diagonal stroke with a dot, no clear codebook match; likeliest a stray pen stroke; settled on crop: L1c arbitration (3-way->C), carried over
17	7	_		AC	A=_ B=S C=_; C note: plain cursive 'tis'/'His' fragment
17	9	f		split-M	A=y B=f C=p; C note: loop with a clear cross-bar/tail, matches p atlas; settled on crop: L1c arbitration (3-way->B), carried over
17	10	_		BC	A=e B=_ C=_; C note: plain cursive 'qu' ligature
17	14	bh	dot	BC	A=_ B=bh C=bh; C note: hook-with-descender shape, matches bh atlas
17	17	_		BC	A=# B=_ C=_; C note: plain cursive 'tto'
18	1	_		split-M	A=y B=_ C=p; C note: hook with a cross-tail, closer to p atlas than a plain letter; settled on crop: L1c arbitration (3-way->B), carried over
18	2	_		BC	A=p B=_ C=_; C note: plain cursive 'pa'
18	4	_		BC	A=# B=_ C=_; C note: plain cursive 'rtn'
18	5	_		BC	A=y B=_ C=_; C note: single loop-with-tail stroke, reads as a plain cursive f/J, consistent with this line's dominant plain-run pattern
18	6	S		BC	A=_ B=S C=S; C note: isolated S-curl
18	7	nt		BC	A=_ B=nt C=nt; C note: t-cross plus N-loop ligature, matches nt atlas
18	7.5	S	~	BC	A=MISSING B=S C=S; C note: S-curl, second half of the split box
18	10	_		BC	A=Lx B=_ C=_; C note: plain capital-letter flourish ('M'), no clean cipher match
18	13	_		BC	A=S B=_ C=_; C note: plain cursive 'ts'
18	15	_		BC	A=H B=_ C=_; C note: merged cluster of strokes, illegible as a single sign
18	18	_		BC	A=N B=_ C=_; C note: plain cursive 'rN'
19	18	S7	+	BC	A=Z B=S7 C=S7; C note: numeral-7 shape with a + cross mark above it, compound box
