folio	line	position	sign	confidence	value	grade
f30r	L08	20	oi	m	E	H
f30r	L08	21	br	h	R	H
f30r	L08	22	BOX	h	E	S
f30r	L08	23	2	h	S	H
f30r	L08	24	paren	h	NULL	H
f30r	L08	25	n6	h	N	H
f30r	L08	26	r3	h	R	H
f30r	L08	27	z	h	A	H
f30r	L08	28	CROSS	m	?	U
f30r	L08	29	2	h	S	H
f30r	L08	30	lt	h	O	H
f30r	L08	31	Mx	h	L	S
f30r	L08	32	lam	h	A	H
f30r	L08	33	nr	h	N	H
f30r	L08	34	m	h	T	H
f30r	L08	35	B8	m	?	U
f30r	L08	36	dl	m	P	H
f30r	L08	37	z	h	A	H
f30r	L08	38	br	m	R	H
f30r	L09	0	ss2	h	NULL	M
f30r	L09	1	9	h	E	H
f30r	L09	2	nr	h	N	H
f30r	L09	3	2	h	S	H
f30r	L09	4	BOX	h	E	S
f30r	L09	5	Af	m	M	H
f30r	L09	6	E	m	B	M
f30r	L09	7	A2	m	E	S
f30r	L09	8	9	h	E	H
f30r	L09	9	zb	m	NULL	M
f30r	L09	10	HASH	l	?	U
f30r	L09	11	h	l	V	M
f30r	L09	12	Af	l	M	M
f30r	L09	13	sl	m	E	H
f30r	L09	14	Rt	h	O	H
f30r	L09	15	aq	m	Y	H
f30r	L09	16	z	h	A	H
f30r	L09	17	nr	h	N	H
f30r	L09	18	m	h	T	H
f30r	L09	19	ST	m	L	S
f30r	L09	20	dl	h	P	H
f30r	L09	21	g2	m	G	H
f30r	L09	22	r3	h	R	H
f30r	L09	23	lam	h	A	H
f30r	L09	24	n6	h	N	H
f30r	L09	25	fh	h	D	H
f30r	L09	26	9	h	E	H
f30r	L09	27	z	h	A	H
f30r	L09	28	Mx	h	L	S
f30r	L09	29	mx	h	NULL	H
f30r	L09	30	9	h	E	H
f30r	L09	31	5	m	C	H
f30r	L09	32	m	h	T	H
f30r	L09	33	xr	h	I	H
f30r	L09	34	lt	h	O	H
f30r	L09	35	nr	h	N	H
f30r	L09	36	nq	l	Q	M
f30r	L09	37	h	h	V	H
f30r	L09	38	E	l	B	M
f30r	L10	0	z	h	A	H
f30r	L10	1	lam	h	A	H
f30r	L10	2	g	h	V	H
f30r	L10	3	rho	h	F	H
f30r	L10	4	A2	h	E	S
f30r	L10	5	xr	h	I	H
f30r	L10	6	lt	l	O	M
f30r	L10	7	eh	h	D	H
f30r	L10	8	q9	l	P	M
f30r	L10	9	9	h	E	H
f30r	L10	10	xr	l	I	M
f30r	L10	11	c	h	L	H
f30r	L10	12	Tb	m	O	S
f30r	L10	13	r3	m	R	H
f30r	L10	14	9	h	E	H
f30r	L10	15	n6	m	N	H
f30r	L10	16	5	h	C	H
f30r	L10	17	sl	m	E	H
f30r	L10	18	zb	m	NULL	M
f30r	L10	19	ss2	h	NULL	M
f30r	L10	20	xr	h	I	H
f30r	L10	21	BOX	h	E	S
f30r	L10	22	n6	m	N	H
f30r	L10	23	z	h	A	H
f30r	L10	24	aq	m	Y	H
f30r	L10	25	g	h	V	H
f30r	L10	26	lt	h	O	H
f30r	L10	27	2	h	S	H
f30r	L10	28	c	h	L	H
f30r	L10	29	h	h	V	H
f30r	L10	30	rho	m	F	H
f30r	L10	31	z	h	A	H
f30r	L10	32	xr	h	I	H
f30r	L10	33	ll	m	LL	H
f30r	L10	34	z3	h	I	H
f30r	L10	35	br	h	R	H
f30r	L10	36	fh	h	D	H
f30r	L10	37	9	h	E	H
f30r	L11	0	ST	h	L	S
f30r	L11	1	9	m	E	H
f30r	L11	2	CROSS	m	?	U
f30r	L11	3	E	m	B	M
f30r	L11	4	lam	h	A	H
f30r	L11	5	xr	h	I	H
f30r	L11	6	Af	l	M	M
f30r	L11	7	9	h	E	H
f30r	L11	8	br	h	R	H
f30r	L11	9	c	h	L	H
f30r	L11	10	sl	h	E	H
f30r	L11	11	FL	l	S	M
f30r	L11	12	lt	h	O	H
f30r	L11	13	h	h	V	H
f30r	L11	14	2	m	S	H
f30r	L11	15	m	h	T	H
f30r	L11	17	QQ	l	D	M
f30r	L11	18	9	h	E	H
f30r	L11	19	c	h	L	H
f30r	L11	20	z	h	A	H
f30r	L11	21	n6	m	N	H
f30r	L11	22	lt	h	O	H
f30r	L11	23	xr	h	I	H
f30r	L11	24	ev	l	?	U
f30r	L11	25	ss2	h	NULL	M
f30r	L11	26	B8	l	?	U
f30r	L11	27	nq	l	Q	M
f30r	L11	28	zb	m	NULL	M
f30r	L11	29	h	h	V	H
f30r	L11	30	9	h	E	H
f30r	L11	31	ST	h	L	S
f30r	L11	32	bb	h	COM	H
f30r	L11	33	g	h	V	H
f30r	L11	34	BOX	h	E	S
f30r	L12	0	CROSS	h	?	U
f30r	L12	1	lz	m	H	S
f30r	L12	2	Tb	l	O	M
f30r	L12	3	g	h	V	H
f30r	L12	4	2	h	S	H
f30r	L12	5	9	h	E	H
f30r	L12	6	nq	l	Q	M
f30r	L12	7	n	h	V	S
f30r	L12	8	xr	h	I	H
f30r	L12	9	c	h	L	H
f30r	L12	10	ST	h	L	S
f30r	L12	11	2	h	S	H
f30r	L12	12	aq	l	Y	M
f30r	L12	13	ss2	h	NULL	M
f30r	L12	14	mx	h	NULL	H
f30r	L12	15	FL	m	S	S
f30r	L12	16	III	h	E	S
f30r	L12	17	Af	l	M	M
f30r	L12	18	lt	l	O	M
f30r	L12	19	c	h	L	H
f30r	L12	20	z	h	A	H
f30r	L12	21	2	h	S	H
f30r	L12	22	m	h	T	H
f30r	L12	24	nq	l	Q	M
f30r	L12	25	h	h	V	H
f30r	L12	26	9	h	E	H
f30r	L12	27	n6	m	N	H
f30r	L12	28	fh	h	D	H
f30r	L12	29	BOX	h	E	S
f30r	L12	30	g	h	V	H
f30r	L12	31	T	h	SS	H
f30r	L12	32	xr	h	I	H
f30r	L12	33	9	h	E	H
f30r	L12	34	H	m	I	H
f30r	L13	0	rho	l	F	M
f30r	L13	1	z	h	A	H
f30r	L13	2	xr	h	I	H
f30r	L13	3	r3	h	R	H
f30r	L13	4	9	h	E	H
f30r	L13	5	lam	h	A	H
f30r	L13	6	h	h	V	H
f30r	L13	7	B8	l	?	U
f30r	L13	8	eh	l	D	M
f30r	L13	9	r3	h	R	H
f30r	L13	10	z	h	A	H
f30r	L13	11	z3	h	I	H
f30r	L13	12	br	h	R	H
f30r	L13	13	sl	m	E	H
f30r	L13	14	Tb	m	O	S
f30r	L13	15	r3	h	R	H
f30r	L13	16	9	h	E	H
f30r	L13	17	9	m	E	H
f30r	L13	18	yt	l	T	M
f30r	L13	19	III	h	E	S
f30r	L13	20	5	m	C	H
f30r	L13	21	m	h	T	H
f30r	L13	22	z	h	A	H
f30r	L13	23	nr	m	N	H
f30r	L13	24	eh	h	D	H
f30r	L13	25	5	h	C	H
f30r	L13	26	sl	m	E	H
f30r	L13	27	c	h	L	H
f30r	L13	28	lam	h	A	H
f30r	L13	30	ss2	h	NULL	M
f30r	L13	31	9	h	E	H
f30r	L13	32	nr	m	N	H
f30r	L13	33	h	h	V	H
f30r	L13	34	lt	h	O	H
f30r	L13	35	g	h	V	H
f30r	L13	36	2	h	S	H
f30r	L13	37	zb	m	NULL	M
f30r	L13	38	bb	h	COM	H
f30r	L13	39	Af	m	M	H
f30r	L13	40	9	h	E	H
f30r	L14	0	mx	m	NULL	H
f30r	L14	1	xr	h	I	H
f30r	L14	2	c	h	L	H
f30r	L14	3	sl	m	E	H
f30r	L14	4	2	h	S	H
f30r	L14	5	m	h	T	H
f30r	L14	7	br	h	R	H
f30r	L14	8	z	h	A	H
f30r	L14	9	aq	m	Y	H
f30r	L14	10	2	h	S	H
f30r	L14	11	lt	h	O	H
f30r	L14	12	nr	m	N	H
f30r	L14	13	HASH	l	?	U
f30r	L14	14	c	h	L	H
f30r	L14	15	9	h	E	H
f30r	L14	16	n6	h	N	H
f30r	L14	17	m	h	T	H
f30r	L14	18	nr	m	N	H
f30r	L14	19	ss2	h	NULL	M
f30r	L14	20	zb	m	NULL	M
f30r	L14	21	r3	h	R	H
f30r	L14	22	III	h	E	S
f30r	L14	23	nr	m	N	H
f30r	L14	24	z	h	A	H
f30r	L14	25	n6	h	N	H
f30r	L14	26	eh	h	D	H
f30r	L14	27	fh	h	D	H
f30r	L14	28	BOX	h	E	S
f30r	L14	29	2	h	S	H
f30r	L14	30	lt	h	O	H
f30r	L14	31	br	h	R	H
f30r	L14	33	m	h	T	H
f30r	L14	34	9	h	E	H
f30r	L14	35	nq	m	Q	H
f30r	L14	36	zb	m	NULL	M
f30r	L14	37	h	h	V	H
f30r	L14	38	xr	h	I	H
f30r	L14	39	c	h	L	H
f30r	L15	0	dl	h	P	H
f30r	L15	1	mx	m	NULL	H
f30r	L15	2	9	h	E	H
f30r	L15	3	n6	h	N	H
f30r	L15	4	FL	m	S	S
f30r	L15	5	III	h	E	S
f30r	L15	6	Sx	m	Q	S
f30r	L15	7	g	h	V	H
f30r	L15	8	sl	m	E	H
f30r	L15	9	zb	m	NULL	M
f30r	L15	10	Af	h	M	H
f30r	L15	11	h	h	V	H
f30r	L15	12	Rt	m	O	H
f30r	L15	13	g	h	V	H
f30r	L15	14	g	l	V	M
f30r	L15	15	FL	m	S	S
f30r	L15	16	9	h	E	H
f30r	L15	17	2	h	S	H
f30r	L15	18	m	h	T	H
f30r	L15	19	III	h	E	S
f30r	L15	20	2	h	S	H
f30r	L15	21	dl	h	P	H
f30r	L15	22	lt	h	O	H
f30r	L15	23	g	h	V	H
f30r	L15	24	br	h	R	H
f30r	L15	25	rho	m	F	H
f30r	L15	26	z	h	A	H
f30r	L15	27	xr	m	I	H
f30r	L15	28	r3	h	R	H
f30r	L15	29	9	h	E	H
f30r	L15	30	5	h	C	H
f30r	L15	31	sl	m	E	H
f30r	L15	32	nq	m	Q	H
f30r	L15	33	n	m	V	S
f30r	L15	34	z3	h	I	H
f30r	L15	35	c	h	L	H
f30r	L16	0	g	h	V	H
f30r	L16	1	lt	h	O	H
f30r	L16	2	n	h	V	S
f30r	L16	3	ST	h	L	S
f30r	L16	4	fh	h	D	H
f30r	L16	5	br	h	R	H
f30r	L16	6	z	h	A	H
f30r	L16	7	4t	m	ET	M
f30r	L16	8	n6	h	N	H
f30r	L16	9	Rt	m	O	H
f30r	L16	10	nr	m	N	H
f30r	L16	11	lam	h	A	H
f30r	L16	12	h	h	V	H
f30r	L16	13	c	h	L	H
f30r	L16	14	m	h	T	H
f30r	L16	15	r3	h	R	H
f30r	L16	16	r3	l	R	M
f30r	L16	17	9	h	E	H
f30r	L16	18	z	l	A	M
f30r	L16	19	dl	l	P	M
f30r	L16	20	lt	h	O	H
f30r	L16	21	h	h	V	H
f30r	L16	22	2	h	S	H
f30r	L16	23	BOX	h	E	S
f30r	L16	24	nq	m	Q	H
f30r	L16	25	lam	h	A	H
f30r	L16	26	n6	m	N	H
f30r	L16	27	m	h	T	H
f30r	L16	28	z	h	A	H
f30r	L16	29	5	h	C	H
f30r	L16	30	sl	m	E	H
f30r	L16	31	B8	l	?	U
f30r	L16	32	null_o	m	NULL	H
f30r	L16	33	ss2	h	NULL	M
f30r	L16	34	nr	m	N	H
f30r	L16	35	z3	m	I	H
f30r	L16	36	9	h	E	H
f30r	L16	37	n6	h	N	H
f30r	L17	0	h	h	V	H
f30r	L17	1	Rt	h	O	H
f30r	L17	2	g	h	V	H
f30r	L17	3	FL	m	S	S
f30r	L17	4	2	h	S	H
f30r	L17	5	h	h	V	H
f30r	L17	6	oi	m	E	H
f30r	L17	7	c	h	L	H
f30r	L17	8	ss2	h	NULL	M
f30r	L17	9	xr	h	I	H
f30r	L17	10	9	h	E	H
f30r	L17	11	eh	h	D	H
f30r	L17	12	r3	h	R	H
f30r	L17	13	BOX	h	E	S
f30r	L17	14	2	h	S	H
f30r	L17	15	lam	l	A	M
f30r	L17	16	lt	m	O	H
f30r	L17	17	g	h	V	H
f30r	L17	18	fh	l	D	M
f30r	L17	19	zb	m	NULL	M
f30r	L17	20	E	m	B	M
f30r	L17	21	eh	l	D	M
f30r	L17	22	9	h	E	H
f30r	L17	23	v	h	?	U
f30r	L17	24	sl	m	E	H
f30r	L17	25	nr	h	N	H
f30r	L17	26	m	h	T	H
f30r	L17	28	aq	l	Y	M
f30r	L17	29	2	h	S	H
f30r	L17	30	z3	h	I	H
f30r	L17	31	r3	h	R	H
f30r	L17	32	9	h	E	H
f30r	L17	33	nq	m	Q	H
f30r	L17	34	n	m	V	S
f30r	L17	35	xr	h	I	H
f30r	L17	36	c	h	L	H
f30r	L17	37	h	h	V	H
f30r	L17	38	lt	h	O	H
f30r	L17	39	g	h	V	H
f30r	L17	40	2	h	S	H
f30r	L18	0	dl	h	P	H
f30r	L18	1	zb	m	NULL	M
f30r	L18	2	c	h	L	H
f30r	L18	3	lam	h	A	H
f30r	L18	4	aq	m	Y	H
f30r	L18	5	2	h	S	H
f30r	L18	6	9	h	E	H
f30r	L18	7	h	h	V	H
f30r	L18	8	Tb	h	O	S
f30r	L18	9	2	l	S	M
f30r	L18	10	c	h	L	H
f30r	L18	11	lt	h	O	H
f30r	L18	12	xr	h	I	H
f30r	L18	13	br	h	R	H
f30r	L18	14	9	h	E	H
f30r	L18	15	BOX	h	E	S
f30r	L18	16	n6	h	N	H
f30r	L18	17	2	h	S	H
f30r	L18	18	sl	m	E	H
f30r	L18	19	r3	h	R	H
f30r	L18	20	Sx	m	Q	S
f30r	L18	21	h	h	V	H
f30r	L18	22	9	h	E	H
f30r	L18	23	FL	m	S	S
f30r	L18	24	z3	h	I	H
f30r	L18	25	ss2	h	NULL	M
f30r	L18	26	h	h	V	H
f30r	L18	27	lt	h	O	H
f30r	L18	28	g	h	V	H
f30r	L18	29	2	h	S	H
f30r	L18	30	Tb	h	O	S
f30r	L18	31	Af	m	M	H
f30r	L18	32	Tb	h	O	S
f30r	L18	33	n6	m	N	H
f30r	L18	34	2	h	S	H
f30r	L18	35	m	h	T	H
f30r	L18	36	r3	h	R	H
f30r	L18	37	9	m	E	H
f30r	L18	38	H	l	I	M
f30r	L19	0	g	h	V	H
f30r	L19	1	lt	h	O	H
f30r	L19	2	2	l	S	M
f30r	L19	3	c	h	L	H
f30r	L19	4	Rt	h	O	H
f30r	L19	5	xr	h	I	H
f30r	L19	6	br	h	R	H
f30r	L19	7	lam	h	A	H
f30r	L19	8	g	h	V	H
f30r	L19	9	5	h	C	H
f30r	L19	10	h	h	V	H
f30r	L19	11	n6	m	N	H
f30r	L19	12	9	h	E	H
f30r	L19	13	Af	m	M	H
f30r	L19	14	sl	m	E	H
f30r	L19	15	n6	m	N	H
f30r	L19	16	m	h	T	H
f30r	L19	18	lam	h	A	H
f30r	L19	19	aq	m	Y	H
f30r	L19	20	Tb	l	O	M
f30r	L19	21	9	h	E	H
f30r	L19	22	r3	h	R	H
f30r	L19	23	lam	h	A	H
f30r	L19	24	g	h	V	H
f30r	L19	25	fh	h	D	H
f30r	L19	26	xr	h	I	H
f30r	L19	27	5	h	C	H
f30r	L19	28	m	h	T	H
f30r	L19	30	4t	l	ET	M
f30r	L19	31	Hb	m	?	U
f30r	L19	32	h	h	V	H
f30r	L19	33	Rt	h	O	H
f30r	L19	34	g	h	V	H
f30r	L19	35	2	m	S	H
f30r	L20	0	c	h	L	H
f30r	L20	1	sl	m	E	H
f30r	L20	2	dl	h	P	H
f30r	L20	3	9	h	E	H
f30r	L20	4	r3	h	R	H
f30r	L20	5	Tb	l	O	M
f30r	L20	6	sl	m	E	H
f30r	L20	7	H	m	I	H
f30r	L20	8	9	h	E	H
f30r	L20	9	n6	m	N	H
f30r	L20	10	m	h	T	H
f30r	L20	11	xr	h	I	H
f30r	L20	12	9	h	E	H
f30r	L20	13	br	h	R	H
f30r	L20	14	sl	m	E	H
f30r	L20	15	Af	m	M	H
f30r	L20	16	9	h	E	H
f30r	L20	17	nr	h	N	H
f30r	L20	18	m	h	T	H
f30r	L20	19	Af	m	M	H
f30r	L20	20	lam	m	A	H
f30r	L20	21	z3	h	I	H
f30r	L20	22	h	h	V	H
f30r	L20	23	lt	h	O	H
f30r	L20	24	g	h	V	H
f30r	L20	25	FL	m	S	S
f30r	L20	26	ss2	h	NULL	M
f30r	L20	27	zb	m	NULL	M
f30r	L20	28	dl	m	P	H
f30r	L20	29	B8	l	?	U
f30r	L20	30	Tb	m	O	S
f30r	L20	31	g	h	V	H
f30r	L20	32	h	h	V	H
f30r	L20	33	9	h	E	H
f30r	L20	34	4t	l	ET	M
f30r	L21	0	q	m	B	S
f30r	L21	1	lam	h	A	H
f30r	L21	2	ss2	h	NULL	M
f30r	L21	3	r3	h	R	H
f30r	L21	4	c	h	L	H
f30r	L21	5	sl	m	E	H
f30r	L21	6	br	h	R	H
f30r	L21	7	2	h	S	H
f30r	L21	8	9	h	E	H
f30r	L21	9	c	h	L	H
f30r	L21	10	Rt	h	O	H
f30r	L21	11	n6	m	N	H
f30r	L21	12	CROSS	h	?	U
f30r	L21	13	9	h	E	H
f30r	L21	14	Sx	m	Q	S
f30r	L21	15	h	h	V	H
f30r	L21	16	h	m	V	H
f30r	L21	17	xr	h	I	H
f30r	L21	18	c	h	L	H
f30r	L21	19	fh	h	D	H
f30r	L21	20	BOX	h	E	S
f30r	L21	21	2	h	S	H
f30r	L21	22	z3	h	I	H
f30r	L21	23	r3	h	R	H
f30r	L21	24	9	h	E	H
f30r	L21	25	Tb	l	O	M
f30r	L21	26	4t	m	ET	M
f30r	L21	27	Af	h	M	H
f30r	L21	28	lam	h	A	H
