row	codes
f30r_L13b	x ST? sl m z r3? eh 5? ST? c lam ss2 9 x? h lt g2? br bb Mx? 9
f30r_L14a	Mx x? c ST 2 m br z? Af? 2 lt? x? Mx c? 9 d m
f30r_L14b	ss2 z? yt? Mx x? z? sl eh fh sq 2 lt br? m 9 yt? br? h x? c
f30r_L15a	A2 Mx 9 d? h III 5? g ST 2 Af h br g?
f30r_L15b	g? h 9 2 m III 2 A2 lt g br? p z x? yt? 9 5? ST yt? 2 bb? c
f30r_L16a	g lt n ST fh br z? Mx? d br r3? lam h c m yt?
f30r_L16b	g fh 9 2 m III 2 A2 lt g br c yt? N2? lam dl m z 5 ST xr o ss2 yt br 9 n6?
f30r_L17a	h Rt g fh 2 h paren? c ss2 x 9 eh yt? sq 2 lam
f30r_L17b	g fh z3? eh c 9 v? ss2 m? aq? 2 br z3? yt? 9 yt2? x c h lt g2
f30r_L18a	lam z3? c lam A2 2 9 h br 2 c lt xr br 9?
f30r_L18b	sq n6? 2 ss2 yt? 5 h 9 ss2 br sq ss2 h lt g2 Tb fh? br dl 2 m yt? o? Rt?
f30r_L19a	g lt z3? c Rt xr br lam g 5 h dl? 9 fh ss2 m
f30r_L19b	lam A2 z3? Tb? 9 yt? lam g fh xr? 5 m c? T Mx? h Rt g z?
f30r_L20a	c ss2 A2 9 yt? ST Mx 9 dl m x? 9 br ss2 fh?
f30r_L20b	9 r3? m fh xr? z3? h lt g? Th ss2 z3? A2? aq? br g h 9 c z?
f30r_L21a	9 lam ST yt? c ss2 br 2 9 c Rt dl? CROSS 9 5? h
f30r_L21b	z xr? c fh sq 2 z3? yt? 9 Mx? Th A2? lam xr? dl? ST? z3? br T?
f30r_L22a	E 9 h ST br? yt2? ss2 h br n2? fh ST?
f30r_L22b	fh eh sq br? lam 2 lt g2 A2 ST h g 9 r m p? lam xr? yt? 9
f30r_L23a	c? sq br h x 5 ST ss2 z3? Mx fh 9 2 ST v? eh
f30r_L23b	eh c9? 5? h x c dl? br lam xr? r3? br h 9 r3? III A2? dl? m
f30r_L24a	A2 h x 2 yt? n g h dl? m? ss2 z3? 5? sl?
f30r_L24b	lam 2 Mx h r3? h lt g fh lam 2 ST yt? h z3? Mx? h 2 yt? r3? 9 2
f30r_L25a	ss2 mx? lam A2 yt? 9 2 ST r3? m? p? 9 Mx ST?
f30r_L25b	ST eh c lam III ST 9 2 sq br? Mx? m yt? 9 v? ST? m? ct?
f30r_L26a	z3? c 9 2 m? ST h yt? lam br? xr? h 9 br fh? ST?
f30r_L26b	yt? br A2? ST? lam h Mx eh c9? 2 h eh yt? Mx? 5? Mx?
f30r_L27a	2 ST yt2? xr? m 9 h br r3? o? aq? n? 9 z3? ST?
f30r_L27b	Mx g lt h 2 ST g xr? 2 z3? 9 g br? aq? 2 ss2 fh? z3?
f30r_L28a	r3? ST? lt? x? eh 2 fh z3? yt? 9 yt? n? ST? xr? 9 h
f30r_L28b	h lt g2 fh br z3? T? 2 ST z3? yt? 9 yt? h 9 ss2 2 h eh? br? c lam?
f30r_L29a	p? lt r3? 5? n a? xr? 9 h lt n2? fh Rt z3? eh?
f30r_L29b	2 xr? ST g9? br r3? c ST aq? lam Mx? 9 br z3? ss2 2 n6?
f30r_L30a	m Rt g eh ST2? 5? lt g2 9 ST yt? n? x?
f30r_L30b	h lt Rt 2 m lt g 5 lam g r m fh ST 2 x? eh lt dl? A2 x? g fh?
f30r_L31a	yt? Rt z3? c 9 ST m z3? fh Af? lt T x? eh c?
f30r_L31b	c9 fh ST v? z3? sq ST g eh? cv? h lt A2? r3? 9 xr g2? yt? r2? 9 2
f30r_L32a	lam 2 ST ST? m br 9 xr? lam fh 9 5? c z? ST? 9
f30r_L32b	yt? Rt xr? c h9 n c m? lam Mx? ST? h? c9 dl? lam xr? m dl? r?
f30r_L33a	A2 ss2 z3? br g? br? ST? 9 5? lt g br? ST? CROSS?
f30r_L33b	T? 9 yt? h A2 2 ST fh A2? ST? fh? ST? 5? 9 T? A2 h br? 2
f30r_L34a	z3? INF? ss2 Rt? lt dl? m A2? ST br fh h z3? g dl?
f30r_L34b	dl? m? INF? 5? A2? lam z3? Mx? g r? yt2? n? z3? ST? g dl? eh? ST? fh?
f30r_L35a	A2 ST r3? 2 9 yt2? 2 xr? c q? xr? ST? Rt? 9 T?
f30r_L35b	ST c lam ss2 yt2? 9 A2 h z3? eh m z3? eh? xr? lt r3? Mx? fh ST? Af? lam?
f30v_L01a	INF? A2 z br m ss2 z3? 9 5? ST lt Mx yt2? n?
f30v_L01b	xr? c dl lam z3? h ST? r3? 9 fh ST 2 ST z3? eh sq? Af? lam m z3? lt?
f30v_L02a	r3? Tb? xr? lam Mx 9 br 2 z3? 5? ST d sq 2 m
f30v_L02b	5? h ST ss2? A2? z3? fh 9 5? c lam br z3? eh xr? lt v? fh 9 c d?
f30v_L03a	c xr? E? 9 br m 9 fh ST p? c lt z3? 9 v? 5?
f30v_L03b	ST 2 lt xr? m 9 r3? h br III fh? lam xr? z3? 2 Mx? ST 2 xr? c9 2 n?
f30v_L04a	ss2 z3? lam z3? d 2 xr? h lt g2? A2? Rt h?
f30v_L04b	n9? H br 2 xr? fh 9 br sq? z3? 2 xr? h lt g2? c ST fh 9 sq?
f30v_L05a	ST c? z3? lam g lt Th? ST 9 A2 c xr? br o? xr?
f30v_L05b	ST z3? h lt g2 ST h paren? c br? 9 m br 9 2 lam? Mx? eh? c?
f30v_L06a	v? 9 r m? 2 xr? ST ss2? ss2 z3? v? 9 h lt g? c?
f30v_L06b	lt z3? h ST A2 z3? br fh lt Mx? 9 br 2 xr? z3? 9 h lt g? c?
f30v_L07a	ST r3? fh z3? 5? m 2 z3? Tb? A2 z3? fh h xr? o?
f30v_L07b	yt2? h xr? 9 2 m? yt2? n? 9 A2 ST fh xr? 9 h c aq? yt2? h?
f30v_L08a	g lt h 2 ST lam h ST xr? o? Mx? paren? lam z3? br?
f30v_L08b	ST A2 lt g ST br fh? A2? sq fh 9 ST lam? aq? 9 2 m? lt h eh? xr?
f30v_L09a	lam g br? xr? h c z h z3? Mx? 9 aq? Mx? c lam?
f30v_L09b	ss2 z3? paren? lt ST z3? A2? ST r3? m ST c h lt Mx? aq? lam z3? d2?
f30v_L10a	z3? h 9 lam2? yt2? h 9 2 fh ST c lam ST z3?
f30v_L10b	m z3? lt dl? fh 9 c lam A2 xr? eh? 9 z3? m ST lt h q? xr? g? dl?
f30v_L11a	r3? ST A2 xr? br 2 lt h eh Mx fh lam z3? r3?
f30v_L11b	fh br m lam? r3? m eh lt Mx 9 2 A2 z3? ST lt Mx 9 xr? g2? o? xr?
f30v_L12a	c z3? Mx q? lam T? xr? fh 9 h br T? g?
f30v_L12b	aq? Mx? lam g c yt2? ST 9 2 ST aq? 2 yt? xr? dl? z3? ST ST 9 2
f30v_L13a	fh lam xr? dl? m ST r3? xr? Mx c ST 2 fh xr? m
f30v_L13b	h Th? 5? xr? br 2 z3? ST v? ST aq? c9 ST lam?
f30v_L14a	Mx? A2 lam br? c ST v? lt Mx? 9 dl? fh A2? BOX?
f30v_L14b	Th? xr? h xr? c 5? lt z3? dl? br? xr? T? 9 xr? n9?
f30v_L15a	h lt d2? ST g? Mx? lam br? 9 Mx? bb? m?
f30v_L15b	br lam ST xr? 9 xr? c 9 2 m lam 5? ST lam? Th? dl? fh? Mx?
f30v_L16a	xr? h A2? ss2 z3? br 5? xr? ST? ST 9 ST?
f30v_L16b	9 2 g lt n o? dl? c lam? br? ST c? T? m z3? r? yt2? lam?
f30v_L17a	h lt g2 m ST br? Th? xr? z3? dl? fh 9 v? A2?
f30v_L17b	r? m Th v? lam g ST Mx 9 h A2? z3? xr? c ST A2 T9?
f30v_L18a	Th? xr2? h 9 dl? ST lam? dl? m Th? lt xr? r2?
f30v_L18b	ST xr2? xr? c lam? Th? m v? lam g c h lam br? 2 ST paren? xr? dl?
f30v_L19a	br z o m9? c ST2? 2 T? mx? lam g?
f30v_L19b	br? c m yt2? 9 2 xr? c 2 ST ST c9? paren? 5? m9? ST rho?
f30v_L20a	HASH c ST br 2 eh br lam H A2 lt br?
f30v_L20b	fh ST 9 2 A2 br xr? ST 2 n? o? ST HASH?
