sign	grade	count	line	position	context
BOX	U	27	f30r_L01	7	··IMR{BOX}REAE·N
BOX	U	27	f30r_L01	22	·N·EIV{BOX}VDVSE·
BOX	U	27	f30r_L02	4	·REI·Q·{BOX}··NSVI
BOX	U	27	f30r_L02	32	E·OVS{BOX}·CRPREL
BOX	U	27	f30r_L03	1	·CRPREL{BOX}LASORD
BOX	U	27	f30r_L03	13	ORDEQ·{BOX}·FAICTSP
BOX	U	27	f30r_L05	5	·VEBIEN{BOX}NADNINDP
BOX	U	27	f30r_L06	17	SVRAY·EV{BOX}LE[COM]SMA·F
BOX	U	27	f30r_L07	14	VRS·Q·{BOX}NOVSNAV
BOX	U	27	f30r_L08	5	[LL]ES·TENV{BOX}SENM·SDI
BOX	U	27	f30r_L08	23	DESE·SER{BOX}SNRA·SO
BOX	U	27	f30r_L09	4	TPARENS{BOX}MB·E·VM
BOX	U	27	f30r_L10	21	RENCEI{BOX}NAYVOSLV
BOX	U	27	f30r_L11	34	·QSVE·[COM]V{BOX}·APVSEQ·
BOX	U	27	f30r_L12	30	ASTQVEND{BOX}V[SS]IEIFAI
BOX	U	27	f30r_L14	28	R·NANDD{BOX}SORTEQV
BOX	U	27	f30r_L16	23	RREAPOVS{BOX}QANTACE·
BOX	U	27	f30r_L17	13	VELIEDR{BOX}SAOVDBD
BOX	U	27	f30r_L18	15	VPSLOIRE{BOX}NSER·VE·
BOX	U	27	f30r_L21	20	·E·VVILD{BOX}SIREP[ET]MA
BOX	U	27	f30r_L22	16	VPNS·EMB{BOX}RASOVSPE
BOX	U	27	f30r_L23	1	NTFAIRES{BOX}RVICE·
BOX	U	27	f30r_L25	25	MBLAO·ES{BOX}N·TRE·EC
BOX	U	27	f30r_L31	22	IBLEDE·I{BOX}EVD·VOYR
BOX	U	27	f30v_L02	12	[LL]ERSICEN{BOX}ST·VE·A
BOX	U	27	f30v_L04	23	EI[COM]SIDER{BOX}RSIVOVSL
BOX	U	27	f30v_L04	36	OVSLEMEN{BOX}E[ET]AVOV·
n	U	26	f30r_L02	3	M·REI·Q{n}···NSV
n	U	26	f30r_L03	12	SORDEQ{n}··FAICTS
n	U	26	f30r_L07	13	OVRS·Q{n}·NOVSNA
n	U	26	f30r_L12	7	··APVSEQ{n}IL·SYA
n	U	26	f30r_L15	33	FAIRECEQ{n}ILVO··DR
n	U	26	f30r_L16	2	CEQ·ILVO{n}·DRA[ET]NON
n	U	26	f30r_L17	34	NTYSIREQ{n}ILVOVSP
n	U	26	f30r_L22	6	R·EV·FQ{n}EVPNS·EM
n	U	26	f30r_L24	5	·NTPVISI{n}EVNAC·
n	U	26	f30r_L24	33	ERVI·VSQ{n}ESNAPR
n	U	26	f30r_L27	12	ITEVRQ{n}EIE·VOVS
n	U	26	f30r_L28	11	IBSDIREQ{n}EIEVVOVS
n	U	26	f30r_L29	4	·RLAFOY·{n}·IEVO·SD
n	U	26	f30r_L29	10	Y···IEVO{n}SDOIBSIE
n	U	26	f30r_L30	15	C·OVSE·Q{n}IVO·STOV
n	U	26	f30r_L31	36	OYREIVSQ{n}ESASE·TR
n	U	26	f30r_L32	22	REQ·ILVE{n}LTA[LL]E·EN
n	U	26	f30r_L34	27	C·AS[ET]VNQ{n}I·ENDEND
n	U	26	f30r_L35	6	NDPENSEQ{n}ILEAR·E·
n	U	26	f30v_L01	14	IECRO·Q{n}ILNAAVC·
n	U	26	f30v_L04	14	IVOVSPOV{n}EI[COM]SIDER
n	U	26	f30v_L07	23	SQVIESTQ{n}E·EMIEVL
n	U	26	f30v_L14	28	OGNPI[SS]EQ{n}EVOVS·VI
n	U	26	f30v_L16	16	·AERESVO{n}SNELAYE[ET]
n	U	26	f30v_L18	16	TMOINSQ{n}ILAIT·AV
n	U	26	f30v_L20	23	·ESPPIR{n}Q·
ST	U	18	f30r_L03	27	TSPPRCES{ST}··RES·IO
ST	U	18	f30r_L05	17	NINDPOVR{ST}A[COM]D·VIOT
ST	U	18	f30r_L07	30	V·QONSEV{ST}·SEARO[LL]E
ST	U	18	f30r_L09	19	VMEOYANT{ST}PGRANDEA
ST	U	18	f30r_L11	0	FAI[LL]IRDE{ST}E·BAIMER
ST	U	18	f30r_L11	31	I··QSVE{ST}[COM]V··APVS
ST	U	18	f30r_L12	10	PVSEQ·IL{ST}SYA··M
ST	U	18	f30r_L16	3	EQ·ILVO·{ST}DRA[ET]NONA
ST	U	18	f30r_L22	3	ENIR·EV{ST}FQ·EVPNS
ST	U	18	f30r_L25	22	[ET]·EMBLAO{ST}ES·N·TRE
ST	U	18	f30r_L32	29	VE·LTA[LL]E{ST}ENAVI·NO
ST	U	18	f30r_L34	29	AS[ET]VNQ·I{ST}ENDENDPE
ST	U	18	f30r_L35	12	EQ·ILEAR{ST}E·ELARE
ST	U	18	f30v_L01	28	VC·NEDES{ST}IBERATIO
ST	U	18	f30v_L02	19	N·ST·VE{ST}ADECLARA
ST	U	18	f30v_L07	25	VIESTQ·E{ST}EMIEVL·Q
ST	U	18	f30v_L10	24	TIONDELA{ST}IBERTEOV
ST	U	18	f30v_L15	4	EQ·EVOVS{ST}VIAYE·[COM]T
A2	U	17	f30r_L03	28	SPPRCES·{A2}·RES·IOE
A2	U	17	f30r_L04	14	DPOV[COM]M[SS]T{A2}NDERA·
A2	U	17	f30r_L07	23	NOVSNAV{A2}QONSEV··
A2	U	17	f30r_L09	7	RENS·MB{A2}E·VMEOY
A2	U	17	f30r_L10	4	NQVBAAVF{A2}IODPEILP
A2	U	17	f30r_L23	33	AIN[COM]VEN·{A2}NTPVISI·
A2	U	17	f30r_L24	13	·EVNAC{A2}ASOVNVOV
A2	U	17	f30r_L26	20	VE[COM]MEETR{A2}·AVMBLES
A2	U	17	f30r_L29	5	RLAFOY··{A2}IEVO·SDO
A2	U	17	f30r_L33	19	VRER·EQV{A2}S·PREDEC
A2	U	17	f30r_L33	30	PREDECE[SS]{A2}VRS·YO
A2	U	17	f30v_L07	32	E·EMIEVL{A2}QVEVOVS·
A2	U	17	f30v_L09	21	LAFORC{A2}ENTREVO·
A2	U	17	f30v_L10	3	MAINSAVE{A2}QVESDECL
A2	U	17	f30v_L14	12	LE·OIEND{A2}R[ET]QVILCO
A2	U	17	f30v_L16	2	AINDREQV{A2}PARCI·AE
A2	U	17	f30v_L17	14	E[COM]MANDE·{A2}NTD·EAVE
HASH	U	13	f30r_L01	0	{HASH}·IMR·
HASH	U	13	f30r_L04	28	A·LTRVY{HASH}E·P·QAND
HASH	U	13	f30r_L06	24	V·LE[COM]SMA{HASH}FAICTDP
HASH	U	13	f30r_L07	11	SOOVRS{HASH}Q··NOVS
HASH	U	13	f30r_L08	29	ER·SNRA{HASH}SO·ANTTP
HASH	U	13	f30r_L09	10	NS·MB·E{HASH}VMEOYANT
HASH	U	13	f30r_L14	13	STRAYSON{HASH}LENTNR
HASH	U	13	f30r_L23	9	·RVICE{HASH}MESE·BBL
HASH	U	13	f30r_L24	29	V·ASERVI{HASH}VSQ·ESN
HASH	U	13	f30r_L26	35	ESVB··CD{HASH}SERVITEV
HASH	U	13	f30v_L01	12	RTIECRO{HASH}Q·ILNAAV
HASH	U	13	f30v_L20	0	ECTEENTR{HASH}LEVRSBRA
HASH	U	13	f30v_L20	26	PPIR·Q{HASH}
III	U	13	f30r_L01	14	R·REAE{III}N·EIV·
III	U	13	f30r_L01	34	VSE·DIM{III}REI·Q··
III	U	13	f30r_L02	6	EI·Q···{III}NSVI·
III	U	13	f30r_L04	1	RES·IOEN{III}·TOIDPOV
III	U	13	f30r_L04	32	TRVY·E·P{III}QAND·VEB
III	U	13	f30r_L05	28	D·VIOTED{III}VO[ET]A·AI
III	U	13	f30r_L07	31	·QONSEV·{III}SEARO[LL]ES
III	U	13	f30r_L08	10	ENV·SENM{III}SDICDESE
III	U	13	f30r_L12	17	L·SYA·{III}MOLASTQV
III	U	13	f30r_L13	19	IREPREET{III}CTANDCEL
III	U	13	f30r_L14	22	LENTNR{III}NANDD·SO
III	U	13	f30r_L15	5	VILPEN·{III}·VEMVOV
III	U	13	f30r_L15	19	VOVV·EST{III}SPOVRFAI
B8	U	13	f30r_L04	37	E·P·QAND{B8}VEBIEN·
B8	U	13	f30r_L05	21	POVR·A[COM]D{B8}VIOTED·
B8	U	13	f30r_L08	0	SEARO[LL]ES{B8}TENV·SEN
B8	U	13	f30r_L11	26	ELANOI·{B8}QSVE·[COM]V·
B8	U	13	f30r_L13	7	IFAIREAV{B8}DRAIREPR
B8	U	13	f30r_L16	31	·QANTACE{B8}NIENVO
B8	U	13	f30r_L20	29	IVOV·P{B8}PVVE[ET]EA
B8	U	13	f30r_L25	27	LAO·ES·N{B8}TRE·ECT[ET]
B8	U	13	f30r_L27	16	RQ·EIE{B8}VOVS·VIS
B8	U	13	f30r_L34	18	RDVVNN·{B8}C·AS[ET]VNQ
B8	U	13	f30v_L06	17	·EVOVLO{B8}IRPARDO·
B8	U	13	f30v_L14	0	CE[COM]LE·A{B8}PARLE·OI
B8	U	13	f30v_L19	12	EDESAV{B8}LTRESILS
Mx	U	11	f30r_L02	15	NSVI·{Mx}S·ISDT·E
Mx	U	11	f30r_L05	34	ED·VO[ET]A{Mx}AI[COM]ESIL
Mx	U	11	f30r_L08	32	SNRA·SO{Mx}ANTTPAR
Mx	U	11	f30r_L09	28	PGRANDEA{Mx}ECTIONQ
Mx	U	11	f30r_L11	2	I[LL]IRDE·E{Mx}BAIMERLE
Mx	U	11	f30r_L32	35	[LL]E·ENAVI{Mx}NONPPV
Mx	U	11	f30r_L34	17	ERDVVNN{Mx}·C·AS[ET]VN
Mx	U	11	f30v_L06	25	·IRPARDO{Mx}ERSIIEVO
Mx	U	11	f30v_L11	16	BIMAINDP{Mx}ANTBO·ES
Mx	U	11	f30v_L11	22	DP·ANTBO{Mx}ESPARO[LL]E
Mx	U	11	f30v_L19	23	RESILSE{Mx}ECTEENTR
v	U	11	f30r_L17	23	AOVDBDE{v}ENTYSIRE
v	U	11	f30r_L23	14	E·MESE{v}BBLE·VIL
v	U	11	f30r_L25	31	ES·N·TRE{v}ECT[ET]ILES
v	U	11	f30r_L31	20	O[SS]IBLEDE{v}I·EVD·VO
v	U	11	f30v_L06	0	RES·VMBL{v}ENTSIRE
v	U	11	f30v_L06	10	NTSIRE{v}EVOVLO·I
v	U	11	f30v_L12	25	LTRES·ES{v}INI·RESM
v	U	11	f30v_L14	6	·A·PARLE{v}OIEND·R[ET]
v	U	11	f30v_L17	13	RE[COM]MANDE{v}·NTD·EAV
v	U	11	f30v_L17	19	NDE··NTD{v}EAVEIEVP
v	U	11	f30v_L18	22	Q·ILAIT{v}AVLVAYSE
QQ	U	8	f30r_L02	23	·S·ISDT{QQ}E·OVS
QQ	U	8	f30r_L11	17	RLE·OVST{QQ}ELANOI·
QQ	U	8	f30r_L25	12	APRESENT{QQ}E[ET]·EMBLA
QQ	U	8	f30r_L28	1	VP·SMI{QQ}OIBSDIRE
QQ	U	8	f30r_L28	25	OVSDPIOS{QQ}IREQVES
QQ	U	8	f30r_L35	14	·ILEAR·E{QQ}ELAREPV
QQ	U	8	f30v_L02	1	ERATION{QQ}IA[LL]ERSIC
QQ	U	8	f30v_L12	11	EA[SS]ADEVR{QQ}V[COM][ET]AVLTR
re	U	7	f30r_L02	26	·ISDT·E{re}OVS··C
re	U	7	f30r_L27	29	·VISIEVP{re}SMI·OI
re	U	7	f30r_L28	34	IREQVES{re}RLAFOY··
re	U	7	f30r_L30	19	SE·Q·IVO{re}STOVC·VN
re	U	7	f30r_L31	1	BONPIEDQ{re}ILE·TIMP
re	U	7	f30r_L32	17	DECLAREQ{re}ILVE·LTA
re	U	7	f30v_L01	22	·ILNAAVC{re}NEDES·IB
Sx	U	7	f30r_L06	14	E·DSVRAY{Sx}EV·LE[COM]SM
Sx	U	7	f30r_L15	6	ILPEN··{Sx}VEMVOVV
Sx	U	7	f30r_L18	20	IRE·NSER{Sx}VE·IVOV
Sx	U	7	f30r_L21	14	RSELON·E{Sx}VVILD·SI
Sx	U	7	f30r_L23	19	ESE·BBLE{Sx}VILNIAIN
Sx	U	7	f30r_L29	3	S·RLAFOY{Sx}··IEVO·S
Sx	U	7	f30v_L02	15	SICEN·ST{Sx}VE·ADEC
[?]	U	4	f30r_L02	0	·DIM·REI{[?]}Q····N
[?]	U	4	f30r_L08	19	SDICDESE{[?]}SER·SNR
[?]	U	4	f30r_L22	0	INTENIR{[?]}EV·FQ·EV
[?]	U	4	f30r_L26	32	MBLESVB·{[?]}CD·SERVI
CROSS	U	4	f30r_L03	30	PPRCES··{CROSS}RES·IOEN
CROSS	U	4	f30r_L12	0	QSVE·[COM]V·{CROSS}APVSEQ·I
CROSS	U	4	f30r_L21	12	LERSELON{CROSS}E·VVILD·
CROSS	U	4	f30r_L33	15	ECOVVRER{CROSS}EQV·S·PR
lz	U	4	f30r_L30	8	NTOVDESC{lz}OVSE·Q·I
lz	U	4	f30r_L30	26	VO·STOVC{lz}VNTDESIB
lz	U	4	f30r_L34	20	VVNN··C{lz}AS[ET]VNQ·I
lz	U	4	f30v_L05	32	ELIETRES{lz}VMBL·ENT
INF	U	3	f30r_L03	14	RDEQ··{INF}FAICTSPP
INF	U	3	f30r_L34	1	CE[SS]·VRS{INF}YONTPER
INF	U	3	f30v_L01	0	ION[ET]DEMA{INF}PARTIEC
TRI	U	2	f30r_L02	5	REI·Q··{TRI}·NSVI·
TRI	U	2	f30r_L23	32	IAIN[COM]VEN{TRI}·NTPVISI
ev	U	2	f30r_L11	24	T·ELANOI{ev}·QSVE·[COM]
ev	U	2	f30r_L31	26	DE·I·EVD{ev}VOYREIVS
Hb	U	2	f30r_L19	31	RAVDICT[ET]{Hb}VOVSLEPE
Hb	U	2	f30v_L13	16	RLESMITI{Hb}CARSICE
Zs	U	2	f30v_L09	29	·ENTREVO{Zs}MAINSAVE
Zs	U	2	f30v_L15	10	VS·VIAYE{Zs}[COM]TRARAEA
Tb	M	21	f30r_L06	33	·FAICTD{Tb}SSCE·DIS
Tb	H	21	f30r_L10	12	·IODPEIL{Tb}RENCEI
Tb	M	21	f30r_L12	2	VE·[COM]V··A{Tb}VSEQ·IL·
Tb	H	21	f30r_L13	14	V·DRAIRE{Tb}REET·CTA
Tb	H	21	f30r_L18	8	PLAYSEV{Tb}SLOIRE·N
Tb	H	21	f30r_L18	30	E·IVOVS{Tb}MPNSTREI
Tb	H	21	f30r_L18	32	IVOVSPM{Tb}NSTREIVO
Tb	M	21	f30r_L19	20	NEMENTAY{Tb}ERAVDICT
Tb	M	21	f30r_L20	5	OVSLEPER{Tb}EIENTIER
Tb	H	21	f30r_L20	30	VOV·P·{Tb}VVE[ET]EAR
Tb	M	21	f30r_L21	25	ILD·SIRE{Tb}[ET]MAINTEN
Tb	H	21	f30r_L22	9	EV·FQ·EV{Tb}NS·EMB·R
Tb	H	21	f30r_L27	28	S·VISIEV{Tb}·SMI·O
Tb	H	21	f30r_L28	21	IEVVOVSD{Tb}IOS·IREQ
Tb	H	21	f30r_L29	21	OIBSIEVE{Tb}YLE[COM]A[LL]ER
Tb	H	21	f30r_L33	3	I·NONP{Tb}VRRECOVV
Tb	H	21	f30v_L03	25	ESOITENV{Tb}IMAINS[ET]
Tb	H	21	f30v_L09	2	STOVBIAV{Tb}I[ET]LAVI[LL]E
Tb	H	21	f30v_L11	15	VBIMAIND{Tb}·ANTBO·E
Tb	H	21	f30v_L14	23	QVILCOGN{Tb}I[SS]EQ·EVO
Tb	H	21	f30v_L20	19	ARDE·ESP{Tb}IR·Q·
eh	H	22	f30r_L01	31	VDVSE·{eh}IM·REI·
eh	H	22	f30r_L03	9	·LASOR{eh}EQ···FAI
eh	H	22	f30r_L04	6	OEN··TOI{eh}POV[COM]M[SS]T·
eh	H	22	f30r_L04	16	OV[COM]M[SS]T·N{eh}ERA·LT
eh	H	22	f30r_L04	36	·E·P·QAN{eh}·VEBIEN
eh	H	22	f30r_L05	12	N·NADNIN{eh}POVR·A[COM]D
eh	H	22	f30r_L06	8	[COM]ESILE·{eh}SVRAY·EV
eh	H	22	f30r_L06	32	A·FAICT{eh}PSSCE·DI
eh	H	22	f30r_L08	15	ENM·SDIC{eh}ESE·SER·
eh	H	22	f30r_L10	7	BAAVF·IO{eh}PEILPREN
eh	M	22	f30r_L13	8	FAIREAV·{eh}RAIREPRE
eh	H	22	f30r_L13	24	EET·CTAN{eh}CELAENV
eh	H	22	f30r_L14	26	NR·NAN{eh}D·SORTEQ
eh	H	22	f30r_L17	11	·SVELIE{eh}R·SAOVD
eh	M	22	f30r_L17	21	·SAOVDB{eh}E·ENTYSI
eh	H	22	f30r_L26	34	LESVB··C{eh}·SERVITE
eh	H	22	f30r_L30	3	RENTOV{eh}ESC·OVSE
eh	H	22	f30r_L31	25	EDE·I·EV{eh}·VOYREIV
eh	H	22	f30r_L34	32	VNQ·I·EN{eh}ENDPENSE
eh	H	22	f30r_L35	26	REPVTA{eh}ION[ET]DEMA
eh	H	22	f30v_L02	28	ADECLARA{eh}IONDELAL
eh	M	22	f30v_L17	18	ANDE··NT{eh}·EAVEIEV
H	M	13	f30r_L01	37	·DIM·RE{H}·Q····N
H	H	13	f30r_L12	35	END·V[SS]IE{H}FAIREAV·
H	M	13	f30r_L18	38	PMPNSTRE{H}VOSLOIRA
H	H	13	f30r_L20	7	SLEPERPE{H}ENTIEREM
H	H	13	f30v_L03	26	SOITENVP{H}MAINS[ET]S
H	H	13	f30v_L04	16	OVSPOV·E{H}[COM]SIDER·R
H	M	13	f30v_L06	18	·EVOVLO·{H}RPARDO·E
H	M	13	f30v_L08	10	VS·AVRIE{H}FAIREPOV
H	H	13	f30v_L11	9	PARSOVB{H}MAINDP·A
H	M	13	f30v_L13	15	IRLESMIT{H}·CARSIC
H	H	13	f30v_L15	27	LESTACRA{H}NDREQV·P
H	H	13	f30v_L17	24	NTD·EAVE{H}EVPARLEP
H	H	13	f30v_L20	9	LEVRSBRA{H}PARDE·ES
q	M	6	f30r_L07	33	ONSEV··S{q}ARO[LL]ES·T
q	M	6	f30r_L21	0	P·PVVE[ET]{q}ARLERSE
q	M	6	f30r_L35	9	ENSEQ·IL{q}AR·E·ELA
q	M	6	f30v_L10	33	IBERTEOV{q}IENPAR
q	M	6	f30v_L12	3	O[LL]ESALAM{q}A[SS]ADEVR·
q	M	6	f30v_L16	10	·PARCI·A{q}RESVO·SN
