# Blind pass C of f.30r-v (no.22), second reader, 24 Sept 2026: three Opus subagents (f30r L01-18, f30r L19-35, f30v L01-20) from images/crops_f30 + atlas/atlas_f29.png + atlas_f30add.png only, before any other f.30 file was opened. index counts every token in the line incl. dots; half = crop row; conf M = pass marked ? ; L = [?] illegible. NEW:<desc> = shape not in atlas.
line	index	sign	confidence	note
f30r_L15	13	h	H	half a
f30r_L15	14	Rt	H	half a
f30r_L15	15	g	H	half a
f30r_L15	16	9	H	half b
f30r_L15	17	FL	H	half b
f30r_L15	18	9	H	half b
f30r_L15	19	2	H	half b
f30r_L15	20	m	H	half b
f30r_L15	21	III	H	half b
f30r_L15	22	2	H	half b
f30r_L15	23	dl	H	half b
f30r_L15	24	lt	H	half b
f30r_L15	25	g	H	half b
f30r_L15	26	br	H	half b
f30r_L15	27	rho	H	half b
f30r_L15	28	z	H	half b
f30r_L15	29	xr	H	half b
f30r_L15	30	r3	H	half b
f30r_L15	31	9	H	half b
f30r_L15	32	5	H	half b
f30r_L15	33	sl	H	half b
f30r_L15	34	xr	H	half b
f30r_L15	35	2	M	half b
f30r_L15	36	z3	H	half b
f30r_L15	37	c	H	half b
f30r_L16	1	g	H	half a
f30r_L16	2	lt	H	half a
f30r_L16	3	NEW:small-n	H	half a
f30r_L16	4	ST	H	half a
f30r_L16	5	fh	H	half a
f30r_L16	6	br	H	half a
f30r_L16	7	z	H	half a
f30r_L16	8	4t	H	half a
f30r_L16	9	n6	H	half a
f30r_L16	10	Rt	H	half a
f30r_L16	11	2	M	half a
f30r_L16	12	lam	H	half a
f30r_L16	13	h	H	half a
f30r_L16	14	c	H	half a
f30r_L16	15	m	H	half a
f30r_L16	16	r3	H	half a
f30r_L16	17	[?]	L	half b; crop's upper text repeats L15b; own line is the lower one rising to the right; left end partly cut at bottom
f30r_L16	18	9	H	half b
f30r_L16	19	2	M	half b
f30r_L16	20	dl	H	half b
f30r_L16	21	lt	H	half b
f30r_L16	22	h	H	half b
f30r_L16	23	2	H	half b
f30r_L16	24	BOX	H	half b
f30r_L16	25	xr	H	half b
f30r_L16	26	2	H	half b
f30r_L16	27	lam	H	half b
f30r_L16	28	n6	H	half b
f30r_L16	29	m	H	half b
f30r_L16	30	z	H	half b
f30r_L16	31	5	H	half b
f30r_L16	32	sl	H	half b
f30r_L16	33	NEW:loop-over-8	H	half b
f30r_L16	34	null_o	H	half b
f30r_L16	35	ss2	H	half b
f30r_L16	36	c	M	half b
f30r_L16	37	z3	H	half b
f30r_L16	38	9	H	half b
f30r_L16	39	n6	M	half b
f30r_L17	1	h	H	half a; last sign cut at edge, same small inverted-v+z as L12a
f30r_L17	2	Rt	H	half a
f30r_L17	3	g	H	half a
f30r_L17	4	FL	H	half a
f30r_L17	5	2	H	half a
f30r_L17	6	h	H	half a
f30r_L17	7	oi	H	half a
f30r_L17	8	c	H	half a
f30r_L17	9	ss2	H	half a
f30r_L17	10	xr	H	half a
f30r_L17	11	9	H	half a
f30r_L17	12	c	M	half a
f30r_L17	13	r3	H	half a
f30r_L17	14	BOX	H	half a
f30r_L17	15	2	H	half a
f30r_L17	16	lz	M	half a
f30r_L17	17	lt	M	half b; idx0 cut at edge; zb with underline
f30r_L17	18	g	H	half b
f30r_L17	19	Af	M	half b
f30r_L17	20	zb	H	half b
f30r_L17	21	E	H	half b
f30r_L17	22	c	M	half b
f30r_L17	23	9	H	half b
f30r_L17	24	yt	M	half b
f30r_L17	25	sl	H	half b
f30r_L17	26	2	M	half b
f30r_L17	27	m	H	half b
f30r_L17	28	.	H	half b
f30r_L17	29	NEW:a-with-loop-and-6	H	half b
f30r_L17	30	2	H	half b
f30r_L17	31	z3	H	half b
f30r_L17	32	r3	H	half b
f30r_L17	33	9	H	half b
f30r_L17	34	xr	H	half b
f30r_L17	35	2	H	half b
f30r_L17	36	xr	H	half b
f30r_L17	37	c	H	half b
f30r_L17	38	h	H	half b
f30r_L17	39	lt	H	half b
f30r_L17	40	g	H	half b
f30r_L17	41	2	H	half b
f30r_L18	1	dl	H	half a; last: open loop with descender, 9 vs g2
f30r_L18	2	zb	H	half a
f30r_L18	3	c	H	half a
f30r_L18	4	lam	H	half a
f30r_L18	5	aq	H	half a
f30r_L18	6	2	H	half a
f30r_L18	7	9	H	half a
f30r_L18	8	h	H	half a
f30r_L18	9	Tb	M	half a
f30r_L18	10	.	H	half a
f30r_L18	11	2	M	half a
f30r_L18	12	c	H	half a
f30r_L18	13	lt	H	half a
f30r_L18	14	xr	H	half a
f30r_L18	15	br	H	half a
f30r_L18	16	g2	M	half a
f30r_L18	17	BOX	H	half b; idx15 crossed p with top bar; idx17 tall beta/p with bar
f30r_L18	18	n6	H	half b
f30r_L18	19	2	H	half b
f30r_L18	20	sl	H	half b
f30r_L18	21	r3	H	half b
f30r_L18	22	NEW:S-with-bar	H	half b
f30r_L18	23	h	H	half b
f30r_L18	24	9	H	half b
f30r_L18	25	FL	H	half b
f30r_L18	26	z3	H	half b
f30r_L18	27	ss2	H	half b
f30r_L18	28	h	H	half b
f30r_L18	29	lt	H	half b
f30r_L18	30	g	H	half b
f30r_L18	31	2	H	half b
f30r_L18	32	Tb	M	half b
f30r_L18	33	Af	H	half b
f30r_L18	34	Tb	M	half b
f30r_L18	35	n6	H	half b
f30r_L18	36	2	H	half b
f30r_L18	37	m	H	half b
f30r_L18	38	r3	H	half b
f30r_L18	39	9	H	half b
f30r_L18	40	lt	M	half b
f30r_L19	1	g	H	half a; 3rd sign p-like with curl; 13th small hooked 9/g
f30r_L19	2	lt	H	half a
f30r_L19	3	p	M	half a
f30r_L19	4	c	H	half a
f30r_L19	5	Rt	H	half a
f30r_L19	6	xr	H	half a
f30r_L19	7	br	H	half a
f30r_L19	8	lam	H	half a
f30r_L19	9	g	H	half a
f30r_L19	10	5	H	half a
f30r_L19	11	h	H	half a
f30r_L19	12	n6	H	half a
f30r_L19	13	g	M	half a
f30r_L19	14	Af	H	half a
f30r_L19	15	sl	H	half a
f30r_L19	16	n6	H	half a
f30r_L19	17	m	H	half a
f30r_L19	18	.	H	half b; 4th sign dark filled q/QQ-like
f30r_L19	19	lam	H	half b
f30r_L19	20	aq	H	half b
f30r_L19	21	q	M	half b
f30r_L19	22	9	H	half b
f30r_L19	23	r3	H	half b
f30r_L19	24	lam	H	half b
f30r_L19	25	g	H	half b
f30r_L19	26	fh	H	half b
f30r_L19	27	xr	H	half b
f30r_L19	28	5	H	half b
f30r_L19	29	m	H	half b
f30r_L19	30	.	H	half b
f30r_L19	31	d	H	half b
f30r_L19	32	H	H	half b
f30r_L19	33	h	H	half b
f30r_L19	34	Rt	H	half b
f30r_L19	35	g	H	half b
f30r_L19	36	2	H	half b
f30r_L20	1	c	H	half a
f30r_L20	2	sl	H	half a
f30r_L20	3	dl	H	half a
f30r_L20	4	9	H	half a
f30r_L20	5	r3	H	half a
f30r_L20	6	QQ	H	half a
f30r_L20	7	sl	H	half a
f30r_L20	8	H	H	half a
f30r_L20	9	9	H	half a
