code	value	grade	source
k42	?	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 416,454,227,252, column by header pixel x-centre (legend.py); Lasry lists it as unknown
k43	CON	H	Tomokiyo francisGramont.png, glyph bbox 222,247,50,70, column by header pixel x-centre (legend.py)
k44	R	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 155,190,633,658, column by header pixel x-centre (legend.py)
k45	T	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 121,155,724,751, column by header pixel x-centre (legend.py)
k46	B	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 84,120,53,71, column by header pixel x-centre (legend.py)
k47	E	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 90,113,181,212, column by header pixel x-centre (legend.py)
k48	X	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 120,154,809,848, column by header pixel x-centre (legend.py)
k49	P	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 121,153,547,572, column by header pixel x-centre (legend.py)
k50	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 268,290,320,347, column by header pixel x-centre (legend.py)
k51	SS	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 333,361,101,135, column by header pixel x-centre (legend.py)
k52	CON	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 368,403,94,116, column by header pixel x-centre (legend.py)
k53	T	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 92,114,725,754, column by header pixel x-centre (legend.py)
k54	?	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 423,452,119,142, column by header pixel x-centre (legend.py); Lasry lists it as unknown
k55	R	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 121,151,639,659, column by header pixel x-centre (legend.py)
k56	R	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 223,256,630,660, column by header pixel x-centre (legend.py)
k57	?	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 418,452,59,87, column by header pixel x-centre (legend.py); Lasry lists it as unknown
k58	E	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 154,191,187,211, column by header pixel x-centre (legend.py)
k59	NULL	H	Tomokiyo francisGramont.png, glyph bbox 92,111,603,631, column by header pixel x-centre (legend.py)
k60	A	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 82,119,3,32, column by header pixel x-centre (legend.py)
k61	R	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 192,223,630,660, column by header pixel x-centre (legend.py)
k62	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 204,224,325,344, column by header pixel x-centre (legend.py)
k63	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 161,184,321,343, column by header pixel x-centre (legend.py)
k64	G	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 119,151,269,304, column by header pixel x-centre (legend.py)
k65	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 188,207,320,349, column by header pixel x-centre (legend.py)
k66	I	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 89,114,321,345, column by header pixel x-centre (legend.py)
k67	COM	H	Tomokiyo francisGramont.png, glyph bbox 221,245,104,124, column by header pixel x-centre (legend.py)
k68	L	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 127,151,370,392, column by header pixel x-centre (legend.py)
k69	?	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 422,449,4,32, column by header pixel x-centre (legend.py); Lasry lists it as unknown
k70	C	H	Lasry GL/BnF_fr3071_f17.png, glyph bbox 85,115,98,122, column by header pixel x-centre (legend.py)
