line	position	settled	passA	passB	basis
f30r_L04	31	dl	A2	A2	image: both passes differ
f30r_L04	33	D?	D	br	image: agrees with pass A
f30r_L04	35	n6	D	d	image: both passes differ
f30r_L04	37	B8?	S	aq	image: both passes differ
f30r_L04	39	9	9	zu	image: agrees with pass A
f30r_L05	1	z3?	bb	bb	image: both passes differ
f30r_L05	4	nr	nr	r3	image: agrees with pass A
f30r_L05	6	n6	D	d	image: both passes differ
f30r_L05	9	nr?	n6	n	image: both passes differ
f30r_L05	10	xr	x	x	image: both passes differ
f30r_L05	11	nr	sl	r3	image: both passes differ
f30r_L05	13	dl	A2	A2	image: both passes differ
f30r_L05	16	r3	r3	yt	image: agrees with pass A
f30r_L05	17	ST	Rt	FL	image: both passes differ
f30r_L05	19	bb?	-	bb	image: agrees with pass B
f30r_L05	21	B8?	-	mx	image: both passes differ
f30r_L05	23	xr	x	x	image: both passes differ
f30r_L05	24	lt?	FL	Th	image: both passes differ
f30r_L05	32	4t?	c	-	image: both passes differ
f30r_L05	36	z3	bb	bb	image: both passes differ
f30r_L06	2	2	nr	-	image: both passes differ
f30r_L06	3	xr	x	-	image: both passes differ
f30r_L06	7	FL	H	fh	image: both passes differ
f30r_L06	9	zb	2	z	image: both passes differ
f30r_L06	11	br	D	br	image: agrees with pass B
f30r_L06	13	aq	A2	aq	image: agrees with pass B
f30r_L06	14	Sx	5	-	image: both passes differ
f30r_L06	19	sl	paren	paren	image: both passes differ
f30r_L06	21	zb	2	2	image: both passes differ
f30r_L06	22	Af	fh	fh	image: both passes differ
f30r_L06	23	z	z	z3	image: agrees with pass A
f30r_L06	24	HASH?	Mx	HASH	image: agrees with pass B
f30r_L06	25	rho?	n6	paren	image: both passes differ
f30r_L06	27	xr	yt	x	image: both passes differ
f30r_L06	33	Tb?	Tb	p	image: agrees with pass A
f30r_L06	37	sl	ss2	sl	image: agrees with pass B
f30r_L06	38	FL	H	fh	image: both passes differ
f30r_L07	3	lt?	fh	T	image: both passes differ
f30r_L07	7	br	D	br	image: agrees with pass B
f30r_L07	9	zb	2	2	image: both passes differ
f30r_L07	11	HASH	HASH	Mx	image: agrees with pass A
f30r_L07	12	nq?	yt	yt	image: both passes differ
f30r_L07	13	n	n6	n	image: agrees with pass B
f30r_L07	15	n6	D	d	image: both passes differ
f30r_L07	16	lt	lt	sl	image: agrees with pass A
f30r_L07	20	n6?	-	-	image: both passes differ
f30r_L07	23	A2	-	A2	image: agrees with pass B
f30r_L07	24	nq?	-	paren	image: both passes differ
f30r_L07	26	nr	r3	r3	image: both passes differ
f30r_L07	30	ST	-	ss2	image: both passes differ
f30r_L07	35	r3	FL	fh	image: both passes differ
f30r_L07	37	ll?	-	-	image: both passes differ
f30r_L08	0	B8?	-	-	image: both passes differ
f30r_L08	1	m	-	m	image: agrees with pass B
f30r_L08	2	9	-	g	image: both passes differ
f30r_L08	3	n6	-	d	image: both passes differ
f30r_L08	7	sl	paren	paren	image: both passes differ
f30r_L08	8	nr	lt	T	image: both passes differ
f30r_L08	9	Af?	fh	fh	image: both passes differ
f30r_L08	13	xr	-	-	image: both passes differ
f30r_L08	14	5?	-	-	image: both passes differ
f30r_L08	15	eh	-	-	image: both passes differ
f30r_L08	16	sl	sl	-	image: agrees with pass A
f30r_L08	18	sl?	sl	paren	image: agrees with pass A
f30r_L08	19	[?]	A	-	image: both passes differ
f30r_L08	21	oi	Tb	-	image: both passes differ
f30r_L08	22	br	Af	br	image: agrees with pass B
f30r_L08	26	n6	n6	d	image: agrees with pass A
f30r_L08	27	r3	r3	yt	image: agrees with pass A
f30r_L08	29	HASH?	HASH	Mx	image: agrees with pass A
f30r_L08	34	nr	nr	mx	image: agrees with pass A
f30r_L08	37	dl	A2	A2	image: both passes differ
f30r_L08	39	br	-	-	image: both passes differ
f30r_L09	0	ss2	ss2	-	image: agrees with pass A
f30r_L09	2	nr	nr	-	image: agrees with pass A
f30r_L09	3	2	2	-	image: agrees with pass A
f30r_L09	4	BOX	BOX	-	image: agrees with pass A
f30r_L09	5	Af	fh	-	image: both passes differ
f30r_L09	6	E	eh	-	image: both passes differ
f30r_L09	7	A2	c	-	image: both passes differ
f30r_L09	8	9	9	-	image: agrees with pass A
f30r_L09	9	zb	lam	-	image: both passes differ
f30r_L09	10	HASH?	HASH	-	image: agrees with pass A
f30r_L09	13	sl	-	ss2	image: both passes differ
f30r_L09	14	Rt	-	Rt	image: agrees with pass B
f30r_L09	15	aq	-	br	image: both passes differ
f30r_L09	17	nr	nr	r3	image: agrees with pass A
f30r_L09	19	ST	A2	-	image: both passes differ
f30r_L09	20	dl	D	dl	image: agrees with pass B
f30r_L09	21	g2	2	-	image: both passes differ
f30r_L09	22	r3	r3	-	image: agrees with pass A
f30r_L09	23	lam	lam	-	image: agrees with pass A
f30r_L09	24	n6	n6	-	image: agrees with pass A
f30r_L09	29	mx	m	mx	image: agrees with pass B
f30r_L09	31	5	o	-	image: both passes differ
f30r_L09	32	m	m	-	image: agrees with pass A
f30r_L09	33	xr	xr	-	image: agrees with pass A
f30r_L09	35	nr	nr	-	image: agrees with pass A
f30r_L09	36	nq?	-	-	image: both passes differ
f30r_L09	38	E?	bb	br	image: both passes differ
f30r_L10	3	rho	rho	p	image: agrees with pass A
f30r_L10	5	xr	xr	x	image: agrees with pass A
f30r_L10	6	lt?	Mx	Mx	image: both passes differ
f30r_L10	8	q9?	q9	q	image: agrees with pass A
f30r_L10	12	Tb	b	br	image: both passes differ
f30r_L10	13	r3	Rt	yt	image: both passes differ
f30r_L10	15	n6	-	-	image: both passes differ
f30r_L10	17	sl	c	c	image: both passes differ
f30r_L10	18	zb	2	r3	image: both passes differ
f30r_L10	20	xr	xr	x	image: agrees with pass A
f30r_L10	22	n6	D	-	image: both passes differ
f30r_L10	24	aq	A2	Af	image: both passes differ
f30r_L10	30	rho	xr	yt	image: both passes differ
f30r_L10	32	xr	xr	x	image: agrees with pass A
f30r_L10	33	ll	Mx	Mx	image: both passes differ
f30r_L10	34	z3	bb	z3	image: agrees with pass B
f30r_L10	35	br	D	br	image: agrees with pass B
f30r_L11	0	ST	-	ST	image: agrees with pass B
f30r_L11	1	9	-	g	image: both passes differ
f30r_L11	3	E	eh	eh	image: both passes differ
f30r_L11	5	xr	xr	x	image: agrees with pass A
f30r_L11	6	Af?	fh	fh	image: both passes differ
f30r_L11	8	br	D	br	image: agrees with pass B
f30r_L11	10	sl	fh	sl	image: agrees with pass B
f30r_L11	11	FL?	m	-	image: both passes differ
f30r_L11	12	lt	lt	-	image: agrees with pass A
f30r_L11	14	2	-	-	image: both passes differ
f30r_L11	17	QQ?	Tb	q	image: both passes differ
f30r_L11	21	n6	D	d	image: both passes differ
f30r_L11	22	lt	lt	sl	image: agrees with pass A
f30r_L11	23	xr	xr	x	image: agrees with pass A
f30r_L11	24	ev?	rho	eh	image: both passes differ
f30r_L11	26	B8?	rho	zu	image: both passes differ
f30r_L11	27	nq?	xr	yt	image: both passes differ
f30r_L11	31	ST	ss2	ST	image: agrees with pass B
f30r_L11	32	bb	bb	br	image: agrees with pass A
f30r_L12	0	CROSS	Mx	CROSS	image: agrees with pass B
f30r_L12	2	Tb?	D	br	image: both passes differ
f30r_L12	6	nq?	xr	yt	image: both passes differ
f30r_L12	7	n	n6	n	image: agrees with pass B
f30r_L12	8	xr	xr	x	image: agrees with pass A
f30r_L12	10	ST	lt	ST	image: agrees with pass B
f30r_L12	12	aq?	A2	A2	image: both passes differ
f30r_L12	14	mx?	m	mx	image: agrees with pass B
f30r_L12	15	x	-	x	image: agrees with pass B
f30r_L12	16	FL	-	ST	image: both passes differ
f30r_L12	18	Af?	fh	fh	image: both passes differ
f30r_L12	19	lt?	Mx	III	image: both passes differ
f30r_L12	21	z	z	-	image: agrees with pass A
f30r_L12	22	2	2	-	image: agrees with pass A
f30r_L12	25	nq?	lam	yt	image: both passes differ
f30r_L12	27	9	-	9	image: agrees with pass B
f30r_L12	28	n6	-	d	image: both passes differ
f30r_L12	30	BOX	Tb	BOX	image: agrees with pass B
f30r_L12	33	xr	xr	x	image: agrees with pass A
f30r_L12	35	H	Mx	Mx	image: both passes differ
f30r_L13	0	rho?	p	p	image: both passes differ
f30r_L13	2	xr	xr	x	image: agrees with pass A
f30r_L13	3	r3	r3	yt	image: agrees with pass A
f30r_L13	7	B8?	fh	Af	image: both passes differ
f30r_L13	8	eh?	D	eh	image: agrees with pass B
f30r_L13	9	r3	r3	-	image: agrees with pass A
f30r_L13	10	z	z	-	image: agrees with pass A
f30r_L13	12	br	D	br	image: agrees with pass B
f30r_L13	13	sl	fh	BOX	image: both passes differ
f30r_L13	14	Tb	HASH	Af	image: both passes differ
f30r_L13	15	r3	r3	yt	image: agrees with pass A
f30r_L13	17	9	-	-	image: both passes differ
f30r_L13	18	yt?	-	-	image: both passes differ
f30r_L13	19	III	III	-	image: agrees with pass A
f30r_L13	20	5	sl	-	image: both passes differ
f30r_L13	23	nr	xr	r3	image: both passes differ
f30r_L13	26	sl	-	ST	image: both passes differ
f30r_L13	31	9	g	9	image: agrees with pass B
f30r_L13	32	nr	xr	x	image: both passes differ
f30r_L13	35	g	g	-	image: agrees with pass A
f30r_L13	36	2	2	-	image: agrees with pass A
f30r_L13	37	zb	xr	-	image: both passes differ
f30r_L13	39	Af	-	Mx	image: both passes differ
f30r_L13	40	9	-	9	image: agrees with pass B
f30r_L14	0	mx	Mx	Mx	image: both passes differ
f30r_L14	1	xr	xr	x	image: agrees with pass A
f30r_L14	3	sl	fh	ST	image: both passes differ
f30r_L14	7	br	-	br	image: agrees with pass B
f30r_L14	8	z	-	z	image: agrees with pass B
f30r_L14	9	aq	-	Af	image: both passes differ
f30r_L14	12	nr	-	x	image: both passes differ
f30r_L14	13	HASH?	HASH	Mx	image: agrees with pass A
f30r_L14	16	n6	n6	d	image: agrees with pass A
f30r_L14	18	nr	-	-	image: both passes differ
f30r_L14	20	zb	z	-	image: both passes differ
f30r_L14	21	r3	r3	-	image: agrees with pass A
f30r_L14	22	III	III	-	image: agrees with pass A
f30r_L14	23	nr	xr	-	image: both passes differ
f30r_L14	25	n6	n6	-	image: agrees with pass A
f30r_L14	31	br	D	br	image: agrees with pass B
f30r_L14	35	nq	xr	yt	image: both passes differ
f30r_L14	36	zb	2	br	image: both passes differ
f30r_L14	38	xr	xr	x	image: agrees with pass A
f30r_L15	0	dl	dl	A2	image: agrees with pass A
f30r_L15	1	mx	Mx	Mx	image: both passes differ
f30r_L15	3	n6	n6	d	image: agrees with pass A
f30r_L15	4	FL	H	h	image: both passes differ
f30r_L15	6	Sx	5	5	image: both passes differ
f30r_L15	8	sl	fh	ST	image: both passes differ
f30r_L15	9	zb	2	2	image: both passes differ
f30r_L15	10	Af	fh	Af	image: agrees with pass B
f30r_L15	12	Rt	xr	br	image: both passes differ
f30r_L15	14	g?	fh	g	image: agrees with pass B
f30r_L15	15	FL	Rt	h	image: both passes differ
f30r_L15	21	dl	dl	A2	image: agrees with pass A
f30r_L15	24	br	D	br	image: agrees with pass B
f30r_L15	25	rho	xr	p	image: both passes differ
f30r_L15	27	xr	-	x	image: both passes differ
f30r_L15	28	r3	r3	yt	image: agrees with pass A
f30r_L15	31	sl	fh	ST	image: both passes differ
f30r_L15	32	nq	xr	yt	image: both passes differ
f30r_L15	33	n	2	2	image: both passes differ
f30r_L15	34	z3	z3	bb	image: agrees with pass A
f30r_L16	3	ST	-	ST	image: agrees with pass B
f30r_L16	5	br	-	br	image: agrees with pass B
f30r_L16	7	4t	Mx	Mx	image: both passes differ
f30r_L16	8	n6	n6	d	image: agrees with pass A
f30r_L16	9	Rt	-	br	image: both passes differ
f30r_L16	10	nr	-	r3	image: both passes differ
f30r_L16	11	lam	-	lam	image: agrees with pass B
f30r_L16	15	r3	r3	yt	image: agrees with pass A
f30r_L16	16	r3?	-	-	image: both passes differ
f30r_L16	18	z?	-	-	image: both passes differ
f30r_L16	20	lt	lt	-	image: agrees with pass A
f30r_L16	21	h	h	-	image: agrees with pass A
f30r_L16	22	2	2	-	image: agrees with pass A
f30r_L16	23	BOX	BOX	-	image: agrees with pass A
f30r_L16	24	nq	xr	-	image: both passes differ
f30r_L16	25	lam	lam	-	image: agrees with pass A
f30r_L16	26	n6	D	-	image: both passes differ
f30r_L16	30	sl	-	ST	image: both passes differ
f30r_L16	31	B8?	-	xr	image: both passes differ
f30r_L16	32	null_o	-	o	image: both passes differ
f30r_L16	34	nr	-	yt	image: both passes differ
f30r_L16	35	z3	-	br	image: both passes differ
f30r_L16	36	9	-	9	image: agrees with pass B
f30r_L16	37	n6	-	n6	image: agrees with pass B
f30r_L17	1	Rt	xr	Rt	image: agrees with pass B
f30r_L17	3	FL	fh	fh	image: both passes differ
f30r_L17	6	oi	paren	paren	image: both passes differ
f30r_L17	9	xr	xr	x	image: agrees with pass A
f30r_L17	12	r3	r3	yt	image: agrees with pass A
f30r_L17	15	lam?	lt	lam	image: agrees with pass B
f30r_L17	16	lt	-	-	image: both passes differ
f30r_L17	19	zb	-	-	image: both passes differ
f30r_L17	20	E	-	-	image: both passes differ
f30r_L17	23	v	rho	v	image: agrees with pass B
f30r_L17	24	sl	ss2	-	image: both passes differ
f30r_L17	25	nr	nr	-	image: agrees with pass A
f30r_L17	28	aq?	rho	aq	image: agrees with pass B
f30r_L17	31	r3	r3	yt	image: agrees with pass A
f30r_L17	33	nq	xr	-	image: both passes differ
f30r_L17	34	n	2	-	image: both passes differ
f30r_L17	35	xr	xr	-	image: agrees with pass A
f30r_L17	39	g	g	-	image: agrees with pass A
f30r_L17	40	2	2	-	image: agrees with pass A
f30r_L18	0	dl	dl	lam	image: agrees with pass A
f30r_L18	1	zb	r3	z3	image: both passes differ
f30r_L18	4	aq	-	A2	image: both passes differ
f30r_L18	5	2	-	2	image: agrees with pass B
f30r_L18	8	Tb	Tb	br	image: agrees with pass A
f30r_L18	13	br	D	br	image: agrees with pass B
f30r_L18	14	9	q	9	image: agrees with pass B
f30r_L18	16	n6	D	n6	image: agrees with pass B
f30r_L18	18	sl	ss2	ss2	image: both passes differ
f30r_L18	19	r3	r3	yt	image: agrees with pass A
f30r_L18	20	Sx	5	5	image: both passes differ
f30r_L18	22	9	-	9	image: agrees with pass B
f30r_L18	23	FL	-	-	image: both passes differ
f30r_L18	24	z3	z3	-	image: agrees with pass A
f30r_L18	28	g	g	-	image: agrees with pass A
f30r_L18	29	2	2	-	image: agrees with pass A
f30r_L18	31	Af	fh	fh	image: both passes differ
f30r_L18	32	Tb	Tb	br	image: agrees with pass A
f30r_L18	33	n6	D	dl	image: both passes differ
f30r_L18	36	r3	r3	yt	image: agrees with pass A
f30r_L18	37	9	-	o	image: both passes differ
f30r_L18	38	H?	-	Rt	image: both passes differ
f30r_L19	2	2?	z3	z3	image: both passes differ
f30r_L19	4	Rt	-	Rt	image: agrees with pass B
f30r_L19	6	br	-	br	image: agrees with pass B
f30r_L19	8	g	-	g	image: agrees with pass B
f30r_L19	11	n6	D	dl	image: both passes differ
f30r_L19	13	Af	fh	-	image: both passes differ
f30r_L19	14	sl	ss2	-	image: both passes differ
f30r_L19	15	n6	D	-	image: both passes differ
f30r_L19	19	aq	-	-	image: both passes differ
f30r_L19	22	r3	r3	yt	image: agrees with pass A
f30r_L19	30	4t?	c	-	image: both passes differ
f30r_L19	31	Hb	Mx	-	image: both passes differ
f30r_L19	33	Rt	xr	Rt	image: agrees with pass B
f30r_L19	35	2	z	z	image: both passes differ
f30r_L20	1	sl	ss2	-	image: both passes differ
f30r_L20	2	dl	A2	dl	image: agrees with pass B
f30r_L20	3	9	9	-	image: agrees with pass A
f30r_L20	4	r3	r3	-	image: agrees with pass A
f30r_L20	5	Tb?	Tb	-	image: agrees with pass A
f30r_L20	6	sl	ss2	-	image: both passes differ
f30r_L20	7	H	xr	-	image: both passes differ
f30r_L20	8	9	9	-	image: agrees with pass A
f30r_L20	9	n6	D	-	image: both passes differ
f30r_L20	11	xr	xr	x	image: agrees with pass A
f30r_L20	13	br	D	br	image: agrees with pass B
f30r_L20	14	sl	ss2	ss2	image: both passes differ
f30r_L20	15	Af	fh	fh	image: both passes differ
f30r_L20	17	nr	nr	r3	image: agrees with pass A
f30r_L20	19	Af	fh	fh	image: both passes differ
f30r_L20	20	lam	xr	xr	image: both passes differ
f30r_L20	25	FL	H	Th	image: both passes differ
f30r_L20	27	zb	-	z3	image: both passes differ
f30r_L20	28	dl	-	A2	image: both passes differ
f30r_L20	29	B8?	-	aq	image: both passes differ
f30r_L20	30	Tb	-	br	image: both passes differ
f30r_L20	34	4t?	-	-	image: both passes differ
f30r_L21	0	q	9	9	image: both passes differ
f30r_L21	2	ss2	A2	ss2	image: agrees with pass B
f30r_L21	3	r3	r3	-	image: agrees with pass A
f30r_L21	4	c	c	-	image: agrees with pass A
f30r_L21	5	sl	ss2	-	image: both passes differ
f30r_L21	6	br	D	br	image: agrees with pass B
f30r_L21	10	Rt	xr	Rt	image: agrees with pass B
f30r_L21	11	n6	D	dl	image: both passes differ
f30r_L21	14	Sx	5	5	image: both passes differ
f30r_L21	16	h	z	z	image: both passes differ
f30r_L21	23	r3	r3	yt	image: agrees with pass A
f30r_L21	25	Tb?	-	Mx	image: both passes differ
f30r_L21	26	4t	-	Th	image: both passes differ
f30r_L21	27	Af	Af	A2	image: agrees with pass A
f30r_L21	30	n6	D	-	image: both passes differ
f30r_L21	31	m	m	-	image: agrees with pass A
f30r_L21	32	sl	ss2	-	image: both passes differ
f30r_L21	33	nr	xr	-	image: both passes differ
f30r_L21	35	br	D	br	image: agrees with pass B
f30r_L21	36	ss2	ss2	T	image: agrees with pass A
f30r_L22	0	[?]	z3	E	image: both passes differ
f30r_L22	3	ST	ss2	ST	image: agrees with pass B
f30r_L22	4	rho?	rho	-	image: agrees with pass A
f30r_L22	5	nq	xr	-	image: both passes differ
f30r_L22	6	n	2	-	image: both passes differ
f30r_L22	7	sl?	sl	-	image: agrees with pass A
f30r_L22	9	Tb	D	-	image: both passes differ
f30r_L22	10	nr	n6	-	image: both passes differ
f30r_L22	11	2	2	-	image: agrees with pass A
f30r_L22	12	FL	fh	-	image: both passes differ
f30r_L22	13	sl	ss2	-	image: both passes differ
f30r_L22	14	Af?	fh	fh	image: both passes differ
f30r_L22	15	E	E	eh	image: agrees with pass A
f30r_L22	17	br	D	br	image: agrees with pass B
f30r_L22	21	g	g	-	image: agrees with pass A
f30r_L22	22	2	2	-	image: agrees with pass A
f30r_L22	23	dl	A2	-	image: both passes differ
f30r_L22	24	sl	ss2	-	image: both passes differ
f30r_L22	31	rho	paren	p	image: both passes differ
f30r_L22	34	r3	r3	yt	image: agrees with pass A
f30r_L23	0	2?	c	c	image: both passes differ
f30r_L23	2	br	D	br	image: agrees with pass B
f30r_L23	4	xr	xr	x	image: agrees with pass A
f30r_L23	6	sl	-	ST	image: both passes differ
f30r_L23	8	zb	-	z3	image: both passes differ
f30r_L23	9	HASH?	HASH	Mx	image: agrees with pass A
f30r_L23	10	Af	xr	fh	image: both passes differ
f30r_L23	13	sl	ss2	ST	image: both passes differ
f30r_L23	15	E	eh	eh	image: both passes differ
f30r_L23	16	E	eh	-	image: both passes differ
f30r_L23	18	9	9	-	image: agrees with pass A
f30r_L23	19	Sx	5	-	image: both passes differ
f30r_L23	20	h	h	-	image: agrees with pass A
f30r_L23	21	xr	xr	-	image: agrees with pass A
f30r_L23	22	c	c	-	image: agrees with pass A
f30r_L23	23	n6	D	-	image: both passes differ
f30r_L23	24	z3	z3	-	image: agrees with pass A
f30r_L23	27	nr	nr	r3	image: agrees with pass A
f30r_L23	28	bb	bb	br	image: agrees with pass A
f30r_L23	31	nr	nr	r3	image: agrees with pass A
f30r_L23	32	TRI?	-	III	image: both passes differ
f30r_L23	33	A2	-	A2	image: agrees with pass B
f30r_L23	34	n6	-	dl	image: both passes differ
f30r_L24	1	h	h	-	image: agrees with pass A
f30r_L24	2	xr	xr	-	image: agrees with pass A
f30r_L24	3	2	2	-	image: agrees with pass A
f30r_L24	4	xr?	xr	-	image: agrees with pass A
f30r_L24	5	n	n6	-	image: both passes differ
f30r_L24	6	9?	g	-	image: both passes differ
f30r_L24	7	h	h	-	image: agrees with pass A
f30r_L24	8	n6	-	-	image: both passes differ
f30r_L24	9	lam?	lam	-	image: agrees with pass A
f30r_L24	10	ss2	-	ss2	image: agrees with pass B
f30r_L24	11	zb	-	z3	image: both passes differ
f30r_L24	12	5	-	5	image: agrees with pass B
f30r_L24	13	A2?	-	sl	image: both passes differ
f30r_L24	16	lt?	HASH	Mx	image: both passes differ
f30r_L24	18	nr	nr	r3	image: agrees with pass A
f30r_L24	22	FL	fh	fh	image: both passes differ
f30r_L24	25	sl	ss2	ST	image: both passes differ
f30r_L24	26	r3	r3	yt	image: agrees with pass A
f30r_L24	29	HASH?	HASH	Mx	image: agrees with pass A
f30r_L24	32	nq	-	yt	image: both passes differ
f30r_L24	33	n	-	r3	image: both passes differ
f30r_L25	1	nr?	-	-	image: both passes differ
f30r_L25	2	mx	-	mx	image: agrees with pass B
f30r_L25	4	dl	A2	A2	image: both passes differ
f30r_L25	5	r3	r3	yt	image: agrees with pass A
f30r_L25	8	sl	ss2	ST	image: both passes differ
f30r_L25	9	nr	nr	r3	image: agrees with pass A
f30r_L25	12	QQ?	Tb	p	image: both passes differ
f30r_L25	14	4t	z3	Mx	image: both passes differ
f30r_L25	15	FL	fh	ST	image: both passes differ
f30r_L25	16	sl	ss2	-	image: both passes differ
f30r_L25	17	Af	fh	-	image: both passes differ
f30r_L25	18	E	eh	-	image: both passes differ
f30r_L25	21	lt?	III	III	image: both passes differ
f30r_L25	22	ST	fh	ST	image: agrees with pass B
f30r_L25	26	n6	z3	br	image: both passes differ
f30r_L25	27	B8?	bb	Mx	image: both passes differ
f30r_L25	29	r3	r3	yt	image: agrees with pass A
f30r_L25	32	sl	ss2	-	image: both passes differ
f30r_L25	33	5	z3	-	image: both passes differ
f30r_L25	35	4t	-	ct	image: both passes differ
f30r_L26	6	ss2	ss2	ST	image: agrees with pass A
f30r_L26	8	r3	r3	yt	image: agrees with pass A
f30r_L26	10	aq	A2	br	image: both passes differ
f30r_L26	11	nq	xr	xr	image: both passes differ
f30r_L26	14	bb	bb	br	image: agrees with pass A
f30r_L26	15	Af	fh	fh	image: both passes differ
f30r_L26	16	sl	ss2	ST	image: both passes differ
f30r_L26	17	sl	-	-	image: both passes differ
f30r_L26	18	m	m	-	image: agrees with pass A
f30r_L26	19	br	D	br	image: agrees with pass B
f30r_L26	21	FL	fh	ST	image: both passes differ
f30r_L26	24	Af	fh	-	image: both passes differ
f30r_L26	25	E	eh	-	image: both passes differ
f30r_L26	26	c	c	-	image: agrees with pass A
f30r_L26	27	9	9	-	image: agrees with pass A
f30r_L26	30	E	-	eh	image: both passes differ
f30r_L26	31	FL?	-	yt	image: both passes differ
f30r_L26	32	[?]	-	Mx	image: both passes differ
f30r_L26	33	5	-	5	image: agrees with pass B
f30r_L26	34	eh	eh	-	image: agrees with pass A
f30r_L26	35	HASH	-	-	image: both passes differ
f30r_L27	1	sl	-	-	image: both passes differ
f30r_L27	2	r3	-	-	image: both passes differ
f30r_L27	3	h?	-	-	image: both passes differ
f30r_L27	8	br	D	br	image: agrees with pass B
f30r_L27	9	zb	z3	r3	image: both passes differ
f30r_L27	10	null_o?	o	o	image: both passes differ
f30r_L27	11	nq	rho	aq	image: both passes differ
f30r_L27	13	9	g	9	image: agrees with pass B
f30r_L27	15	sl	ss2	ST	image: both passes differ
f30r_L27	16	B8?	Mx	Mx	image: both passes differ
f30r_L27	21	FL	fh	ST	image: both passes differ
f30r_L27	28	Tb	Tb	br	image: agrees with pass A
f30r_L27	29	re?	rho	aq	image: both passes differ
f30r_L27	32	Af?	fh	fh	image: both passes differ
f30r_L28	0	zb	z3	r3	image: both passes differ
