draw	sign	count	band	true	proposed	margin	second	correct
7	rho	19	n>=10	F	F	20.8	L	1
7	x	30	n>=10	A	A	70.5	I	1
7	yt	19	n>=10	T	T	85.5	I	1
7	zu	11	n>=10	I	I	23.7	NULL	1
7	p	7	5-9	M	M	22.1	S	1
7	Rt	15	n>=10	O	O	20.7	E	1
7	mx	10	n>=10	NULL	NULL	30.7	L	1
7	D	6	5-9	Q	Q	12.0	NULL	1
7	T	10	n>=10	SS	SS	9.0	S	1
7	q9	4	2-4	P	NULL	8.2	L	0
7	null_o	5	5-9	NULL	NULL	8.0	V	1
7	g2	7	5-9	G	G	7.3	NULL	1
7	ll	9	5-9	LL	LL	6.7	L	1
7	paren	3	2-4	NULL	A	4.6	I	0
7	sq	1	2-4	X	R	0.6	E	0
8	rs	23	n>=10	R	R	176.7	NULL	1
8	yt	19	n>=10	T	T	100.1	L	1
8	nq	37	n>=10	Q	Q	91.1	E	1
8	o	18	n>=10	S	S	79.7	NULL	1
8	b	12	n>=10	O	O	57.5	NULL	1
8	aq	23	n>=10	Y	I	39.4	V	0
8	bb	21	n>=10	COM	NULL	42.0	I	0
8	T	10	n>=10	SS	SS	20.7	S	1
8	p	7	5-9	M	M	18.5	C	1
8	zu	11	n>=10	I	I	13.6	NULL	1
8	d	3	2-4	V	V	21.5	I	1
8	null_o	5	5-9	NULL	NULL	11.1	E	1
8	q9	4	2-4	P	NULL	10.2	L	0
8	Af	39	n>=10	M	S	7.3	R	0
8	mx	10	n>=10	NULL	NULL	9.6	L	1
8	Rt	15	n>=10	O	O	29.5	E	1
8	g2	7	5-9	G	G	7.3	NULL	1
8	ll	9	5-9	LL	LL	5.4	L	1
8	rho	19	n>=10	F	F	7.8	L	1
8	sq	1	2-4	X	R	0.6	E	0
9	oi	30	n>=10	E	E	245.2	NULL	1
9	rs	23	n>=10	R	R	128.4	I	1
9	nq	37	n>=10	Q	Q	89.7	L	1
9	b	12	n>=10	O	O	81.5	NULL	1
9	o	18	n>=10	S	S	48.9	NULL	1
9	bb	21	n>=10	COM	NULL	48.2	E	0
9	x	30	n>=10	A	A	37.5	I	1
9	yt	19	n>=10	T	T	89.8	L	1
9	aq	23	n>=10	Y	I	38.5	V	0
9	zu	11	n>=10	I	I	24.4	NULL	1
9	D	6	5-9	Q	Q	23.8	NULL	1
9	d	3	2-4	V	V	21.5	I	1
9	T	10	n>=10	SS	SS	15.9	S	1
9	null_o	5	5-9	NULL	NULL	15.2	V	1
9	q9	4	2-4	P	NULL	8.2	L	0
9	g2	7	5-9	G	G	7.3	NULL	1
9	ll	9	5-9	LL	LL	6.7	L	1
9	Rt	15	n>=10	O	O	2.4	E	1
9	mx	10	n>=10	NULL	NULL	19.7	D	1
9	paren	3	2-4	NULL	A	4.6	I	0
