briefnr	date	direction	correspondent	place	archive_bronnen_codes	cipher_extent	solution_status	printed_edition_named	pdf_url	already_nominated
5798	4-2-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05798.pdf	no
5799	3-4-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05799.pdf	no
5800	16-5-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05800.pdf	no
5801	28-5-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05801.pdf	no
5802	21-8-1573	to	Lodewijk van Nassau	Dordrecht	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05802.pdf	no
5803	13-9-1573	to	Lodewijk van Nassau	Dordrecht	GB ; GPA ; KHAG ; MOBG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05803.pdf	no
5804	2-10-1573	to	Lodewijk van Nassau	Delft	GB ; GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05804.pdf	no
5805	31-10-1573	to	Lodewijk van Nassau	Delft	GB ; GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05805.pdf	no
5808	2-12-1573	to	Lodewijk van Nassau	Delft	GPA ; KHAG	partly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05808.pdf	no
5810	6-1-1574	to	Lodewijk van Nassau	Vlissingen	GPA ; KHAG	partly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05810.pdf	no
5811	13-4-1574	to	Lodewijk van Nassau	Dordrecht	GPA ; KHAG	mainly	not stated		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05811.pdf	no
5812	17-4-1574	to	Lodewijk van Nassau	Zaltbommel	GPA ; KHAG	mainly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05812.pdf	no
5922	30-9-1566	from	Willem van Hessen		GPA ; HSAM ; KHAG	mainly	solved elsewhere (Groen van Prinsterer)	Groen van Prinsterer	https://resources.huygens.knaw.nl/media/wvo/images/05000-05999/05922.pdf	no
6131	12-1-1575	to	Nicolaas Brunynck, secretaris van de prins	Middelburg	GPA ; KHAG	partly	solved on leaf	Groen van Prinsterer	https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06131.pdf	no
6136	14-2-1576	from	Reinier Cant	Bremen	KHAG	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06136.pdf	no
6178	26-4-1576	from	Guislain de Fiennes, heer van Lumbres	Aken (Aachen)	KHAG	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06178.pdf	no
6179	28-11-1577	from	de la Garde, superintendent van Schoonhoven		GPA ; KHAG	partly	unsolved		https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06179.pdf	yes
6221	19-5-1576	from	Guillaume David	Parijs (Paris)	GPA ; KHAG	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06221.pdf	no
6238	26-1-1576	from	Johan Junius de jonge, heer van Rederheim en Cormaillon	Arnstadt	KHAG	partly	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06238.pdf	no
6467	2-11-1577	from	Filips van Marnix van St. Aldegonde	Brussel (Bruxelles)	GPA ; GSME ; KHAG ; LMSAC	partly	solved elsewhere (Groen van Prinsterer, Archives (GPA))		https://resources.huygens.knaw.nl/media/wvo/images/06000-06999/06467.pdf	yes
7205	16-1-1574	to	Lodewijk van Nassau	Vlissingen	ARAB ; KHAG	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07205.pdf	no
7206	30-1-1574	to	Lodewijk van Nassau	Vlissingen	ARAB ; KHAG	partly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07206.pdf	no
7208	21-2-1574	to	Lodewijk van Nassau	Vlissingen	ARAB	mainly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07208.pdf	no
7466	14-5-1574	from	Michel La Huguerye	Keulen (Köln)	GPAS ; KHAG	partly	solved on leaf		https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07466.pdf	no
7630	1-1-1566	from	Willem van Gulik-Kleef (Jülich-Kleve)		KHAG	whole	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/07000-07999/07630.pdf	no
8246	2-5-1561	to	Günther van Schwarzburg	Brussel (Bruxelles)	JC ; SAR	mainly	not stated	Japikse	https://resources.huygens.knaw.nl/media/wvo/images/08000-08999/08246.pdf	no
10260	17-12-1580	from	Filips van Marnix van St. Aldegonde	Courtras	GPA ; GSME ; HUA ; LMSAC ; MBWI ; NA ; SAG	unspecified	not stated	Groen van Prinsterer;Lacroix	https://resources.huygens.knaw.nl/media/wvo/images/10000-10999/10260.pdf	no
10700	13-7-1579	to	gedeputeerden van Duitse Rijk	Antwerpen (Anvers)	AGSV ; DAGS ; GCGT	unspecified	solved elsewhere (Gachard, Correspondance de Guillaume le Taciturne (GCGT))		https://resources.huygens.knaw.nl/media/wvo/images/10000-10999/10700.pdf	no
10725	20-6-1579	to	Jan van der Linden, abt van St. Geertruid	Antwerpen (Anvers)	AGSV ; DAGS ; GCGT	unspecified	solved elsewhere (Gachard, Correspondance de Guillaume le Taciturne (GCGT))		https://resources.huygens.knaw.nl/media/wvo/images/10000-10999/10725.pdf	no
11250	20-12-1572	to	Lodewijk van Nassau	Delft	KHAG	unspecified	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/11000-11999/11250.pdf	no
12630	25-6-1579	from	gedeputeerden van Duitse Rijk	Keulen (Köln)	AGSV	unspecified	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/12000-12999/12630.pdf	no
12631	29-4-1579	to	Heinrich-Otto von Schwartzemberg	Antwerpen (Anvers)	AGSV ; DAGS	unspecified	solved elsewhere (edition not resolved this pass)		https://resources.huygens.knaw.nl/media/wvo/images/12000-12999/12631.pdf	no
