line	pos	sign	conf
f27_L04	20	.	M
f27_L04	21	h	M
f27_L04	22	9	M
f27_L04	23	6	M
f27_L04	24	#	M
f27_L04	25	∂	M
f27_L04	26	g	M
f27_L04	27	λ	M
f27_L04	28	f	M
f27_L04	29	√	M
f27_L04	30	o	M
f27_L04	31	=	M
f27_L04	32	u	M
f27_L04	33	x	M
f27_L04	34	⊥	M
f27_L04	35	//	M
f27_L04	36	f	M
f27_L04	37	r	M
f27_L04	38	g	M
f27_L04	39	i	M
f27_L04	40	∂	M
f27_L04	41	∞	M
f27_L04	42	b	M
f27_L04	43	g	M
f27_L04	44	c	M
f27_L04	45	c	M
f27_L04	46	u	M
f27_L04	47	‡	M
f27_L04	48	X	M
f27_L04	49	.	M
f27_L04	50	j	M
f27_L04	51	.	M
f27_L04	52	s	M
f27_L04	53	^	M
f27_L04	54	λ	M
f27_L04	55	g	M
f27_L04	56	3	M
f27_L04	57	u	M
f27_L05	1	c	M
f27_L05	2	b	M
f27_L05	3	y	M
f27_L05	4	o	M
f27_L05	5	T	M
f27_L05	6	i	M
f27_L05	7	∂	M
f27_L05	8	=	M
f27_L05	9	v	M
f27_L05	10	∂	M
f27_L05	11	ſ	M
f27_L05	12	8	M
f27_L05	13	f	M
f27_L05	14	//	M
f27_L05	15	3	M
f27_L05	16	o	M
f27_L05	17	v	M
f27_L05	18	t	M
f27_L05	19	o	M
f27_L05	20	b	M
f27_L05	21	g	M
f27_L05	22	∂	M
f27_L05	23	λ	M
f27_L05	24	//	M
f27_L05	25	π	M
f27_L05	26	ſ	M
f27_L05	27	o	M
f27_L05	28	-	M
f27_L05	29	o	M
f27_L05	30	8	M
f27_L05	31	///	M
f27_L05	32	f	M
f27_L05	33	X	M
f27_L05	34	h	M
f27_L05	35	ß	M
f27_L05	36	f	M
f27_L05	37	λ	M
f27_L05	38	u	M
f27_L05	39	///	M
f27_L05	40	f	M
f27_L05	41	F	M
f27_L05	42	∂	M
f27_L05	43	#	M
f27_L05	44	//	M
f27_L05	45	f	M
f27_L05	46	o	M
f27_L05	47	14	M
f27_L05	48	t	M
f27_L05	49	o	M
f27_L05	50	r	M
f27_L05	51	t	M
f27_L05	52	o	M
f27_L05	53	p	M
f27_L05	54	∂	M
f27_L05	55	b	M
f27_L05	56	s	M
f27_L05	57	^	M
f27_L06	1	g	M
f27_L06	2	//	M
f27_L06	3	∂	M
f27_L06	4	f	M
f27_L06	5	#	M
f27_L06	6	s	M
f27_L06	7	^	M
f27_L06	8	λ	M
f27_L06	9	p	M
f27_L06	10	i	M
f27_L06	11	t	M
f27_L06	12	o	M
f27_L06	13	h	M
f27_L06	14	#	M
f27_L06	15	i	M
f27_L06	16	b	M
f27_L06	17	E	M
f27_L06	18	∂	M
f27_L06	19	//	M
f27_L06	20	π	M
f27_L06	21	v	M
f27_L06	22	t	M
f27_L06	23	o	M
f27_L06	24	///	M
f27_L06	25	g	M
f27_L06	26	b	M
f27_L06	27	∞	M
f27_L06	28	t	M
f27_L06	29	o	M
f27_L06	30	=	M
f27_L06	31	∂	M
f27_L06	32	n	M
f27_L06	33	g	M
f27_L06	34	b	M
f27_L06	35	20	M
f27_L06	36	c	M
f27_L06	37	T	M
f27_L06	38	b	M
f27_L06	39	g	M
f27_L06	40	ſ	M
f27_L06	41	xxuj	M
f27_L06	42	∂?	L
f27_L06	43	f	M
f27_L06	44	#	M
f27_L06	45	∂	M
f27_L06	46	8	M
f27_L06	47	4	M
f27_L06	48	3	M
f27_L06	49	m	M
f27_L06	50	ß	M
f27_L06	51	8	M
f27_L06	52	.	M
f27_L07	1	⊡	M
f27_L07	2	m	M
f27_L07	3	3	M
f27_L07	4	4	M
f27_L07	5	+	M
f27_L07	6	p	M
f27_L07	7	∂	M
f27_L07	8	b	M
f27_L07	9	n	M
f27_L07	10	h	M
f27_L07	11	b	M
f27_L07	12	u	M
f27_L07	13	1	M
f27_L07	14	o	M
f27_L07	15	g	M
f27_L07	16	t	M
f27_L07	17	#	M
f27_L07	18	f	M
f27_L07	19	8	M
f27_L07	20	///	M
f27_L07	21	f	M
f27_L07	22	b	M
f27_L07	23	^	M
f27_L07	24	3	M
f27_L07	25	v	M
f27_L07	26	ſ	M
f27_L07	27	o	M
f27_L07	28	-	M
f27_L07	29	t	M
f27_L07	30	o	M
f27_L07	31	g	M
f27_L07	32	X	M
f27_L07	33	h	M
f27_L07	34	∂	M
f27_L07	35	^	M
f27_L07	36	o	M
f27_L07	37	r	M
f27_L07	38	x	M
f27_L07	39	x	M
f27_L07	40	p	M
f27_L07	41	///	M
f27_L07	42	4	M
f27_L07	43	π	M
f27_L07	44	c	M
f27_L07	45	T	M
f27_L07	46	8	M
f27_L07	47	g	M
f27_L07	48	4	M
f27_L07	49	8	M
f27_L07	50	8	M
f27_L07	51	f	M
f27_L07	52	v	M
f27_L07	53	π	M
f27_L08	1	ſ	M
f27_L08	2	+	M
f27_L08	3	///	M
f27_L08	4	u	M
f27_L08	5	r	M
f27_L08	6	∂	M
f27_L08	7	g	M
f27_L08	8	t	M
f27_L08	9	x	M
f27_L08	10	r	M
f27_L08	11	+	M
f27_L08	12	m	M
f27_L08	13	+	M
f27_L08	14	+	M
f27_L08	15	-	M
f27_L08	16	b	M
f27_L08	17	⊡	M
f27_L08	18	b	M
f27_L08	19	f	M
f27_L08	20	8	M
f27_L08	21	g	M
f27_L08	22	r	M
f27_L08	23	i	M
f27_L08	24	∂	M
f27_L08	25	p	M
f27_L08	26	i	M
f27_L08	27	h	M
f27_L08	28	o	M
f27_L08	29	v	M
f27_L08	30	E	M
f27_L08	31	∂	M
f27_L08	32	s	M
f27_L08	33	^	M
f27_L08	34	⊡	M
f27_L08	35	m	M
f27_L08	36	∂	M
f27_L08	37	g	M
f27_L08	38	l	M
f27_L08	39	l	M
f27_L08	40	b	M
f27_L08	41	X	M
f27_L08	42	v	M
f27_L08	43	20	M
f27_L08	44	c	M
f27_L08	45	g	M
f27_L08	46	v	M
f27_L08	47	///	M
f27_L08	48	b	M
f27_L08	49	p	M
f27_L08	50	i	M
f27_L08	51	∂	M
f27_L08	52	h	M
f27_L08	53	X	M
f27_L08	54	4	M
f27_L08	55	v	M
f27_L08	56	m	M
f27_L09	1	∂	M
f27_L09	2	///	M
f27_L09	3	g	M
f27_L09	4	v	M
f27_L09	5	x	M
f27_L09	6	x	M
f27_L09	7	20	M
f27_L09	8	//	M
f27_L09	9	u	M
f27_L09	10	X	M
f27_L09	11	∂	M
f27_L09	12	G?	L
f27_L09	13	l	M
f27_L09	14	l	M
f27_L09	15	h	M
f27_L09	16	ſ	M
f27_L09	17	+	M
f27_L09	18	o	M
f27_L09	19	X	M
f27_L09	20	4	M
f27_L09	21	#	M
f27_L09	22	x	M
f27_L09	23	ß	M
f27_L09	24	-	M
f27_L09	25	∂	M
f27_L09	26	b	M
f27_L09	27	8	M
f27_L09	28	X	M
f27_L09	29	c	M
f27_L09	30	m	M
f27_L09	31	m	M
f27_L09	32	f	M
f27_L09	33	#	M
f27_L09	34	g	M
f27_L09	35	v	M
f27_L09	36	8	M
f27_L09	37	7	M
f27_L09	38	o	M
f27_L09	39	c	M
f27_L09	40	8	M
f27_L09	41	x	M
f27_L09	42	u	M
f27_L09	43	g	M
f27_L09	44	π	M
f27_L09	45	///	M
f27_L09	46	8	M
f27_L09	47	g	M
f27_L09	48	#	M
f27_L09	49	π	M
f27_L09	50	v	M
f27_L09	51	v	M
f27_L09	52	.	M
f27_L09	53	:	M
f27_L09	54	ſ	M
f27_L09	55	#	M
f27_L10	1	r	M
f27_L10	2	c	M
f27_L10	3	^	M
f27_L10	4	g	M
f27_L10	5	t	M
f27_L10	6	π	M
f27_L10	7	ß	M
f27_L10	8	E	M
f27_L10	9	X	M
f27_L10	10	///	M
f27_L10	11	y	M
f27_L10	12	.	M
f27_L10	13	j	M
f27_L10	14	.	M
f27_L10	15	o	M
f27_L10	16	⊡	M
f27_L10	17	∞	M
f27_L10	18	+	M
f27_L10	19	o	M
f27_L10	20	f	M
f27_L10	21	^	M
f27_L10	22	g	M
f27_L10	23	4	M
f27_L10	24	∂	M
f27_L10	25	//	M
f27_L10	26	π	M
f27_L10	27	u	M
f27_L10	28	10	M
f27_L10	29	g	M
f27_L10	30	ſ	M
f27_L10	31	o	M
f27_L10	32	4	M
f27_L10	33	b	M
f27_L10	34	8	M
f27_L10	35	v	M
f27_L10	36	f	M
f27_L10	37	n	M
f27_L10	38	X	M
f27_L10	39	11	M
f27_L10	40	t	M
f27_L10	41	o	M
f27_L10	42	g	M
f27_L10	43	v	M
f27_L10	44	8	M
f27_L10	45	E	M
f27_L10	46	8	M
f27_L10	47	4	M
f27_L10	48	f	M
f27_L10	49	8	M
f27_L10	50	=	M
f27_L10	51	///	M
f27_L10	52	o	M
f27_L10	53	g	M
f27_L11	1	xxxi	M
f27_L11	2	g	M
f27_L11	3	f	M
f27_L11	4	^	M
f27_L11	5	t	M
f27_L11	6	o	M
f27_L11	7	w	M
f27_L11	8	v	M
f27_L11	9	π	M
f27_L11	10	#	M
f27_L11	11	v	M
f27_L11	12	-	M
f27_L11	13	f	M
f27_L11	14	b	M
f27_L11	15	f	M
f27_L11	16	#	M
f27_L11	17	∂	M
f27_L11	18	4	M
f27_L11	19	v	M
f27_L11	20	f	M
f27_L11	21	g	M
f27_L11	22	T	M
f27_L11	23	g	M
f27_L11	24	8	M
f27_L11	25	T	M
f27_L11	26	g	M
f27_L11	27	f	M
f27_L11	28	^	M
f27_L11	29	n	M
f27_L11	30	.	M
f27_L11	31	g	M
f27_L11	32	f	M
f27_L11	33	///	M
f27_L11	34	o	M
f27_L11	35	X	M
f27_L11	36	⊡	M
f27_L11	37	∞	M
f27_L11	38	+	M
f27_L11	39	f	M
f27_L11	40	θ?	L
f27_L11	41	o	M
f27_L11	42	=	M
f27_L11	43	¢	M
f27_L11	44	8	M
f27_L11	45	1	M
f27_L11	46	∂	M
f27_L11	47	///	M
f27_L11	48	b	M
f27_L11	49	π	M
f27_L11	50	T	M
f27_L11	51	m	M
