line	pos	sign	conf	atoms
f27_L04	38	b	L	41
f27_L04	39	g	M	42
f27_L04	40	t	L	43
f27_L04	41	cc	M	44,45
f27_L04	42	m	L	46
f27_L04	43	u	L	47
f27_L04	44	‡	L	48
f27_L04	45	X	L	49
f27_L04	46	j	M	50
f27_L04	47	s'	M	51
f27_L04	48	λ	M	53
f27_L04	49	g	M	54
f27_L04	50	z	L	55
f27_L04	51	3	L	56
f27_L04	52	u	L	57
f27_L05	1	c	M	1
f27_L05	2	b	L	2
f27_L05	3	y	M	3
f27_L05	4	o	M	4
f27_L05	5	T	L	5
f27_L05	6	i	M	6
f27_L05	7	∂	L	7
f27_L05	8	=	M	8
f27_L05	9	v	M	9
f27_L05	10	∂	L	10
f27_L05	11	ſ	M	11
f27_L05	12	8	M	12
f27_L05	13	f	M	13
f27_L05	14	//	L	14
f27_L05	15	3	L	15
f27_L05	16	o	M	16
f27_L05	17	v	M	17
f27_L05	18	to	M	18,19
f27_L05	19	b	L	20
f27_L05	20	g	M	21
f27_L05	21	∂	L	22
f27_L05	22	λ	M	23
f27_L05	23	//	M	24
f27_L05	24	π	M	25
f27_L05	25	ſo	M	26,27
f27_L05	26	o	M	28
f27_L05	27	8	M	29
f27_L05	28	///	M	30
f27_L05	29	f	M	31
f27_L05	30	X	L	32
f27_L05	31	h	M	33
f27_L05	32	ß	M	34
f27_L05	33	f	M	35
f27_L05	34	λ	M	36
f27_L05	35	u	L	37
f27_L05	36	///	M	38
f27_L05	37	f	M	39
f27_L05	38	F	L	40
f27_L05	39	∂	M	41
f27_L05	40	#	M	42
f27_L05	41	//	L	43
f27_L05	42	f	M	44
f27_L05	43	o	M	45
f27_L05	44	1	L	46
f27_L05	45	14	L	47
f27_L05	46	to	M	48,49
f27_L05	47	r	M	50
f27_L05	48	to	M	51,52
f27_L05	49	p	L	53
f27_L05	50	∂	L	54
f27_L05	51	b	M	55
f27_L05	52	s'	M	56
f27_L06	1	g	M	1
f27_L06	2	//	M	2
f27_L06	3	∂	L	3
f27_L06	4	f	M	4
f27_L06	5	#	L	5
f27_L06	6	s'	M	6
f27_L06	7	λ	M	8
f27_L06	8	pi	M	9,10
f27_L06	9	to	M	11,12
f27_L06	10	h	M	13
f27_L06	11	#	L	14
f27_L06	12	i	M	15
f27_L06	13	b	M	16
f27_L06	14	E	M	17
f27_L06	15	∂	L	18
f27_L06	16	//	M	19
f27_L06	17	π	M	20
f27_L06	18	v	M	21
f27_L06	19	to	M	22,23
f27_L06	20	///	L	24
f27_L06	21	g	M	25
f27_L06	22	b	M	26
f27_L06	23	oo	M	27
f27_L06	24	to	M	28,29
f27_L06	25	=	M	30
f27_L06	26	∂	L	31
f27_L06	27	n	M	32
f27_L06	28	g	M	33
f27_L06	29	ß	L	34
f27_L06	30	b	L	35
f27_L06	31	20	L	36
f27_L06	32	c	M	37
f27_L06	33	T	L	38
f27_L06	34	b	L	39
f27_L06	35	g	M	40
f27_L06	36	ſ	M	41
f27_L06	37	xx	M	42,43
f27_L06	38	u	L	44
f27_L06	39	xxuj	L	45
f27_L06	40	∂	L	46
f27_L06	41	f	M	47
f27_L06	42	#	L	48
f27_L06	43	∂	L	49
f27_L06	44	8	M	50
f27_L06	45	4	M	51
f27_L06	46	3	M	52
f27_L06	47	m	M	53
f27_L06	48	ß	M	54
f27_L06	49	8	L	55
f27_L07	1	⊡	L	1
f27_L07	2	m	L	2
f27_L07	3	3	M	3
f27_L07	4	94	M	4,5
f27_L07	5	+	L	6
f27_L07	6	p	L	7
f27_L07	7	∂	L	8
f27_L07	8	b	L	9
f27_L07	9	n	M	10
f27_L07	10	h	M	11
f27_L07	11	b	L	12
f27_L07	12	u	L	13
f27_L07	13	1	M	14
f27_L07	14	o	L	15
f27_L07	15	g	M	16
f27_L07	16	t	M	17
f27_L07	17	#	L	18
f27_L07	18	f	M	19
f27_L07	19	8	L	20
f27_L07	20	///	M	21
f27_L07	21	f	M	22
f27_L07	22	b	M	23
f27_L07	23	3	L	25
f27_L07	24	v	M	26
f27_L07	25	ſo	M	27,28
f27_L07	26	to	M	29,30
f27_L07	27	g	L	31
f27_L07	28	X	L	32
f27_L07	29	h	M	33
f27_L07	30	∂	M	34
f27_L07	31	o	M	36
f27_L07	32	r	L	37
f27_L07	33	xx	M	38,39
f27_L07	34	p	L	40
f27_L07	35	///	M	41
f27_L07	36	4	L	42
f27_L07	37	π	M	43
f27_L07	38	c	M	44
f27_L07	39	T	L	45
f27_L07	40	8	M	46
f27_L07	41	g	M	47
f27_L07	42	4	L	48
f27_L07	43	8	L	49
f27_L07	44	8	M	50
f27_L07	45	f	M	51
f27_L07	46	v	M	52
f27_L07	47	π	M	53
f27_L08	1	ſ	M	1
f27_L08	2	+	L	2
f27_L08	3	///	M	3
f27_L08	4	ur	M	4,5
f27_L08	5	∂	L	6
f27_L08	6	g	L	7
f27_L08	7	t	M	8
f27_L08	8	x	M	9
f27_L08	9	r	L	10
f27_L08	10	+	L	11
f27_L08	11	m	M	12
f27_L08	12	++	M	13,14
f27_L08	13	b	L	15
f27_L08	14	⊡	L	16
f27_L08	15	b	L	17
f27_L08	16	f	M	18
f27_L08	17	8	L	19
f27_L08	18	g	M	20
f27_L08	19	r	M	21
f27_L08	20	i	L	22
f27_L08	21	∂	L	23
f27_L08	22	pi	M	24,25
f27_L08	23	h	M	26
f27_L08	24	o	M	27
f27_L08	25	v	M	28
f27_L08	26	E	L	29
f27_L08	27	∂	L	30
f27_L08	28	s'	M	31
f27_L08	29	⊡	L	33
f27_L08	30	m	L	34
f27_L08	31	∂	L	35
f27_L08	32	g	M	36
f27_L08	33	ll	M	37,38
f27_L08	34	b	L	39
f27_L08	35	X	L	40
f27_L08	36	v	L	41
f27_L08	37	20	L	42
f27_L08	38	c	M	43
f27_L08	39	g	L	44
f27_L08	40	v	M	45
f27_L08	41	///	M	46
f27_L08	42	b	L	47
f27_L08	43	pi	M	48,49
f27_L08	44	∂	L	50
f27_L08	45	h	M	51
f27_L08	46	y	L	52
f27_L08	47	X	L	53
f27_L08	48	4	L	54
f27_L08	49	v	L	55
f27_L08	50	m	L	56
f27_L09	1	∂	M	1
f27_L09	2	///	M	2
f27_L09	3	g	M	3
f27_L09	4	v	M	4
f27_L09	5	xx	M	5,6
f27_L09	6	2	L	7
f27_L09	7	20	L	8
f27_L09	8	//	M	9
f27_L09	9	u	L	10
f27_L09	10	X	L	11
f27_L09	11	∂	L	12
f27_L09	12	G	L	13
f27_L09	13	ll	M	14,15
f27_L09	14	h	M	16
f27_L09	15	ſ	L	17
f27_L09	16	+o	M	18,19
f27_L09	17	x	L	20
f27_L09	18	X	L	21
f27_L09	19	4	M	22
f27_L09	20	#	L	23
f27_L09	21	x	M	24
f27_L09	22	ß	M	25
f27_L09	23	∂	L	26
f27_L09	24	b	L	27
f27_L09	25	8	L	28
f27_L09	26	X	L	29
f27_L09	27	c	L	30
f27_L09	28	m	L	31
f27_L09	29	m	M	32
f27_L09	30	f	M	33
f27_L09	31	#	M	34
f27_L09	32	g	M	35
f27_L09	33	v	M	36
f27_L09	34	8	M	37
f27_L09	35	7	M	38
f27_L09	36	o	L	39
f27_L09	37	c	M	40
f27_L09	38	8	M	41
f27_L09	39	x	M	42
f27_L09	40	u	M	43
f27_L09	41	g	M	44
f27_L09	42	π	M	45
f27_L09	43	///	M	46
f27_L09	44	8	M	47
f27_L09	45	g#	M	48,49
f27_L09	46	π	M	50
f27_L09	47	v	M	51
f27_L09	48	y	L	52
f27_L09	49	v	M	53
f27_L09	50	:	L	54
f27_L09	51	ſ	L	55
f27_L09	52	#	M	56
f27_L10	1	r	M	1
f27_L10	2	c	M	2
f27_L10	3	g	M	4
f27_L10	4	t	M	5
f27_L10	5	π	M	6
f27_L10	6	ß	M	7
f27_L10	7	E	M	8
f27_L10	8	X	L	9
f27_L10	9	///	M	10
f27_L10	10	y	M	11
f27_L10	11	j	M	12
f27_L10	12	o	M	13
f27_L10	13	⊡	L	14
f27_L10	14	oo+	M	15,16
f27_L10	15	o	M	17
f27_L10	16	f	M	18
f27_L10	17	g	M	20
f27_L10	18	4	M	21
f27_L10	19	∂	L	22
f27_L10	20	//	M	23
f27_L10	21	π	M	24
f27_L10	22	u	M	25
f27_L10	23	i	L	26
f27_L10	24	10	L	27
f27_L10	25	g	M	28
f27_L10	26	ſo	M	29,30
f27_L10	27	4	L	31
f27_L10	28	b	L	32
f27_L10	29	8	M	33
f27_L10	30	v	M	34
f27_L10	31	f	M	35
f27_L10	32	n	M	36
f27_L10	33	X	L	37
f27_L10	34	11	L	38
f27_L10	35	to	M	39,40
f27_L10	36	g	L	41
f27_L10	37	v	M	42
f27_L10	38	8	M	43
f27_L10	39	E	L	44
f27_L10	40	8	M	45
f27_L10	41	4	L	46
f27_L10	42	f	M	47
f27_L10	43	8	L	48
f27_L10	44	=	M	49
f27_L10	45	///	M	50
f27_L10	46	o	M	51
f27_L10	47	g	M	52
f27_L11	1	xxx	M	1,2,3
f27_L11	2	xxxi	L	4
f27_L11	3	g	M	5
f27_L11	4	f	M	6
f27_L11	5	to	M	8,9
f27_L11	6	w	M	10
f27_L11	7	v	M	11
f27_L11	8	π	M	12
f27_L11	9	#	L	13
f27_L11	10	v	M	14
f27_L11	11	f	M	15
f27_L11	12	b	L	16
f27_L11	13	f	L	17
f27_L11	14	#	M	18
f27_L11	15	∂	L	19
f27_L11	16	4	M	20
f27_L11	17	v	M	21
f27_L11	18	f	M	22
f27_L11	19	g	M	23
f27_L11	20	T	L	24
f27_L11	21	g	M	25
f27_L11	22	8	L	26
f27_L11	23	T	L	27
f27_L11	24	g	M	28
f27_L11	25	f	M	29
f27_L11	26	n	M	31
f27_L11	27	g	M	32
f27_L11	28	f	M	33
f27_L11	29	///	M	34
f27_L11	30	o	M	35
f27_L11	31	X	L	36
f27_L11	32	⊡	L	37
f27_L11	33	oo+	M	38,39
f27_L11	34	f	L	40
f27_L11	35	θ	L	41
f27_L11	36	o	M	42
f27_L11	37	=	M	43
f27_L11	38	¢	M	44
f27_L11	39	8	L	45
f27_L11	40	1	L	46
f27_L11	41	∂	M	47
f27_L11	42	///	L	48
f27_L11	43	b	L	49
f27_L11	44	π	M	50
f27_L11	45	T	L	51
f27_L11	46	m	L	52
