line	sign	truth
r157	77	d
r157	84	e
r157	61	a
r157	87	f
r157	90	f
r157	81	e
r157	71	c
r157	31	t
r157	101	i
r157	6	o
r157	1	n
r160	2	n
r160	62	a
r161	117	m
r161	9	o
r161	104	i
r161	81	e
r161	4	n
r163	112	l
r163	65	a
r163	91	g
r163	36	u
r163	32	t
r163	21	r
r163	25	r
r163	88	f
r163	6	o
r163	37	u
r163	40	u
r163	85	e
r163	24	r
r163	84	e
r163	85	e
r163	61	a
r163	37	u
r166	74	c
r166	7	o
r166	2	n
r166	33	t
r166	83	e
r166	3	n
r166	84	e
r169	70	b
r169	63	a
r169	26	s
r169	111	l
r169	53	y
r169	85	e
r169	33	t
r169	79	d
r169	51	y
r169	94	g
r169	84	e
r169	4	n
r169	83	e
r169	37	u
r169	85	e
r171	112	l
r171	81	e
r171	3	n
r171	27	s
r171	82	e
r171	35	t
r171	84	e
r171	29	s
r171	12	p
r171	64	a
r171	104	i
r171	94	g
r171	4	n
r171	9	o
r171	114	l
r171	80	d
r173	38	u
r173	81	e
r173	1	n
r173	101	i
r173	21	r
r173	63	a
r173	39	u
r174	71	c
r174	6	o
r174	2	n
r174	33	t
r174	23	r
r174	83	e
r174	117	m
r174	64	a
r174	4	n
r174	77	d
r174	82	e
r174	55	y
r178	1	n
r178	81	e
r178	120	m
r178	65	a
r178	25	r
r178	75	c
r178	100	h
r178	55	y
r178	5	n
r178	35	t
r179	84	e
r179	2	n
r179	74	c
r179	9	o
r179	24	r
r179	85	e
r179	29	s
r182	119	m
r182	39	u
r182	25	r
r182	117	m
r182	38	u
r182	22	r
r182	82	e
r182	21	r
r188	61	a
r188	111	l
r188	65	a
r188	25	r
r188	120	m
r188	81	e
r188	77	d
r188	82	e
r188	118	m
r188	8	o
r188	23	r
r188	83	e
r188	28	s
r188	85	e
r188	5	n
r189	64	a
r189	12	p
r189	22	r
r189	7	o
r189	74	c
r189	99	h
r189	84	e
r189	24	r
r189	118	m
r189	61	a
r189	87	f
r189	6	o
r189	21	r
r189	72	c
r189	83	e
r189	79	d
r189	39	u
r189	34	t
r189	40	u
r189	25	r
r189	78	d
r192	81	e
r192	2	n
r192	37	u
r192	101	i
r192	21	r
r192	9	o
r192	2	n
r192	31	t
r192	21	r
r192	7	o
r192	102	i
r192	26	s
r192	71	c
r192	84	e
r192	4	n
r192	29	s
r192	72	c
r192	96	h
r192	83	e
r192	38	u
r192	61	a
r192	39	u
r192	50	x
r196	100	h
r196	61	a
r196	60	z
r196	64	a
r196	24	r
r196	77	d
r196	81	e
r196	22	r
r196	114	l
r196	84	e
r196	37	u
r196	9	o
r196	104	i
r196	61	a
r196	91	g
r196	85	e
r196	36	u
r196	85	e
r196	25	r
r196	30	s
r196	117	m
r196	64	a
r196	104	i
r196	26	s
r198	5	n
r198	38	u
r198	9	o
r198	101	i
r198	24	r
r199	21	r
r199	81	e
r199	81	e
r199	83	e
r199	2	n
r199	89	f
r199	83	e
r200	71	c
r200	84	e
r200	29	s
r200	35	t
r200	65	a
r200	115	l
r200	101	i
r200	4	n
r203	30	s
r203	84	e
r203	64	a
r203	31	t
r203	59	z
r204	80	d
r204	6	o
r204	36	u
r204	58	z
r204	85	e
r204	90	f
r204	115	l
r204	7	o
r204	23	r
r204	103	i
r204	97	h
r204	81	e
r204	36	u
r204	61	a
r204	111	l
r209	16	q
r209	37	u
r209	101	i
r209	12	p
r209	21	r
r209	9	o
r209	117	m
r209	81	e
r209	82	e
r209	85	e
r209	3	n
r209	35	t
r209	89	f
r209	8	o
r209	38	u
r209	24	r
r209	4	n
r209	104	i
r209	25	r
r209	7	o
r211	75	c
r211	85	e
r211	5	n
r211	29	s
r212	61	a
r212	75	c
r212	71	c
r212	6	o
r212	118	m
r212	13	p
r212	63	a
r212	101	i
r212	95	g
r212	5	n
r212	82	e
r212	22	r
r214	37	u
r214	4	n
r214	78	d
r214	64	a
r214	114	l
r214	84	e
r214	24	r
r215	31	t
r215	81	e
r215	26	s
r215	32	t
r215	85	e
r218	25	r
r218	119	m
r218	81	e
r218	30	s
r222	59	z
r222	9	o
r222	38	u
r222	29	s
r222	15	p
r222	85	e
r222	40	u
r222	35	t
r222	26	s
r222	85	e
r222	25	r
r222	37	u
r222	101	i
r222	21	r
r225	51	y
r225	81	e
r225	117	m
r225	12	p
r225	26	s
r229	71	c
r229	61	a
r229	12	p
r229	102	i
r229	32	t
r229	82	e
r229	102	i
r229	2	n
r229	82	e
r229	27	s
r229	90	f
r229	24	r
r229	85	e
r229	5	n
r229	75	c
r229	10	o
r229	105	i
r229	30	s
r231	10	o
r231	89	f
r231	86	f
r231	21	r
r231	81	e
r231	77	d
r231	82	e
r231	25	r
r231	101	i
r231	50	x
r231	71	c
r231	81	e
r231	2	n
r231	27	s
r233	81	e
r233	5	n
r233	35	t
r233	84	e
r233	115	l
r233	111	l
r233	105	i
r233	85	e
r233	39	u
r236	4	n
r236	84	e
r236	29	s
r236	39	u
r236	104	i
r236	28	s
r236	81	e
r236	2	n
r236	12	p
r236	85	e
r236	101	i
r236	3	n
r236	84	e
r238	114	l
r238	104	i
r238	84	e
r238	38	u
r242	82	e
r242	2	n
r242	25	r
r242	83	e
r242	119	m
r242	65	a
r242	105	i
r242	66	b
r242	26	s
r242	78	d
r242	83	e
r242	59	z
r242	37	u
r242	7	o
r242	38	u
r242	27	s
r244	112	l
r244	85	e
r244	120	m
r246	85	e
r246	120	m
r246	13	p
r246	83	e
r246	29	s
r246	75	c
r246	99	h
r246	85	e
r246	25	r
r251	70	b
r251	10	o
r251	25	r
r251	77	d
