canvas	line	idx	token
21	5	1	w'
21	5	2	ll
21	5	3	11
21	5	4	z
21	5	5	83
21	5	6	m
21	5	7	88
21	5	8	h
21	5	9	y
21	5	10	36
21	5	11	z
21	5	12	83
21	5	13	75
21	5	14	ll
21	5	15	q
21	5	16	z
21	5	17	ee
21	6	1	11
21	6	2	25
21	6	3	z
21	6	4	40
21	6	5	93
21	6	6	86
21	6	7	θ
21	6	8	K
21	6	9	L
21	6	10	m
21	6	11	E
21	6	12	ll
21	6	13	10
21	6	14	z
21	6	15	f
21	6	16	41
21	6	17	ee
21	6	18	40
21	7	1	z0
21	7	2	mt
21	7	3	72
21	7	4	ll
21	7	5	36
21	7	6	z0
21	7	7	h
21	7	8	43
21	7	9	mt
21	7	10	16
21	7	11	y
21	7	12	z0
21	7	13	v
21	7	14	47
21	7	15	θ
21	7	16	23
21	7	17	h
27	1	1	31
27	1	2	11
27	1	3	92
27	1	4	83
27	1	5	ll
27	1	6	35
27	1	7	e
27	1	8	n
27	1	9	15
27	1	10	h
27	1	11	S
27	1	12	83
27	1	13	6
27	2	1	y
27	2	2	50
27	2	3	52
27	2	4	11
27	2	5	S
27	2	6	w
27	2	7	e
27	2	8	26
27	2	9	84
27	2	10	69
27	2	11	S
27	2	12	83
27	2	13	11
27	2	14	36
27	2	15	q
27	2	16	69
27	2	17	u
27	2	18	L
27	2	19	90
27	2	20	98
27	2	21	t
27	2	22	E
27	3	1	S
27	3	2	37
27	3	3	L
27	3	4	79
27	3	5	25
27	3	6	y
27	3	7	16
27	3	8	83
27	3	9	11
27	3	10	mf
27	3	11	27
27	3	12	36
27	3	13	86
27	3	14	92
27	3	15	83
27	3	16	16
27	3	17	d
27	3	18	6
27	3	19	S
27	3	20	37
27	4	1	y
27	4	2	25
27	4	3	6
27	4	4	17
27	4	5	w'
27	4	6	S
27	4	7	E
27	4	8	y
27	4	9	33
27	5	1	S
27	6	1	89
27	6	2	S
27	6	3	K
27	6	4	6
27	6	5	y
27	6	6	36
27	6	7	S
27	6	8	83
27	6	9	43
27	6	10	h
27	6	11	w'
27	6	12	17
27	6	13	21
27	6	14	S
27	6	15	78
27	7	1	y
27	7	2	t
27	7	3	L
27	7	4	32
27	7	5	t
27	7	6	6
27	8	1	S
27	8	2	d
27	8	3	41
27	8	4	33
27	8	5	36
27	8	6	11
27	8	7	31
27	8	8	6
27	8	9	40
27	8	10	15
27	8	11	h
27	8	12	43
27	8	13	L
27	8	14	25
27	8	15	ee
27	8	16	D
27	8	17	L
27	8	18	47
27	8	19	u
27	8	20	ll
27	8	21	36
27	9	1	83
27	9	2	46
27	9	3	13
27	9	4	6
27	9	5	46
27	10	1	83
27	10	2	S
27	10	3	31
27	10	4	u
27	10	5	S
27	10	6	36
27	10	7	11
27	10	8	31
27	10	9	S
27	10	10	E
27	10	11	11
27	10	12	47
27	10	13	92
27	10	14	83
27	10	15	16
27	10	16	D
27	10	17	6
27	10	18	S
27	10	19	57
27	10	20	78
27	10	21	10
27	11	1	49
27	11	2	y
27	11	3	L
27	11	4	ll
27	11	5	42
27	11	6	u
27	11	7	21
27	11	8	59
27	11	9	t
27	11	10	L
27	11	11	48
27	11	12	23
27	11	13	D
27	11	14	ll
27	11	15	y
27	11	16	52
27	11	17	S
27	12	1	32
27	12	2	u
27	12	3	m
27	12	4	u
27	12	5	D
27	12	6	S
27	12	7	ll
27	12	8	31
27	12	9	u
27	12	10	31
27	12	11	y
27	12	12	83
27	12	13	42
27	12	14	36
27	12	15	6
27	12	16	83
27	13	1	55
30	1	1	48
30	1	2	23
30	1	3	54
30	1	4	20
30	1	5	21
30	1	6	51
30	1	7	20
30	1	8	89
30	1	9	31
30	2	1	17
30	2	2	57
30	2	3	15
30	2	4	96
30	2	5	41
30	2	6	47
30	2	7	86
30	2	8	18
30	2	9	29
30	2	10	21
30	3	1	96
30	3	2	46
30	3	3	21
30	3	4	76
30	3	5	30
30	3	6	41
30	3	7	21
30	3	8	68
30	3	9	23
30	3	10	86
30	3	11	32
30	3	12	29
30	3	13	20
30	3	14	21
30	3	15	86
30	3	16	28
30	3	17	32
30	3	18	13
30	4	1	13
30	4	2	20
30	4	3	31
30	4	4	90
30	4	5	30
30	4	6	74
30	4	7	11
30	4	8	29
30	5	1	97
30	5	2	21
30	5	3	86
30	5	4	17
30	5	5	17
30	5	6	86
30	5	7	90
30	5	8	30
30	6	1	75
30	6	2	91
30	6	3	29
30	6	4	82
30	6	5	30
30	6	6	17
30	6	7	24
30	6	8	23
30	7	1	17
30	7	2	76
30	7	3	30
30	7	4	17
30	7	5	13
30	7	6	32
30	7	7	29
30	7	8	30
30	7	9	53
30	7	10	87
30	7	11	10
30	7	12	12
30	7	13	91
30	7	14	29
30	7	15	50
30	7	16	39
30	8	1	20
30	8	2	75
30	8	3	22
30	8	4	86
30	8	5	22
30	8	6	15
30	8	7	23
30	8	8	86
30	8	9	23
30	8	10	31
30	8	11	56
30	8	12	29
30	8	13	81
30	8	14	97
30	8	15	21
30	8	16	16
30	8	17	90
30	8	18	30
30	8	19	16
30	8	20	80
30	8	21	51
30	8	22	16
30	8	23	25
30	8	24	31
30	9	1	24
30	9	2	32
30	9	3	69
30	9	4	20
30	9	5	31
30	9	6	65
30	9	7	30
30	9	8	84
30	9	9	96
30	9	10	76
30	9	11	31
30	9	12	10
30	9	13	20
30	9	14	12
30	9	15	21
30	9	16	18
30	9	17	20
30	9	18	31
30	9	19	17
30	9	20	17
30	9	21	86
30	10	1	66
30	10	2	23
30	10	3	22
30	10	4	41
30	11	1	23
30	11	2	31
30	11	3	19
30	11	4	29
30	11	5	76
30	11	6	30
30	11	7	15
30	11	8	30
30	11	9	90
30	11	10	32
30	11	11	76
30	11	12	30
30	11	13	39
30	11	14	96
30	11	15	15
30	11	16	11
30	11	17	17
30	11	18	30
30	11	19	20
30	11	20	23
30	11	21	46
30	11	22	86
30	11	23	75
