canvas	line	idx	token	gloss	context_before	context_after
27	4	2	17		8	w'
27	4	3	w'		17	S
27	4	4	S		w'	E
27	4	5	E	S.E. read as plain honorific abbreviation, not cipher, by KX-COLB26P1/KX-LATHKEY2 convention elsewhere; kept here as a token pending a closer check	S	y
27	4	6	y		E	33
27	4	7	33		y	et celuy qui men a donne lauis dit jmporter
27	5	1	83	M. Brasset a receu	M. Brasset a receu	S
27	5	2	S		83	K
27	5	3	K		S	6
27	5	4	6		K	y
27	5	5	y		6	36
27	5	6	36		y	S
27	5	7	S		36	83
27	5	8	83		S	43
27	5	9	43		83	h
27	5	10	h		43	w'
27	5	11	w'		h	17
27	5	12	17		w'	21
27	5	13	21		17	L
27	5	14	L		21	78
27	5	15	78		L	loing (a trouver, insertion)
27	6	1	t	quil nest tout a fait	quil nest tout a fait	L
27	6	2	L		t	52
27	6	3	52		L	t
27	6	4	t		52	6
27	6	5	6		t	relever sa maison par un tres (insertion, audl. Sr Prince)
27	7	1	5	relever sa maison par un tres (insertion)	audl. Sr Prince	d
27	7	2	d		5	41
27	7	3	41		d	33
27	7	4	33		41	sil veut
27	7	5	36		sil veut	11
27	7	6	11		36	51
27	7	7	51		11	6
27	7	8	6		51	10
27	7	9	10		6	15
27	7	10	15		10	h
27	7	11	h		15	43
27	7	12	43		h	L
27	7	13	L		43	25
27	7	14	25		L	re
27	7	15	re		25	D
27	7	16	D		re	L
27	7	17	L		D	n
27	7	18	n		L	ll
27	7	19	ll		n	26
27	7	20	26		ll	de cette sorte
27	8	1	83	desquelz relevoit led. Comte de Meurs (insertion)	de cette sorte	96
27	8	2	96		83	43
27	8	3	43		96	6
27	8	4	6		43	46
27	8	5	46		6	qui le tireroit de la servitude de quantite de petits
27	9	1	83	Mais cela estant Prince (crossed-out word before "sil")	Mais cela estant Prince	S
27	9	2	S		83	31
27	9	3	31		S	n
27	9	4	n		31	S
27	9	5	S		n	36
27	9	6	36		S	11
27	9	7	11		36	31
27	9	8	31		11	L
27	9	9	L		31	Ir
27	9	10	Ir		L	11
27	9	11	11		Ir	47
27	9	12	47		11	92
27	9	13	92		47	83
27	9	14	83		92	16
27	9	15	16		83	D
27	9	16	D		16	6
27	9	17	6		D	57
27	9	18	57		6	78
27	9	19	78		57	10
27	9	20	10		78	sil ne nous en donnoit aduis
27	10	1	49		sil ne nous en donnoit aduis	y
27	10	2	y		49	L
27	10	3	L		y	ll
27	10	4	ll		L	42
27	10	5	42		ll	v
27	10	6	v		42	21
27	10	7	21		v	59
27	10	8	59		21	t
27	10	9	t		59	L
27	10	10	L		t	48
27	10	11	48		L	23
27	10	12	23		48	D
27	10	13	D		23	ll
27	10	14	ll		D	y
27	10	15	y		ll	52
27	10	16	52		y	S
27	10	17	S		52	quil y eust quelque chose a desirer de (insertion); dans la conjoncture
27	11	1	32	quil y eust quelque chose a desirer de (insertion)	presente jl sembleroit	n
27	11	2	n		32	m
27	11	3	m		n	w
27	11	4	w		m	D
27	11	5	D		w	S
27	11	6	S		D	ll
27	11	7	ll		S	31
27	11	8	31		ll	n
27	11	9	n		31	31
27	11	10	31		n	y
27	11	11	y		31	83
27	11	12	83		y	42
27	11	13	42		83	36
27	11	14	36		42	6
27	11	15	6		36	83
27	11	16	83		6	luy
27	12	1	53	(none)	luy	Vous y ferez reflexion sil vous plaist Monsieur
