canvas	a_pos	a_token	b_pos	b_token	kind	note
21	69	uy	72	m	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			77	z	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	76	gr	80	ll	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	78	99	82	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	79	re	83	ee	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	82	h'	86	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	86	0	90	θ	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	89	cn	93	m	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	90	Ell	94	E	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			95	ll	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	92	h'	97	z	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21	95	re	100	ee	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			102	z0	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			103	mt	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			104	72	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			105	ll	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			106	36	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			107	z0	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			108	h	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			109	43	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			110	mt	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			111	16	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			112	y	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			113	z0	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			114	v	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			115	47	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			116	θ	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			117	23	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
21			118	h	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	6	33	6	35	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	7	0	7	e	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			8	n	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	27	9	28	q	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	29	n	30	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	34	Ir	35	E	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			36	S	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	40	46	42	16	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	50	D	52	d	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			54	S	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	53	8	56	y	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			57	25	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			58	6	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	60	83	65	S	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			66	89	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	73	L	79	S	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			81	y	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	77	52	84	32	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	80	5	87	S	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	86	51	93	31	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	88	10	95	40	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	94	re	101	ee	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	97	n	104	47	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			105	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	99	26	107	36	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	101	96	109	46	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	102	43	110	13	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	108	n	116	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	113	L	121	S	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	114	Ir	122	E	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27			130	S	B-only (A missed / different segmentation)	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	130	v	139	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	143	n	152	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	145	w	154	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	150	n	159	u	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
27	158	53	167	55	replace	not settled this pass (budget) -- ciphertext.tsv is pass A; check both readings against the crop before treating either as final
30	14	51	14	41	replace	checked against crop by KX-LATHTR, genuinely ambiguous (51/41, 17/47 shapes both plausible in this hand) -- ciphertext.tsv kept as pass A, not settled
30	15	17	15	47	replace	checked against crop by KX-LATHTR, genuinely ambiguous (51/41, 17/47 shapes both plausible in this hand) -- ciphertext.tsv kept as pass A, not settled
30	46	91	46	97	replace	settled from crop by KX-LATHTR: B correct, ciphertext.tsv corrected 91->97
30	66	15	66	13	replace	settled from crop by KX-LATHTR: B correct, ciphertext.tsv corrected 15->13
