value	meaning	n	agree	others
125	e	42	8	s:5,t:3,a:2,de:2,l:2,n:2,r:2,u:2,aicter:1,au:1,bourgeois:1,bre:1,c:1,les:1,m:1,mment:1,o:1,prez:1,qu:1,royne:1,ruyne:1,uelleesttelle:1
126	e	47	5	i:4,n:4,u:4,r:3,s:3,a:2,c:2,l:2,q:2,b:1,craind:1,cy:1,d:1,donner:1,g:1,guerre:1,h:1,la:1,lequel:1,o:1,p:1,quil:1,t:1,veuil:1,vueillent:1
127	d	5	1	passages:1,perdons:1,s:1,t:1
128	de	3	1	e:1,o:1
129	e	40	5	m:4,l:3,n:3,u:3,d:2,i:2,a:1,asi:1,er:1,esmeu:1,la:1,le:1,les:1,moi:1,nfanterie:1,premire:1,r:1,s:1,se:1,ser:1,franc:1,t:1,trait:1,y:1
130	c	11	2	f:2,a:1,ces:1,n:1,p:1,suiv:1,vien:1,y:1
131	e	9	3	b:1,d:1,l:1,p:1,r:1,ville:1
132	e	164	18	s:14,n:11,r:11,a:10,i:10,t:10,o:8,c:6,u:6,d:5,p:5,l:4,la:2,plus:2,q:2,avs:1,co:1,con:1,conse:1,dangleterre:1,de:1,du:1,elle:1,entrete:1,et:1,etat:1,g:1,grans:1,h:1,il:1,j:1,le:1,lennemi:1,limportance:1,m:1,mesme:1,nantmoins:1,ne:1,nous:1,onpolroit:1,ou:1,plu:1,qu:1,quant:1,que:1,savoir:1,secourrons:1,secours:1,serr:1,fort:1,tousmoyen:1,trou:1,ur:1,x:1,y:1
133	l	4	1	la:1,marschent:1,u:1
134	t	10	2	c:1,d:1,e:1,la:1,pays:1,s:1,x:1,y:1
135	d	3	1	l:1,u:1
136	a	1	1	
137	autan	3	1	celuy:1,u:1
138	e	2	1	t:1
139	t	12	2	a:1,b:1,c:1,e:1,n:1,non:1,o:1,f:1,u:1,y:1
140	s	51	7	t:4,v:4,a:3,e:3,n:3,r:3,c:2,d:2,o:2,an:1,avoyent:1,commode:1,de:1,donner:1,et:1,even:1,i:1,il:1,in:1,l:1,m:1,p:1,q:1,serontlesetats:1,vaux:1,vers:1,y:1
141	e	13	2	n:2,o:2,anter:1,la:1,p:1,q:1,r:1,s:1,t:1
142	e	6	2	i:1,n:1,o:1,p:1
144	b	2	1	c:1
145	a	13	3	u:2,d:1,e:1,incouvniens:1,ladelivrancede:1,r:1,florins:1,tomb:1,vos:1
146	c	1	1	
147	a	3	1	n:1,v:1
148	que	1	1	
149	n	1	1	
150	best	10	1	colognie:1,e:1,jay:1,m:1,n:1,pas:1,q:1,soymesme:1,vous:1
152	e	9	2	a:1,h:1,i:1,nt:1,p:1,t:1,v:1
157	assau	1	1	
170	e	1	1	
172	a	9	2	c:1,chare:1,content:1,n:1,p:1,u:1,vous:1
173	q	2	1	t:1
175	avec	2	1	i:1
177	q	1	1	
179	e	1	1	
182	i	1	1	
183	u	1	1	
190	e	23	3	s:3,g:2,r:2,a:1,assure:1,bestallung:1,c:1,courran:1,et:1,i:1,ien:1,n:1,o:1,si:1,t:1,u:1
191	ne	3	1	o:1,s:1
192	aulcunspoint	4	1	non:1,s:1,t:1
195	a	12	4	q:2,u:2,despo:1,l:1,r:1,s:1
197	e	1	1	
199	av	3	1	la:1,n:1
200	r	1	1	
202	p	1	1	
221	et	1	1	
223	a	4	1	m:1,o:1,possiblespour:1
231	c	2	1	r:1
272	la	1	1	
296	i	1	1	
311	a	4	1	es:1,o:1,prometteron:1
312	a	2	1	o:1
330	e	1	1	
331	a	7	1	aut:1,e:1,guerre:1,les:1,r:1,ue:1
335	e	2	1	p:1
336	a	1	1	
356	u	1	1	
901	c	1	1	
