code	value_5801	grade	occurrences	key_full	vs_key_full	key_5799	vs_key_5799
70	e	M	8	b	conflict		new code
71	a	M	19	c	conflict		new code
72	e	M	58	c	conflict		new code
73	n	M	22	c	conflict		new code
74	u	M	9	c	conflict		new code
75	e	M	12	c	conflict		new code
76	e	M	15	d	conflict		new code
77	e	M	29	d	conflict	o	conflict
78	e	M	25	d	conflict	r	conflict
79	e	M	19	d	conflict	n	conflict
80	e	M	9	d	conflict	s	conflict
81	e	M	85	e	agree		new code
82	e	M	152	e	agree		new code
83	r	M	78	e	conflict		new code
84	o	M	45	e	conflict		new code
85	u	M	38	e	conflict		new code
86	n	M	8	f	conflict	e	conflict
87	e	M	33	f	conflict		new code
88	r	M	14	f	conflict		new code
89	e	M	11	f	conflict		new code
90	n	M	11	f	conflict	a	conflict
91	a	M	16	g	conflict		new code
92	s	M	15	g	conflict		new code
93	a	M	2	g	conflict		new code
95	n	M	2	g	conflict	o	conflict
96	i	H	3	h	conflict	l	conflict
97	e	M	5	h	conflict	a	conflict
98	e	M	2	h	conflict	m	conflict
99	e	M	2	h	conflict	o	conflict
100	e	M	1	h	conflict	e	agree
101	s	M	17	i	conflict	n	conflict
102	t	M	52	i	conflict	NULL	conflict
103	e	M	19	i	conflict	l	conflict
104	n	M	1	i	conflict		new code
105	o	M	14	i	conflict	c	conflict
107	e	M	1	k	conflict	d	conflict
108	e	M	1	k	conflict		new code
109	n	M	3	k	conflict		new code
111	e	M	9	l	conflict		new code
112	s	M	34	l	conflict		new code
113	l	M	22	l	agree		new code
114	r	H	3	l	conflict		new code
115	u	M	13	l	conflict		new code
116	e	M	9	m	conflict	u	conflict
117	e	M	18	m	conflict	l	conflict
118	d	M	6	m	conflict	t	conflict
119	e	M	7	m	conflict	e	agree
120	e	M	12	m	conflict	n	conflict
121	l	M	22	NULL	conflict		new code
122	r	M	5	NULL	conflict		new code
123	e	M	2	l	conflict	NULL	conflict
124	e	M	37	NULL	conflict	u	conflict
125	e	M	43		new code	a	conflict
126	e	M	48	NULL	conflict	e	agree
127	d	M	6	NULL	conflict	n	conflict
128	de	M	3	NULL	conflict	r	conflict
129	e	M	43	NULL	conflict	p	conflict
130	c	M	11	NULL	conflict	u	conflict
131	e	M	10	NULL	conflict		new code
132	e	M	174	NULL	conflict	m	conflict
133	l	M	5	NULL	conflict		new code
134	t	M	11	NULL	conflict		new code
135	d	M	3	NULL	conflict	a	conflict
136	a	M	1	uingt	conflict		new code
137	autan	M	3	NULL	conflict	n	conflict
138	e	M	2	NULL	conflict		new code
139	t	M	14		new code	NULL	conflict
140	s	M	51		new code	NULL	conflict
141	e	M	13	NULL	conflict		new code
142	e	M	7		new code		new code
144	b	M	2	NULL	conflict		new code
145	a	M	13		new code		new code
146	c	M	1		new code		new code
147	a	M	3		new code		new code
148	que	M	2		new code		new code
149	n	M	1		new code		new code
150	best	M	11		new code		new code
152	e	M	9		new code		new code
157	assau	M	1		new code		new code
170	e	M	1		new code		new code
172	a	M	9	lecontejean	conflict		new code
173	q	M	2		new code		new code
175	avec	M	2		new code		new code
177	q	M	1	m	conflict		new code
179	e	M	1		new code		new code
182	i	M	1		new code		new code
183	u	M	1		new code		new code
190	e	M	25		new code		new code
191	ne	M	4		new code		new code
192	aulcunspoint	M	5	roidespagne	conflict		new code
195	a	M	12		new code		new code
197	e	M	1		new code		new code
199	av	M	3		new code		new code
200	r	M	1	herzogvonalba	conflict		new code
201	NULL	M	1		new code		new code
202	p	M	1	franckreich	conflict		new code
203	NULL	M	1		new code		new code
221	et	M	1	hollande	conflict		new code
223	a	M	4	harlem	conflict		new code
231	c	M	2		new code		new code
272	la	M	1	nyeumegen	conflict		new code
296	i	M	1		new code		new code
311	a	M	4		new code		new code
312	a	M	3	uillede	conflict		new code
330	e	M	1		new code		new code
331	a	M	7		new code		new code
335	e	M	2		new code		new code
336	a	M	1	fussvolck	conflict		new code
356	u	M	1		new code		new code
901	c	M	1		new code		new code
