code	value_7205	grade	occurrences	key_full	vs_key_full	key_5799	vs_key_5799
71	NULL	H	31	c	conflict		new code
72	a	M	19	c	conflict		new code
73	c	M	21	c	agree		new code
74	c	M	14	c	agree		new code
75	c	M	24	c	agree		new code
77	d	M	16	d	agree	o	conflict
78	d	M	20	d	agree	r	conflict
79	l	M	23	d	conflict	n	conflict
80	d	M	25	d	agree	s	conflict
81	e	M	231	e	agree		new code
82	e	M	222	e	agree		new code
83	e	M	139	e	agree		new code
84	e	M	141	e	agree		new code
85	e	M	121	e	agree		new code
86	s	M	8	f	conflict	e	conflict
87	NULL	H	9	f	conflict		new code
88	s	M	10	f	conflict		new code
89	a	M	31	f	conflict		new code
90	s	M	17	f	conflict	a	conflict
91	d	M	8	g	conflict		new code
92	r	M	16	g	conflict		new code
93	g	M	15	g	agree		new code
94	g	M	24	g	agree	e	conflict
95	s	M	5	g	conflict	o	conflict
96	r	M	1	h	conflict	l	conflict
97	h	M	1	h	agree	a	conflict
98	h	M	9	h	agree	m	conflict
99	h	M	9	h	agree	o	conflict
100	p	M	14	h	conflict	e	conflict
101	i	M	46	i	agree	n	conflict
102	i	M	38	i	agree	NULL	conflict
103	i	M	38	i	agree	l	conflict
104	i	M	69	i	agree		new code
105	i	M	20	i	agree	c	conflict
106	NULL	M	1	k	conflict		new code
108	u	M	9	k	conflict		new code
109	f	M	18	k	conflict		new code
110	i	M	1	k	conflict	c	conflict
111	l	M	15	l	agree		new code
112	l	M	33	l	agree		new code
113	l	M	52	l	agree		new code
114	l	M	44	l	agree		new code
115	NULL	H	13	l	conflict		new code
116	m	M	1	m	agree	u	conflict
117	m	M	16	m	agree	l	conflict
118	m	M	32	m	agree	t	conflict
119	m	M	19	m	agree	e	conflict
120	n	M	23	m	conflict	n	agree
121	c	M	26	NULL	conflict		new code
122	s	M	5	NULL	conflict		new code
123	r	M	12	l	conflict	NULL	conflict
124	dungcomunaccor	M	11	NULL	conflict	u	conflict
125	p	M	2		new code	a	conflict
126	y	M	1	NULL	conflict	e	conflict
127	s	M	20	NULL	conflict	n	conflict
128	d	M	15	NULL	conflict	r	conflict
129	a	M	31	NULL	conflict	p	conflict
130	u	M	24	NULL	conflict	u	agree
131	t	M	40	NULL	conflict		new code
132	i	M	14	NULL	conflict	m	conflict
133	u	M	8	NULL	conflict		new code
134	alesdict	M	8	NULL	conflict		new code
135	l	M	1	NULL	conflict	a	conflict
137	NULL	H	5	NULL	agree	n	conflict
138	depuisb	M	1	NULL	conflict		new code
139	a	M	12		new code	NULL	conflict
140	NULL	H	9		new code	NULL	agree
141	protestanss	M	2	NULL	conflict		new code
142	l	M	4		new code		new code
143	u	M	7	NULL	conflict		new code
144	l	M	3	NULL	conflict		new code
147	i	M	6		new code		new code
148	emp	M	1		new code		new code
149	i	M	5		new code		new code
150	NULL	H	4		new code		new code
151	NULL	M	1		new code		new code
154	do	M	1	herzogvonsachsen	conflict		new code
158	NULL	M	1		new code		new code
170	d	M	1		new code		new code
172	c	M	1	lecontejean	conflict		new code
181	l	M	1		new code		new code
182	y	M	1		new code		new code
183	faictpenserqu	M	2		new code		new code
184	q	M	2		new code		new code
188	t	M	1		new code		new code
191	m	M	2		new code		new code
192	a	M	4	roidespagne	conflict		new code
195	t	M	1		new code		new code
199	y	M	1		new code		new code
202	nt	M	1	franckreich	conflict		new code
203	da	M	1		new code		new code
209	ay	M	1		new code		new code
210	m	M	2		new code		new code
211	c	M	2		new code		new code
215	s	M	2		new code		new code
217	t	M	1	srgeertruydenbergh	conflict		new code
219	iberezdembras	M	1		new code		new code
220	o	M	2		new code		new code
221	hollande	M	2	hollande	agree		new code
223	faictesdevenir	M	1	harlem	conflict		new code
227	r	M	1		new code		new code
228	avezentendupar	M	2		new code		new code
232	t	M	1		new code		new code
234	r	M	1		new code		new code
241	m	M	1	zeelande	conflict		new code
281	NULL	M	1		new code		new code
283	r	H	3		new code		new code
293	NULL	M	1		new code		new code
299	NULL	M	1		new code		new code
300	NULL	M	1		new code		new code
312	deloffreque	M	4	uillede	conflict		new code
331	h	M	1		new code		new code
332	u	M	1		new code		new code
339	NULL	M	1	harquebouziers	conflict		new code
341	celanecessaire	M	2		new code		new code
342	delacampaigne	M	1		new code		new code
347	dupassenousdem	M	2	uiures	conflict		new code
391	NULL	M	1		new code		new code
599	a	M	1		new code		new code
808	a	M	1		new code		new code
811	n	M	1		new code		new code
823	stoitavecbonn	M	1		new code		new code
827	a	M	1		new code		new code
837	NULL	M	1		new code		new code
838	teparlaquellej	M	1		new code		new code
843	omelesprinces	M	1		new code		new code
901	NULL	M	1		new code		new code
920	p	M	1		new code		new code
929	re	M	1		new code		new code
