telegram	witness	word_index	reading	confidence	note
E4	mssEC19 p.49 (ptr 8941)	61	are	m	are; mssEC25 fie
E4	mssEC19 p.49 (ptr 8941)	62	you	h	
E4	mssEC19 p.49 (ptr 8941)	63	brave	m	brave, faint
E4	mssEC19 p.49 (ptr 8941)	64	youths	m	youths; capital-like y resembles G (Gnaths)
E4	mssEC25 p.77 (ptr 5621)	1	Rosetta	h	
E4	mssEC25 p.77 (ptr 5621)	2	for	h	
E4	mssEC25 p.77 (ptr 5621)	3	Knots	h	Knots, clear t and s
E4	mssEC25 p.77 (ptr 5621)	4	unity	h	
E4	mssEC25 p.77 (ptr 5621)	5	if	h	
E4	mssEC25 p.77 (ptr 5621)	6	you	h	
E4	mssEC25 p.77 (ptr 5621)	7	can	h	
E4	mssEC25 p.77 (ptr 5621)	8	block	h	
E4	mssEC25 p.77 (ptr 5621)	9	the	h	
E4	mssEC25 p.77 (ptr 5621)	10	Channel	h	
E4	mssEC25 p.77 (ptr 5621)	11	Baden	h	
E4	mssEC25 p.77 (ptr 5621)	12	Sidney	h	
E4	mssEC25 p.77 (ptr 5621)	13	so	h	
E4	mssEC25 p.77 (ptr 5621)	14	she	h	
E4	mssEC25 p.77 (ptr 5621)	15	can	h	
E4	mssEC25 p.77 (ptr 5621)	16	not	h	
E4	mssEC25 p.77 (ptr 5621)	17	get	h	
E4	mssEC25 p.77 (ptr 5621)	18	in	h	
E4	mssEC25 p.77 (ptr 5621)	19	to	h	
E4	mssEC25 p.77 (ptr 5621)	20	Pamlico	h	
E4	mssEC25 p.77 (ptr 5621)	21	sound	h	
E4	mssEC25 p.77 (ptr 5621)	22	we	h	
E4	mssEC25 p.77 (ptr 5621)	23	will	h	
E4	mssEC25 p.77 (ptr 5621)	24	have	h	
E4	mssEC25 p.77 (ptr 5621)	25	some	h	
E4	mssEC25 p.77 (ptr 5621)	26	Camels	h	
E4	mssEC25 p.77 (ptr 5621)	27	make	h	make
E4	mssEC25 p.77 (ptr 5621)	28	in	h	
E4	mssEC25 p.77 (ptr 5621)	29	a	h	
E4	mssEC25 p.77 (ptr 5621)	30	few	h	
E4	mssEC25 p.77 (ptr 5621)	31	days	h	
E4	mssEC25 p.77 (ptr 5621)	32	to	h	
E4	mssEC25 p.77 (ptr 5621)	33	lighten	h	
E4	mssEC25 p.77 (ptr 5621)	34	the	h	
E4	mssEC25 p.77 (ptr 5621)	35	Tecumseh	h	
E4	mssEC25 p.77 (ptr 5621)	36	iron	h	
E4	mssEC25 p.77 (ptr 5621)	37	Cleared	h	Cleared
E4	mssEC25 p.77 (ptr 5621)	38	so	h	
E4	mssEC25 p.77 (ptr 5621)	39	she	h	
E4	mssEC25 p.77 (ptr 5621)	40	can	h	
E4	mssEC25 p.77 (ptr 5621)	41	cross	h	
E4	mssEC25 p.77 (ptr 5621)	42	the	h	
E4	mssEC25 p.77 (ptr 5621)	43	bare	h	bare, final e
E4	mssEC25 p.77 (ptr 5621)	44	at	h	
E4	mssEC25 p.77 (ptr 5621)	45	Hatter	h	
E4	mssEC25 p.77 (ptr 5621)	46	as	h	
E4	mssEC25 p.77 (ptr 5621)	47	platina	h	
E4	mssEC25 p.77 (ptr 5621)	48	feet	h	
E4	mssEC25 p.77 (ptr 5621)	49	&	h	
E4	mssEC25 p.77 (ptr 5621)	50	protect	h	
E4	mssEC25 p.77 (ptr 5621)	51	all	h	
E4	mssEC25 p.77 (ptr 5621)	52	waxy	m	lowercase; first letter w-form (waxy); n-form (navy) cannot be excluded at this size
E4	mssEC25 p.77 (ptr 5621)	53	of	h	
E4	mssEC25 p.77 (ptr 5621)	54	Badin	m	Badin or Baden
E4	mssEC25 p.77 (ptr 5621)	55	Smyrna	h	
E4	mssEC25 p.77 (ptr 5621)	56	Yoke	h	
E4	mssEC25 p.77 (ptr 5621)	57	ass	h	
E4	mssEC25 p.77 (ptr 5621)	58	Buxton	h	Buxton, clear u and x
E4	mssEC25 p.77 (ptr 5621)	59	Fawks	h	Fawks
E4	mssEC25 p.77 (ptr 5621)	60	how	h	how
E4	mssEC25 p.77 (ptr 5621)	61	fie	h	fie
E4	mssEC25 p.77 (ptr 5621)	62	you	h	
E4	mssEC25 p.77 (ptr 5621)	63	brave	h	
E4	mssEC25 p.77 (ptr 5621)	64	youths	h	
E5	mssEC19 p.49 (ptr 8941)	1	Elizabeth	h	
E5	mssEC19 p.49 (ptr 8941)	2	Harsh	h	
E5	mssEC19 p.49 (ptr 8941)	3	Peach	h	
E5	mssEC19 p.49 (ptr 8941)	4	For	h	
E5	mssEC19 p.49 (ptr 8941)	5	Knave	m	ending avs/aws; Knave with a flourish, or Knavs
E5	mssEC19 p.49 (ptr 8941)	6	unity	h	
E5	mssEC19 p.49 (ptr 8941)	7	Dispatch	h	
E5	mssEC19 p.49 (ptr 8941)	8	of	h	
E5	mssEC19 p.49 (ptr 8941)	9	last	h	
E5	mssEC19 p.49 (ptr 8941)	10	night	h	
E5	mssEC19 p.49 (ptr 8941)	11	received	h	
E5	mssEC19 p.49 (ptr 8941)	12	I	h	
E5	mssEC19 p.49 (ptr 8941)	13	learn	h	
E5	mssEC19 p.49 (ptr 8941)	14	that	h	
E5	mssEC19 p.49 (ptr 8941)	15	there	h	
E5	mssEC19 p.49 (ptr 8941)	16	are	h	
E5	mssEC19 p.49 (ptr 8941)	17	Pension	m	compressed, letters P-n-s-m; Pension by mssEC25 and length
E5	mssEC19 p.49 (ptr 8941)	18	Waldo	h	
E5	mssEC19 p.49 (ptr 8941)	19	Spit	h	
E5	mssEC19 p.49 (ptr 8941)	20	here	h	
E5	mssEC19 p.49 (ptr 8941)	21	for	h	
E5	mssEC19 p.49 (ptr 8941)	22	Animals	m	Animals, final s probable; mssEC25 animal
E5	mssEC19 p.49 (ptr 8941)	23	instead	h	
E5	mssEC19 p.49 (ptr 8941)	24	of	h	
E5	mssEC19 p.49 (ptr 8941)	25	Pebble	h	
E5	mssEC19 p.49 (ptr 8941)	26	Whips	h	
E5	mssEC19 p.49 (ptr 8941)	27	You	h	
E5	mssEC19 p.49 (ptr 8941)	28	have	h	
E5	mssEC19 p.49 (ptr 8941)	29	all	h	
E5	mssEC19 p.49 (ptr 8941)	30	the	h	
E5	mssEC19 p.49 (ptr 8941)	31	whig	h	
E5	mssEC19 p.49 (ptr 8941)	32	and	h	
E5	mssEC19 p.49 (ptr 8941)	33	should	h	
E5	mssEC19 p.49 (ptr 8941)	34	send	h	
E5	mssEC19 p.49 (ptr 8941)	35	it	h	
E5	mssEC19 p.49 (ptr 8941)	36	up	h	
E5	mssEC19 p.49 (ptr 8941)	37	for	h	
E5	mssEC19 p.49 (ptr 8941)	38	them	h	
E5	mssEC19 p.49 (ptr 8941)	39	zebra	m	lowercase z, looks gebra
E5	mssEC19 p.49 (ptr 8941)	40	Send	h	
E5	mssEC19 p.49 (ptr 8941)	41	also	h	
E5	mssEC19 p.49 (ptr 8941)	42	for	h	
E5	mssEC19 p.49 (ptr 8941)	43	a	h	
E5	mssEC19 p.49 (ptr 8941)	44	Purple	h	
E5	mssEC19 p.49 (ptr 8941)	45	Panama	h	
E5	mssEC19 p.49 (ptr 8941)	46	Spartans	h	Spartans, final s present
E5	mssEC19 p.49 (ptr 8941)	47	now	h	
E5	mssEC19 p.49 (ptr 8941)	48	at	h	
E5	mssEC19 p.49 (ptr 8941)	49	the	h	
E5	mssEC19 p.49 (ptr 8941)	50	Pacific	h	
E5	mssEC19 p.49 (ptr 8941)	51	Queenly	m	looks Quarrenly/Garrenly; Queenly by mssEC25
E5	mssEC19 p.49 (ptr 8941)	52	here	h	
E5	mssEC19 p.49 (ptr 8941)	53	&	h	
E5	mssEC19 p.49 (ptr 8941)	54	ready	h	
E5	mssEC19 p.49 (ptr 8941)	55	to	h	
E5	mssEC19 p.49 (ptr 8941)	56	go	h	
E5	mssEC19 p.49 (ptr 8941)	57	to	h	
E5	mssEC19 p.49 (ptr 8941)	58	you	h	
E5	mssEC19 p.49 (ptr 8941)	59	yoke	h	
E5	mssEC19 p.49 (ptr 8941)	60	Pender	m	capital P/B/R ambiguous (Pender or Bender)
E5	mssEC25 p.79 (ptr 5623)	1	Elizabeth	h	
E5	mssEC25 p.79 (ptr 5623)	2	harsh	h	
E5	mssEC25 p.79 (ptr 5623)	3	peach	h	
E5	mssEC25 p.79 (ptr 5623)	4	for	h	
E5	mssEC25 p.79 (ptr 5623)	5	Knave	h	Knave
E5	mssEC25 p.79 (ptr 5623)	6	unity	h	
E5	mssEC25 p.79 (ptr 5623)	7	dispatch	h	
E5	mssEC25 p.79 (ptr 5623)	8	of	h	
E5	mssEC25 p.79 (ptr 5623)	9	last	h	
E5	mssEC25 p.79 (ptr 5623)	10	night	h	
E5	mssEC25 p.79 (ptr 5623)	11	received	h	
E5	mssEC25 p.79 (ptr 5623)	12	I	h	
E5	mssEC25 p.79 (ptr 5623)	13	learn	h	
E5	mssEC25 p.79 (ptr 5623)	14	that	h	
E5	mssEC25 p.79 (ptr 5623)	15	there	h	
E5	mssEC25 p.79 (ptr 5623)	16	are	h	
E5	mssEC25 p.79 (ptr 5623)	17	pension	h	
E5	mssEC25 p.79 (ptr 5623)	18	Waldo	h	
E5	mssEC25 p.79 (ptr 5623)	19	spit	h	
E5	mssEC25 p.79 (ptr 5623)	20	here	h	
E5	mssEC25 p.79 (ptr 5623)	21	for	h	
E5	mssEC25 p.79 (ptr 5623)	22	animal	m	animal, no final s visible
E5	mssEC25 p.79 (ptr 5623)	23	instead	h	
E5	mssEC25 p.79 (ptr 5623)	24	of	h	
E5	mssEC25 p.79 (ptr 5623)	25	pebble	h	
E5	mssEC25 p.79 (ptr 5623)	26	whips	h	
E5	mssEC25 p.79 (ptr 5623)	27	you	h	
E5	mssEC25 p.79 (ptr 5623)	28	have	h	
E5	mssEC25 p.79 (ptr 5623)	29	all	h	
E5	mssEC25 p.79 (ptr 5623)	30	the	h	
E5	mssEC25 p.79 (ptr 5623)	31	Whig	h	
E5	mssEC25 p.79 (ptr 5623)	32	and	h	
E5	mssEC25 p.79 (ptr 5623)	33	should	h	
E5	mssEC25 p.79 (ptr 5623)	34	send	h	
E5	mssEC25 p.79 (ptr 5623)	35	it	h	
E5	mssEC25 p.79 (ptr 5623)	36	up	h	
E5	mssEC25 p.79 (ptr 5623)	37	for	h	
E5	mssEC25 p.79 (ptr 5623)	38	them	h	
E5	mssEC25 p.79 (ptr 5623)	39	zebra	h	
E5	mssEC25 p.79 (ptr 5623)	40	send	h	
E5	mssEC25 p.79 (ptr 5623)	41	also	h	
E5	mssEC25 p.79 (ptr 5623)	42	for	h	
E5	mssEC25 p.79 (ptr 5623)	43	a	h	
E5	mssEC25 p.79 (ptr 5623)	44	purple	h	
E5	mssEC25 p.79 (ptr 5623)	45	Panama	h	
E5	mssEC25 p.79 (ptr 5623)	46	Spartans	h	Spartans
E5	mssEC25 p.79 (ptr 5623)	47	now	h	
E5	mssEC25 p.79 (ptr 5623)	48	at	h	
E5	mssEC25 p.79 (ptr 5623)	49	the	h	
E5	mssEC25 p.79 (ptr 5623)	50	pacific	h	
E5	mssEC25 p.79 (ptr 5623)	51	queenly	h	
E5	mssEC25 p.79 (ptr 5623)	52	here	h	
E5	mssEC25 p.79 (ptr 5623)	53	&	h	
E5	mssEC25 p.79 (ptr 5623)	54	ready	h	
E5	mssEC25 p.79 (ptr 5623)	55	to	h	
E5	mssEC25 p.79 (ptr 5623)	56	go	h	
E5	mssEC25 p.79 (ptr 5623)	57	to	h	
E5	mssEC25 p.79 (ptr 5623)	58	you	h	
E5	mssEC25 p.79 (ptr 5623)	59	yoke	h	
E5	mssEC25 p.79 (ptr 5623)	60	Bender	m	capital B or P
